范雎者，魏人也，字叔。	Phạm Thư Phạm Thư người nước Ngụy, tự là Thúc.
为其割荣也。	Vì phải cắt lợi ích đó.
良医知病人之死生，而圣主明於成败之事，利则行之，害则舍之，疑 则少尝之，虽舜禹复生，弗能改已。	Thầy thuốc giỏi biết rõ chuyện sống chết của người bệnh, bậc thánh chúa tường tận chuyện thành bại của sự việc, lợi thì làm, hại thì bỏ, nghi thì thử một chút, tuy vua Thuấn vua Vũ tái sinh, cũng không thể thay đổi được.
语之至者，臣不敢载之於书，其 浅者又不足听也。	Lời nói cạn lẽ, thần không dám viết trong thư, đôi điều nông cạn, không đủ để đại vương nghe.
意者臣愚而不概 於王心邪？	Ý chừng thần ngu muội nện đại vương không để tâm chăng?
亡其言臣者贱而不可用乎？	Hay vì người tiến cử thần địa vị thấp kém nên đại vương không dùng chăng?
自非然 者，臣原得少赐游观之间，望见颜色。	Nếu không phải vậy, thần xin được ban chút thời gian rảnh, để được thấy tôn nhan.
一语无效，请伏斧质。於是秦昭王大说，乃谢王稽，使以传车 召范雎。	Có lời nào không công hiệu, xin chịu búa rìu giáng xuống.” Tần Chiêu vương cả mừng, liền tạ lỗi với Vương Kê, sai đưa xe đến triệu Phạm Thư.
於是范雎乃得见於离宫， 详为不知永巷而入其中。	Phạm Thư được yết kiến ở Ly cung, và không biết hẻm dài, tiến thẳng vào cung.
王来而宦者怒， 逐之，曰：“王至！”范雎缪为曰：“秦安得王？	Tần vương đến, hoạn quan sợ, đuổi Thư ra, nói: “Đại vương đến!” Thư vờ không biết, nói: “Tần đầu có vua?
秦独有太后、穰侯 耳。”欲以感怒昭王。	Tần chỉ có Thái hậu và Nhương hầu thôi.” Ý muốn chọc giận Chiêu vương.
昭王至，闻其与宦者争言，遂延迎，谢 曰：“寡人宜以身受命久矣，会义渠之事急，寡人旦暮自请太后；今 义渠之事已，寡人乃得受命。	Chiêu vương đến, nghe tiếng Thư tranh cãi với hoạn quan, bèn đến đón tiếp, tạ lỗi rằng: “Quả nhân nên đích thân đến lĩnh giáo lâu rồi, do việc ở Nghĩa Cừ cấp bách, sớm tối quả nhân phải đến thỉnh an Thái hậu; nay, việc ở Nghĩa Cừ đã xong, quả nhân liền đến lĩnh giáo.
窃闵然不敏， 敬执宾主之礼。”范雎辞让。	Quả nhân u tối ngu đần, xin kính cẩn hành lễ chủ khách.” Phạm Thư tỏ ra khiêm nhượng.
是 日观范雎之见者，群臣莫不洒然 变色易容者。	Hôm ấy, thấy Phạm Thư yết kiến Tần vương, quần thần không ai không kính sợ, thất sắc mà thay đổi thái độ.
秦王屏左右，宫中虚无人。	Tần vương đuổi tả hữu ra, trong cung không còn ai.
秦王跽 而请曰：“先生何以幸教寡人？”范雎曰：“唯唯。”有 间，秦王复跽而请曰：“先生何以幸教寡人？”范雎曰：“唯 唯。”若是者三。	Tần vương quỳ gối cầu khẩn: “Tiên sinh có điều gì chỉ giáo quả nhân?” Phạm Thư đáp: “Dạ, dạ.” Lát sau, Tần vương lại quỳ gối cầu khẩn: “Tiên sinh có điều gì chỉ giáo quá nhân?” Phạm Thư đáp: “Dạ, dạ.” Cứ thế ba lần.
秦王跽曰：“先生卒不幸教寡人邪？”范雎 曰：“非敢然也。	Tần vương quỳ nói: “Rốt cuộc tiên sinh không chỉ giáo quá nhân ư?” Phạm Thư đáp: “Thần không dám.
臣闻昔者吕尚之遇文王也，身为渔父而钓於渭滨 耳。	Thần nghe nói xưa Lã Thượng gặp Văn vương, thân là ngư phủ ở bến sông Vị.
若是者，交疏也。	Như thế là sơ giao.
已说而立为太师，载与俱归者，其言深也。	Khi đã nói ra, được làm Thái sư, đưa lên xe cùng về, ấy vì lời ông sâu sắc vậy.
故 文王遂收功於吕尚而卒王天下。	Nên Văn vương nhờ công Lý Thượng, cuối cùng xưng vương thiên hạ.
乡使文王疏吕尚而不与深言，是周无 天子之德，而文武无与成其王业也。	Giả như trước đây Văn vương xa lánh Lã Thượng thì không được nghe những lời sâu sắc, Chu sẽ không có đức của bậc thiên tử, mà Văn vương, Vũ vương cũng không thành được vương nghiệp vậy.
今臣羁旅之臣也，交疏於王，而 所原陈者皆匡君之事，处人骨肉之间，原效愚忠而未知王之心也。	Nay thần là bề tôi lữ khách, sơ giao với đại vương, trong khi điều muốn tỏ bày đều là việc khuông phò nhà vua, đụng đến cốt nhục của người, xin dốc lòng trung của kẻ ngu muội mà chưa biết ý đại vương thế nào.
此 所以王三问而不敢对者也。	Cho nên đại vương hỏi ba lần thần đều không dám đáp vậy.
臣非有畏而不敢言也。	Không phải thần sợ mà không dám nói.
臣知今日言之於前 而明日伏诛於後，然臣不敢避也。	Thần biết nay nói lời này, mai sẽ bị giết, cũng không dám tránh né.
大王信行臣之言，死不足以为臣 患，亡不足以为臣忧，漆身为厉 被发为狂不足以为臣耻。	Đại vương tin theo lời thần, thì cái chết không khiến thần lo, bị đuổi không làm thần nghĩ, sơn mình làm kẻ hủi, rũ tóc làm người điên cũng không khiến thần nhục.
且以五帝之圣焉而死，三王之仁焉而 死，五伯之贤焉而死，乌获、任鄙之力焉而死，成荆、 孟贲、 王庆忌、夏育之勇焉而死。	Và bậc thánh như Ngũ đế cũng chết, lòng nhân như Tam vương cũng chết, hiền năng như Ngũ bá cũng chết; khỏe như Ô Hoạch, Nhậm Bỉ cũng chết; dũng như Thành Kinh, Mạnh Bôn, Vương Khánh Kỵ, Hạ Dục cũng chết.
死者，人之所必不免 也。	Chết không ai tránh được.
处必然之势，可以少有补於秦，此臣之所大原也，臣又何患哉！	Ở vào tình thế tất nhiên, có thể giúp ích cho Tấn, là ước nguyện to lớn của thần, còn lo gì nữa!
伍子胥橐载而出昭关，夜行昼伏，至於陵水， 无以餬其口，■行蒲伏，稽首肉袒， 鼓腹吹篪，乞食於吴市，卒兴吴国，阖 闾为伯。	Ngũ Tử Tư bị cho vào bao chở khỏi Chiêu Quan, đêm đi ngày ẩn, cho đến Lăng Thủy, không có gì ăn, lết gối bỏ đi, dập đầu hở thịt, vỗ bụng thổi sáo, xin ăn ngoài chợ nước Ngô, cuối cùng khiến Ngô hưng thịnh, Hạp Lư xưng bá.
使臣得尽谋如伍子胥，加之以幽囚，终身不复见，是臣之说 行也，臣又何忧？	Nếu thần được hiến mưu như Ngũ Tử Tư, rồi giam vào ngục tối, trọn đời không gặp lại, thần cũng vui vì mưu được thi hành, còn lo gì nữa?
箕子、接舆漆身为厉，被发为狂，无益於主。	Cơ tử, Tiếp Dư, sơn mình thành kẻ hủi, rũ tóc thành người điên, nhưng không ích cho chủ.
假使 臣得同行於箕子，可以有补於所贤之主，是臣之大荣也，臣有何耻？	Giả như thần được cùng hàng Cơ tử, giúp chút ích lợi cho hiền chúa, đó là vinh hạnh lớn của thần, thần nhục gì đâu?
臣之所恐者，独恐臣死之後，天下见臣之尽忠而身死，因以是杜口裹 足，莫肯乡秦耳。	Điều thần lo sợ, sau khi thần chết, thiên hạ thấy thần tận trung mà chết, nhân đó ngậm miệng bó chân, không ai chịu đến Tần nữa.
足下上畏太后之严，下惑於奸臣之态， 居深宫之中，不离阿保之手，终身迷惑，无与昭 奸。	Bệ hạ trên sợ oai nghiêm của Thái hậu, dưới bị mê hoặc bởi gian thần, chốn thâm cung, không rời bàn tay bảo mẫu, suốt đời mê hoặc, không tỏ được gian phi.
大者宗庙灭覆，小者身以孤危，此 臣之所恐耳。	Lớn thì tông miếu bị hủy, nhỏ thì đơn độc nguy hiểm, đó là điều thần lo sợ.
若夫穷辱之事，死亡之患，臣不敢畏也。	Còn chuyện khốn cùng nhục nhã, nỗi lo sống chết, thần không dám sợ vậy.
臣死而秦治， 是臣死贤於生。”秦王跽曰：“先生是何言也！	Thần chết mà Tần thịnh trị, ấy là thần chết vinh hơn sống.” Tần vương quỳ nói: “Tiên sinh sao lại nói thế!
夫秦国辟远，寡人愚 不肖，先生乃幸辱至於此，是天以寡人慁先生 而存先王之宗 庙也。	Xét lẽ, Tần xa xôi hẻo lánh, quả nhân u tối kém cỏi, tiên sinh hạ mình đến đây, là trời khiến quả nhân phiền tiên sinh bảo tồn tông miếu của tiên vương vậy.
寡人得受命於先生，是天所以幸先王，而不弃其孤也。	Quả nhân được nghe tiên sinh chỉ giáo, là trời thương tiên vương, không bỏ đứa con côi cút này vậy.
先生柰 何而言若是！	Tiên sinh sao lại nói thế!
事无小大，上及太后，下至大臣，原先生悉以教寡人， 无疑寡人也。”	Việc dù lớn nhỏ, trên từ Thái hậu, dưới đến đại thần, xin tiên sinh chỉ giáo hết thảy, đừng nghi ngờ quả nhân vậy.” Phạm Thư vái lạy, Tần vương cũng vái lạy.
范雎拜，秦王亦 范雎曰：“大王之国，四塞以为固，北有甘泉、谷口， 南带泾、渭，右 陇、蜀，左关、阪，奋击百万，战车千乘，利则出攻，不利则入守， 此王者之地也。	Phạm Thư nói: “Nước của đại vương, bốn phía biên ải vững vàng: bắc có Cam Tuyền, Cốc Khẩu; nam có dải sông Kinh sống Vị; phải có núi Lũng núi Thục; trái có cửa Hàm Cốc, Hào Sơn; lính chiến trăm vạn, chiến xa ngàn cỗ, lợi thì tiến đánh, bất lợi thì lui giữ, đó là đất của vương giả vậy.
民怯於私斗而勇於公战，此王者之民也。	Dân khiếp nhược việc tự đánh nhau nhưng dũng mãnh trong chiến đấu vì đất nước, đó là dân của vương giả vậy.
王并此二者 而有之。	Đại vương có hai điều đó.
夫以秦卒之勇，车骑之众，以治诸侯，譬若施韩卢而搏蹇兔 也， 霸王之业可致也，而群臣莫当其位。	Đem quân Tần dũng mãnh, chiến xa đông đảo, chế phục chư hầu, cũng như chó Lô khỏe của nước Hàn vồ bắt con thỏ què vậy, sự nghiệp bá vương có thể thành được, nhưng quần thần không ai xứng với chức vị của mình.
至今闭关十五年，不敢窥兵於山东者，是穰侯为秦谋不忠，而大王之 计有所失也。”秦王跽曰：“寡人原闻失计。”然左右多窃听者，范雎恐，未敢言内，先言外事，以观秦王之俯 仰。	Đến nay đóng cửa quan được mười lăm năm, không dám đem quân ra phía đông Hào Sơn, vì Nhương hầu không hết lòng trung mưu tính cho Tần, còn kế của đại vương có chỗ sai lầm vậy.” Tần vương quỳ nói: “Quả nhân xin nghe về kế sách sai lầm.” Thấy tả hữu nhiều người nghe trộm, Phạm Thư sợ, chưa dám nói việc trong nước, mà nói việc ngoài nước trước, để xem thái độ của Tần vương.
因进曰：“夫穰侯越韩、魏而攻齐纲寿，非计也。	Nhân đó tiến lên nói: “Xét lẽ, Nhương hầu vượt Hàn và Ngụy để đánh đất Cương đất Thọ nước Tề, kế sách sai lầm.
少出师则不足 以伤齐，多出师则害於秦。	Đem ít quân thì không đủ làm tổn thương nước Tề, đem nhiều quân thì họa hại cho Tấn.
臣意王之计，欲少出师而悉韩、魏之兵 也，则不义矣。	Thần nghĩ kế của đại vương, muốn đem ít quân rồi dốc hết quân Hàn và Ngụy để đánh, như thế là bất nghĩa.
今见与国之不亲也，越人之国而攻，可乎？	Nay thấy nước đồng minh không thân mình, vượt nước người để tấn công, được chăng?
其於计疏 矣。	Kế đó sơ hở vậy.
且昔齐湣王南攻楚，破军杀将，再辟地千里，而 齐尺寸之地无得焉者，岂不欲得地哉，形势不能有也。	Vả trước kia Tề Mẫn vương nam đánh Sở, phá quân giết tướng, lại mở nghìn dặm đất, sau một tấc đất Tề cũng không được, há không muốn được đất, chẳng qua tình thế không lấy được thôi.
诸侯见齐之罢 弊，君臣之不和也，兴兵而伐齐，大破之。	Chư hầu thấy Tề mỏi mệt, vua tôi bất hòa, dấy quân đánh Tề, đại phá quân Tề.
士辱兵顿，皆咎其王， 曰：‘谁为此计者乎？’	Sĩ nhục binh khốn, đều đổ lỗi cho đại vương, hỏi: 'Ai bày kế này?'
王曰：‘文子为之。’	Tề vương đáp: 'Là Văn tử.'
大臣作乱，文子出走。	Đại thần làm loạn, Văn tử chạy trốn.
攻 齐所以大破者，以其伐楚而肥韩、魏也。	Cho nên nguyên do Tề bị đại phá, vì đánh Sở để vỗ béo Hàn và Ngụy vậy.
此所谓借贼兵 而赍盗粮者也。	Đó là cho giặc mượn vũ khí, cấp lương thảo cho giặc.
王不如远交而近攻，得寸则王之寸也，得尺亦王之尺也。	Chẳng bằng đại vương giao hảo nước xa mà đánh nước gần, được tấc đất nào thì đó là tấc đất của đại vương, được thước đất là thước đất của đại vương vậy.
今释此 而远攻，不亦缪乎！	Nay lại bỏ gần mà đánh xa, chẳng phải sai lầm ư!
且昔者中山之国地方五百里，赵独吞之，功成名 立而利附焉，天下莫之能害也。	Vả trước kia nước Trung Sơn đất vuông năm trăm dặm, bị mình nước Triệu nuốt hết, công thành danh lập, lại được lợi nữa, thiên hạ không ai làm tổn hại được.
今夫韩、魏，中国之处而天下之枢 也，王其欲霸，必亲中国以为天下枢，以威楚、赵。	Nay, Hàn và Ngụy, nước ở Trung nguyên, là then chốt của thiên hạ, đại vương muốn xưng bá, ắt phải thân các nước ở Trung nguyên, lấy đó làm then chốt của thiên hạ, để uy hiếp Sở và Triệu.
楚彊则附赵，赵 彊则附楚，楚、赵皆附，齐必惧矣。	Sở mạnh khiến Triệu quy phụ, Triệu mạnh khiến Sở quy phụ, Sở và Triệu đều quy phụ, Tề ắt phải sợ.
齐惧，必卑辞重币以事秦。	Tề sợ ắt nói nhún, mang nhiều của cải đến thờ Tần.
齐附 而韩、魏因可虏也。”昭王曰：“吾欲亲魏久矣，而魏多变之国也， 寡人不能亲。	Tề quy phụ, Hàn và Ngụy nhân đó có thể bị ta cầm tù.” Chiêu vương nói: “Ta thân Ngụy lâu rồi, nhưng Ngụy là nước hay thay đổi, quả nhân không thể thân được.
请问亲魏柰何？”对曰：“王卑词重币以事之；不可， 则割地而赂之；不可，因举兵而伐之。”王曰：“寡人敬闻命 矣。”乃拜范雎为客卿，谋兵事。	Xin hỏi phải làm sao để thân Ngụy?” Đáp rằng: “Đại vương nói nhún, đem nhiều của cải đến thờ họ; không được, cắt đất hối lộ; vẫn không được, cất quân đánh họ.” Tần vương nói: “Quả nhân kính theo chỉ giáo.” Bèn phong Phạm Thư làm khách khanh, mưu việc quân.
卒听范雎谋，使五大夫绾伐魏，拔 怀。	Cuối cùng, nghe theo mưu kế của Phạm Thư, sai Ngũ đại phu là Oản đánh Ngụy, hạ được đất Hoài.
後二岁，拔邢丘。	Hai năm sau, hạ được Hình Khưu.
客卿范雎复说昭王曰：“秦韩之地形，相错如绣。	Khách khanh Phạm Thư lại nói với Chiêu vương: “Địa hình Tần và Hàn, cài nhau như tấm lụa.
秦之有韩也， 譬如木之有蠹也，人之有心腹之病也。	Tần có Hàn, giống như cây gỗ có mọt đục khoét bên trong, như người có bệnh trong gan ruột vậy.
天下无变则 已，天下有变，其为秦患者孰大於韩乎？	Thiên hạ không có biến thì thôi, thiên hạ có biến, mối lo của Tần có gì hơn Hàn?
王不如收韩。”昭王 曰：“吾固欲收韩，韩不听，为之柰何？”对曰：“韩安得无听乎？	Chẳng bằng đại vương hãy thu phục Hàn.” Chiêu vương hỏi: “Ta vốn muốn thu phục Hàn, Hàn không nghe, vậy làm sao?” Phạm Thư đáp: “Hàn sao có thể không nghe?
王下兵而攻荥阳，则巩、成皋之道不通； 北断太行之道，则上党之师不下。王一兴兵而攻荥阳，则其国断而为三。	Đại vương đem quân xuống đánh Huỳnh Dương, đường giữa đất Củng và Thành Cao không thông; phía bắc cắt đường Thái Hàng, quân ở Thượng Đảng không thể kéo xuống, đại vương cất quân một lần đánh vào Huỳnh Dương, nước họ bị cắt làm ba.
夫韩见必亡，安得不听乎？	Xét lẽ, Hàn thấy ắt bị diệt vong, sao có thể không nghe?
若韩听，而霸事因可虑 矣。”王曰：“善。”且欲发使於韩。	Nếu Hàn nghe theo, nhân đó có thể tính nghiệp bá rồi.” Tần vương nói: “Phải lắm.” Liền chuẩn bị sai sứ sang Hàn.
范雎日益亲，复说用数年矣，因请间说曰：“臣居 山东时，闻齐之有田文，不闻其有王也；闻秦之有太后、穰侯、华 阳、高陵、泾阳，不闻其有王也。	Phạm Thư ngày càng thân với Chiêu vương, lời bàn được dùng mấy năm, nhân đó nói riêng với Chiêu vương: “Khi thần ở Sơn Đông, nghe nói Tề có Điền Văn, không nghe Tề có vua; nghe Tần có Thái hậu, Nhương hầu, Hoa Dương, Cao Lăng, Kinh Dương, không nghe Tần có vua vậy.
夫擅国之谓王，能利害之谓王，制 杀生之威之谓王。	Xét lẽ, nắm trọn quyền chính mới là vua, dấy lợi trừ hại mới là vua, có uy sinh sát mới là vua.
今太后擅行不顾，穰侯出使不报，华阳、泾阳等击 断无讳，高陵进退不请。	Nay Thái hậu chuyên quyền không biết đến ai, Nhương hầu sai sứ đi mà không báo cáo, Hoa Dương và Kinh Dương quen thói giết người, xét án không kiêng dè, Cao Lăng miễn nhiệm quan lại không cần thỉnh thị.
四贵备 而国不危者，未之有也。	Có bốn quý nhân như thế mà nước không nguy, chưa từng có vậy.
为此四贵者下，乃所谓无王也。	Vì thế, dưới bốn quý nhân, sao gọi là vua được.
然则权安得 不倾，令安得从王出乎？	Vậy thì quyền lực sao không khuynh đảo, chính lệnh sao từ đại vương ban ra được?
臣闻善治国者，乃内固其威而外重其权。	Thần nghe nói người giỏi trị quốc, trong củng cố uy thế, ngoài coi trọng quyền lực.
穰 侯使者操王之重，决制於诸侯，剖符於天下，政適 伐国，莫敢不听。	Sứ giả của Nhương hầu nắm trọng trách của đại vương, đến chư hầu xử quyết mọi việc, cắt tín phủ khắp thiên hạ, chinh phạt nước khác, không ai dám không nghe.
战胜攻取则利归於陶，国弊御於诸侯； 战败则结 怨於百姓，而祸归於社稷。	Đánh thắng thu được đất đai thì lợi quy về ấp Đào, đất nước tổn hại thì chư hầu gánh chịu; đánh thua sẽ kết oán với trăm họ, còn hậu họa thì xã tắc phải chịu.
诗曰‘木实繁者披其枝， 披其枝者伤其心；大其都者危其国，尊其臣者卑其主’。	[Kinh] Thi viết: 'Cây bị gãy cành do trĩu quả, cành gãy mất rồi gốc tổn thương. Mở rộng kinh đô, xã tắc nguy, đề cao bề tôi, hạ thấp chúa.'
崔杼、 淖齿管齐， 射王股，擢 王筋， 县之於庙梁，宿昔而死。	Thôi Trữ, Náo Xỉ nắm quyền nước Tề, bắn vào đùi vua, rút gân của vua, treo vua lên tường miếu, qua đêm thì vua chết.
李兑管赵，囚主父於沙丘， 百日而饿死。	Lý Đoài nắm quyền ở Triệu, bỏ tù Chủ Phụ ở Sa Khưu, trăm ngày sau chết đói.
