袁盎者，楚人也，字丝。	Viên Áng Viên Áng, người nước Sở, tự là Ty.
南方卑湿，君能日饮，毋何，时说王曰毋反而 已。	Phương nam trũng ẩm, chú có thể ngày ngày uống rượu, không gây phiền phức, luôn thuyết phục Ngô vương đừng làm phản thôi.
如此幸得脱。”	Như thế may thoát được họa.” Áng theo lời Chủng, được Ngô vương rất hậu đãi.
盎用种之计，吴王厚遇盎。盎告归，道逢丞相申屠嘉，下车拜谒，丞相从车上谢袁盎。	Viên Áng cáo từ trở về, trên đường gặp Thừa tướng Thân Đồ Gia, xuống xe bái yết, Thừa tướng từ trên xe đáp tạ Viên Áng.
袁盎 还，愧其吏，乃之丞相舍上谒，求见丞相。	Viên Áng về, xấu hổ với thuộc lại, bèn đến phủ Thừa tướng đưa danh thiếp, cầu kiến Thừa tướng.
丞相良久而见之。	Thừa tướng hồi lâu mới gặp.
盎因跪 曰：“原请间。”丞相曰：“使君所言公事，之曹与长史掾议，吾且 奏之；即私邪，吾不受私语。”袁盎即跪说曰：“君为丞相，自度孰 与陈平、绛侯？”丞相曰：“吾不如。”袁盎曰：“善，君即自谓不 如。	Áng nhân đó quỳ nói: “Xin được gặp riêng ngài.” Thừa tướng nói: “Nếu ông nói việc công, xin đến chỗ Tào quan và Trưởng lại bàn nghị, tôi sẽ tấu việc tâu lên; nếu nói việc riêng, tôi không nghe những lời riêng tư.” Viên Áng liền quỳ hỏi: “Ngài làm Thừa tướng, tự xét so với Trần Bình, Giáng hầu thì thế nào?” Thừa tưởng đáp: “Ta không bằng.” Viên Áng nói: “Phải, ngài tự cho không bằng họ.
夫陈平、绛侯辅翼高帝，定天下，为将相，而诛诸吕，存刘氏； 君乃为材官蹶张，迁为队率，积功至淮阳守，非有奇计攻城野战之 功。	Xét Trần Bình, Giáng hầu phò tá Cao đế, bình định thiên hạ, làm tướng võ tướng văn, rồi giết họ Lã, bảo tồn họ Lưu; ngài từng làm Tài quan cung thủ, được thăng đội trưởng, tích dần công lao làm đến Quận thú Hoài Dương, không phải có công vạch kế lạ đánh thành, giao chiến bên ngoài.
且陛下从代来，每朝，郎官上书疏，未尝不止辇受其言，言不可 用置之，言可受采之，未尝不称善。	Vả bệ hạ từ đất Đại về, mỗi khi thiết triều, quan lang dâng sớ, chưa từng không dừng xe nghe lời tấu trình, lời nào không thể dùng sẽ để đó, lời nào có thể tiếp thu liền chọn dùng, chưa từng không khen phải.
何也？	Tại sao vậy?
则欲以致天下贤士大夫。	Vì muốn vời hiền sĩ đại phu trong thiên hạ đến.
上日闻所不闻，明所不知，日益圣智；君今自闭钳天下之口而日益 愚。	Hằng ngày Hoàng thượng nghe điều chưa được nghe, minh xét những điều chưa tỏ, ngày càng thêm thánh trí; nay ngài tự bịt miệng thiên hạ mà ngày càng ngu tối.
夫以圣主责愚相，君受祸不久矣。”丞相乃再拜曰：“嘉鄙野 人，乃不知，将军幸教。”	Xét thánh chúa trách Thừa tướng ngu tối, không lâu nữa ngài sẽ gặp họa thôi.” Thừa tướng bèn vái hai vái nói: “Gia này quê mùa bỉ lậu nên không biết, may được tướng quân dạy bảo.” Bèn đưa vào ngồi cùng, tôn làm thượng khách.
引入与坐，为上客。盎素不好晁错，晁错所居坐，盎去；盎坐，错亦去：两人未尝同 堂语。	Áng vốn không ưa Triều Thố, Triều Thố ngồi ở đâu, Áng liền đi; Áng ngồi ở đâu, Thố cũng tránh: hai người chưa từng nói chuyện cùng một chỗ.
及孝文帝崩，孝景帝即位，晁错为御史大夫，使吏案袁盎受吴 王财物，抵罪，诏赦以为庶人。	Đến khi Hiếu Văn đế băng, Hiếu Cảnh để lên ngôi, Triều Thố làm Ngự sử đại phu, sai thuộc lại tra án Viên Áng nhận của cải từ Ngô vương, xử theo luật, chiếu ban xá tội cho làm dân thường.
吴楚反，闻，晁错谓丞史曰： “夫袁盎多受吴王金钱，专为蔽匿，言不反。	Ngô, Sở làm phản, nghe tin, Triều Thố bảo quan Thừa sử rằng: “Xét lẽ, Viên Áng nhận nhiều tiền vàng của Ngô vương, vì thế che giấu cho, nói không làm phản.
今果反，欲请治盎宜知计谋。”丞史曰：“事未发，治之有绝。	Nay quả làm phản, tôi muốn xin trị tội Áng biết việc mưu phản mà không báo.” Thừa sử nói: “Việc chưa lộ ra, trị ông ta sẽ dứt lòng mưu phản.
今 兵西乡，治之何益！	Nay quân phản nghịch đã sang phía tây, trị tội có ích gì!
且袁盎不宜有谋。”晁错犹与未决。	Vả lại Viên Áng không có mưu gian.” Triều Thố do dự chưa quyết.
人有告袁盎者，袁盎恐，夜见窦婴，为言 吴所以反者，原至上前口对状。	Có người bảo lại với Viên Áng, Viên Áng sợ, đương đêm đến gặp Đậu Anh, nói nguyên nhân Sở vương làm phản, xin đến trước mặt Hoàng thượng để đối chất.
窦婴入言上，上乃召袁盎入见。	Đậu Anh vào nói với Hoàng thượng, Hoàng thượng bèn triệu Viên Áng vào gặp.
晁错 在前，及盎请辟人赐间，错去，固恨甚。	Triều Thố đứng phía trước, đến khi Áng xin đuổi người ra tấu riêng, Thố đi ra, vô cùng tức giận.
袁盎具言吴所以反状，以错 故，独急斩错以谢吴，吴兵乃可罢。	Viên Áng nói lý do Ngô vương làm phản là vì Triều Thố, chỉ có cách chém ngay Thố để tạ lỗi với Ngô vương, quân Ngô mới bãi binh.
其语具在吴事中。	Những lời ấy chép trong phần “Ngô sự” [Ngô vương Tỵ liệt truyện].
使袁盎为太 常，窦婴为大将军。	Sai Viên Áng làm Thái thường, Đậu Anh làm đại tướng quân.
两人素相与善。	Hai người vốn thân giao.
逮吴反。诸陵长者长安中贤大夫 争附两人，车随者日数百乘。	Khi Ngô vương làm phản, các trưởng giả ở huyện phụ cận cùng các đại phu hiền năng ở Trường An đều tranh quy phụ hai người, xe ngựa đi theo mỗi ngày đến mấy trăm cỗ.
及晁错已诛，袁盎以太常使吴。	Khi Triều Thố đã bị giết, Viên Áng lấy thân phận Thái thường đi sứ Ngô.
吴王欲使将，不肯。	Ngô vương muốn Áng làm tướng quân, Áng không chịu.
欲杀之，使 一都尉以五百人围守盎军中。	Muốn giết Áng, sai một viên Đô úy đem năm mươi người vây chặt quân doanh Áng.
袁盎自其为吴相时，有从史尝盗爱盎侍 兒，盎知之，弗泄，遇之如故。	Viên Áng khi làm Tướng quốc nước Ngô, có viên lại đi theo trộm yêu con hầu của Áng, Áng biết việc đó, không tiết lộ, vẫn đối đãi như trước.
人有告从 史，言“君知尔与侍者通”，乃亡归。	Có người báo với viên lại kia: “Tướng quốc biết việc ông tư thông với cô hầu rồi”, y bèn trốn về.
袁盎驱自追之，遂以侍者赐 之，复为从史。	Viên Áng đích thân đánh xe đuổi theo, đem người hầu gái kia tặng cho, vẫn cho làm tòng lại.
及袁盎使吴见守，从史適为守盎校尉司马，乃悉以其 装赍置二石醇醪，会天寒，士卒饥渴，饮酒醉，西南陬卒皆卧，司马 夜引袁盎起，曰：“君可以去矣，吴王期旦日斩君。”盎弗信， 曰：“公何为者？”司马曰：“臣故为从史盗君侍兒者。”盎乃惊谢 曰；“公幸有亲，吾不足以累公。”司 马曰：“君弟去，臣亦且亡，辟吾亲， 君何 患！”	Đến khi Viên Áng đi sứ nước Ngô bị vây giữ, viên tòng lại chính là Hiệu úy tư mã vây giữ Áng, liền đem hết hành trang của cải đổi lấy hai thạch rượu ngon, đúng hôm trời lạnh, sĩ tốt đói khát, uống rượu say, lính ở góc tây nam đều ngủ, đương đêm Tư mã dựng Viên Áng dậy, nói: “Ngài có thể đi được rồi, Ngô vương định sáng mai chém ngài đấy.” Áng không tin, hỏi: “Ông là ai?” Tư mã đáp: “Tôi trước là viên tòng lại trộm hầu gái của ngài đó.” Áng bấy giờ kinh ngạc cảm tạ rằng: “Ông may mắn còn song thân, ta không đáng để liên lụy đến ông.” Tư mã nói: “Ngài cứ đi đi, tôi cũng sẽ trốn, đem cha mẹ theo, ngài không phải lo!” Rồi dùng dao rạch trướng, mở đường từ trong đám quân say rượu đi thẳng ra ngoài.
乃以刀决张，道 从醉卒隧出。司马与分背，袁盎 解节毛怀之，杖，步行七八里，明， 见梁骑，骑驰去， 遂归报。	Tư mã cùng Viên Áng chia đường đi, Viên Áng tháo cờ tiết ôm vào lòng, chống gậy, đi bộ bảy tám dặm, trời sáng, thấy kỵ mã nước Lương, bèn cưỡi ngựa ra đi, rồi về báo.
吴楚已破，上更以元王子平陆侯礼为楚王，袁盎为楚相。	Ngô, Sở đã bị phá, Hoàng thượng đổi con trai Sở Nguyên vương là Bình Lục hầu Lễ làm Sở vương, Viện Áng làm Tướng quốc nước Sở.
尝上书 有所言，不用。	Từng dâng thư tâu việc, không được dùng.
袁盎病免居家，与闾里浮沈，相随行，斗鸡走狗。	Viên Áng thác bệnh về nhà, nổi chìm cùng người làng, theo đi chọi gà đua chó.
雒 阳剧孟尝过袁盎，盎善待之。	Kịch Mạnh ở Lạc Dương từng qua thăm Viên Áng, Áng đối đãi chu đáo.
安陵富人有谓盎曰：“吾闻剧孟博徒， 将军何自通之？”盎 曰：“剧孟虽博徒，然母死，客送葬车千馀乘，此亦有过人者。	Có phú hộ ở An Lang nói với Áng rằng: “Tôi nghe nói Kịch Mạnh là tay cờ bạc, tướng quân sao qua lại với hắn?” Áng đáp: “Kịch Mạnh tuy cờ bạc, nhưng khi mẹ chết, khách đến tống táng đến hơn nghìn cỗ xe, y cũng có chỗ hơn người.
且缓 急人所有。	Vả người ta ai chẳng có lúc nguy cấp.
夫一旦有急叩门，不以亲为解， 不以存亡为 辞，天下所望者，独季心、剧孟耳。	Xét lẽ, một sớm kia có người nguy cấp đến gõ cửa, không thể giải thích vì song thân còn sống được, không thể chối từ vì chuyện còn mất được, chỗ thiên hạ trông về, chỉ Quý Tâm, Kịch Mạnh thôi.
今公常从数骑， 一旦有缓急，宁足恃乎！”	Nay ông có mấy kỵ mã theo cùng, một ngày nào đó nguy cấp, liệu đủ làm chỗ trông cậy chăng?” Mắng phú hộ ấy, không giao du nữa.
骂富人，弗与 通。诸公闻之，皆多袁盎。	Các vương công nghe vậy, đều rất trọng Viên Áng.
袁盎虽家居，景帝时时使人问筹策。	Viên Áng tuy ở nhà, Cảnh đế vẫn thường sai người đến hỏi han sách lược.
梁王欲求为嗣，袁盎进说， 其後语塞。	Lương vương muốn được kế vị, Viên Áng khuyên can, việc lập Lương vương mới dứt.
梁王以此怨盎，曾使人刺盎。	Lương vương vì thế oán Áng, từng sai người hành thích Áng.
刺者至关中， 问袁盎，诸君誉之皆不容口。	Người đi hành thích đến Quan Trung, hỏi Viên Áng, mọi người đều ca tụng.
乃见袁盎曰：“臣受梁王金来刺君，君 长者，不忍刺君。	Bèn đến gặp Viên Áng, nói: “Tôi nhận vàng của Lương vương đến hành thích ngài, ngài là bậc trưởng giả, không nỡ hành thích ngài.
然後刺君者十馀曹，备 之！”袁盎心不乐，家又多怪，乃之棓生 所问占。	Sau đây còn có hơn chục người đến giết ngài, hãy phòng bị!” Viên Áng trong lòng không vui, nhà cũng có nhiều việc kỳ quái, bèn đến xem bói chỗ Bồi Sinh.
还，梁刺客後曹辈果遮刺杀盎安陵郭门 外。	Trở về, bọn thích khách Lương vương phái đến sau quả nhiên chặn đường đâm chết Viên Áng ở ngoài cổng thành An Lăng.
晁错 者，颍川人也。	Triều Thố Triều Thố, người Dĩnh Xuyên.
学申商刑名於轵张恢先所， 与雒 阳宋孟及刘礼同师。	Học thuyết hình danh của Thân Bất Hại và Thương Ưởng từ Trương Khôi Tiên người đất Chỉ, chung thầy với Tống Mạnh và Lưu Lễ ở Lạc Dương.
以文学为太常掌故。	Triều Thố nhờ tài văn chương học vấn nên được làm Thái thường.
错为人穞直刻深。	Thố là người nóng tính, cương trực nhưng khắc nghiệt.
孝 文帝时，天下无治尚书者，独闻济南伏生故秦博士，治尚书，年九十 馀，老不可徵，乃诏太常使人往受之。	Thời Hiếu Văn đế, thiên hạ không ai nghiên cứu Thượng thư, chỉ nghe có viên Bác sĩ nhà Tần trước đây là Phục Sinh ở Tế Nam, chuyên nghiên cứu Thượng thư, đã hơn chín mươi tuổi, già nên không triệu đến, bèn hạ chiếu cho Thái thường sai người đến đó học.
太常遣错受尚书伏生所。	Thái thường sai Thố đi học Thượng thư ở chỗ Phục Sinh.
还，因上便宜事，以书称说。	Trở về, nhân tâu Hoàng thượng những việc tiện lợi, dùng Thượng thư dẫn dụ.
诏以为太 子舍人、门大夫、家令。	Hạ chiếu cho làm các chức Thái tử xá nhân, Môn đại phu, Gia lệnh.
以其辩得幸太子，太子家号曰“智囊”。	Do có tài biện bác được Thái tử sủng ái, người nhà Thái tử gọi là “túi khôn”.
数上书孝 文时，言削诸侯事，及法令可更定者。	Thời Hiếu Văn đế, Thố nhiều lần dâng thư, nói việc tước bỏ quyền lực chư hầu, đến việc thay đổi pháp lệnh.
书数十上，孝文不听，然奇其 材，迁为中大夫。	Thứ dâng mấy chục lần, Hiếu Văn đế không nghe, nhưng cho là kỳ tài, thăng làm Trung đại phu.
当是时，太子善错计策，袁盎诸大功臣多不好错。	Bấy giờ, Thái tử cho kế sách của Thố hay, Viên Áng và các đại công thần phần nhiều không ưa Thố.
景帝即位，以错为内史。	Cảnh đế lên ngôi, lấy Thố làm Nội sử.
错常数请间言事，辄听，宠幸倾九卿， 法令多所更定。	Thố từng nhiều lần xin gặp riêng tâu việc, vua đều nghe theo, được sủng ái hơn cả cửu khanh, nhiều pháp lệnh chế định lại.
丞相申屠嘉心弗 便，力未有以伤。	Thừa tướng Thân Đồ Gia trong lòng bất mãn, sức không đủ làm phương hại đến Thố.
内史府居太上庙壖中，门东出，不便，错乃穿两门 南出，凿庙壖垣。	Phủ Nội sử ở phía trong miếu Thái thượng, cửa ra phía đông, không tiện, Thố bèn trổ hai cổng ra hướng nam, đục tường vây của miếu Thái thượng.
丞相嘉闻，大怒，欲因此过为奏 请诛错。	Thừa tướng Gia nghe chuyện, cả giận, muốn nhân lỗi ấy tâu xin chém Thổ.
错闻之，即夜请间，具为上言之。	Thố nghe tin, đương đêm xin gặp riêng, nói rõ mọi việc cho hoàng thượng.
丞相奏事，因言错擅凿庙 垣为门，请下廷尉诛。	Thừa tướng tâu việc, nhân nói việc Thố đục tường vây miếu Thái thượng làm cổng, xin giao Đình úy xử chém.
上曰：“此非庙垣，乃壖中垣，不致於 法。”	Hoàng thượng nói: “Đó không phải tường vây của miếu, mà là tường bao khu đất trống, không phải phạm pháp.” Thừa tướng xin tạ tội.
丞相谢。罢朝，怒谓长史曰：“吾当先斩以闻，乃先请，为兒 所卖，固误。”丞相遂发病死。	Bãi chầu, Thừa tướng giận nói với Trưởng sử: “Ta nên chém trước tâu sau, nay lại tâu trước, nên bị thằng nhãi kia bán đứng, thực là sai lầm.” Thừa tướng phát bệnh rồi chết.
错以此愈贵。	Thố nhờ thế càng thêm tôn quý.
迁为御史大夫，请诸侯之罪过，削其地， 收其枝郡。	Được thăng làm Ngự sử đại phu, xin tấu tội lỗi của chư hầu, tước đất phong, thu các quận lân cận của họ.
奏上，上令公卿列侯宗室集议，莫敢难，独窦婴争 之，由此与错有卻。	Tâu lên Hoàng thượng, Hoàng thượng lệnh các công khanh, liệt hầu, tông thất tập hợp để thương nghị, không ai dám làm khó, riêng Đậu Anh tranh luận, từ đấy sinh hiềm khích với Thố.
错所更令三十章，诸侯皆諠譁疾晁错。	Thố thay đổi ba mươi chương luật lệnh, chư hầu đều nhao nhao ghét Triều Thố.
错父闻 之，从颍川来，谓错曰：“上初即位，公为政用事，侵削诸侯，别疏 人骨肉，人口议多怨公者，何也？”晁 错曰：“固也。	Cha Thố biết việc đó, từ Dĩnh Xuyên đến, bảo Thố rằng: “Hoàng thượng mới lên ngôi, ngươi nắm quyền chính sự, xâm đoạt chư hầu, chia rẽ cốt nhục người ta, ai nấy đều bàn nghị, phần lớn oán ngươi, tại sao vậy?” Triều Thố đáp: “Vốn phải thế.
不如此，天子不尊，宗庙不安。”错父曰：“刘氏安 矣，而晁氏危矣，吾去公归矣！”遂饮药死，曰：“吾不忍见祸及吾 身。”	Nếu không thế, thiên tử không được tôn quý, tông miếu không được yên ổn.” Cha Thố nói: “Họ Lưu đã yên, còn họ Thố sẽ gặp nguy, ta bỏ mày mà về thôi!” Bèn uống thuốc độc chết, nói: “Ta không nỡ nhìn họa đến thân ta.” Chết được hơn chục hôm, Ngô, Sở bảy nước quả nhiên làm phản, viện cớ giết Thố.
死十馀日，吴楚七国果反，以诛错为名。及窦婴、袁盎进说， 上令晁错衣朝衣斩东市。	Đến khi Đậu Anh, Viện Áng tâu lên, Hoàng thượng sai Triều Thố mặc triều phục rồi đem chém ở chợ đông.
