淮阴侯韩信者，淮阴人也。	Hoài Âm hầu Hàn Tín, người Hoài Âm.
今楚彊以威王此三 人，秦民莫爱也。	Nay Sở mạnh dùng oai phong vương cho ba người, dân Tần không ai yêu họ.
大王之入武关，秋豪无所害， 除秦苛法，与秦民约，法三章 耳，秦民无不欲得大王王秦者。	Đại vương vào Vũ Quan, tơ hào không phạm, trừ pháp luật hà khắc của Tần, ước định cùng dân Tần, pháp luật có ba chương, dân Tần không ai không muốn được đại vương làm vua Tần.
於诸侯之约，大王当王关中，关中民 咸知之。	Theo ước hẹn với chư hầu, đại vương đáng làm vua ở Quan Trung, dân Quan Trung đều biết việc ấy.
大王失职入汉中，秦民无不恨者。	Đại vương mất chức phải vào Hán Trung, dân Tần không ai không tiếc.
今大王举而东，三秦可传 檄而定也。”於是汉王大喜，自以为得信晚。	Nay đại vương cất quân sang đông, Tam Tần có thể truyền hịch mà bình định được.” Thế là Hán vương cả mừng, tự cho gặp Tín quá muộn.
遂听信计，部署诸将所 击。	Bèn theo kế của Tín, bố trí các tướng chuẩn bị đánh.
八月，汉王举兵东出陈仓，定三 秦。	Tháng Tám, Hán vương cất quân từ Trần Thương sang đông, bình định Tam Tần.
汉二年，出关，收魏、河南，韩、殷王皆降。	Hán vương năm thứ hai, ra cửa Hàm Cốc, thu đất Ngụy và Hà Nam, Hàn và Ân vương đều hàng.
合 齐、赵共击楚。	Hợp quân cùng Tề và Triệu đánh Sở.
四月，至彭城，汉兵败散而还。	Tháng Tư, đến Bành Thành, quân Hán thua, tan chạy.
信复收兵与汉王会荥 阳，复击破楚京、索之间，以故楚兵卒不能西。	Tín thu lại quân, cùng Hán vương hội quân ở Huỳnh Dương, lại đánh phá đất vùng Kinh và Sách của Sở, vì thế quân Sở không thể tiến sang tây.
汉之败卻彭城，塞王欣、翟王翳亡汉降 楚，齐、赵亦反汉与楚和。	Hán vương thua ở Bình Thành, Tái vương là Hân, Địch vương là Ế bỏ Hán hàng Sở, Tề và Triệu cũng phản Hán hòa với Sở.
六月，魏王豹谒归视亲疾，至国，即绝河 关反汉，与楚约和。	Tháng Sáu, Ngụy vương là Báo xin về thăm cha mẹ ốm, đến nước, liền phong tỏa cửa sông Hoàng Hà rồi phản Hán, nghị hòa với Sở.
汉王使郦生说豹，不下。	Hán vương sai Lịch sinh thuyết phục Báo, không được.
其 八月，以信为左丞相，击魏。	Tháng Tám, phong Tín làm Tả thừa tướng, đánh Ngụy.
魏王盛兵蒲坂，塞临晋， 信乃益为疑兵， 陈船欲度临晋， 而伏兵从夏阳以木罂鲊渡军， 袭安邑。	Ngụy vương đem nhiều quân đến Bồ Bản, chặn Lâm Hán, Tín bèn làm kế nghi binh, bày thuyền như muốn sang Lâm Tấn, còn phục binh từ Hạ Dương dùng thùng gỗ đưa quân sang sông, đánh úp An Ấp.
魏王豹惊，引兵 迎信，信遂虏豹， 定魏为河东郡。	Ngụy vương là Báo kinh sợ, dẫn quân nghênh địch với Tín, Tín bắt sống Báo, bình định đất Ngụy, lập thành quận Hà Đông.
汉王遣 张耳与信俱，引兵东，北击赵、代。	Hán vương sai Trương Nhĩ và Tín, cùng dẫn quân sang đông, lên bắc đánh Triệu, Đại.
後九月，破代兵，禽夏说阏与。	Sau tháng Chín, phá được quân Đại, bắt được Hạ Duyệt ở Ất Dự.
信之下魏破代，汉辄使人收其精兵， 诣荥阳以距楚。	Tín hạ được Ngụy, phá được Đại, Hán liền sai người thu lấy tinh binh, kéo đến Huỳnh Dương để cự với Sở.
信与张耳以兵数万，欲东下井陉击赵。	Tín cùng Trương Nhĩ đem mấy vạn quân, muốn sang đông xuống Tỉnh Hình đánh Triệu.
赵 王、成安君陈馀闻汉且袭之也，聚兵井陉口， 号称二十万。	Triệu vương và Thành An quân Trần Dư nghe tin Hán sắp đánh úp, tập trung quân ở cửa khẩu Tỉnh Hình, phao lên có hai mươi vạn quân.
广武君李左车说成安君曰：“闻 汉将韩信涉西河，虏魏王，禽夏说，新喋血 阏 与，今乃辅以张耳，议欲下赵，此乘胜而去国远斗，其锋不可当。	Quảng Vũ quân là Lý Tả Xa nói với Thành An quân rằng: “Nghe tướng Hán là Hàn Tín vượt Tây Hà, bắt sống Ngụy vương, tóm được Tây Duyệt, huyết chiến ở Át Dự, nay có Trương Nhĩ phụ giúp, bàn muốn hạ Triệu, đó là thừa thắng rời nước đi đánh xa, tiên phong của họ không cự nổi.
臣 闻千里餽粮，士有饥色，樵苏後爨， 师不宿饱。	Tôi nghe nói vận lương ngàn dặm, quân sĩ có vẻ đói khát, bẻ củi nấu cơm, ăn không đủ no.
今井陉之道，车不得方轨，骑不得成列，行 数百里，其势粮食必在其後。	Nay đường Tỉnh Hình, xe không thể đi sóng đôi, kỵ mã không thể dàn hàng, đi xa mấy trăm dặm, tình thế đó lương thực ắt ở sau.
原足下假臣奇兵三万人，从间道绝其辎 重；足下深沟高垒，坚营勿与战。	Xin ngài cho tôi ba vạn kỳ binh, theo đường nhỏ chẹn đường lương; ngài đào hào sâu dựng lũy cao, giữ vững không đánh.
彼前不得斗，退不得还，吾奇兵绝 其後，使野无所掠，不至十日，而两将之头可致於戏下。	Họ trước không đánh được, lui cũng không xong, kỳ binh của tôi chặn sau, khiến không cướp được gì ngoài đồng, chưa đến chục ngày, đầu hai tướng ấy có thể dâng dưới trướng.
原君留意臣 之计。	Xin ngài lưu ý kế của tôi.
否，必为二子所禽矣。”成安君，儒者也，常称义兵不用诈谋 奇计，曰：“吾闻兵法十则围之，倍则战。	Nếu không, ắt bị hai tướng đó bắt sống đấy.” Thành An quân là nhà nho, thường nói nghĩa binh không dùng mưu gian kế lạ, bảo: “Ta đọc binh pháp, quân đông gấp mười thì vây, gấp đôi thì đánh.
今韩信兵号数万，其实不 过数千。能千里而袭我，亦已罢极。	Nay quân Hàn Tín nói phao mấy vạn, kỳ thực chẳng quá mấy nghìn, đi nghìn dặm đánh úp ta, cũng đã sức cùng lực kiệt.
今如此避而不击，後有大者，何 以加之！	Nay tránh không đánh, sau có đại quân, làm sao chống được.
则诸侯谓吾怯，而轻来伐我。”不听广武君策，广武君策不 用。	Như thế chư hầu bảo ta khiếp nhược, rồi coi thường lại đến đánh ta.” Không theo kế của Quảng Vũ quân, kế của Quảng Vũ quân không được dùng.
韩信使人间视，知其不用，还报，则大喜，乃敢引兵遂下。	Hàn Tín sai người thám thính, biết kế không được dùng, về báo, liền cả mừng, mới dám dẫn quân kéo xuống.
未至井陉口三十里，止舍。	Đến cách cửa khẩu Tỉnh Hình ba mươi dặm, dừng lại cắm trại.
夜半传发， 选轻骑二千人，人持一赤帜，从间道萆山 而望赵军， 诫曰：“赵见我走，必空壁逐我，若疾入赵壁，拔赵帜，立汉 赤帜。”令其裨将传飧，曰：“今日破赵会 食！”诸将皆莫信，详应曰：“诺。”谓军吏曰：“赵已先据便地为 壁，且彼未见吾大将旗鼓，未肯击前行，恐吾至阻险而还。”信乃使 万人先行，出，背水陈。	Nửa đêm truyền lệnh xuất phát, chọn lấy hai nghìn quân kỵ, mỗi người cầm một cờ đỏ, theo đường nhỏ lên núi xem xét quân Triệu, dặn rằng: “Triệu thấy ta chạy, ắt đem hết quân đuổi ta, các ngươi mau chóng vào thành, nhổ hết cờ Triệu, dựng cờ đỏ Hán.” Lệnh tỳ tướng cho quân ăn sáng, nói: “Hôm nay phá Triệu sẽ cùng ăn tiệc?” Các tướng đều không tin, vờ đáp: “Vâng.” Nói với tướng sĩ rằng: “Triệu chiếm trước các đất tiện làm doanh lũy, và họ chưa thấy cờ trống đại tướng của ta, chưa chịu ra đánh đội quân đi trước, sợ ta đến thấy hiểm trở sẽ về.” Tín bèn sai một vạn quân đi trước, ra Tỉnh Hình, quay lưng ra sông bày trận.
赵军望见而大笑。	Quân Triệu trông thấy cả cười.
平旦，信建大 将之旗鼓，鼓行出井陉口，赵开壁击之， 大战良久。	Sáng ngày, Tín dựng cờ đại tướng, đánh trống tiến ra cửa Tỉnh Hình, quân Triệu mở thành ra đánh, đại chiến hồi lâu.
於是信、张耳详弃鼓旗，走水上军。	Thế rồi Tín, Trương Nhĩ vờ vứt cờ trống, chạy đến chỗ quân bên sông.
水上军开入之， 复疾战。	Quân bên sông mở cửa cho vào, lại đánh kịch liệt.
赵果空壁争汉鼓旗，逐韩信、张耳。	Triệu quả nhiên bỏ thành không, tranh cướp trống cờ quân Hán, đuổi Hàn Tín và Trương Nhĩ.
韩信、张耳已入水上 军，军皆殊死战，不可败。	Hàn Tín và Trương Nhĩ đã vào cánh quân bên sông, quân đều dốc sức tử chiến, Triệu không sao đánh bại.
信所出奇兵二千骑，共候赵空壁逐利，则 驰入赵壁，皆拔赵旗，立汉赤帜二千。	Hai nghìn kỵ binh Tín sai ra, cùng chờ quân Triệu bỏ thành không vào tranh lợi, lập tức phi ngựa vào thành Triệu, nhổ cờ Triệu, dựng hai nghìn cờ đỏ nhà Hán.
赵军已不胜，不能得信等，欲 还归壁，壁皆汉赤帜，而大惊，以为汉皆已得赵王将矣，兵遂乱，遁 走，赵将虽斩之，不能禁也。	Quân Triệu đánh không thắng, không bắt được bọn Tín, muốn về thành lũy, thấy đều cắm cờ đỏ nhà Hán, liền cả sợ, cho là Hán đã bắt được Triệu vương, rối loạn, chạy trốn, tướng Triệu tuy chém cũng không sao ngăn được.
於是汉兵夹击，大破虏赵军，斩成安君 泜水上，禽赵王 歇。	Thế là quân Hán hai mặt đánh dồn, cả phá bắt sống quân Triệu, chém Thành An quân trên sông Trì Thủy, bắt sống Triệu vương là Yết.
信乃令军中毋杀广武君，有能生得者购千金。	Tín bèn lệnh trong quân không được giết Quảng Vũ quân, ai bắt sống thưởng ngàn vàng.
於是有缚广武君而 致戏下者，信乃解其缚，东乡对，西乡对，师事之。	Thế là có tên lính bắt trói Quảng Vũ quân, mang đến dưới trướng. Tín liền cởi trói, mời ngồi trông về đông, mình ngồi đối diện quay về tây, thờ như thầy.
诸将效首虏， 毕贺，因问信曰：“兵法右倍山陵，前左水 泽，今者将军令臣等反背水陈，曰破赵会食，臣等不服。然竟以胜， 此何术也？”信曰：“此在兵法，顾诸君不察耳。	Các tướng đến dâng thủ cấp và tù binh, chúc mừng xong, nhân hỏi Tín: “Binh pháp nói, phía sau bên phải nên dựa đồi gò, phía trước bên trái nên dựa sông đầm, nay tướng quân lệnh chúng tôi quay lưng ra sông bày trận, nói phá Triệu rồi ăn tiệc, chúng tôi không phục, thế mà lại thắng, ấy là thuật gì vậy?” Tín đáp: “Cái đó có trong binh pháp, các ông không xét kỹ đấy thôi.
兵法不曰‘陷之死 地而後生，置之亡地而後存’？	Binh pháp chẳng viết: 'Hãm vào đất chết sau mới sống, đặt vào chỗ mất sau lại còn' ư?
且信非得素拊循士大夫也，此所 谓‘驱市人而战之’，其势非置之死地，使人人自为战；今予之生 地，皆走，宁尚可得而用之乎！”	Vả Tín không được chỉ huy các tướng sĩ thân quen, đó gọi là 'Lùa người ngoài chợ sai đi đánh trận,' tình thế ấy không thể không đặt vào đất chết, khiến ai nấy tự ra sức chiến đấu được.
诸将皆服曰：“善。	Nay đặt họ vào đất sống, chạy hết, làm sao có thể dùng được?” Các tướng đều phục, nói: “Đúng thế.
非臣所及 也。”於是信问广武君曰：“仆欲北攻燕，东伐齐，何若而有功？”广 武君辞谢曰：“臣闻败军之将，不可以言勇，亡国之大夫，不可以图 存。	Chúng tôi không nghĩ được đến vậy.” Thế rồi Tín hỏi Quảng Vũ quân: “Tôi muốn lên bắc đánh Yên, sang đông đánh Tề, làm thế nào thành công được?” Quảng Vũ quân từ tạ rằng: “Tôi nghe nói, tướng cầm quân thất bại, không thể nói là dũng, đại phu nước đã mất, không thể mưu tồn đất nước.
今臣败亡之虏，何足以权大事乎！”信曰：“仆闻之，百里奚居 虞而虞亡，在秦而秦霸，非愚於虞而智於秦也，用与不用，听与不听 也。	Nay tôi là tù binh nước bại vong, sao đủ để thương thảo đại sự.” Tín nói: “Tôi nghe, Bách Lý Hề ở Ngu mà Ngu bị diệt vong, ở Tần thì Tần xưng bá, không phải ông ta ngu khi ở Ngu, còn trí khi Tần, do được dùng hay không, được nghe hay không mà thôi.
诚令成安君听足下计，若信者亦已为禽矣。	Ví phỏng Thành An quân theo kế của tác hạ, Tín cũng bị bắt rồi.
以不用足下，故信得 侍耳。”因固问曰：“仆委心归计，原足下勿辞。”广武君曰：“臣 闻智者千虑，必有一失；愚者千虑，必有一得。	Do không dùng kế của tác hạ, nên Tín mới được hầu ngài.” Nhân đó cố hỏi: “Tôi dốc lòng theo kế, xin túc hạ đừng từ.” Quảng Vũ quân nói: “Tôi nghe, bậc trí suy nghĩ nghìn điều, ắt có một điều sai; kẻ ngu nghĩ nghìn điều, ắt có một điều đúng.
故曰‘狂夫之言，圣 人择焉’。	Cho nên nói: 'Lời kẻ cuồng phu, thánh nhân còn xét.'
顾恐臣计未必足用，原效愚忠。	Chỉ e kế của tôi chưa chắc được dùng, xin dốc lòng trung của kẻ ngu.
夫成安君有百战百胜之 计，一旦而失之，军败鄗下，身 死泜上。	Thành An quân có kế trăm đánh trăm thắng, một sớm lỡ lầm, quân thua ở đất Hoắc, thân chết ở trên sông Trì Thủy.
今将军涉西河， 虏魏王，禽夏说阏与，一举而下井陉，不终朝破赵二十万 众，诛成安君。	Nay tướng quân vượt sang Tây Hà, bắt sống Ngụy vương, tóm được Hạ Duyệt ở Ất Dự, một phen cất quân hạ gọn Tỉnh Hình, chưa đầy một sớm phá được hai mươi vạn quân Triệu, giết Thành An quân.
名闻海内，威震天下，农夫莫不辍耕释耒，褕衣甘 食， 倾耳以待命者。	Nổi danh bốn bể, uy chấn thiên hạ, nông phu chẳng ai không buông cày bỏ bừa, mặc áo đẹp, ăn đồ ngon, ngửa tai đợi mệnh.
若此，将军之所长也。	Được thế, nhờ sở trường của tướng quân.
然而众劳卒罢，其实难 用。	Nhưng dân mệt lính mỏi, kỳ thực khó dùng.
今将军欲举倦弊之兵，顿之燕坚城之下，欲战恐久力不能拔，情 见势屈，旷日粮竭，而弱燕不服，齐必距境以自彊也。	Nay tướng quân muốn cất quân mỏi mệt, kíp đến dưới thành kiên cố nước Yên, muốn đánh sợ lâu sức không thể hạ, quân tình lộ thế bị động, lâu ngày cạn lương, còn Yên yếu chưa hàng phục, Tề ắt chống giữ biên giới để tự cường.
燕齐相持而不 下，则刘项之权未有所分也。	Yên, Tề cùng chống mà không hạ được, họ Lưu, họ Hạng quyền chưa phân rõ.
若此者，将军所短也。	Nếu vậy, là sở đoản của tướng quân.
臣愚，窃以为亦 过矣。	Tôi ngu muội, trộm cho đó là sai lầm.
故善用兵者不以短击长，而以长击短。”韩信曰：“然则何 由？”广武君对曰：“方今为将军计，莫如案甲休兵，镇赵抚其孤， 百里之内，牛酒日至，以飨士大夫醳兵， 北首燕 路，而後遣辩士奉咫尺之书， 暴其所长於燕，燕必不敢不听从。	Nên người giỏi dùng binh không lấy sở đoản đánh sở trường, mà lấy sở trường đánh sở đoản.” Hàn Tín hỏi: “Vậy phải làm sao?” Quảng Vũ quân đáp: “Nay kế cho tướng quân, chẳng gì bằng cởi giáp cho quân nghỉ, trấn giữ Triệu vỗ về con côi tướng sĩ, trong vòng trăm dặm, hằng ngày dân chúng dắt trâu mang rượu, khao thưởng quân tướng, bắc đóng quân đầu đường sang Yên, sau sai biện sĩ mang thư đến, tỏ rõ sở trường với Yên, Yên ắt không dám không nghe.
燕已 从，使諠言者东告齐，齐必从风而服，虽有智者，亦不知为齐计矣。	Yên đã theo, sai người giỏi nói sang đông báo Tề, Tề ắt nghe hơi gió mà quy phục, dẫu có bậc trí, cũng không biết bày kế gì cho Tề nữa.
如是，则天下事皆可图也。	Như thế, việc thiên hạ đều có thể tính được.
兵固有先声而後实者，此之谓也。”韩信 曰：“善。”从其策，发使使燕，燕从风而靡。	Dùng binh vốn có thuật trước dùng thanh thế, sau mới dùng thực, chính là như vậy.” Hàn Tín nói: “Phải lắm!” Theo kế ấy, sai sứ sang Yên, Yên nghe hơi gió đã quy hàng.
乃遣使报汉，因请立 张耳为赵王，以镇抚其国。	Bèn sai sứ báo với Hán, nhân đó xin lập Trương Nhĩ làm Triệu vương, để trấn giữ Triệu.
汉王许之，乃立张耳为赵王。	Hán vương đồng ý, bèn lập Trương Nhĩ làm Triệu vương.
楚数使奇兵渡河击赵，赵王耳、韩信往来救赵，因行定赵城邑， 发兵诣汉。	Sở nhiều lần sai kỳ binh vượt Hoàng Hà tấn công Triệu, Triệu vương Nhĩ và Hàn Tín đi đi lại lại cứu Triệu, nhân đó hành quân bình định thành ấp Triệu, đưa quân tiếp ứng Hán.
楚方急围汉王於荥阳，汉王南出，之宛、叶间， 得黥布，走入成皋，楚又复急围之。	Sở đang vây kíp Hán vương ở Huỳnh Dương, Hán vương chạy theo hướng nam, đến khoảng đất Uyển đất Diệp, thu phục Kình Bố, chạy vào Thành Cao, Sở lại vây chặt.
六月，汉王出成 皋，东渡河，独与滕公俱，从张耳军脩武。	Tháng Sáu, Hán vương chạy khỏi Thành Cao, theo đông vượt Hoàng Hà, chỉ có mình Đằng Công cùng đi, theo quân Trương Nhĩ đến Tu Vũ.
至，宿传舍。	Đến nơi, nghỉ ở quán trọ.
晨自称汉 使，驰入赵壁。	Sáng sớm, tự xưng sứ giả Hán, chạy vào thành Triệu.
张耳、韩信未起，即其卧内上夺其印符，以麾召诸 将，易置之。	Trương Nhĩ, Hàn Tín chưa dậy, Hán vương lập tức đến chỗ họ nằm đoạt ấn phù, dùng cờ tiết mao triệu các tướng, sắp đặt chức vụ.
信、耳起，乃知汉王来，大惊。	Tín, Nhĩ thức dậy, mới biết Hán vương đến, cả sợ.
汉王夺两人军，即令张 耳备守赵地。拜韩信为相国，收赵兵未发者击齐。	Hán vương đoạt quân của hai người, liền lệnh Trương Nhĩ giữ đất Triệu, phong Hàn Tín làm Tướng quốc, thu quân Triệu chưa phái đi Huỳnh Dương để đánh Tề.
