孔子曰：“六於治一也。	Khổng tử nói: “Lục nghệ xét về trị lý chỉ là một vậy.
若乃州闾之会，男女杂坐，行酒稽留，六博投壶，相 引为曹，握手无罚，目眙不禁， 前有堕珥， 後有遗簪，髡窃乐此，饮可八斗而醉二参。	Còn tụ hội ở làng xóm, trai gái ngồi chung, mời rượu dùng dằng, chơi trò gieo lục bác, ném hồ lô, túm năm tụm ba, nắm tay không phạt, mắt liếc không cấm, phía trước có khuyên tai rơi, sau có chiếc trâm bỏ lại, Khôn trộm lấy làm vui, có thể uống tám đấu, mới đôi ba phần say.
日暮酒阑，合尊促坐，男女同席，履舄交错，杯盘狼藉，堂上烛 灭，主人留髡而送客，罗 襦襟解，微闻芗泽，当此之时，髡心最欢，能饮一石。	Chiều tối rượu tàn, dồn chén ngồi kề, trai gái chung chiếu, giày dép lẫn lộn, chén mâm bừa bộn, trên nhà tắt đuốc, chủ nhân giữ Khôn lại rồi tiễn khách về, cởi bỏ áo là, mùi hương thoang thoảng, lúc ấy trong lòng khôn vui thích nhất, có thể uống một thạch.
故曰酒极则 乱，乐极则悲；万事尽然，言不可极，极之而衰。”	Cho nên nói: 'Rượu quá hóa loạn, vui quá hóa buồn.' Muôn việc thảy đều như thế.
以讽谏焉。	Nói không quá lời, quá lời thì hỏng.” Thuần Vu Khôn dùng những lời ấy để khuyên can.
齐王 曰：“善。”乃罢长夜之饮，以髡为诸侯主客。	Tề vương nói: “Phải.” Bèn thôi những cuộc rượu thâu đêm, giao cho Khôn làm quan phụ trách tiếp đãi chư hầu.
宗 室置酒，髡尝在侧。	Tông thất bày tiệc rượu, Khôn thường hầu ở bên.
其後百馀年，楚有优孟。	Hơn trăm năm sau, nước Sở có Ưu Mạnh.
优孟， 故楚之乐人也。	Ưu Mạnh Ưu Mạnh vốn hành nghề nhạc hát ở Sở.
长八尺，多辩，常以谈笑讽谏。	Cao tám thước, giỏi biện bác, thường dùng lối nói khôi hài để can gián.
楚庄王之时，有所爱马，衣以文绣，置之华屋之下，席以露床，啗以 枣脯。	Thời Sở Trang vương, vua có ngựa yêu, đem gấm vóc mặc cho ngựa, cho nhà hoa lệ, cho nằm giường không nằm, cho ăn quả táo khô.
马病肥死，使群臣丧之，欲以棺椁大夫礼葬之。	Con ngựa bị bệnh béo phì mà chết, sai quần thần làm tang lễ, muốn dùng quan quách mai táng theo lễ dùng với quan đại phu.
左右争之，以 为不可。	Tả hữu can ngăn, cho là không thể.
王下令曰：“有敢以马谏者，罪至死。”优孟闻之，入殿 门。仰天大哭。	Sở Trang vương hạ lệnh rằng: “Ai lấy chuyện ngựa ra khuyên can, sẽ xử tội chết.” Ưu Mạnh nghe chuyện đó, vào cổng điện, ngẩng mặt lên trời khóc lớn.
王惊而问其故。	Sở vương ngạc nhiên hỏi nguyên do.
优孟曰：“马者王之所爱也，以楚国 堂堂之大，何求不得，而以大夫礼葬之，薄，请以人君礼葬之。”王 曰：“何如？”对曰：“臣请以彫玉为棺，文梓为椁，楩枫豫章为题 凑， 发甲卒为穿壙，老弱负土，齐赵陪位於前，韩魏翼卫其後， 庙食太牢，奉以万户之邑。	Ưu Mạnh đáp: “Ngựa là ngựa nhà vua yêu, Sở đường đường là nước lớn, muốn gì chẳng được, thế mà dùng lễ hàng đại phu để táng ngựa, bạc lắm, xin dùng lễ dành cho nhà vua để an táng.” Sở vương hỏi: “Làm thế nào?” Đáp rằng: “Thần đề nghị dùng ngọc chạm trổ làm quan, dùng gỗ tử có vấn làm quách, dùng gỗ tiện, phong, dự, chương lót bên ngoài, huy động giáp sĩ đào huyệt, người già yếu thì vác đất, Tề, Triệu bồi tế phía trước, Hàn, Ngụy hộ vệ phía sau, lập miếu dùng lễ thái lao để tế, phong ấp vạn hộ.
诸侯闻之，皆知大王贱人而贵马 也。”王曰：“寡人之过一至此乎！	Chư hầu hay chuyện, đều biết đại vương coi rẻ người mà quý ngựa vậy.” Sở vương hỏi: “Sai lầm của quả nhân đến mức ấy ư?
为之柰何？”优孟曰：“请为大 王六畜葬之。以垅灶为椁， 铜历为棺，赍以姜枣， 荐 以木兰，祭以粮稻，衣以火光，葬之於人腹肠。”於是王乃使以马属太官，无令天下久闻也。	Làm sao bây giờ?” Ưu Mạnh đáp: “Xin đại vương chôn như các loài lục súc, lấy bếp làm quách, nồi đồng làm quan, thêm gừng táo làm gia vị, gỗ mộc lan để dâng tiến, dùng gạo nếp làm đồ tế, dùng ánh lửa làm áo, táng vào trong bụng ruột người.” Thế là Sở vương bèn sai đem ngựa giao xuống cho Thái quan, không muốn để thiên hạ nói mãi về việc này.
楚相孙叔敖知其贤人也，善待之。	Tướng quốc nước Sở là Tôn Thúc Ngao biết Ưu Mạnh hiền năng, đối đãi rất tốt.
病且死，属其子曰：“我死， 汝必贫困。	Tôn Thúc Ngao bị bệnh sắp chết, dặn con rằng: “Ta chết, mi ắt nghèo khó.
若往见优孟，言我孙叔敖之子也。”居数年，其子穷困负 薪，逢优孟，与言曰：“我，孙叔敖子也。	Nếu vậy hãy đi gặp Ưu Mạnh, nói: 'Tôi là con trai của Tôn Thúc Ngao'.” Được mấy năm, người con của Tôn Thúc Ngao lâm cảnh cùng khốn phải đi vác củi, gặp Ưu Mạnh, liền nói rằng: “Tôi là con trai của Tôn Thúc Ngao.
父且死时，属我贫困往见 优孟。”优孟曰：“若无远有所之。”即为孙叔敖衣冠，抵 掌谈语。	Lúc cha tôi sắp mất, dặn nếu tôi nghèo khốn thì gặp Ưu Mạnh.” Ưu Mạnh nói: “Anh đừng có đi đâu xa.” Liền mặc áo đội mũ giống Tôn Thúc Ngao, mô phỏng lời nói cử chỉ.
岁馀，像孙叔敖，楚王及左右不能别也。	Được hơn một năm, giống hệt Tôn Thúc Ngao, Sở vương cùng tả hữu không thể phân biệt được.
庄王 置酒，优孟前为寿。	Trang vương bày tiệc rượu, Ưu Mạnh bước đến trước chúc thọ.
庄王大惊，以为孙叔敖复生也，欲以为相。	Trang vương hết sức kinh ngạc, cho là Tôn Thúc Ngao sống lại, muốn cho làm Tướng quốc.
优孟 曰：“请归与妇计之，三日而为相。”庄王许之。	Ưu Mạnh nói: “Xin cho thần về bàn tính với vợ, ba ngày sau sẽ làm Tướng quốc.” Trang vương đồng ý.
三日後，优孟复 来。	Ba hôm sau, Ưu Mạnh lại đến.
王曰：“妇言谓何？”孟曰：“妇言慎无为，楚相不足为也。	Sở vương hỏi: “Vợ bảo thế nào?” Mạnh đáp: “Vợ thần bảo cẩn thận đấy, chớ có làm, Tướng quốc nước Sở không đáng để làm đâu.
如 孙叔敖之为楚相，尽忠为廉以治楚，楚王得以霸。	Như Tôn Thúc Ngao làm Tướng quốc nước Sở, cai trị nước Sở tận trung, liêm khiết, Sở vương nhờ đó xưng bá.
今死，其子无立锥 之地，贫困负薪以自饮食。	Nay chết rồi, con ông ta không tấc đất cắm dùi, khốn quẫn phải vác củi tự kiếm ăn.
必如孙叔敖，不如自杀。”因歌曰：“山 居耕田苦，难以得食。	Nếu giống Tôn Thúc Ngao, thà tự sát còn hơn.” Nhân đó hát rằng: “Trong núi cày ruộng khổ, khó được miếng ăn.
起而为吏，身贪鄙者馀财，不顾耻辱。	Dậy mà đi làm quan, thân tham lam bỉ ổi, của cải dư thừa, không đoái nhục nhã.
身死家 室富，又恐受赇枉法，为奸触大罪，身死而家灭。	Thân chết nhà giàu có, lại sợ nhận của đút, bẻ cong pháp luật, làm điều gian dối mắc tội lớn, thân chết nhà bị diệt.
贪吏安可为也！	Làm quan lại tham lam làm gì!
念 为廉吏，奉法守职，竟死不敢为非。	Nghĩ làm quan thanh liêm, phụng theo pháp luật, giữ đúng chức phận, đến chết không dám làm điều phi pháp.
廉吏安可为也！	Làm quan thanh liêm mà làm gì!
楚相孙叔敖持廉 至死，方今妻子穷困负薪而食，不足为也！”於是庄王谢优孟，乃召 孙叔敖子，封之寝丘 四百户，以奉其祀。後十世不绝。	Tướng quốc nước Sở là Tôn Thúc Ngao, thanh liêm cho đến chết, nay vợ con khốn quẫn, phải vác củi kiếm ăn, chẳng đáng để làm đâu!” Thế là Trang vương tạ lỗi với Ưu Mạnh, bèn triệu con trai Tôn Thúc Ngao đến, phong cho bốn trăm hộ ở Tẩm Khưu, để phụng thờ tế tự Tôn Thúc Ngao, mười đời sau còn chưa dứt.
此知可以言时矣。	Trí tuệ như thế có thể nói là hợp thời vậy.
其後二百馀年，秦有优旃。	Hơn hai trăm năm sau, ở nước Tần có Ưu Chiên.
优旃者，秦倡侏儒也。善为笑言，然合於大道，秦始皇时，置酒 而天雨，陛楯者皆沾寒。	Ưu Chiên Ưu Chiên là con hát thấp bé người nước Tần, giỏi nói cười mà đều hợp với đạo lớn. Thời Tần Thủy hoàng, bày tiệc rượu nhưng trời đổ mưa, các viên cầm khiên hầu dưới thềm đều bị lạnh.
优旃见而哀之，谓之曰：“汝欲休乎？”陛 楯者皆曰：“幸甚。”优旃曰：“我即呼汝，汝疾应曰诺。”居有 顷，殿上上寿呼万岁。优旃临槛大呼曰：“陛楯郎！”	Ưu Chiên thấy thì thương, bảo họ rằng: “Các anh có muốn nghỉ không?” Họ đều đáp: “Được thế thật may mắn lắm.” Ưu Chiên nói: “Khi nào ta gọi các anh, các anh phải dạ ngay.” Được một lát, trên điện dâng chén chúc thọ hô vạn tuế, Ưu Chiên đến bên lan can gọi lớn: “Các viên Lang cầm khiên dưới thềm!” Các quan Lang đáp: “Dạ.” Ưu Chiên nói: “Các anh dẫu cao lớn, cũng có ích gì, chỉ may khi đứng dưới mưa thôi.
郎 曰：“诺。”	
优旃曰：“汝虽长，何益，幸雨立。	
我虽短也，幸休 居。”於是始皇使陛楯者得半相代。	Ta dẫu thấp, may lại được nghỉ ngơi.” Thế là Tần Thủy Hoàng sai một nửa đám cầm khiên hầu dưới thềm được nghỉ để thay phiên nhau.
始皇尝议欲大苑囿，东至函谷关，西至雍、陈仓。	Thủy hoàng từng bàn việc mở rộng vườn Thượng uyển, phía đông đến Hàm Cốc quan, phía tây đến đất Ung và Trần Thương.
优旃曰：“善。	Ưu Chiên nói: “Tốt.
多纵禽兽於其中，寇从东方来，令麋鹿 触之足矣。”始皇以故辍止。	Thả nhiều cầm thú vào vườn, giặc cướp từ phía đông sang, sai hươu nai húc chúng cũng đủ rồi.” Thủy hoàng vì thế không mở rộng vườn nữa.
二世立，又欲漆其城。优旃曰：“善。	Nhị Thế lên ngôi, lại muốn quét sơn tường thành, Ưu Chiên nói: “Tốt.
主上虽无言，臣固将请 之。	Chúa thượng tuy không nói, thần cũng vốn định đề nghị như thế.
漆城虽於百姓愁费，然佳哉！	Sơn thành tuy khiến trăm họ sầu khổ tốn phí, nhưng mà đẹp!
漆城荡荡，寇来不能上。	Sơn thành láng bóng, giặc cướp đến không thể trèo lên.
即欲就 之，易为漆耳，顾难为廕室。”於是二世笑之，以其故止。	Nếu muốn làm việc đó, sơn thành thì dễ thôi, mà khó làm được nhà để che cho thành.” Thế là Nhị Thế cười, không sơn tường thành nữa.
居无何， 二世杀死，优旃归汉，数年而卒。	Không lâu sau, Nhị Thế bị giết, Ưu Chiên quy phục nhà Hán, được mấy năm thì chết.
太史公曰：淳于髡仰天大笑，齐威王横行。	Thái sử công bàn rằng: Thuần Vu Khôn ngửa mặt lên trời cả cười mà Tề Uy vương tung hoành thiên hạ.
优孟摇头而歌，负薪 者以封。	Ưu Mạnh lắc lắc đầu hát mà kẻ cõng củi được phong đất.
优旃临槛疾呼，陛楯得以半更。	Ưu Chiên đến bên lan can hô vội mà một nửa đám cầm khiên hầu dưới thềm được nghỉ để thay phiên nhau.
岂不亦伟哉！	Há chẳng phải cùng kỳ vĩ lắm ư!
褚先生曰：臣 幸得以经术为郎，而好读外家传语。	Chử tiên sinh bàn rằng: Tôi may nhờ kinh thuật nên được làm quan Lang, lại thích đọc lời truyền của các nhà khác.
窃不逊让，复作故事滑稽 之语六章，编 之於左。	Trộm không tự lượng sức mình, lại chép sáu chương về những truyện hoạt kê, biên thêm vào đây.
可以览观扬意，以示後世好事者读之，以游心骇耳，以附益 上方太史公之三章。	Để có thể mở rộng kiến văn, đặng khiến những người hiếu sự về sau đọc các truyện này sướng tai thích chí, ngõ hầu phụ sau ba chương trước của Thái sử công.
武帝时有所幸倡郭舍人者，发言陈辞虽不合大道，然令人主和 说。	1. Thời Vũ đế, có con hát được sủng ái là Quách cá nhân, nói năng biện bạch tuy không hợp đạo lớn, nhưng khiến nhà vua vui vẻ.
武帝少时，东武侯母常养帝， 帝壮时，号之曰“大乳母”。	Khi Vũ đế còn nhỏ, từng được mẹ Đông Vũ hầu nuôi nấng, khi Vũ đế trưởng thành, gọi bà là “Đại nhũ mẫu”.
率一月再朝。	Mỗi tháng bà vào chầu hai lần.
朝奏入，有 诏使幸臣马游卿以帛五十匹赐乳母，又奉饮Я飧养乳母。	Khi vào chầu, nhà vua hạ chiếu sai sủng thần là Mã Du Khanh đem năm mươi xấp lụa trắng đưa tặng, lại dâng rượu và đồ ăn phụng dưỡng nhũ mẫu.
乳母上书 曰：“某所有公田，原得假倩之。”帝曰：“乳母欲得之乎？”以赐 乳母。	Nhũ mẫu dâng thư nói: “Chỗ nọ có công điền, xin hãy ban cho đám ruộng ấy.” Vũ đế nói: “Nhũ mẫu muốn có công điền ư?” Rồi tặng ruộng ấy cho.
乳母所言，未尝不听。	Nhũ mẫu nói gì nhà vua cũng chấp nhận.
有诏得令乳母乘车行驰道中。	Có chiếu cho nhũ mẫu được ngồi xe đi trên đường dành cho nhà vua.
当此之 时，公卿大臣皆敬重乳母。	Bấy giờ, các công khanh đại thần đều kính trọng nhũ mẫu.
乳母家子孙奴从者横暴长安中，当道掣顿 人车马，夺人衣服。	Con cháu, đầy tớ, thị tòng nhà nhũ mẫu hoành hành bạo ngược ở Trường An, giữa đường chặn xe ngựa người ta, cướp lột quần áo người ta.
闻於中，不忍致之法。	Việc đến tại nhà vua, nhưng nhà vua không nỡ xử theo pháp luật.
有司请徙乳母家室，处之 於边。	Quan hữu ty đề nghị đưa gia đình nhũ mẫu ra ở biên giới.
奏可。	Lời tâu được chấp thuận.
乳母当入至前，面见辞。乳母先见郭舍人，为下泣。	Nhũ mẫu vào cung gặp Vũ đế từ biệt. Trước khi vào cung, nhũ mẫu gặp rồi khóc lóc với Quách xá nhân.
舍 人曰：“即入见辞去，疾步数还顾。”乳母如其言，谢去，疾步数还 顾。	Xá nhân nói: “Khi vào cung từ biệt, hãy đi nhanh rồi ngoái đầu lại nhiều lần.” Nhũ mẫu làm như lời, tạ từ bước ra, đi nhanh nhưng ngoảnh lại nhiều lần.
郭舍人疾言骂之曰：“咄！老女子！	Quách xá nhân vội mắng: “Chà, cái mụ già!
何不疾行！	Sao không đi nhanh đi!
陛下已壮矣，宁 尚须汝乳而活邪？	Bệ hạ đã lớn rồi, lẽ đâu cần bà cho bú mới sống ư?
尚何还顾！”於是人主怜焉悲之，乃下诏止无徙乳 母，罚谪谮之者。	Còn ngoái nhìn làm gì?” Thế là nhà vua động lòng, bèn hạ chiếu không đầy nhũ mẫu ra biên giới nữa, phạt lưu đày kẻ đã gièm pha.
武帝时，齐人有东方生名朔， 以好古 传书，爱经术，多所博观外家之语。	2. Thời Vũ đế, có Đông Phương Sóc người nước Tề, thích sử truyện sách vở thời cổ, ham kinh thuật, đọc rộng sách vở các nhà.
朔初入长安，至公车上书， 凡用三千奏牍。	Sóc mới đến Trường An, đến chỗ công xa dâng thư, thư dùng đến ba nghìn thẻ.
公车令 两人共持举其书，仅然能胜之。	Công xa sai hai người cùng cầm nâng thư của Sóc, phải như thế mới nâng nổi.
人主从上方读之，止，辄乙其处，读 之二月乃尽。	Hoàng thượng ở cung đọc tấu thư của Sóc, dừng chỗ nào thì đánh dấu lại, đọc hai tháng mới xong.
诏拜以为郎，常在侧侍中。	Hạ chiếu phong làm quan Lang, thường hầu bên cạnh nhà vua.
数召至前谈语，人主未尝不 说也。	Nhiều lần được triệu đến bàn chuyện trước mặt nhà vua, vua không lần nào không vui thích.
时诏赐之食於前。	Bấy giờ, có chiếu ban cho được ăn trước mặt vua.
饭已，尽怀其馀肉持去，衣尽汙。	Ăn xong, Sóc ôm hết thịt thừa mang đi, làm bẩn cả áo.
数赐缣 帛，檐揭而去。	Nhiều lần được ban tặng lụa là, Sóc vác mang đi.
徒用所赐钱帛，取少妇於长安中好女。	Toàn dùng tiền, lụa được ban tặng, để cưới vợ trẻ đẹp ở Trường An.
率取妇一岁所 者即弃去，更取妇。	Cứ lấy vợ được một năm lại bỏ, lấy vợ khác.
所赐钱财尽索之於女子。	Tiền tài được ban tặng phát tán hết cho đàn bà con gái.
人主左右诸郎半呼 之“狂人”。	Các quan Lang cận kề nhà vua phân nửa gọi Sóc là “kẻ cuồng”.
人主闻之，曰：“令朔在事无为是行者，若等安能及之 哉！”朔任其子为郎，又为侍谒者，常持节出使。	Nhà vua nghe chuyện, nói: “Nếu Sóc không làm những việc ấy, các ngươi sao theo kịp gã?” Sóc tiến cử con làm quan Lang, lại được thăng làm Yết giả hầu cận nhà vua, thường cầm cờ tiết đi sứ.
朔行殿中，郎谓之 曰：“人皆以先生为狂。”朔曰：“如朔等，所谓避世於朝廷间者 也。	Sóc đi trong điện, các quan Lang bảo Sóc: “Người ta đều nói tiên sinh là kẻ cuồng.” Sóc đáp: “Như Sóc, được gọi là người trốn đời ở giữa triều đình đấy.
古之人，乃避世於深山中。”时坐席中，酒酣，据地歌曰：“陆 沈於俗，避世金马门。	Người xưa tránh đời thì vào núi sâu.” Có lúc, dự trong đám tiệc, uống rượu ngà ngà, ngồi trên đất hát rằng: “Ẩn mình trong thế tục, tránh đời ở cửa Kim Mã.
宫殿中可以 避世全身，何必深山之中，蒿庐之下。”金马门者，宦署门也，门傍 有铜马，故谓之曰“金马门”。	Trong cung điện có thể lánh đời giữ trọn thân mình, sao cứ nhất thiết phải vào núi sâu, ở dưới mái tranh.” Cửa Kim Mã là cửa dành cho quan lại, cạnh cổng có con ngựa bằng đồng, cho nên gọi là “cửa Kim Mã”.
时会聚宫下博士诸先生与论议，共难之 曰：“苏秦、张仪一当万乘之主， 而都卿相之位，泽及後世。	Bấy giờ triều đình tụ họp các Bác sĩ, tiên sinh trong cung nghị bàn, họ cùng hỏi khó: “Tô Tần, Trương Nghi một lần gặp được vua nước vạn cỗ xe, đều được địa vị khanh tướng, ơn trạch truyền cho đời sau.
今子大夫修先王之术，慕圣人之义，讽诵 诗书百家之言，不可胜数。	Nay ông học theo thuật cai trị của tiên vương, hâm mộ đạo nghĩa của thánh nhân, tụng đọc Thi, Thư cùng học thuyết bách gia, nhiều không kể xiết.
著於竹帛，自以为海内无双，即可谓博闻 辩智矣。	Khắc vào tre, viết lên lụa, tự cho là thiên hạ vô song, có thể gọi là biết rộng, giỏi biện bác.
然悉力尽忠以事圣帝，旷日持久，积数十年，官不过侍郎， 位不过执戟，意者尚有遗行邪？	Tuy dốc sức tận trung phụng sự thánh đế, đến nay đã lâu, qua mấy chục năm, quan chức chẳng qua Thị lang, địa vị chẳng qua cầm kích, xem chừng còn có việc gì thiếu sót chăng?
其故何也？”东方生曰：“是固非子 所能备也。	Nguyên do tại đâu?” Đông Phương Sóc đáp: “Đó vốn không phải điều các ông có thể biết được.
彼一时也，此一时也，岂可同哉！	Xưa là một thời, nay là một thời, há có thể đánh đồng ư?
夫张仪、苏秦之时，周 室大坏，诸侯不朝，力政争权，相禽以兵，并为十二国，未有雌雄， 得士者彊，失士者亡，故说听行通，身处尊位，泽及後世，子孙长 荣。	Xét lẽ, thời Trương Nghi, Tô Tần, nhà Chu cực suy, chư hầu không vào chầu, dùng vũ lực để tranh quyền, đem quân binh để cự nhau, thôn tính còn mười hai nước, chưa phân thắng bại, ai được kẻ sĩ mưu trí thì mạnh, không được kẻ sĩ mưu trí thì mất, cho nên nói được nghe, đi là đến, thân ở địa vị tôn quý, ơn trạch truyền cho đời sau, con cháu mãi được vinh hiển.
今非然也。	Nay không phải thế.
圣帝在上，德流天下，诸侯宾服，威振四夷，连四海 之外以为席，安於覆盂，天下平均，合为一家，动发举事，犹如运之 掌中。	Thánh đế ở trên, đức truyền thiên hạ, chư hầu thần phục vào chầu, oai chấn Tứ di, nối liền ngoài bốn biển như cái chiếu, yên ổn như chậu úp, thiên hạ yên bình, hợp thành một nhà, làm việc gì cũng dễ như trở bàn tay.
贤与不肖，何以异哉？	Người hiền năng và kẻ kém cỏi có khác gì đâu?
方今以天下之大，士民之众，竭精驰 说，并进辐凑者，不可胜数。	Nay thiên hạ rộng lớn, sĩ dân đông đúc, những kẻ dốc hết tinh lực du thuyết, cùng ùn ùn kéo đến, nhiều không kể xiết.
悉力慕义，困於衣食，或失门户。	Hết lòng kính mộ đạo nghĩa, lại bị chuyện cơm áo làm khốn, không tìm được đường tiến thân.
使张 仪、苏秦与仆并生於今之世，曾不能得掌故，安敢望常侍侍郎乎！	Giả sử Trương Nghi, Tô Tần sinh cùng ta vào thời nay, ngay chức Chưởng cố cũng không được, sao dám mong làm đến Thường thị, Thị lang.
传 曰：‘天下无害菑，虽有圣人，无所施其才；上下和同，虽有贤者， 无所立功。’	Truyện viết: 'Thiên hạ không còn mối nguy, dẫu có thánh nhân, cũng chẳng có chỗ thi thố tài năng; trên dưới hòa hợp, dẫu có hiền giả, cũng không có chỗ kiến lập công danh.'
故曰时异则事异。	Cho nên nói thời khác thì việc cũng khác.
虽然，安可以不务修身乎？	Thế nhưng sao có thể không tu thân được?
诗 曰：‘鼓锺于宫，声闻于外。鹤鸣九皋，声闻于天。’。	Kinh Thi viết: 'Chuông trống trong cung, tiếng vang ra ngoài', 'Hạc kêu chằm lớn, tiếng vang trên trời.'
苟能修身， 何患不荣！	Nếu có thể tu thân, lo gì không vinh hiển?
太公躬行仁义七十二年，逢文王，得行其说，封於齐，七 百岁而不绝。	Thái công đích thân thi hành nhân nghĩa đến bảy mươi hai tuổi mới gặp được Văn vương, thuyết của ông được thi hành, được phong ở Tề, bảy trăm năm không dứt.
此士之所以日夜孜孜，修学行道，不敢止也。	Đó là lý do để kẻ sĩ ngày đêm miệt mài, tu dưỡng học vấn, thi hành đạo nghĩa, không dám ngơi nghỉ.
