张仪者，魏人也。	Trương Nghi người nước Ngụy.
惠王以为客卿，与谋伐 诸侯。	Huệ vương phong làm khách khanh, cùng bàn mưu đánh chư hầu.
苏秦之舍人乃辞去。	Môn khách của Tô Tần bèn từ biệt ra đi.
张仪曰：“赖子得显，方且报德，何故去 也？”舍人曰：“臣非知君，知君乃苏君。	Trương Nghi nói: “Nhờ ông, tôi được vinh hiển, đang muốn báo ơn, sao lại đi vậy?” Người đó đáp: “Tôi không biết ngài, biết ngài là Tô quân.
苏君忧秦伐赵败从约，以 为非君莫能得秦柄，故感怒君，使臣阴奉给君资，尽苏君之计谋。	Tô quân lo Tần đánh Triệu, hỏng mất tung ước, cho là không ngại chẳng ai nắm quyền bính ở Tần được, nên chọc giận ngài, sai tôi ngầm chu cấp cho ngài chi dùng, đặng hoàn thành mưu kế của Tô quân.
今 君已用，请归报。”张仪曰：“嗟乎，此在吾术中而不悟，吾不及苏 君明矣！	Nay ngài đã được trọng dụng, tôi xin về báo lại.” Trương Nghi nói: “Ôi chao, trong cái thuật của ta mà không biết, rõ ràng ta không bằng Tô quân rồi!
吾又新用，安能谋赵乎？	Ta mới được dùng, sao có thể âm mưu gì với Triệu?
为吾谢苏君，苏君之时，仪何敢 言。	Nhờ ông tạ ơn Tô quân, Tô quân nắm quyền, Nghi đâu dám nói.
且苏君在，仪宁渠能乎！”张仪既相秦，为文檄 告楚相曰：“始吾从若饮，我 不盗而璧，若笞我。	Vả Tô quân còn, Nghi đâu làm được gì?” Trương Nghi làm Tướng quốc nước Tần, viết tờ hịch kể tội Tướng quốc nước Sở: “Khi trước ta uống rượu cùng ngươi, ta không trộm ngọc mà người đánh ta.
若善守汝国，我顾且盗而城！”苴蜀相攻击， 各来告急於秦。	Ngươi khéo giữ lấy nước, kẻo ta trộm mất thành.” Nước Thư và nước Thục đánh nhau, cả hai đều cấp báo với Tần.
秦惠王欲发兵以伐蜀，以为道险狭难至，而韩 又来侵秦，秦惠王欲先伐韩，後伐蜀，恐不利，欲先伐蜀，恐韩袭秦 之敝。	Tần Huệ vương muốn xuất quân đánh Thục, nhưng cho đường hẹp khó đi, lại sợ Hàn thừa cơ đánh lén; Tần Huệ vương muốn đánh Hàn trước, đánh Thục sau, e bất lợi; muốn đánh Thục trước, sợ Hàn thừa cơ Tần trống trải đến đánh úp, do dự chưa quyết.
犹豫未能决。司马错与张仪争论 於惠王之前，司马错欲伐蜀，张仪曰：“不如伐韩。”	Tư Mã Thác và Trương Nghi tranh luận trước mặt Huệ vương.
王曰：“请闻 其说。”仪曰：“亲魏善楚，下兵三川，塞什谷之口， 当屯留 之道，魏绝南阳， 楚临南郑， 秦攻新城、 宜阳，以临二周之 郊，诛周王之罪，侵楚、魏之地。	Tư Mã Thác muốn đánh Thục, Trương Nghi nói: “Chẳng bằng đánh Hàn.” Huệ vương nói: “Xin được nghe ý ông.” Nghi nói: “Thân với Ngụy, tốt với Sở, đem quân tiến xuống Tam Xuyên, cắt đường vào cửa Thập Cốc, chẹn đường Đồn Lưu, để Ngụy cắt đường Nam Dương, Sở kéo đến Nam Trịnh, Tần đánh Tân Thành và Nghi Dương để kéo đến ngoại vi Đông Chu và Tây Chu, hỏi tội Chu vương, xâm lấn đất của Sở và Ngụy.
周自知不能救，九鼎宝器必出。	Chu tự biết không thể cứu vãn, ắt giao báu vật cửu đỉnh ra.
据 九鼎，案图籍，挟天子以令於天下，天下莫敢不听，此王业也。	Chiếm lấy cửu đỉnh, thu lấy bản đồ, sổ sách, bức thiên tử để ra lệnh cho thiên hạ, thiên hạ ai dám không nghe, đó là nghiệp vương vậy.
今夫 蜀，西僻之国而戎翟之伦也，敝兵劳众不足以成名，得其地不足以为 利。	Nay nước Thục xa tít phía tây, là hạng nhung địch, quân dân vất vả mà chẳng đủ thành danh, được đất của họ cũng không đủ gọi là lợi.
臣闻争名者於朝，争利者於市。	Thần nghe nói tranh danh ở triều, tranh lợi ở chợ.
今三川、周室，天下之朝市也， 而王不争焉，顾争於戎翟，去王业远矣。”司马错曰：“不然。	Nay Tam Xuyên và nhà Chu là triều và chợ của thiên hạ, đại vương không tranh ở chỗ đó, mà tranh giành với nước nhung địch, như thế cách nghiệp vương xa lắm.” Tư Mã Thác nói: “Không phải thế.
臣闻之，欲富国者务广其地，欲彊兵者务富 其民，欲王者务博其德，三资者备而王随之矣。	Thần nghe nói, người muốn nước giàu chuộng việc mở rộng đất đai, người muốn quân mạnh chuộng việc làm giàu cho dân, người muốn vương giả chuộng việc thi ân bố đức. Ba điều đó đủ nghiệp vương cũng thành.
今王地小民贫，故臣 原先从事於易。	Nay đại vương nước nhỏ dân nghèo, nên thần xin làm việc dễ trước.
夫蜀，西僻之国也，而戎翟之长也，有桀纣之乱。	Xét lẽ, Thục là nước xa xôi phía tây, nhưng đứng đầu nhung địch, có loạn Kiệt, Trụ.
以 秦攻之，譬如使豺狼逐群羊。	Đem Tần đánh Thục, ví như lùa đàn sói đuổi bầy dê.
得其地足以广国，取其财足以富民 缮兵，不伤众而彼已服焉。	Được đất của họ đủ để mở rộng nước, chiếm lấy của cải đủ để làm giàu cho dân, mạnh cho quân, không tổn thương dân chúng thì họ thần phục.
拔一国而天下不以为暴，利尽西海 而天下不以为贪， 是我一举而名实附也，而又有禁 暴止乱之名。	Hạ một nước mà thiên hạ không cho là tàn bạo, lợi cả phía tây mà thiên hạ không cho là tham. Nhờ ta cất quân một lần mà được cả danh lẫn thực, còn có tiếng là ngăn bạo dẹp loạn.
今攻韩，劫天子，恶名也，而未必利也，又有不义之 名，而攻天下所不欲，危矣。	Nay đánh nước Hàn, uy hiếp thiên tử, đó là tiếng xấu, chưa chắc đã được lợi, lại mang tiếng bất nghĩa, vả đánh vào chỗ thiên hạ không muốn, nguy thay.
臣请谒其故： 周，天下之宗室也；齐，韩之与国也。	Thần xin trình bày rõ: nhà Chu là tông thất của thiên hạ; Tề là đồng minh với Hàn.
周自知 失九鼎，韩自知亡三川，将二国 并力合谋，以因乎齐、赵而求解乎楚、魏，以鼎与楚，以地与魏，王 弗能止也。	Chu tự biết mình mất cửu đỉnh, Hàn tự biết mình mất Tam Xuyên, tất hợp sức hai nước để mưu tính, dựa vào Tề và Triệu rồi cầu cứu Sở và Ngụy, đem đỉnh giao cho Sở, lấy đất giao cho Ngụy, đại vương sao ngăn được.
此臣之所谓危也。	Cho nên thần nói là nguy vậy.
不如伐蜀完。”惠王曰：“善，寡人请听子。”	Chẳng bằng đánh Thục vẹn toàn.” Huệ vương nói: “Phải, quả nhân xin nghe ông.” Rốt cuộc dấy binh đánh Thục.
卒起兵伐蜀，十月，取之， 遂定蜀， 贬蜀王更号为侯，而使陈庄相蜀。	Tháng Mười, chiếm được, bèn vỗ yên Thục, giáng Thục vương xuống tước hầu, rồi sai Trần Trang làm Tướng quốc nước Thục.
蜀既属秦，秦以益彊，富 厚，轻诸侯。	Thục đã thuộc Tần, Tần càng thêm mạnh, thêm giàu, càng khinh chư hầu.
秦惠王十年，使公子华与张仪围蒲 阳，降之。	Tần Huệ vương năm thứ mười, sai công tử Hoa cùng Trương Nghi bao vây Bồ Dương, buộc đầu hàng.
仪因言 秦复与魏，而使公子繇质於魏。	Nghi nhân đó nói Tần trả đất ấy cho Ngụy, rồi phái công tử Diêu đi làm con tin Ngụy.
仪因说魏王曰：“秦王之遇魏甚厚， 魏不可以无礼。”魏因入上郡、少梁，谢秦惠王。	Nghi nhân đó nói với Ngụy vương: “Tần vương đãi ngộ Ngụy thật trọng hậu, Ngụy không thể nào không có lễ đáp.” Ngụy bèn đem Thượng Quận, Thiếu Lương nhập [vào Tần] để tạ ơn Tần Huệ vương.
惠王乃以张仪为 相，更名少梁曰夏阳。	Huệ vương bèn phong Trương Nghi làm Tướng quốc, đổi tên Thiếu Lương thành Hạ Dương.
仪相秦四岁，立惠王为王。	Nghi làm Tướng quốc nước Tần bốn năm, ủng hộ Huệ vương xưng vương.
居一岁，为秦将，取陕。筑上郡塞。	Được một năm, làm võ tướng nước Tần, chiếm lấy đất Thiểm, dựng lũy ở Thượng Quận.
其後二年，使与齐、楚之相会齧桑。	Hai năm sau, phái Trương Nghi đến Khiết Tang lập minh ước với các tướng Tề, Ngụy.
东还而免相，相魏以为秦， 欲令魏先事秦而诸侯效之。	Từ phía đông trở về, thôi chức Tướng quốc, vì Tần sang làm Tướng quốc nước Ngụy, muốn lệnh cho Ngụy phụng thờ Tần trước để chư hầu noi theo.
魏王不肯听仪。	Ngụy vương không theo lời Nghi.
秦王怒，伐取魏之曲沃、 平周，复阴厚张仪益甚。	Tần vương giận, đánh chiếm Khúc Ốc và Bình Chu của Ngụy, lại ngầm hậu đãi Trương Nghi rất nhiều.
张仪惭，无以归报。	Trương Nghi thẹn, không có gì báo đáp.
留魏四岁而魏襄王卒， 哀王立。	Lưu lại nước Ngụy, bốn năm nữa thì Ngụy Tương vương chết, Ai vương lên thay.
张仪复说哀王，哀王不听。	Trương Nghi lại thuyết Ai vương, Ai vương không nghe.
於是张仪阴令秦伐魏。	Thế là Trương Nghi ngầm bảo Tần đánh Ngụy.
魏与秦 战，败。	Ngụy đánh với Tần, thua trận.
明年，齐又来败魏於观津。	Năm sau, Tề lại đánh bại Ngụy ở Quan Tân.
秦复欲攻魏，先败韩申 差军，斩首八万，诸侯震恐。	Tần lại muốn đánh Ngụy, trước đánh bại quân Hàn do Thân Sai chỉ huy, chém được tám vạn thủ cấp, chư hầu khiếp sợ.
而张仪复说魏王曰：“魏地方不至千 里，卒不过三十万。	Trương Nghi lại thuyết Ngụy vương: “Nước Ngụy đất vuông không đến nghìn dặm, lính không đến ba mươi vạn.
地四平，诸侯四通辐凑，无名山大川之限。	Bốn phía bằng phẳng, chư hầu khắp nơi đi xe đến được, không bị núi cao sông sâu ngăn trở.
从郑 至梁二百馀里，车驰人走，不待力而至。	Từ Trịnh đến Đại Lương chỉ hơn hai trăm dặm, xe ngựa hay người đi bộ, không tốn sức đã tới nơi.
梁南与楚境，西与韩境，北 与赵境，东与齐境，卒戍四方，守亭鄣者不下十万。	Phía nam Đại Lương là biên giới nước Sở, tây là biên giới nước Hàn, bắc là biên giới nước Triệu, đông là biên giới nước Tề, sĩ tốt trấn giữ bốn phía biên giới không dưới mười vạn.
梁之地势，固战 场也。	Địa thế Đại Lương, thực là chiến trường vậy.
梁南与楚而不与齐，则齐攻其东；东与齐而不与赵，则赵攻其 北；不合於韩，则韩攻其西；不亲於楚，则楚攻其南：此所谓四分五 裂之道也。	Phía nam Đại Lương giao hảo với Sở chứ không giao hảo Tề, vậy Tề tấn công phía đông; đông giao hảo Tề mà không giao hảo Triệu, vậy Triệu tiến đánh phía bắc; không hợp với Hàn, Hàn đánh phía tây; không thân với Sở, Sở đánh phía nam. Đó là con đường chia năm xẻ bảy vậy.
“且夫诸侯之为从者，将以安社稷尊主彊兵显名也。	Vả việc hợp tung của chư hầu, là để yên xã tắc, tôn quân chủ, mạnh quân binh, nổi thanh danh vậy.
今从者一天 下，约为昆弟，刑白马以盟洹水之上，以相坚也。	Nay, người theo hợp tung hợp nhất thiên hạ, giao ước thành anh em, giết ngựa trắng để ăn thề trên Hoàn Thủy, cùng nhau giữ vững.
而亲 昆弟同父母，尚有争钱财，而欲恃诈伪反覆苏秦之馀谋，其不可成亦 明矣。	Nhưng thân như anh em ruột có khi còn tranh tiền của, lừa gạt lẫn nhau, huống chi chút mưu thừa của Tô Tần, rõ ràng không thể thành công được.
“大王不事秦，秦下兵攻河外， 据卷、衍、、酸枣， 劫卫取阳晋， 则赵不南，赵不南而梁不北，梁不北则从道绝，从道绝则 大王之国欲毋危不可得也。	Xét lẽ, đại vương không thờ Tần, Tần sẽ kéo quân xuống đánh Hà Ngoại, chiếm đất Quyển, Diễn, Yên, Toan Táo; uy hiếp Vệ chiếm Dương Tấn, thì Triệu không thể xuống phía nam, Triệu không thể xuống phía nam còn Lương không thể lên phía bắc, Lương không thể lên phía bắc thì đường hợp tung bị cắt đứt, đường hợp tung bị cắt đứt mà đại vương muốn nước mình không nguy cũng không thể được.
秦折韩而攻梁， 韩怯於秦，秦韩为一，梁之亡可立而须也。	Tần dọa được Hàn sẽ tấn công Lương, Hàn sợ Tần, Tần và Hàn là một, Lương diệt vong có thể đứng mà trông trong phút chốc.
此臣 之所为大王患也。	Vì thế thần lo thay cho đại vương vậy.
“为大王计，莫如事秦。	Kế sách cho đại vương, chẳng gì bằng thờ Tần.
事秦则楚、韩必不敢动；无楚、韩之 患，则大王高枕而卧，国必无忧矣。	Thờ Tần thì Sở và Hàn ắt không dám khinh động, không còn mối lo Sở và Hàn, đại vương có thể kê cao gối ngủ, nước ắt không phải lo nữa.
“且夫秦之所欲弱者莫如楚，而能弱楚者莫如梁。	Vả nước mà Tần muốn làm suy yếu không nước nào bằng Sở, có thể làm Sở suy yếu chẳng nước nào bằng Lương.
楚虽有富大之 名而实空虚；其卒虽多，然而轻走易北，不能坚战。	Sở tuy có tiếng rộng giàu nhưng thực chất trống không, binh lính tuy nhiều nhưng lâm trận hay bỏ chạy, không bền gan chiến đấu.
悉梁之兵南面而 伐楚，胜之必矣。	Đem hết quân Đại Lương xuống phía nam đánh Sở, chắc chắn sẽ thắng.
割楚而益梁，亏楚而適秦，嫁祸安国，此善事也。	Cắt đất Sở mà thêm vào Lương, khiến Sở yếu thì Tần thích chí, chuyển hóa thành an, là việc tốt vậy.
大王不听臣，秦下甲士而东伐，虽欲事秦，不可得矣。	Đại vương không nghe thần, Tần đem giáp sĩ sang đông chinh phạt, [lúc ấy] dù muốn thờ Tần, cũng không được nữa.
“且夫从人多奋辞而少可信，说一诸侯而成封侯，是故天下之游 谈士莫不日夜搤腕瞋目切齿以言从之便，以说人主。	Lại như người theo hợp tung, phần nhiều nói mạnh nhưng không đáng tin, thuyết được một chư hầu liền phong hầu, nên đám du thuyết trong thiên hạ chẳng ai không ngày đêm khoa chân múa tay, nghiến răng trợn mắt nói về tiện ích của hợp tung, để thuyết các ông vua.
人主贤其辩而牵 其说，岂得无眩哉。	Các ông vua cho lời biện bác của họ hay rồi bị dắt theo thuyết đó, bảo sao không bị mê hoặc.
“臣闻之，积羽沈舟，群轻折轴，众口铄金，积毁销骨，故原大 王审定计议，且赐骸骨辟魏。”哀王於是乃倍从约而因仪请成於秦。	Thần nghe nói, chứa nhiều lông, thuyền sẽ chìm, chất nhiều vật nhẹ, trục xe sẽ gãy, miệng nhiều người khiến vàng tan, tích lời xấu làm xương cốt tiêu tan. Nên xin đại vương thẩm xét kế sách, ban cho hài cốt này được lánh xa nước Ngụy.” Thế rồi Ai vương phản bội tung ước, thông qua Trương Nghi kết thân với Tần.
张仪归，复相秦。	Trương Nghi về Tần, lại làm Tướng quốc.
三岁而魏 复背秦为从。	Ba năm sau, Ngụy phản bội Tần để theo hợp tung.
秦攻魏，取曲沃。	Tần liền đánh Ngụy, chiếm được Khúc Ốc.
明年，魏复事秦。	Năm sau, Ngụy lại thờ Tần.
秦欲伐齐，齐楚从亲，於是张仪往相楚。	Tần muốn đánh Tề, Tề và Sở hợp tung, thế là Trương Nghi sang làm Tướng quốc nước Sở.
楚怀王闻张仪来，虚上 舍而自馆之。曰：“此僻陋之国，子何以教之？”仪说楚王曰：“大 王诚能听臣，闭关绝约於齐，臣请献商於之地六百里， 使秦女得为大王 箕帚之妾，秦楚娶妇嫁女，长为兄弟之国。	Sở Hoài vương nghe tin Trương Nghi đến, dành riêng một quán thượng hạng, đích thân đón tiếp, nói: “Nơi đây đất nước hẻo lánh, ngài có gì dạy bảo chăng?” Trương Nghi nói với Sở vương: “Nếu đại vương thực lòng nghe theo thần, hãy đóng quan ải tuyệt giao với Tề, thần xin hiến sáu trăm dặm đất Thương và Ư, sai con gái vua Tần làm người hầu quét dọn cho đại vương, Tần và Sở lấy vợ gả con, mãi mãi là nước anh em.
此北弱齐而西益秦也，计 无便此者。”楚王大说而许之。	Như thế phía bắc làm yếu Tề còn phía tây ích lợi cho Tần, không kế nào tiện hơn thế.” Sở vương cả mừng đồng ý.
群臣皆贺，陈轸独吊之。	Quần thần chúc mừng, riêng Trần Chẩn chia buồn.
楚王怒 曰：“寡人不兴师发兵得六百里地，群臣皆贺，子独吊，何也？”	Sở vương giận hỏi: “Quả nhân không dấy binh mà được sáu trăm dặm đất, quần thần đều chúc mừng, riêng người chia buồn, vì sao?” Trần Chẩn đáp rằng: “Không phải vậy.
陈 轸对曰：“不然，以臣观之，商於之地不可得而齐秦合，齐秦合则患 必至矣。”楚王曰：“有说乎？”陈轸对曰：“夫秦之所以重楚者， 以其有齐也。	Theo thần, đất Thương và Ư không thể lấy được, Tề và Tần sẽ hợp sức, Tề và Tần hợp sức thì tai họa kéo đến vậy.” Sở vương hỏi: “Dựa vào đâu dám nói thế?” Trần Chẩn đáp: “Sở dĩ Tần coi trọng Sở, vì có Tề.
今闭关绝约於齐，则楚孤。	Nay đóng cửa ải tuyệt giao với Tề thì Sở cô độc.
秦奚贪夫孤国，而与之商於 之地六百里？	Sao Tần trọng nước cô độc, mà cắt cho sáu trăm dặm đất Thương, Ư được?
张仪至秦，必负王，是北绝齐交，西生患於秦也，而两 国之兵必俱至。	Trương Nghi đến Tần, ắt phản đại vương. Phía bắc tuyệt giao với Tề, phía tây sinh họa với Tần, quân hai nước kia cùng kéo đến.
善为王计者，不若阴合而阳绝於齐，使人随张仪。	Kế hay cho đại vương chẳng gì bằng ngầm hợp tác với Tề nhưng ngoài làm bộ tuyệt giao, sai người theo Trương Nghi.
苟 与吾地，绝齐未晚也；不与吾地，阴合谋计也。”楚王曰：“原陈子 闭口毋复言，以待寡人得地。”乃以相印授张仪，厚赂之。	Nếu cắt đất cho ta, tuyệt giao với Tề cũng chưa muộn; nếu không cắt đất cho ta, thì ta ngầm bàn kế với Tề.” Sở vương nói: “Xin Trần tử ngậm miệng đừng nói nữa, đợi quả nhân được đất đã.” Bèn đem ấn tướng quân trao cho Trương Nghi, lót tay [Trương Nghi] rất hậu.
於是遂闭 关绝约於齐，使一将军随张仪。	Thế rồi đóng cửa ải, tuyệt giao với Tề, sai một tướng quân đi theo Trương Nghi.
张仪至秦，详失绥堕车，不朝三月。	Trương Nghi đến Tần, vờ đứt dây ngã xe ngựa, ba tháng không vào chầu.
楚王闻之， 曰：“仪以寡人绝齐未甚邪？”乃使勇士至宋，借宋之符，北骂齐 王。	Sở vương nghe tin, nói: “Trương Nghi nghĩ quả nhân chưa quyết tuyệt giao với Tề chăng?” Bèn sai dũng sĩ đến Tống, mượn binh phù của Tống, lên phía bắc chửi mắng Tề vương.
齐王大怒，折节而下秦。	Tề vương cả giận, cam hạ mình dựa vào Tần.
秦齐之交合，张仪乃朝，谓楚使者 曰：“臣有奉邑六里，原以献大王左右。”楚使者曰：“臣受令於 王，以商於之地六百里，不闻六里。”还报楚王，楚王大怒，发兵而 攻秦。	Tần và Tề liên kết, Trương Nghi bèn vào chầu, bảo sứ nước Sở rằng: “Thần có sáu dặm đất phong, xin đem dâng cho đại vương ngài.” Sứ nước Sở nói: “Thần theo mệnh vua nhận sáu trăm dặm đất Thương và Ư, chứ không nghe sáu dặm.” Về báo với Sở vương, Sở vương cả giận, phát binh đánh Tần.
陈轸曰：“轸可发口言乎？	Trần Chẩn nói: “Chẩn có thể mở miệng nói chưa?
攻之不如割地反以赂秦，与之并兵 而攻齐，是我出地於秦，取偿於齐也，王国尚可存。”楚王不听，卒 发兵而使将军屈匄击秦。	Đánh, chẳng bằng làm ngược, cắt đất cho Tần, hợp quân với Tần để đánh Tề, thế là ta cắt đất cho Tần mà nhận bồi thường ở Tề vậy, như thế nước của đại vương mới có thể bảo tồn.” Sở vương không nghe, rốt cuộc phát binh, sai tướng quân Khuất Cái đánh Tần.
秦齐共攻楚，斩首八万，杀屈匄，遂取丹 阳、汉中之地。	Tần và Tề cùng tấn công Sở, chém tám vạn thủ cấp, giết Khuất Cái, chiếm đất Đan Dương, Hán Trung.
楚 又复益发兵而袭秦，至蓝田，大战，楚大败，於是楚割两城以与秦 平。	Sở lại tăng thêm quân đánh úp Tần, kéo đến Lam Điền, đánh nhau to, quân Sở đại bại, thế là Sở cắt hai thành để nghị hòa với Tần.
秦要楚欲得黔中地，欲以武关外 易之。	Tần muốn đem đất phía ngoài Vũ Quan để đổi đất Kiềm Trung của Sở.
楚王曰：“不原易地，原得张仪而献黔中地。”秦王欲遣之， 口弗忍言。	Sở vương nói: “Không muốn đổi đất, muốn có Trương Nghi rồi sẽ dâng đất Kiềm Trung.” Tần vương muốn sai Trương Nghi đi, không đành nói ra.
张仪乃请行。	Trương Nghi bèn xin đi.
惠王曰：“彼楚王怒子之负以商於之地，是 且甘心於子。”张仪曰：“秦彊楚弱，臣善靳尚，尚得事楚夫人郑 袖，袖所言皆从。	Huệ vương nói: “Sở vương kia giận ông phụ ước chuyện đất Thương và Ư, nên phải giết được ông mới cam tâm.” Trương Nghi nói: “Tần mạnh Sở yếu, thần thân với Cận Thượng, Thượng được hầu hạ Sở phu nhân Trịnh Tụ, Tụ nói gì [Sở vương] cũng nghe.
且臣奉王之节使楚，楚何敢加诛。	Vả thần cầm cờ tiết, vâng lệnh đại vương đi sứ nước Sở, Sở sao dám giết.
假令诛臣而为秦 得黔中之地，臣之上原。”遂使楚。	Giả như có giết thần mà Tần được đất Kiềm Trung, đó là ước nguyện của thần.” Bèn đi sứ Sở.
楚怀王至则囚张仪，将杀之。	Trương Nghi vừa đến liền bị Sở Hoài vương bỏ tù, định giết đi.
靳 尚谓郑袖曰：“子亦知子之贱於王乎？”郑袖曰：“何也？”	Cận Thượng nói với Trịnh Tụ: “Phu nhân có biết mình sắp không được đại vương sủng ái chăng?” Trịnh Tụ hỏi: “Sao vậy?” Cận Thượng đáp: “Tần vương yêu quý Trương Nghi, không muốn Trương Nghi đi sứ.
靳尚 曰：“秦王甚爱张仪而不欲出之， 今将以上庸之地六县赂楚，美人聘 楚，以宫中善歌讴者为媵。	Nay sắp đem sáu huyện ở Thượng Dung cho Sở, lấy mỹ nhân dâng cho Sở, lấy người hát hay trong cung đưa sang làm người hầu.
楚王重地尊秦，秦女必贵而夫人斥矣。	Sở vương coi trọng đất đai, đề cao nước Tần, mỹ nhân nước Tần ắt được quý trọng, phu nhân bị gạt ra.
不 若为言而出之。”於是郑袖日夜言怀王曰：“人臣各为其主用。	Chẳng bằng nói với đại vương thả ông ta ra.” Thế là Trịnh Tụ ngày đêm nói với Hoài vương rằng: “Bề tôi ai nấy ra sức vì chủ.
今地 未入秦，秦使张仪来，至重王。	Nay đất chưa cắt cho Tần, Tần sai Trương Nghi đến, là tôn trọng đại vương.
王未有礼而杀张仪，秦必大怒攻楚。	Đại vương chưa tiếp đãi mà đòi giết Trương Nghi, Tần ắt cả giận mà tấn công Sở.
妾请子母俱迁江南，毋为秦所鱼肉也。”怀王後悔，赦张仪，厚礼之 如故。	Mẹ con thiếp xin rời đến Giang Nam, không để bị Tần tàn sát.” Hoài vương sau đó hối hận, bèn thả Trương Nghi, dùng hậu lễ đối đãi như trước.
张仪既出，未去，闻苏秦死， 乃说楚王曰：“秦地半天下，兵敌四国，被险带河，四塞以为固。	Trương Nghi ra tù, chưa đi, nghe tin Tô Tần chết, bèn nói với Sở vương: “Đất Tần bằng nửa thiên hạ, quân mạnh bằng bốn nước xung quanh, có dải Hoàng Hà hiểm trở, bốn phía ải lũy kiên cố.
虎 贲之士百馀万，车千乘，骑万匹，积粟如丘山。	Hơn trăm vạn quân hổ bôn, ngàn cỗ xe, vạn chiến mã, lương thảo chất cao tựa núi.
