李斯者，楚上蔡人也。	Lý Tư người đất Thượng Sài nước Sở.
孝公用商鞅之法，移风易俗，民以殷盛，国以富彊，百姓乐用， 诸侯亲服，获楚、魏之师，举地千里，至今治彊。	Hiếu công dùng sách lược của Thương Ưởng, thay đổi phong tục, khiến dân sung túc, đất nước mạnh giàu, trăm họ vui vẻ khi được trưng dụng, chư hầu thần phục, bắt được tướng Sở và Ngụy, chiếm ngàn dặm đất, đến nay yên trị hùng cường.
惠王用张仪之计， 拔三川之地，西并巴、蜀， 北收上郡，南取 汉中，包九夷，制鄢、郢， 东据成皋之险，割膏腴 之壤，遂散六国之从，使之西面事秦，功施到今。	Huệ vương dùng kế của Trương Nghi, hạ đất Tam Xuyên, tây chiếm đất Ba đất Thục, bắc thu phục Thượng Quận, nam lấy đất Hán Trung, bao quát chín tộc người Di, khống chế đất Yên đất Dĩnh, đồng chiếm Thành Cao hiểm trở, cắt lấy phần đất màu mỡ, phá tan hợp tung sáu nước, khiến họ ngoảnh mặt về tây thờ Tần, công truyền đến nay.
昭王得范睢，废穰 侯，逐华阳，彊公室，杜私门，蚕 食诸侯，使秦成帝业。	Chiêu vương được Phạm Thư, phế truất Nhương hầu, đuổi Hoa Dương, khiến vương thất hùng mạnh, chẹn đường kẻ lạm quyền, chiếm chư hầu như tằm ăn lá dâu, khiến Tần thành đế nghiệp.
此四 君者，皆以客之功。	Bốn vị vua ấy, đều nhờ công của tân khách.
由此观之，客何负於秦哉！	Từ đó mà xét, khách đâu phụ gì Tần!
向使四君卻客而不 内，疏士而不用，是使国无富利之实而秦无彊大之名也。	Ví phỏng bốn vị vua ấy đều cự tuyệt tân khách, không chịu thu nạp, xa lánh kẻ sĩ chẳng dùng họ, là khiến nước không thực sự giàu lợi, Tần cũng không có tiếng là nước lớn mạnh vậy.
今陛下致昆山之玉，有 随、和之宝， 垂明月之珠，服太阿之剑， 乘纤离之马， 建翠凤之旗，树灵鼍之鼓。	Nay bệ hạ chiếm ngọc đẹp Côn Sơn, có ngọc châu Tùy hầu, ngọc bích họ Hòa, rủ châu minh nguyệt, đeo kiếm Thái A, cưỡi ngựa Tiêm ly, dựng cờ Thúy phượng, dựng trống Linh đà.
此数宝者，秦不生一焉，而陛下说之，何也？	Các báu vật ấy, Tần không có thứ nào, nhưng bệ hạ lại thích, tại sao vậy?
必秦国之所生然後可，则是夜光之璧不饰朝廷，犀象之器不为玩好， 郑、卫之女不充後宫，而骏良駃騠 不实 外厩，江南金锡不为用，西蜀丹青不为采。	Nếu phải là thứ sinh ra ở Tần mới được, thì ngọc bích dạ quang không được tô điểm ở triều đình, vật làm bằng sừng tê ngà voi không được thưởng ngoạn, mĩ nữ nước Trịnh, Vệ không được sung vào hậu cung, tuấn mã Quyết đề không được nuôi ngoài chuồng, vàng thiếc Giang Nam không được dùng, màu xanh đỏ của Tây Thục không được chọn.
所以饰後宫充下陈 娱心意说耳目 者，必出於秦然後可，则是宛珠之簪，傅玑之珥， 阿缟之衣，锦绣之饰 不进於前，而随俗雅化 佳冶窈窕赵女 不立於侧也。	Đồ dùng trang sức cho hậu cung, phi tần, đặng thỏa lòng đẹp dạ, êm tai thích mắt, đều phải xuất xứ ở Tần mới được, thì trâm bằng ngọc đất Uyển, khuyên tai Phụ cơ, the lụa Đông A, các đồ điểm tô bằng gấm vóc không được dâng tiến, còn thiếu nữ nước Triệu yểu điệu xinh đẹp theo phong tục trở nên tao nhã không được đứng bên cạnh vậy.
夫击甕叩缶 弹筝搏髀，而歌呼呜呜快耳者，真 秦之声也；郑、卫、桑间、昭、虞、武、象者， 异国之乐也。	Xét lẽ, việc gõ hũ khua vò, đánh đàn tranh, vỗ đùi mà hát hú ô ô thích tai, đúng là thanh âm nước Tần; các loại Trịnh, Vệ, Tang Gian, Chiêu, Ngu, Vũ, Tượng là nhạc của nước khác.
今弃击甕叩缶而就郑卫，退弹筝而取昭 虞，若是者何也？	Nay bỏ việc gõ hũ khua vò mà tìm đến nhạc Trịnh, Vệ, dẹp đàn tranh mà lấy nhạc Chiêu, Ngu, vậy là tại sao?
快意当前，適观而已矣。	Thấy sảng khoái thích ý mà thôi.
今取人则不然。	Nay dùng người lại không như vậy.
不问可 否，不论曲直，非秦者去，为客者逐。	Không xét phải trái, chẳng bàn cong ngay, không phải người Tần liền bỏ, cứ khách là đuổi.
然则是所重者在乎色乐珠玉， 而所轻者在乎人民也。	Vậy coi trọng sắc, nhạc, châu, ngọc, mà coi khinh người dân vậy.
此非所以跨海内制诸侯之术也。	Đó không phải cách vươn lên chế phục chư hầu.
臣闻地广者粟多，国大者人众，兵彊则士勇。	Thần nghe đất rộng sẽ nhiều thóc, nước lớn thì người đông, quân mạnh thì binh dũng.
是以太山不让土 壤，故能成其大；河海不择细流，故能就其深；王者不卻众庶，故能 明其德。	Vì thế, núi Thái Sơn không từ hòn đất nhỏ, mới lớn như vậy; sông bể không từ dòng nước bé, mới sâu đến thế; vương giả không đuổi dân chúng, mới làm sáng được cái đức của mình.
是以地无四方，民无异 国，四时充美，鬼神降福，此五帝、三王之所以无敌也。	Vì thế, đất không chia bốn phương, dân không nề nước khác, bốn mùa tươi đẹp, quỷ thần giáng phúc, là lý do khiến Ngũ đế, Tam vương vô địch vậy.
今乃弃黔首 以资敌国，卻宾客以业诸侯，使天下之士退而不敢西 向，裹足不入秦，此所谓“藉寇兵而赍盗粮”者也。	Nay vứt bỏ dân chúng, giúp thêm nước địch, tống khứ tân khách để chư hầu nên nghiệp lớn, khiến kẻ sĩ trong thiên hạ lui gót, không dám hướng về tây, dừng bước không vào Tấn, đó gọi là 'Trao vũ khí vào tay giặc, cấp lương thảo cho giặc cướp' vậy.
夫物不产於秦，可宝者多；士不产於秦，而原忠者众。	Phàm vật không sản sinh ở Tần, nhưng thực quý hiếm rất nhiều, kẻ sĩ không sinh ra ở Tần, nhưng nguyện trung thành rất đông.
今逐客以 资敌国，损民以益雠，内自虚而外树怨於诸侯，求国无危，不可得 也。秦王乃除逐客之令，复李斯官， 卒用其计谋。	Nay đuổi khách nhằm giúp nước địch, tổn hại dân mình để làm lợi kẻ thù, trong tự làm suy yếu, ngoài kết oán chư hầu, muốn nước không nguy, cũng không thể được.” Tần vương liền bãi lệnh đuổi khách, phục chức cho Lý Tư, lại dùng kế của Tư.
官至廷尉。	[Lý Tư] làm quan đến chức Đình úy.
二十 馀年，竟并天下，尊主为皇帝，以斯为丞相。	Hơn hai mươi năm, [Tần] thôn tính được thiên hạ, tôn chúa làm Hoàng đế, phong Tư làm Thừa tướng.
夷郡县城，销其兵刃， 示不复用。	San phẳng thành quách các quận huyện, nấu chảy đồ binh khí, để tỏ ra không dùng đến nữa.
使秦无尺土之封，不立子弟为王，功臣为诸侯者，使後无 战攻之患。	Khiến Tần không phong một thước đất, không lập con em làm vương, không cho công thần làm chư hầu, là nhằm khiến sau này không phải lo đánh lẫn nhau.
始皇三十四年，置酒咸阳宫，博士仆射周青臣等颂始皇威德。	Tần Thủy hoàng năm thứ ba mươi tư, bày tiệc rượu ở cung Hàm Dương, bọn Bác sĩ bộc xạ Chu Thanh Thần tụng ca uy đức Thủy hoàng.
齐 人淳于越进谏曰：“臣闻之，殷周之王千馀岁，封子弟功臣自为支 辅。	Thuần Vu Việt người Tề tiến lên can rằng: “Thần nghe nói, thời Ân Chu làm vua hơn nghìn năm, phong con em công thần để họ giúp mình.
今陛下有海内，而子弟为匹夫，卒有田常、六卿之患，臣无辅 弼，何以相救哉？	Nay bệ hạ có bốn biển, mà con em là đám thất phu, ví sau này xảy ra họa Điền Thường, Lục khanh, không có bề tôi phụ bật, lấy gì ứng cứu?
事不师古而能长久者，非所闻也。	Việc không theo lối cổ mà được lâu dài là điều chưa từng nghe vậy.
今青臣等又面谀 以重陛下过，非忠臣也。”始皇下其议 丞相。丞相谬其说，绌其辞，乃上书曰：“古者天下散乱，莫能相 一，是以诸侯并作，语皆道古以害今，饰虚言以乱实，人善其所私 学，以非上所建立。	Nay bọn Thanh Thần ra mặt a dua khiến sai lầm của bệ hạ thêm nặng, đó không phải kẻ tôi trung.” Thủy hoàng hạ lệnh cho Thừa tướng bàn nghị, Thừa tướng cho thuyết đó sai lầm, truất bỏ lời [Thuần Vu Việt] nói, rồi dâng thư rằng: “Khi xưa thiên hạ phân tán hỗn loạn, không ai đưa về một mối, cho nên chư hầu cùng nổi lên, lời nói đều theo xưa khiến hại đến nay, điểm chuốt lời suông làm rối sự thực, ai nấy coi sở học riêng mình là hay, để rồi bài bác khuôn phép thánh thượng đặt ra.
今陛下并有天下，别白黑 而定一尊； 而私学乃相与非法教之 制，闻令下，即各以其私学议之，入则心非，出则巷议，非主以为 名，异趣以为高，率群下以造谤。	Nay bệ hạ thâu tóm thiên hạ, phân biệt trắng đen, định ngôi tôn quý; nhưng kẻ học cái riêng cùng bài bác chế độ pháp luật, giáo hóa, nghe lệnh ban xuống đều đem sở học riêng ra bàn nghị, vào thì trong bụng bài bác, ra thì trao đổi ngoài ngõ, chê vua để lấy danh tiếng, làm khác để tỏ mình cao, lôi kéo người dưới để hủy báng.
如此不禁，则主势降乎上，党与成 乎下。	Như thế không cấm đoán thì trên là uy của vua suy giảm, dưới sẽ kết bè kéo đảng.
禁之便。	Cấm là hơn.
臣请诸有文学诗书百家语者，蠲除去之。	Thần đề nghị ai tàng trữ Thi, Thư cùng văn của bách gia, đều bãi bỏ hết.
令到满三十 日弗去，黥为城旦。	Lệnh trong ba mươi ngày mà không bỏ thì xử thích chữ vào mặt đày làm lao dịch đắp thành.
所不去者，医药卜筮种树之书。	Các sách không bỏ là sách về y dược, bói toán, trồng cây.
若有欲学者，以 吏为师。”始皇可其议，收去诗书百家之语以愚百姓，使天下无以古 非今。	Nếu ai muốn học, lấy viên lại làm thầy.” Thủy hoàng chấp nhận kiến nghị, cho thu hủy Thi, Thư cùng sách của bách gia, làm trăm họ ngu tối, khiến thiên hạ không còn lấy việc xưa hủy báng nay.
明法度，定律令，皆以始皇起。	Làm sáng pháp độ, chế định luật lệnh, đều bắt đầu từ Thủy hoàng.
同文书。	Chữ dùng chung một lối.
治离宫别馆，周遍天下。	Xây dựng ly cung, biệt quán khắp thiên hạ.
明年，又巡狩，外攘四夷，斯皆 有力焉。	Năm sau, lại tuần thú, ngoài đánh dẹp Tứ di, đều có Tư góp sức.
斯长男由为三川守，诸男皆尚秦公主，女悉嫁秦诸公子。	Con trai cả của Tư là Do làm Thái thú Tam Xuyên, các con trai đều lấy công chúa nước Tần, con gái thảy được gả cho các công tử nước Tần.
三川守 李由告归咸阳，李斯置酒於家，百官长皆前为寿，门廷车骑以千数。	Thái thú Tam Xuyên Lý Do xin về Hàm Dương. Lý Tư bày tiệc rượu tại nhà, trăm quan đều đến chúc thọ, ngoài cổng ngoài sân xe ngựa hàng ngàn cỗ.
李斯喟然而叹曰：“嗟乎！	Lý Tự bùi ngùi than rằng: “Than ôi!
吾闻之荀卿曰‘物禁大盛’。	Ta nghe thầy Tuân Khanh nói: 'Việc kỵ nhất là quá thịnh.'
夫斯乃上蔡 布衣，闾巷之黔首，上不知其驽下，遂擢至此。	Xét Tư là kẻ áo vải ở Thượng Cái, là kẻ đầu đen nơi xóm ngõ, hoàng thượng không biết ta vốn kém cỏi, cất nhắc lên đến mức này.
当今人臣之位无居臣 上者，可谓富贵极矣。	Ngày nay địa vị bề tôi không còn ai trên, có thể nói giàu sang tột bậc.
物极则衰，吾未知所税驾也！”始皇三十七年十月，行出游会稽，并海上，北抵琅邪。	Vật cực sẽ suy, ta chưa biết kết cục thế nào đâu!” Thủy hoàng năm thứ ba mươi bảy, tháng Mười, xuất du ra núi Cối Kê, men biển lên phía trên, mạn bắc đến tận Lang Da.
丞相斯、中车府令赵高兼行符玺令事，皆从。	Thừa tướng Lý Tư, Trung xa phủ lệnh Triệu Cao cùng giữ ấn tín ngọc tỷ đều được đi theo.
始皇有二十馀子， 长子扶苏以数直谏上，上使监兵上郡， 蒙恬为将。	Thủy hoàng có hơn hai mươi người con, con trưởng Phù Tô vì lời can gián thẳng thắn, bị sai đi giám sát quân ở Thượng Quận, Mông Điềm làm tướng.
少子胡亥爱，请从，上许之。	Con nhỏ Hồ Hợi được yêu quý, xin theo, vua đồng ý.
馀子莫从。	Các con khác không ai theo.
其年七月，始皇帝至沙丘，病甚，令赵高为书 赐公子扶苏曰：“以兵属蒙恬，与丧会咸阳而葬。”书已封，未授使 者，始皇崩。	Tháng Bảy năm ấy, Thủy hoàng đến Sa Khưu, bệnh nặng, sai Triệu Cao viết thư gửi công tử Phù Tô: “Đem quân trao cho Mông Điềm, về chịu tang ở Hàm Dương, lo lễ an táng.” Thư đã dán, chưa trao cho sứ giả thì Thủy hoàng băng hà.
书及玺皆在赵高所，独子胡亥、丞相李斯、赵高及幸宦 者五六人知始皇崩，馀群臣皆莫知也。	Thư cùng ngọc tỷ đều ở chỗ Triệu Cao, chỉ con trai Hồ Hợi, Thừa tướng Lý Tư, Triệu Cao cùng năm sáu sủng thần biết Thủy hoàng đã băng hà, các bề tôi khác không ai hay biết.
李斯以为上在外崩，无真太 子，故祕之。	Lý Tư cho rằng Hoàng thượng băng hà ở ngoài, không có Thái tử thực thụ, cố giấu kín.
置始皇居辒辌车中，百 官奏事上食如故，宦者辄从辒辌车中可诸奏事。	Đặt Thủy hoàng vào trong xe có rèm kín, trăm quan tâu việc và dâng đồ ăn như trước, có viên quan trong xe chuẩn y các lời tâu.
赵高因留所赐扶苏玺书，而谓公子胡亥曰：“上崩，无诏封王诸 子而独赐长子书。	Triệu Cao nhân đó giữ bức thư đóng dấu ngọc tỷ trao cho Phù Tô, rồi bảo công tử Hồ Hợi rằng: “Hoàng thượng băng hà, không có chiếu phong vương cho các con mà ban thư cho riêng con trưởng.
长子至，即立为皇帝，而子无尺寸之地，为之柰 何？”胡亥曰：“固也。	Con trưởng đến, lập tức lên ngôi hoàng đế, còn ngài không có tấc đất nào, phải làm sao đây?” Hồ Hợi đáp: “Vốn dĩ là thế.
吾闻之，明君知臣，明父知子。	Ta nghe nói, vua sáng suốt biết bề tôi, cha sáng suốt hiểu con mình.
父捐命，不 封诸子，何可言者！”赵高曰：“不然。	Cha mất đi, không phong cho các con, biết nói sao được?” Triệu Cao nói: “Không phải.
方今天下之权，存亡在子与 高及丞相耳，原子图之。	Lúc này nắm quyền thiên hạ, còn hay mất ở ngài cùng Cao này và Thừa tướng thôi, xin ngài tính cho.
且夫臣人与见臣於人，制人与见制於人，岂 可同日道哉！”胡亥曰：“废兄而立弟，是不义也；不奉父诏而畏 死，是不孝也；能薄而材譾， 彊因人之 功，是不能也：三者逆德，天下不服，身殆倾危，社稷不血食。”高 曰：“臣闻汤、武杀其主，天下称义焉，不为不忠。	Vả lại khiến người làm bề tôi và bị người coi là bề tôi, khống chế người hay bị người khống chế, há nói là giống nhau sao?” Hồ Hợi đáp: “Phế anh lập em, đó là bất nghĩa; không phụng di chiếu của cha mà sợ chết, đó là bất hiếu; tài hèn sức mạn, gượng dựa công của người khác, đó kém cỏi. Ba việc trái đức, thiên hạ không phục, chuốc nguy đến thân, xã tắc không được thờ tự nữa.” Cao nói: “Thần nghe Thành Thang, Vũ vương giết vua mình, thiên hạ khen là nghĩa, không cho là bất trung.
卫君杀其父，而 卫国载其德，孔子著之，不为不孝。	Vua nước Vệ giết cha mình, Vệ khen là có đức, Khổng tử chép việc đó, không cho là bất hiếu.
夫大行不小谨，盛德不辞让，乡 曲各有宜而百官不同功。	Xét lẽ, làm việc lớn không nệ vào tiểu tiết, đức thịnh không nhường cho ai, làng xóm thảy có lề thói riêng, trăm quan mỗi người một chức phận.
故顾小而忘大，後必有害；狐疑犹豫，後必 有悔。	Cho nên chú ý việc nhỏ mà quên việc lớn, sau ắt tai hại; hồ nghi do dự, sau ắt hối hận.
断而敢行，鬼神避之，後有成功。	Quyết đoán dám làm, quỷ thần phải tránh, sau sẽ thành công.
原子遂之！”	
胡亥喟然叹 曰：“今大行未发，丧礼未终，岂宜以此事干丞相哉！”赵高 曰：“时乎时乎，间不及谋！赢粮跃马，唯恐後时！”胡亥既然高之言，高曰：“不与丞相谋，恐事不能成，臣请为子 与丞相谋之。”高乃谓丞相斯曰：“上崩，赐长子书，与丧会咸阳而 立为嗣。	Xin ngài chấp thuận!” Hồ Hợi ngậm ngùi than rằng: “Nay vua mất chưa phát tang, tang lễ chưa trọn, há đem việc ấy cầu cạnh Tướng quốc?” Triệu Cao đáp: “Thời cơ thời cơ, chốc lát không kịp tính toán, như mang lương phóng ngựa, chỉ e lỡ dịp.” Hồ Hợi nghe theo lời Cao, Cao nói: “Không bàn với Thừa tướng, e việc không thể thành, thần xin vì ngài bàn với Thừa tướng việc ấy.” Cao bèn nói với Thừa tướng Lý Tư rằng: “Hoàng thượng băng hà, ban thư cho con trưởng về chịu tang ở Hàm Dương rồi lập làm người thừa kế.
书未行，今上崩，未有知者也。	Thư chưa gửi, nay hoàng thượng băng, chưa có ai biết.
所赐长子书及符玺皆在胡亥 所，定太子在君侯与高之口耳。	Thư gửi con trưởng cùng ngọc tỷ đều ở chỗ Hồ Hợi, lập Thái tử là ở miệng quân hầu và Cao thôi.
事将何如？”斯曰：“安得亡国之 言！	Việc phải làm thế nào?” Tư đáp: “Sao dám nói lời 'mất nước'!
此非人臣所当议也！”高曰：“君侯自料能孰与蒙恬？	Đó không phải việc bề tôi bàn nghị” Cao nói: “Quân hầu tự xét tài năng ai so được với Mông Điềm?
功高孰与 蒙恬？谋远不失孰与蒙恬？无怨於天下孰与蒙恬？	Công cao ai so được với Mông Điềm, mưu kế sâu xa không bao giờ sai thì ai so được với Mông Điềm, không kết oán với thiên hạ thì ai so bằng Mông Điềm?
长子旧而信之孰与 蒙恬？”斯曰：“此五者皆不及蒙恬，而君责之何深也？”高 曰：“高固内官之厮役也，幸得以刀笔之文进入秦宫，管事二十馀 年，未尝见秦免罢丞相功臣有封及二世者也，卒皆以诛亡。	Con trưởng có thâm giao và tín nhiệm chẳng ai so bằng Mông Điềm?” Tư đáp: “Năm điều ấy đều không bằng Mông Điềm, mà sao ông đòi tôi kỹ thế?” Cao đáp: “Cao vốn là hoạn quan lo việc phục dịch, may nhờ biết chữ nghĩa nên được vào cung nước Tần, coi việc hơn hai mươi năm, chưa từng thấy Thừa tướng là công thần của Tần bị bãi miễn mà lại được phong đến đời thứ hai, đều bị giết cả.
皇帝二十 馀子，皆君之所知。	Hoàng đế có hơn hai mươi người con, ngài đều quen mặt.
长子刚毅而武勇，信人而奋士，即位必用蒙恬为 丞相，君侯终不怀通侯之印归於乡里，明矣。	Con trưởng cương nghị vũ dũng, tin người lại biết khích động kẻ sĩ, lên ngôi ắt dùng Mông Điềm làm Thừa tướng, cuối cùng quân hầu không thể mang ấn Thông hầu về quê hương, rõ là vậy.
高受诏教习胡亥，使学 以法事数年矣，未尝见过失。	Cao nhận chiếu dạy Hồ Hợi, rèn học thứ liên quan đến pháp luật đã nhiều năm, chưa từng thấy mắc lỗi.
慈仁笃厚，轻财重士，辩於心而诎於 口，尽礼敬士，秦之诸子未有及此者，可以为嗣。	Nhân từ đôn hậu, xem thường của cải, coi trọng kẻ sĩ, trong lòng sáng láng, không giỏi nói năng, trọng lễ nghi, kính kẻ sĩ, trong các con Tần vương không ai theo kịp, có thể kế vị.
君计而定之。”斯 曰：“君其反位！	Ngài hãy tính rồi quyết đi.” Tư nói: “Ông trở lại vị trí của mình!
斯奉主之诏，听天之命，何虑之可定也？”高 曰：“安可危也，危可安也。	Tư theo chiếu chỉ nhà vua, nghe theo mệnh trời, có lo gì mà phải quyết định nữa?” Cao đáp: “An có thể thành nguy, nguy có thể thành an.
安危不定，何以贵圣？”斯曰：“斯， 上蔡闾巷布衣也，上幸擢为丞相，封为通侯，子孙皆至尊位重禄者， 故将以存亡安危属臣也。岂可负哉！	An nguy không định trước được, sao coi là cao quý thánh minh?” Tư nói: “Tư này là kẻ áo vải ở xóm làng Thượng Cái, hoàng thượng yêu mến cất nhắc làm Thừa tướng, phong làm Thông hầu, con cháu đều được ngôi vị tôn quý, bổng lộc trọng hậu, cho nên đem sự tồn vong, an nguy giao phó cho, há có thể phụ?
夫忠臣不避死而庶几， 孝子不勤劳而见 危，人臣各守其职而已矣。	Tôi trung không tránh chết mà mong sống, con hiếu không làm quá lao khổ đến nỗi gặp nguy, bề tôi ai nấy giữ chức phận mà thôi.
君其勿复言，将令斯得罪。”高曰：“盖 闻圣人迁徙无常，就变而从时，见末而知本，观指而睹归。	Ông đừng nói nữa, kẻo khiến Tư mắc tội.” Cao nói: “Từng nghe thánh nhân thay đổi vô thường, xử biến theo thời, thấy ngọn biết gốc, nhìn vật rõ kết cục.
物固有 之，安得常法哉！	Sự vật vốn như thế, sao có thể theo phép thường!
方今天下之权命悬於胡亥，高能得志焉。	Nay quyền hành mệnh lệnh của thiên hạ trong tay Hồ Hợi, Cao có thể nhờ đó được đắc chí.
且夫从外 制中谓之惑，从下制上谓之贼。	Vả lại từ ngoài khống chế trong gọi là loạn, từ dưới khống chế trên gọi là giặc.
故秋霜降者草花落，水摇动者万物 作，此必然之效 也。	Nên mùa thu sương xuống, cỏ hoa rơi rụng; nước róc rách chảy, muôn vật trỗi dậy, là lẽ tất nhiên.
君何见之晚？”斯曰：“吾闻晋易太子， 三世不安；齐桓兄弟争位，身死为戮；纣杀 亲戚，不听谏者，国为丘墟，遂危社稷：三 者逆天，宗庙不血食。	Sao ngài thấy muộn thế?” Tư đáp: “Tôi nghe Tấn thay Thái tử, ba đời không yên; anh em Tề Hoàn công tranh ngôi, thân bị giết chết; vua Trụ giết thân thích, không nghe lời khuyên can, đất nước thành gò đống, nguy hại đến xã tắc. Ba trường hợp trái lẽ trời, tông miếu không được tế tự.
斯其犹人哉， 安足为谋！”高曰：“上下合同，可 以长久；中外若一，事无表里。	Tư còn là người, sao lại mưu thế?” Cao nói: “Trên dưới đồng lòng, có thể lâu dài; trong ngoài nhất trí, sự việc thành công.
