暹羅，古赤土國，後分爲二。一曰暹，一曰羅斛。	Khi xưa Xiêm La là nước Xích Thổ, sau chia làm 2 nước, một nước gọi là Xiêm, một nước là La Hộc.
己丑四年，暹王鄭國英遣奔麻〈人名〉以兵送眞臘僞王匿嫩復國。至爐塸，與匿尊戰，不克，遂擄其民以歸。	Năm Kỷ Sửu thứ 4 (1769), vua Xiêm là Trịnh Quốc Anh sai Bôn Ma (tên người) đem binh đưa ngụy vương nước Chân Lạp là Nặc Bôn về phục quốc; đến Lò Gò cùng với Nặc Tôn đánh nhau không được, bèn cướp bóc dân chúng đem về.
辛卯六年，鄭國英以昭翠在河僊，恐為後患，乃發兵攻破河僊。	Năm Tân Mão thứ 6, Trịnh Quốc Anh cho là Chiêu Thúy ở Hà Tiên, sợ làm mối lo về sau, bèn đem binh đánh phá Hà Tiên.
鄚天賜奔鎭江，暹昭科〈官名〉陳聯〈人名〉躡之。會龍湖營留守宋福洽援至，暹兵卽卻，誤入竆江。洽兵追逼之，斬首三百餘級。陳聯棄船引兵回河僊，又爲東口道該隊阮有仁邀擊，暹兵死者過半。	Mạc Thiên Tứ chạy ra Trấn Giang, Chiêu Khoa (tên quan) nước Xiêm là Trần Liên đuổi theo, gặp tên Lưu thủ doanh Long Hồ là Tống Phúc Hiệp đem viện binh.tới, quân Xiêm rút lui, đi lần vào sông Cùng, quân Hiệp đuổi tới gần, chém được hơn 300 thủ cấp.
國英乃留陳聯守河僊，自率兵直趨眞臘，匿尊出奔，國英立匿嫩爲眞臘王。	Trần Liêm bỏ thuyền đem quân về Hà Tiên, tự đem quân thẳng tới Chân Lạp. Nặc Tôn bỏ chạy, Quốc Anh lập Nặc Nộn làm vua Chân Lạp.
於是，暹兵據南榮，有窺藩鎭之意。	Từ đó quân Xiêm giữ thành Nam Vang, có ý muốn dòm dỏ nơi phiên trấn.
壬辰七年，統率阮久潭、參贊陳福成將兵由前江進，宋福洽由後江進。潭以壬瀝〈眞臘官名〉最〈人名〉爲先鋒，攻破暹兵于南榮。國英走河僊，匿嫩走芹渤，匿尊復國。國英至河僊，致書求和于鄚天賜，天賜卻之。國英遂委陳聯守河僊，而自率兵擄天賜子女及昭翠以歸。尋殺昭翠。癸巳八年，上密令天賜遣人如暹，以講和爲名，探其動靜。	Nhâm Thìn thứ 7 (1772), Thống suất là Nguyễn Cửu Đàm và Tham tán là Trần Phúc Thành đem quân do Tiền Giang tiến đến, Tống Phúc Hiệp do Hậu Giang tiến đến, Đàm cho Nhâm Lịch (tên quan Chân Lạp) là Tốt (tên người) làm tiên phong đánh phá quân Xiêm ở Nam Vang, Quốc Anh chạy về Hà Tiên, đưa thư cầu hòa với Mạc Thiên Tứ, Mạc Thiên Tứ khước từ, Quốc Anh bèn ủy cho Trần Liên giữ Hà Tiên, mà tự đem binh đi bắt con trai con gái của Thiên Tứ và Chiêu Thúy đem về, rồi giết Chiêu Thú Năm Quý Tỵ thứ 8, vua mật sai Thiên Tứ cho người sang Xiêm mượn tiếng là giảng hòa để dò xem động tĩnh.
天賜遣舍人鄭秀齎書及禮幣如暹，國英大喜，送回所擄天賜子女，召陳聯還。	Thiên Tứ sai xá nhân là Trịnh Tứ mang thư và lễ vật sang Xiêm. Quốc Anh mừng lắm, đưa trả con trai con gái của Thiên Tứ, rồi triệu Trần Liên về.
丁酉十二年，僞西之亂，尊室春、鄚天賜奔暹求援，暹人厚款留之。	Năm Đinh Dậu thứ 12, có loạn Tây Sơn, Thất Sơn và Mạc Thiên Tứ chạy sang Xiêm cầu viện, người Xiêm khoản đãi hậu và lưu lại.
世祖高皇帝戊戌元年，克復嘉定。六月，遣該奇劉福徵如暹修好，且探問尊室春、鄚天賜等消息。	Thế Tổ Cao Hoàng đế, Mậu Tuất năm đầu, lấy lại Gia Định, tháng 6 sai Cai cơ là Lưu Phúc Trưng sang Xiêm sửa việc hòa hiếu và thăm hỏi tin tức bọn Tôn Thất Xuân, Mạc Thiên Tứ.
庚子又元年六月，復遣該奇參、靜〈二人名〉如暹修好。	Năm Canh Tý, lại là năm đầu Cao Hoàng đế lên ngôi vương (1780), tháng 6, lại sai Cai cơ là Tham và Tĩnh sang Xiêm sửa hòa hiếu.
會暹商船自廣東回，至河僊外洋，為留守昇〈缺姓〉所殺，盡取其貨物。	Gặp thuyền buôn nước Xiêm từ Quảng Đông về đến ngoài khơi Hà Tiên, bị Lưu thủ là Thăng (chép thiếu họ) giết chết và lấy hết cả hóa vật, người Xiêm giận, bèn đem Tham và Tĩnh bỏ ngục.
暹人怒，遂將參、靜繋獄，又有臘人逋翁膠譖於暹，云：「嘉定密書，令尊室春、鄚天賜為內應，謀取望閣。」	Lại có người Lạp là Bộ Ông Giao gièm pha với Xiêm rằng: "Gia Định đưa mật thư sai Tôn Thất Xuân và Mạc Thiên Tứ làm nội ứng, mưu lấy thành Vọng Các", người Xiêm cả nghi, lại bắt tra hỏi.
暹人大疑，又捕鞠問，天賜自死，尊室春與參、靜及天賜眷屬五十三人皆遇害。我國人民居其地者，悉徙于遠邊。	Thiên Tứ tự tử; Tôn Thất Xuân cùng gia quyến của Tham, Tĩnh và Thiên Tứ gồm 53 người cộng lại đều bị giết hại; nhân dân nước ta ở đất Xiêm hết thẩy phải dời ra nơi ngoài ven xa.
辛丑二年十月，暹遣其將質知、芻癡〈二兄弟〉侵高蠻，匿印以事聞。	Năm Tân Sửu thứ 2 (1781), tháng 10 Xiêm sai tướng là Chất Tri, Sô Sy (hai anh em) xâm lấn Cao Man. Nặc Ấn đem việc tâu lên.
壬寅三年正月，命掌奇阮有瑞率兵船與胡文璘援高蠻，師次羅碧。	Năm Nhân Dần thứ 3, tháng giêng, vua sai Chưởng cơ là Nguyễn Hữu Thụy cùng với Hồ Văn Lân đem binh thuyền sang cứu viện nước Cao Man.
會暹主鄭國英得心疾，囚質知、芻癡妻子。質知等怨之。我兵至，乃會眾議。	Quân đóng ở La Bích, gặp Xiêm chúa là Trịnh Quốc Anh bị bệnh đau tim bắt giam vợ con của Chất Tri và Sô Sy, bọn Chất Tri lấy làm oán, quân ta đến, bọn họ bèn hội họp mọi người lại bàn.
芻癡曰：「我主無故囚我妻子，我輩雖出死力，誰其知之。不若與漢人請成，結爲外援。」	Sô Sy nói: Chủ ta vô cớ bắt giam vợ con ta, bọn ta dẫu có cố sức liều chết để đánh thời ai biết, chi bằng cùng người Kinh xin hòa, kết làm ngoại viện.
質知曰：「此言正合我意。」乃遣人詣阮有瑞軍求成，且邀至寨會約。	Chất Tri nói: Lời nói ấy chính hợp lòng ta, bèn sai người đến quân thứ của Nguyễn Hữu Thụy cầu hòa và đón đến trại để hội ước.
有瑞許諾。明日，帶隨數十人，徑入暹寨。	Hữu Thụy nhận lời, ngày hôm sau, Thụy mang theo vài chục người đi vào tận tr của Xiêm.
暹兵相顧駭愕。	Quân của Xiêm nhìn nhau ngơ ngác sợ hãi.
質知、芻癡延待甚厚，且以情告。	Chất Sy, Sô Sy mời vào thết đãi rất hậu và đem hết sự tình kể với Thụy.
酒酣，折矢爲誓。	Khi rượu say bẻ tên để thề.
有瑞因以旗刀劍三寶器贈之而回。	Hữu Thụy nhân lấy cờ, dao, gươm là ba thứ bảo vật đưa tặng rồi về.
會暹古落成賊起，鄭國英遣丕雅寃產出戰。	Gặp khi ấy bọn giặc ở thành Cổ Lạc nước Xiêm nổi dậy, Trịnh Quốc Anh sai Phi Nhã là Oan Sản ra đánh.
賊首黨乃寃產之弟。寃產乃合兵倒戈，反攻望閣城。	Tên đúng đầu bọn giặc là em Oan Sản, Oan Sản bèn phối hợp quân trở giáo đánh lại vào thành Các.
城內人開門納之。	Người trong thành mở cửa đón vào.
鄭國英聞難作，逃于佛寺。寃產執而囚之，馳告質知回國。	Trịnh Quốc Anh nghe tin có biến trốn vào chùa thờ Phật, Oan Sản bắt giam lại, báo ngay cho Chất Tri về nước.
質知得報，以爲旣與有瑞議和，無後顧憂。遂連夜引兵回望閣城。	Chất Tri được tin báo, cho là đã cùng với Hữu Thụy nghị hòa, không còn lo về sau nữa, bèn đi luôn mấy đêm, đem binh về thành Vọng Các.
將至，暗令人殺鄭國英，而嫁禍于寃產，暴揚罪惡，責其作亂，鎖禁別室，尋殺之。	Khi sắp đến, mật sai người giết Trịnh Quốc Anh mà đổ họa cho Oan Sản, kể rõ tội ác, trách về tội làm loạn, xích giam nhà riêng, rồi giết chết.
遂脅眾自立，爲暹羅王，號佛王〈暹俗重佛，以大王爲佛王。〉。封其弟芻癡爲二王、姪摩勒爲三王。我國難民前爲鄭國英流徙者，皆放回望閣城，給銀米養贍之。	Bèn hiếp ức mọi người, tự lập làm vua nước Xiêm La, gọi là Phật vương (tục nước Xiêm trọng đạo Phật, cho Đại vương là Phật vương), phong cho em là Sô Sy làm Nhị vương, cháu họ là Ma Lạc làm Tam vương, nạn dân nước ta trước đây bị Trịnh Quốc Anh bắt dời đi nơi khác, đều cho về thành Vọng Các, cấp bạc và gạo để nuôi đầy đủ.
其秋，遣該奇黎福晪、參謀黎福評等往通好。	Mùa thu năm ấy, vua sai Cai cơ là Lê Phúc Diễn và Tham mưu là Lê Phúc Bình đến thông hiếu.
甲辰五年二月，帝如暹，駐蹕于望閣城，暹人迎勞盡禮，因言昔年與阮有瑞講和，重有約誓，患難相救，今日願爲出力，刻日擧兵。	Giáp Thìn Năm thứ 5 (1784), tháng 2, vua sang Xiêm trú chân ở thành Vọng Các, người Xiêm đón mừng ủy lạo hết lễ, nhân hỏi năm xưa cùng với Nguyễn Hữu Thụy giảng hòa, lại có ước thề hoạn nạn cùng cứu nhau. Ngày nay xin ra sức giúp, hẹn ngày ra quân.
六月，帝自暹將兵還嘉定，暹人遣其姪昭曾、昭霜率水兵二萬、戰船三百艘助之。	Tháng 6, vua nước Xiêm sai cháu là Chiêu Tăng, Chiêu Sương đem 20.000 thủy binh và 300 chiếc thuyền chiến để giúp.
暹兵所至擄掠，又不知地勢險易，爲西賊伏兵所襲，潰走，乘輿遂如暹。	Quân Xiêm đến đâu cướp bóc đến đấy, lại không rõ địa thế chỗ hiểm chỗ dễ, bị phục binh của Tây Sơn đánh úp bị tan vỡ chạy cả. Vua lại sang Xiêm.
丁未八年七月，帝自暹還，暹人自甲辰敗衂之後，口雖大言，而心憚西山如虎。	Năm Đinh Mùi thứ 8, tháng 7, vua từ nước Xiêm trở về, người Xiêm từ sau năm Giáp Thìn bị thua đau, miệng dẫu còn nói khoác, mà trong bụng vẫn sợ Tây Sơn như cọp.
帝神機默運，知彼弗能爲助，縱助，亦無益。	Vua suy xét trong lòng biết họ không thể giúp được, mà nếu có giúp cũng vô ích.
於是決計回鑾，乘夜畱謝書于行在，下船駛出北煵海口。	Bấy giờ quyết kế trở về. Nhân ban đêm để lại tờ thư cảm tạ ở nơi hành tại, rồi xuống thuyền chở ra cưea biển Bắc Nòm.
平明，暹人知之，乘輕舸追之，不及而返。	Đến sáng người Xiêm mới biết, đi thuyền nhẹ đuổi theo nhưng không kịp, rồi về.
戊申九年，克復嘉定。	Năm Mậu Thân thứ 9 (1788), lấy lại Gia Định, vua cùng nghĩ đến tình lân hiếu.
帝重念隣好之情，自是，嘗遣人往送好，以及征戰克捷，輒報知之。	Từ đó thường sai người đưa, cho quà cáp và đem tin thắng trận báo cho biết.
暹人每見我使來，亦奉方物以獻。	Người Xiêm mỗi khi thấy sứ ta đến cũng đem phương vật đưa dâng.
己酉十年，暹人饑，乞糴于我。	Năm Kỷ Dậu thứ 10, người Xiêm bị đói kém, xin đong gạo của ta.
遣𥽀之米八千八百餘方。	sai bán gạo ra hơn 8800 phương.
戊午十九年，暹爲緬甸所攻，遣使乞師于我。	Năm Mậu Ngọ thứ 19, nước Xiêm bị nước Miến Điện đánh, sai sứ xin quân cứu viện của ta.
命右軍阮黃德、掌奇阮文張等率兵船往援。	Vua sai Hữu quân là Nguyễn Hoàng Đức và Chưởng cơ là Nguyễn Văn Trương đem binh thuyền đến cứu viện.
至崑崙洋，暹人已破緬兵，來報捷。乃撤兵還。	Khi đến biển Côn Lôn, người Xiêm đã phá vỡ quân Miến, sang báo tin thắng trận, bèn rút quân về.
嘉隆五年，暹遣使從哀牢甘露道來獻方物。	Năm Gia Long thứ 5 (1806), Xiêm sai sứ theo đường Ai Lao Cam Lộ sang dâng phương vật.
六年二月，暹立其子昭六書爲二王，遣使來獻方物，且告其國三王喪。	Năm thứ 6, tháng 2, nước Xiêm lập người con là Chiêu Lục Thư làm Nhị vương, sai sứ dâng phương vật và báo tang của Tam vương nước ấy.
帝諭羣臣曰：「暹以三王喪告，甚無謂。	Vua dụ quần thần rằng: Nước Xiêm đem tang của Tam vương báo cáo với ta rất là vô vị.
但我與暹好，義不當絕。乃遣使往賜賻之。」	Nhưng ta cùng nước Xiêm giao hiếu, nghĩa không nên đoạn tuyệt, bèn sai sứ sang phúng.
及還，暹人致書陳謝。	Kịp khi về người Xiêm đưa thư tỏ bày tạ ơn.
八年七月，暹佛王質知死〈在位二十八年〉，子二王昭六書襲號，封其弟寃那爲二王。	Tháng 7, Xiêm Phật vương là Chất Tri chết (ở ngôi 28 năm), con là Nhị vương Chiêu Lục Thư nối ngôi, phong cho em là Chiêu Oan Na làm Nhị vương.
異母弟昭緡以不得立，謀作亂。捕獲，殺之。	Người em khác mẹ là Chiêu Mân vì có không được lập mưu làm loạn, bắt được giết đi.
十二月，遣使來告哀。	Tháng 12, sai sứ sang báo tang.
至嘉定，城臣見其書語多張大，以爲受之則長驕，卻之則傷好，密書以聞。	Khi đến thành Gia Định, thành thần thấy lời nói trong thư phần nhiều khoe khoang, cho là nhận thư thì làm thêm sự kiêu ngạo của họ mà khước đi thì lại hư hại đến việc hòa hiếu.
帝曰：「暹人無文，此皆唐人逞筆之過，不足責也。」命送其使來京，厚賜遣還。	Bèn dâng mật sớ tâu lên, vua nói: "Người Xiêm không có văn tự, đó là lỗi của người Trung Quốc sinh sút, không đáng trách" … Sai đưa sứ vào kinh hậu đãi rồi cho về.
尋遣使往賻。	Bèn sai sứ sang phúng.
九年十二月，暹人聞高蠻屋牙高羅歆茫、茶知卞〈二人原受暹封，爲高蠻輔臣。〉爲匿螉禛所殺，乃遣使丕雅隆茫等進兵，駐北尋奔。匿螉禛懼，請兵保護。	Năm thứ 9, tháng 11, người Xiêm nghe tin Ốc Nha ở Cao Man là Cao La Hâm Mang, và Trà Tri Biện (hai người này nguyên chịu nước Xiêm phong làm phụ thần nước Cao Man), bị Nặc Ông Chân giết chết, Xiêm bèn sai Phi Nhã là bọn Long Man tiến quân đóng ở Bắc Tầm Bôn, Nặc Ông Chân sợ, xin quân bảo hộ của ta.
帝乃卽命嘉定城臣經略高蠻，以爲聲援，遺書于暹，責之曰：「高羅歆茫、茶知卞雖暹所封，然彼等心懷不軌，匿螉禛殺之亦不爲過。暹人以此動兵，何名也？	Vua bèn sai thành thần Gia Định đi kinh lược nước Cao Man để cứu viện. Đưa thư cho nước Xiêm trách rằng: Cao La Hâm Mang và Trà Tri Biện. dẫu là nước Xiêm phong cho chúng nhưng bọn chúng có lòng làm bậy, Nặc Ông Chân giết đi không phải là quá, người Xiêm lấy cớ ấy mà động binh là danh nghĩa gì?
我所以遣將保護，初非利其土地，救災恤難，義則然耳。	Nước ta sở dĩ sai tướng bảo hộ, bản tâm không phải lợi về đất cát, vì là cứu giúp tai nạn, nghĩa phải như thế.
其熟思之。」	Nên phải nghĩ kỹ đấy.
暹人得書，潛退兵。	Người Xiêm tiếp được thư rồi ngầm lui binh về.
十年閏二月，暹遣丕雅肥伐等來獻方物，書言匿螉禛擅殺高羅歆茫、茶知卞等罪狀。帝令阮文誠折之曰：「高羅歆茫、茶知卞陰謀背逆，匿螉禛以國君誅之，亦由封疆之臣誅不法之吏，何可見罪。	Năm thứ 10, tháng 2, Xiêm sai bọn Phi Nhã là Phì Phạt sang dâng phương vật và trong thư có nói: Tội trạng của Năc Ông Chân tự tiện giết bọn Cao La Hâm Mang và Trà Tri Biện, vua sai Nguyễn Văn Thành hỏi lại rằng: Cao La Hâm Mang và Trà Tri Biện ngầm mưu bội nghịch; Nặc Ông Chân là quốc quân đem giết đi, cũng như bề tôi ở nơi phong cương giết kẻ lại làm trái phép, sao lại có tội.
况暹國封錫無章，釀成禍釁，豈可專責之匿螉禛乎。」	Huống hồ nước Xiêm phong cho ai không có giấy tờ rõ rệt để gây nên mối họa, há nên chuyên trách về Nặc Ông Chân ư?
使者又請令禛親往其國，會葬前佛王。	Sứ giả lại xin sai Chân thân sang nước Xiêm để hội họp chôn cất Phật vương trước.
帝復令諭之曰：「高蠻有國以來，未有親往慶弔之禮。	Vua lại sai dụ rằng: Nước Cao Man từ khi có nước tới giờ, chưa có lễ nào phải thân đến mừng hay viếng.
如有過失，馳書戒之可也，遣使責之可也，寧可使之輕離其境乎。	Nếu có lỗi lệch thì đưa thư răn bảo là phải, hay sai sứ đến trách là phải, há có thể bảo phải khinh suất bỏ nước mà đi ư?
夫以大字小，是謂順天。若爾國違天而行，則禛之行止非所知也。」	Kể ra, lấy nước lớn mà vỗ nuôi nước nhỏ, là thuận đạo trời, nếu nước người trái đạo trời mà làm, thì việc của Chân làm không thể biết được.
使者辭塞。	Sứ giả không có lời lẽ gì mà đối đáp lại được nữa.
十一年，暹使奉書來，言：「前者匿螉禛兄弟不和，繕甲相攻，負二大國撫字之義。	Năm thứ 11, tháng 9, Xiêm sai sứ đưa thư lại nói: Trước đây anh em Nặc Ông Chân không hòa thuận, đem binh đánh nhau, phụ ơn nghĩa của hai nước lớn có công vỗ nuôi.
暹人因遣親信重臣諭以和意。不謂匿螉禛心懷疑懼，挈眷而去。	Nên người Xiêm sai thân tín trọng thần dụ bảo rằng nên hòa thuận với nhau, không ngờ Nặc Ông Chân trong lòng ngờ sợ, đem gia quyến đi.
暹兵封府庫，修城堡，以待其歸，非敢有他心也。	Quân Xiêm phải niêm phong kho tàng, sửa lại thành bảo để đợi Chề, không dám có bụng gì khác.
今禛內投嘉定，憑仗寵靈，處置機宜，寔惟朝廷所制。	Nay Chân đến ở Gia Định nhờ tựa uy linh, thì công việc xử trí như thế nào, bởi tự triều đình xếp đặt, người Xiêm không dám không theo mệnh.
暹人敢不惟命。」帝令復書答之，約以遣使令送禛歸國。又送暹書示禛，諭之曰：「王歸國，非暹人意也。所以要暹必會，乃朕爲王調度。一片苦衷，欲王與暹不失和氣。	Vua sai phúc thư đáp lại, ước hẹn nước Xiêm phải đưa Chân về nước; lại đưa cả bức thư của nước Xiêm cho Chân xem, và dụ Chân rằng "Việc vương về nước không phải là ý người Xiêm, nhưng sở dĩ yêu cầu người Xiêm phải hội họp, là tấm lòng của trẫm chịu khó vì vương mà thu xếp muốn cho vương cùng với người Xiêm không hòa khí.
儻暹人失信，構起釁，則其曲有，在朕算矣。王毋惑焉。」	Nếu người Xiêm thất tín gây ra hấn khích, thì phải chịu lấy lỗi, trẫm đã tính san rồi, vương không nên nghi hoặc".
。十二年四月，詔嘉定城臣黎文悅、吳仁靜大發舟師，送匿螉禛歸國。暹使丕雅魔阿訶默率暹使部以從。	Năm thứ 12, tháng 4, xuống chiếu cho thành thần Gia Định là Lê Văn Duyệt và Ngô Nhân Tĩnh đem nhiều thuyền quân đưa Nặc Ông Chân về nước; nước Xiêm sai Phi nhã Ma A Kha Nặc đem sứ bộ của Xiêm đi theo.
師至龍澳，暹將等詣轅門，拜詔書。	Quân đến Long Úc, bọn tướng Xiêm tới cửa quân chào lạy chiếu thư.
黎文悅等明號令，禁擄掠，布威信，懷民夷。	Bọn Lê Văn Duyệt định rõ hiệu lệnh, cấm sự cướp bóc, ban bố uy tín, vỗ yên dân Man.
暹人聞之，逡巡震疊，藩民賴得案堵。	Người Xiêm nghe tin rụt rè sợ hãi, dân Phiên nhờ đó được yên ổn.
初，匿螉禛之投我也，暹人憾焉，相與謀曰：「暹羅，一大國也。不能令人，而受令於人，其如國體何。」	Khi Nặc Ông Chân về với ta, người Xiêm căm giận bàn nhau rằng: "Xiêm La là một nước lớn, không mệnh lệnh được cho người mà phải chịu mệnh lệnh ở người, thì đối với quốc thể ra sao?
議欲取北尋奔，以封匿螉原。又恐朝廷見罪，不敢以請。	Bàn nhau muốn lấy Bắc Tầm Bôn để phong cho Nặc Ông Nguyên lại sợ triều đình ta hỏi tội, không dám đệ xin.
聞禛還國，以爲我師遠渉，兵必不多。	Nay nghe Chân về nước, cho là quân ta trèo lội từ xa lại binh tất chẳng được nhiều.
外遣使會納，示以和好；而內修攻戰，欲乘虛襲之。	Nên bề ngoài sai sứ tới hội họp để tỏ hòa hiếu, mà bề trong thì sửa sang việc đánh nhau, muốn nhân khi sơ hở là đánh úp.
及文悅兵至，聲勢震薄，其謀遂寢。然駐兵龍澳，久不還。約歸匿螉原，又不果。	Tới khi quân của Văn Duyệt đến đóng quân ở Long Úc lâu không về, mà ước hẹn đưa Nặc Ông Nguyên về cũng không làm được.
帝乃飛書于暹責之。	Vua bèn sai đưa thư ngay cho Xiêm để trách.
暹人得書，卽退兵北尋奔，而令原爲昆弟言以謝禛。	Người Xiêm nhận được thư tức thì lui binh về Bắc Tầm Bôn mà sai Nguyên làm thư nói về tình anh em để tạ Chân.
十三年六月，暹遣使齎國書、品物來獻，其書意頗不和。	Năm thứ 13, tháng 6, nước Xiêm sai sứ đem quốc thư và phẩm vật sang dâng, ý trong tờ thư có phần không đư̖hòa nhã.
帝諭曰：「言語之間，何足介意。	Vua dụ rằng: Về trong câu nói, sao bõ để ý.
我與先佛王有好，義其父而伐其子，隣國其謂我何。」	Ta cùng Phật vương trước có hòa hiếu với nhau, có nghĩa với người bố mà đánh người con, thì nước lân cận cho ta ra sao?
乃置之。	Bèn bỏ đấy không nói đến.
明命元年八月，暹遣使來獻進香、慶賀二禮。	Minh Mạng năm thứ 1 tháng 8, nước Xiêm sai sứ sang dâng 2 lễ tiến hương và chúc mừng.
使至，河僊鎭臣鄚公榆索國書草不與公文，又多不合以報。嘉定黎文悅疏言：「暹人欲占上風，受之則屈體，卻之則傷好。」	Sứ đến Hà Tiên, trấn thần là Trịnh Công Du đòi bản thảo quốc thư, không chịu đưa ra, công văn lại phần nhiều không hợp cách, đưa báo về Gia Định, Lê Văn Duyệt dâng sớ nói: "Người Xiêm, muốn chiếm thượng, mình nhận thì chịu kém, mà khước đi thì hại đến hòa hiếu".
聖祖仁皇帝以問羣臣。阮德川奏曰：「夷狄無禮，不如卻之，惟有戰耳，無徒受人欺也。」	Thánh Tổ Nhân Hoàng đế đưa hỏi quần thần, Nguyễn Đức Xuyên tâu rằng: Quân di địch không có lễ chi bằng khước từ đi, nếu bất hòa thì chỉ có đánh thôi, không nên để người ta khinh mình.
黎伯品奏曰：「彼若欺我，卻之則可。彼若無心，豈不傷和乎。」	Lê Bá Phẩm tâu rằng: Kẻ kia nếu khinh ta, thì khước đi là phải; nếu họ vô tâm há chẳng hại đến việc hòa hiếu?
帝曰：「伯品可謂長慮卻顧。然我與暹，敵國也，豈可爲其所欺。	Vua nói: "Bá Phẩm có thể cho là người lo xa, tính rộng, nhưng ta cùng nước Xiêm là địch quốc há nên để cho họ khinh?
料文悅老成，必有以辦之。」	Trẫm liệu Văn Duyệt là bậc lão thành, tất có cách để biện luận được.
乃遣中使諭悅便宜而行，無屈國體。	Bèn sai trung sứ dụ cho Duyệt tùy nghi mà làm, không để mất quốc thể.
旣而使至嘉定，出其國書，無異常例。	Rồi sau sứ đến Gia Định, đưa trình quốc thư không khác gì là thưởng.
問：「前不與抄錄何故？」	Duyệt có hỏi: Trước kia không đưa bản sao lục là cớ gì?
曰：「例未諳也，非敢有所執也。」	Đáp: Chưa hiểu lệ, chớ không phải là cố chấp.
悅因以公文不合詰責。	Duyệt nhân lấy việc công văn không hợp cách có trách hỏi lại.
使者言：「佛王長者出於伐稜。所稱金飾器皿，皆佛王所珍玩，故以爲贈。至若齎白金作福事，則從其國俗也。」	Sứ giả nói: Phật vương trưởng giả là do ở lời của Phật Lăng xưng hô ra, còn đồ dùng nạm vàng đều là của Phật vương lấy làm quý báu, nên đem tặng; đến như việc đưa bạc để cầu phúc, là theo phong tục trong nước.
悅曰：「齎金作福，非弔喪禮。使者當納之私囊。贈物不當，畱俟璧還。」仍遺伐稜書，責非禮。	Duyệt nói: Đưa bạc cầu phúc không phải là lễ viếng tang, sứ giả nên nhận lấy, để vào túi riêng; còn tặng vật cũng không nên để lại, đợi sẽ hoàn lại và đưa thư cho Phật Lăng trách là phi lễ".
使者一一聽從，不敢違抝。	Sứ giả nhất nhất nghe theo, không dám trái ý.
二年，暹難船泊于廣義洋分。令鎭臣給錢米遣之。	Năm thứ 2, thuyền bị nạn của nước Xiêm giạt vào phận biển Quảng Ngãi, vua sai trấn thành cấp tiền gạo cho về.
