第十二回。	Hồi thứ mười hai.
伏念小国臣事天朝三百余年，职贡不绝，一旦为他所占，社稷丘墟。	Cúi xin nghĩ lại: Nước nhỏ mọn chúng tôi làm bề tôi của thiên triều đã hơn ba trăm năm, lo giữ chức phận và việc tiến cống không bao giờ ngớt. Nay bỗng chốc bị giặc chiếm đoạt, xã tắc tàn hoang.
人穷则反本，不得不呼天诉之。	"Người ta đến lúc cùng thì quay về gốc", không thể không gọi ông trời mà kêu.
大皇帝下国之君，列宪大人佐天之吏，万望体恤遐荒，兴灭继绝，俾贡臣黎氏得以邀天之福。」	Đức đại hoàng đế cũng tức là vua nước nhỏ mọn chúng tôi, mà các vị quan lớn lại là bậc quan lại giúp việc nhà trời. Muôn trông thương đến kẻ ở nơi biên ải xa xôi, dựng lại nước đã mất, nối lại dòng đã dứt, để cho họ Lê là người bề tôi tiến cống, được đội phúc lớn của trời.
辞极哀切，并将表禀诸道呈览。	Bọn Đản nói rất thảm thiết và đem các tờ biểu, tờ bẩm trình lên.
王分府疑是敌情阴狡，诈称黎氏行价，以觇中国，阳诘之曰：「安南前王物故，事再更秋，使国内有变。	Viên phân phủ họ Vương ngờ rằng quân Tây Sơn giảo quyệt, giả làm sứ thần của họ Lê để dò la tình hình Trung Quốc, bèn vờ hỏi vặn rằng: - Vua trước của nước Nam mất đi đã hai năm nay.
嗣孙当立而不得立，何不即于此年叩关陈情？	Nếu như trong nước có biến, tự tôn đáng lập mà không được lập, sao lại không tới cửa ải bày tỏ sự tình ngay từ năm ấy?
且前有移文吁请，不过叙其移失国印，恳求补给而已。	Vả chăng, trước đây có tiếp được công văn đệ sang, chẳng qua chỉ nói về việc làm mất quốc ấn, xin cấp cho chiếc khác mà thôi.
至于不得立之故，为所逐之由，无一语及。	Còn như duyên cớ tại sao không được lập, nguyên do tại sao bị đuổi đi thì không hề nói tới một lời.
经今二年，嗣孙何所栖寓，敌人如何作为，国人如何向背，情形俱未端的。	Nay việc đã trải qua hai năm, tự tôn nương náu ở đâu, quân giặc động tĩnh ra sao, người trong nước theo ai phản ai như thế nào, tình hình đều chưa rõ rệt.
且表称黎嗣孙姓名，未有告哀求封，未经补给印篆，何以得经表文，遽遣行价，均之未合体例。	Lại nữa, trong tờ biểu này đứng tên tự tôn họ Lê, mà chưa có tờ biểu báo tang và cầu phong, chưa được cấp lại quốc ấn thì sao được khinh suất dâng tờ biểu lên, và vội vã sai sứ thần đến? Xét ra, những việc ấy đều là việc chưa hợp thể lệ.
须有嗣孙亲来供状，面问情由，不可只凭人说。	Cần phải có tự tôn họ Lê tự mình đến đây khai báo, để ta giáp mặt mà hỏi rõ tình do. Nếu chỉ bằng vào lời nói của người khác thì không được.
我为守土之臣，边疆大事，决不轻信尔等。	Ta là bề tôi giữ đất, việc ở ngoài bờ cõi là việc lớn, quyết không thể nhẹ dạ mà tin các ngươi.
惟尔既以叫急而来，情亦安忍驱去。	Nhưng thôi được, các ngươi đã vì việc cáo cấp mà đến đây, nghĩ tình ta cũng không nỡ đuổi đi.
且听住此，俟我禀明督部大人，一番行边探确，方可具事奏闻，候旨定夺。」	Hãy cho ở lại đây, để ta bẩm rõ với quan đốc bộ, phái người ra ngoài bờ cõi, dò xét một phen cho đích xác, rồi mới có thể làm tờ biểu tâu lên nhà vua mà chờ chỉ ý quyết định.
亶、案听得如此，不知所言，只得伏庭号泣。	Đản và Án nghe vậy, không biết nói sao, đành phủ phục dưới sân mà gào khóc.
王分府察其情真，乃谕之曰：「看尔等忠实可嘉，情头可悯，天朝自有处分，无容渎请。可出就馆，以俟命耳！」	Viên phân phủ họ Vương xét thấy thật tình, bèn dỗ dành rằng: - Xem ra lũ các ngươi trung thực đáng khen, mà tình cảnh thật đáng thương! Thiên triều sẽ có cách phân xử, không nên kêu mãi cho nhàm, cứ ra nhà trọ để chờ mệnh lệnh.
二人喜，拜辞而出。	Hai người mừng rỡ, bái từ lui ra.
乾隆五十三年戊申秋九月也。	Bấy giờ là năm 53 niên hiệu Càn Long, tức là tháng chín mùa thu năm Mậu thân (1788).
居无何，王分府召亶、案入谓曰：「该国请援，事已得达皇帝追悯。	Đản và Án ở đó được ít lâu, viên phân phủ họ Vương gọi vào mà bảo rằng: - Việc bên ấy xin cứu viện, đã được thấu đến triều đình.
黎前王累世贡臣，旨下两广总督孙大人，协同云贵总督富大人，调滇州勇五十万行边，弋寻黎嗣孙护送归国城。	Hoàng đế thương đến các vua đời trước của nhà Lê làm bề tôi tiến cống nhiều đời, đã hạ chỉ cho quan tổng đốc lưỡng Quảng là Tôn đại nhân, hiệp đồng cùng quan tổng đốc Vân, Quý (Vân Nam, Quí Châu (Trung Quốc)) là Phú đại nhân, điều động năm chục vạn lính dõng ở Điền Châu ra ngoài biên thuỳ tìm kiếm tự tôn họ Lê, hộ tống về nơi kinh thành nước An Nam.
那一段情由，自丁未冬杪，该国母与高平镇目阮辉宿从斗奥隘奔诉，但未知嗣孙兄弟二人落在何处？	Những tình hình đó, từ cuối mùa đông năm Đinh vị (1787), quốc mẫu bên ấy và viên trấn mục ở Cao Bằng là Nguyễn Huy Túc đã qua cửa ải Đẩu áo sang bày tỏ rồi. Nhưng chưa rõ hai anh em tự tôn thất lạc ở đâu.
嗣孙奔亡之余，母子隔阻，亦未知此间事状。故复遣尔等跋涉。	Còn tự tôn thì sau khi chạy trốn, mẹ con cách trở, cũng không rõ tình trạng bên này nên lại sai các người trèo đèo vượt suối sang đây (theo Cương mục, thì việc mẹ Chiêu thống sang cầu cứu nhà Thanh như thế nào, Chiêu Thống đã được Lê Quýnh về báo cáo rõ cả rồi, lúc này cử Đản và Án sang chỉ là để đón quân Thanh mà thôi).
尔等既是黎嗣孙行价的，嗣孙现在凤眼地头一二情形，尔等可作供状，禀达督部堂行辕。候大军进发，我即引尔等拜见，面陈为便。」	Các ngươi đã là người do tự tôn sai đi, mà tự tôn đang ở đất Phượng Nhãn, thế thì tình hình ra sao, các ngươi hãy làm tờ cung khai, bẩm lên quan đốc bộ, chờ khi đại quân xuất phát, ta sẽ dẫn các ngươi tới lạy chào và cung khai.
亶等听得此信息，大喜。禀请一人留候，一人先回飞报嗣孙知道，得以纠合同志，号召国人，俾之迩避通知，自然处处并起，以俟应天兵，凭伏威灵，各因山川要害处屯结，以遏绝敌众，是诚好好机会，王分府许之。	Bọn Đản, Án được tin ấy, mừng lắm, bèn xin để một người ở lại chờ hầu, một người về trước phí báo cho tự tôn rõ, để nhóm họp những kẻ đồng chí, kêu gọi người trong nước, khiến cho xa gần đều biết, và các nơi đều nổi dậy, chờ thời cơ hưởng ứng với thiên binh. Lại dựa vào oai linh của thiên triều, các nơi sẽ nhắm những chỗ hiểm yếu mà đóng đồn trại để ngăn chặn quân địch. Đó thật là một cơ hội rất tốt. Viên phân phủ họ Vương bằng lòng cho.
于是案留太平，而亶从故道归国。	Thế là Án ở lại phủ Thái Bình, còn Đản thì theo đường cũ về nước.
却说初京城失守，乘舆北幸，皇太后与尊室诸人先奔高平。	Lại nói, từ khi kinh thành thất thủ, vua Lê chạy sang phương bắc.
督同阮辉宿率藩兵迎之，推住斗奥隘，边民居舍，以谋请援。	Còn hoàng thái hậu cùng mấy người tôn thất chạy trước lên Cao Bằng; viên đốc đồng Cao Bằng là Nguyễn Huy Túc đem phiên binh đón rước mời về ở tạm tại một nhà dân bên cửa ải Đẩu áo, để mưu đồ sang cầu cứu nhà Thanh.
原宿之始到镇也，有北客自号吴山樵隐者，与督镇廷傃相善，尝往来镇营，宿一见与语，大奇之。	Nguyên lúc Huy Túc mới đến Cao Bằng, có người khách trú tự hiệu là Ngô Sơn tiều ẩn, vốn quen với Nguyễn Đình Tố, thường vẫn hay đi lại nơi dinh trấn. Túc lần đầu được gặp và nói chuyện với hắn ta, lấy làm lạ lắm.
及傃卒，客来吊，宿遇以上宾之礼，留十余日。	Đến lúc Tố mất, người khách đến viếng, Túc lấy lễ thượng khách mà đối đãi, mời ở lại hơn mười ngày.
傃丧既定，客始辞归。	Việc tang của Đình Tố đã xong xuôi, người khách mới cáo từ ra về.
临别，私谓宿曰：「贵国自此多事，先督臣知之。不知临终，曾以告僚谊否？」	Lúc sắp chia tay, người khách bảo riêng với Túc rằng: - Quí quốc từ nay sẽ có nhiều việc, quan đốc thần trước cũng đã biết, không hiểu lúc gần mất ngài có nói lại với các vị đồng liêu không?
宿曰：「本国外有强敌，将来必不安枕。	Túc nói: - Nước tôi, bên ngoài có giặc mạnh, sau này chắc là không thể yên ổn, đó là việc mà người trong nước ai cũng biết.
此国人之所共知，顾其要结如何？亦非宿所能道睹也。	Nhưng kết cục ra sao, không phải là điều Túc này có thể biết trước.
先督臣常与宿忧之。	Quan đốc thần trước với Túc này đều lấy làm lo.
今忝为表臣，枢要之地，已不得预；纵有肤浅之见，亦何能为？」	Nay tôi làm quan ở ngoài, đã không được dự vào nơi trọng yếu, thì dù có ý kiến nông cạn cũng không làm được gì?
客曰：「惟是表臣，故不得不为国当事。	Người khách nói: - Chính vì làm quan ở ngoài nên mới không thể không đương lấy việc nước.
以公之才，岂不能一番惊天动地，令举国之人奔走不暇，然亦不过一梦局耳！	Cứ như tài của ông, há chẳng có thể làm được một phen kinh trời động đất, khiến người cả nước vội vàng chạy vạy ư? Nhưng chẳng qua chỉ là một giấc chiêm bao mà thôi.
此诚气数与人事相关，可笑亦可惜也！」	Đó thật là khí số với nhân sự có quan hệ với nhau; đáng cười mà cũng đáng tiếc vậy!
宿固问之，客终不言而去。	Túc nằn nì hỏi mãi, nhưng cuối cùng người khách vẫn không chịu nói rõ, cáo từ mà đi.
至是宿奉太后入内地，至龙州过诸途，宿以国情与客语，了无所隐。曰：「事急矣！	Đến lúc Túc đưa thái hậu qua đất Trung Hoa, tới Long Châu lại gặp người khách ấy giữa đường. Túc đem tình hình trong nước nói với hắn ta không hề giấu giếm, và nói thêm: - Việc gấp lắm rồi!
何以教之？」	Ông có cách gì dạy cho tôi không?
客曰：「公在镇，初闻变时，若能与谅山督臣一心，合力据有二镇之地，纠集藩将藩兵，与敌抗衡，作一方雄伯，达咫尺之书于龙凭，约以有急相救，藉其声援。	Người khách nói: - Khi ông ở trấn Cao Bằng, bắt đầu nghe có tai biến nếu có thể cùng viên đốc đồng trấn Lạng Sơn, đồng một lòng hợp sức giữ lấy đất hai trấn ấy, tụ tập phiên tướng phiên binh, chống nhau với giặc, làm hùng bá ở một phương; rồi đưa thư sang các phủ Long Châu, Bằng Tường (đều thuộc Quảng Tây, giáp liền với Cao Bằng, Lạng Sơn), hẹn khi có việc nguy cấp thì họ cứu giúp, để nhờ cái tiếng viện trợ của họ.
昔莫氏行此之计，维持五十六年。	Ngày xưa họ Mạc đã dùng kế ấy mà duy trì được 56 năm (theo Lịch triều hiến chương loại chí thì sau khi vương triều nhà Mạc đổ, dư đảng họ Mạc chiếm giữ Cao Bằng còn kéo dài được 96 năm nữa, kể từ Mạc Kính Cung (1592) đến Mạc Kính Vũ (1688)).
果能行之。岂不终公之世，何乃弃以与人，失此不为。	Nếu quả ông mà làm được như thế, há chẳng giữ được trọn đời của ông hay sao? Sao lại bỏ chỗ ấy cho người ta?
今只有求通于龙凭，恳请达于督部堂，具事题奏，邀天之幸，以求援耳！	Đã bỏ lỡ mất cơ hội đó không làm, thì nay chỉ có cách liên lạc với các xứ Long Châu, Bằng Tường, thiết tha xin với quan tổng đốc, đem việc tâu lên nhà vua, trông vào điều may trời cho, để cầu xin cứu viện mà thôi.
若复国之后，公其勤之，掘井为山，必致其身，无徒作后人话柄也。」	Sau khi lấy lại được nước nhà, ông nên cố gắng "đào giếng đắp núi", tự mình phải hết sức, đừng để làm cái trò cười cho đời sau.
一宿曰：「此是重远底意，佩服告教，何敢顿忘。	Túc nói: - Đó là cái ý quan trọng xa xôi, tôi xin kính vâng lời dạy, không dám lãng quên.
顾兹宿奉国母来奔，意正在是，惟恐下情不能上达，倘蒙指示其途，为之先客，万荷万荷。」	Nay Túc tôi đưa quốc mẫu chạy sang đây, cũng chính là ý như thế, song chỉ sợ tình của kẻ dưới, không thể thấu lên đến bề trên. Nếu được nhờ ơn ngài chỉ đường vạch lối, đem việc này thưa trước lên trên cho chúng tôi, thì xin đội ơn vạn lần, vạn lần!
客曰：「异地相知，敢不尽力。」	Người khách nói: - Đất lạ quen nhau, tôi dám đâu không hết sức?
乃与宿偕往那龙凭，营都司陈洪顺，客所善也。	Người khách bèn cùng đi với Túc. Viên đô ty Long Bằng (Long Châu, Bằng Tường) tên gọi Trần Hồng Thuận là bạn quen của người khách.
引宿前来，呈称安南国嗣孙母妻眷属，被广南贼兵追杀，逃至隘口，叩头请命等因。	Khách bèn dẫn Túc đến đấy, nói là mẹ, vợ và thân thuộc của tự tôn nước An Nam bị quân giặc Quảng Nam (chỉ quân Tây Sơn) đuổi giết, trốn đến cửa ải, cúi đầu đợi mệnh... Hồng Thuận lập tức hội đồng với viên phó quan ở Long Châu là Trần Thốt đi tới nơi tra xét.
洪顺即会同龙州陈倅前往查照，男妇该六十四人，随便于隘上安插，具事达于广西左江道杨雄业，禀呈两广总督孙士毅，并录本国单，叫称国城为贼所破，其掳掠无所吁诉。	Tất cả đàn ông đàn bà gồm 64 người, Hồng Thuận tuỳ tiện cho ở bên cửa ải, rồi đem việc ấy nói rõ với viên quản đạo Giang Tả thuộc tỉnh Quảng Tây là Thanh Hùng Nghiệp, để bẩm lên quan tổng đốc lưỡng Quảng là Tôn Sỹ Nghị. Tiếp đó, Hồng Thuận lại cho sao đơn khiếu nại của nước Nam đại ý nói rằng: "Quốc thành bị giặc đánh phá, cướp bóc, không biết kêu xin với ai?
人皆仇敌，誓不与俱生，潜伏山中，结成党伙，但未有主张，故落落而难合。	Ai cũng căm thù giặc, thề không cùng sống với chúng, nhiều người lẻn lút nấp ở trong núi, kết thành đồ đảng, chỉ vì chưa có người đứng ra làm chủ, cho nên họ còn rời rạc khó bề hợp nhất.
若得天兵来援，处处回应，国城指日可复。	Nếu được thiên binh sang cứu thì các nơi sẽ cùng hưởng ứng ngay, và có thể hẹn ngày mà lấy lại quốc thành".
士毅见报谓僚属曰：「安南在汉唐为内属，至宋丁氏堀强始为贡臣，更代相沿，以至于今。	Sỹ Nghị thấy giấy báo tin ấy, liền bảo bọn liêu thuộc rằng: - Nước An Nam từ đời Hán, Đường, là đất phụ thuộc vào nước ta; đến đời nhà Tống, họ Đinh quật cường, mới trở thành nước tiến cống.
复不能保有其国，天其或使为中国之郡县乎！」	Trải mấy đời nối theo nhau cho đến ngày nay, lại không thể giữ được nước. Hoặc giả trời khiến nước ấy lại làm quận huyện của Trung Quốc chăng?
即驰诣龙凭探察边情，会同巡抚永清商议。	Lập tức, Sỹ Nghị ruổi ngựa tới vùng Long Bằng, dò xét tình hình biên giới, rồi họp bàn với viên tuần phủ là Vĩnh Thanh.
永清曰：「开边大事，利害不细。	Vĩnh Thanh nói: - Mở mang bờ cõi là một việc lớn, lợi hại không phải nhỏ.
果如所言，该国实属可悯，惟敌势料不如此。	Quả như lời họ nói, thì nước ấy kể cũng đáng thương. Nhưng thế lực của giặc, đoán chắc là không phải như vậy.
彼自海滨奋起，结发从戎，一举而取三百余年之国，定是不弱；亦决不肯被人虚喝，闻风霄遁，除非一二番挫衄，安肯退听。	Chúng ở ven biển nổi lên, theo việc binh nhung từ khi đầu còn để chỏm, một lần khởi quân mà lấy được cái nước đã ba trăm năm, nhất định không phải là yếu, và cũng nhất định không đời nào chịu để cho người ta doạ dẫm, mới nghe tiếng đã phải đêm hôm lẻn trốn đi. Trừ phi chúng có bị đánh cho giập gẫy một vài phen thì chúng mới chịu rút lui và nghe theo.
中国二百年太平无事，民不知兵，一旦驱炎瘴之地，胜之不武，况未可必；万一蹉跌，伤损实多。	Trung Quốc ta thái bình đã hai trăm năm nay, dân chúng không biết đến việc binh. Nay bỗng dồn họ tới chỗ nóng nực lam chướng, dù thắng được cũng không phải là mạnh. Huống chi chưa chắc đã thắng, mà vạn nhất vấp ngã thì tổn thất thật không nhỏ.
上宪为国大臣，建节边方，所宜固守封疆。岂可肤受人诉，骤开边衅！	Cụ lớn là vị đại thần của nước, nắm quyền ở chốn biên thuỳ, cần phải giữ vững bờ cõi; há nên vừa mới nghe kêu nài một tý đã vội gây hấn ở nơi biên ải?
黄福、张辅，厥鉴不远，在永乐宣德之时，请熟筹之。」	Cái gương của bọn Hoàng Phúc, Trương Phụ ở đời Vĩnh Lạc, Tuyên Đức (Hoàng Phúc và Trương Phụ là tên các tướng nhà Minh. Vĩnh Lạc là niên hiệu Minh Thành tổ, Tuyên Đức là niên hiệu Minh Tuyên tông. Đây chỉ việc quân Minh sang xâm lược Việt Nam hồi đầu thế kỷ XV, sau bị Lê Lợi đánh bại), cũng chưa phải xa xôi, xin nghĩ kỹ cho!
士毅曰：「安南锡封，世修职贡；西山小丑，敢灭其国！	Nghị nói: - Nước An Nam được phong, đời đời lo giữ chức phận tiến cống. Tây Sơn là bọn giặc nhỏ, dám diệt nước họ.
贡臣之难，不可不救；狂贼之罪，不可不诛。	Nạn của cống thần không thể không cứu, tội của cuồng tặc không thể không trị.
兵以义动，谁敢不从。	Vì nghĩa mà hành quân ai dám không theo?
若以伧荒赐隔，坐视其相残而不之救；则九夷八蛮之臣事中国者，彼亦何所恃哉！」	Nếu lấy cớ là mọi rợ mà bỏ ra ngoài, ngồi nhìn bọn họ giết hại nhau mà không cứu thì tám xứ "man", chín xứ "di" làm bề tôi Trung Quốc, còn trông cậy gì nữa?
乃令唤阮辉宿、黎亻冏、黄益晓、阮廷灌、阮国练、阮廷枚等六人，并诣辕前问状，先问嗣孙兄弟几人，奔亡之余现落何地？	Rồi Nghị gọi sáu người là bọn Nguyễn Huy Túc, Lê Quýnh, Hoàng ích HIểu, Nguyễn Đình Quán, Nguyễn Quốc Đống và Nguyễn Đình Mai đến cửa quan, để hỏi tình trạng. Trước hết, Nghị hỏi tự tôn có mấy anh em, sau khi chạy trốn, hiện nay ở đâu?
宿等供称：「嗣孙兄弟三人，颇相友爱，长即应得承袭之黎维祁，次袖郡公维袖，次瓓郡公维只。	Bọn Túc khai là: Tự tôn có ba anh em, rất yêu mến nhau. Anh trưởng là Lê Duy Kỳ, tức là người đáng được nối ngôi, thứ hai là Tụ quận công Duy Tụ, thứ ba là Lan quận công Duy Chỉ.
现今维祁奔山南下路，招集义兵。	Hiện nay, Duy Kỳ chạy xuống lộ Sơn Nam hạ (năm Lê Cảnh Hưng thứ Qui Nhơn (1741), chia xứ Sơn Nam làm 2 lộ: lộ Sơn Nam thượng (Vùng Hà Nam, Hưng Yên, Hà Đông sau này) và lộ Sơn Nam hạ (vùng Nam Định, Thái Bình sau này)), để chiêu tập nghĩa binh.
维袖在宣光兴化地方，亦各纠合同志，遥为声援。	Duy Tụ ở vùng Tuyên Quang, Hưng Hoá cũng đang nhóm họp các người đồng chí, xa xa làm thanh viện cho nhau.
闻其辅车相依，臣民效顺，断不至于焕散；但不知继此以往，果能奋发有为否！	Nghe nói họ nương tựa lẫn nhau, thần dân thuận theo, quyết không đến nỗi tan tác. Nhưng không biết từ đấy về sau có thể hăng hái làm nên việc hay không?
经今七八月余，事变推移，尚能据此地方否！卑等实不敢知。」	Tới đây đã hơn bảy tám tháng, sự thế đổi thay, họ có còn giữ được chỗ ấy nữa không, điều đó chúng tôi không được biết.
又问：「向来嗣孙母子，音信何如？」	Nghị lại hỏi tin tức của mẹ con tự tôn nay ra sao?
宿言：「卑等前在高平，奉国母内投。	Túc nói: - Chúng tôi trước ở Cao Bằng, rồi rước quốc mẫu sang nội địa (chỉ đất Trung Hoa).
嗣孙现在本国，关山间隔，音信未能自通。	Tự tôn thì vẫn ở trong nước. Quan san cách trở, tin tức không thông.
今倘得潜归通信，使嗣孙知母眷音信，三人分为二道，廷枚请由蒙自山口，亻冏练请从龙门渡海，仰得派员引至界首，卑等兼程奔赴，约一月间，行看消息，便当禀知。」	Nay nếu được phép thì xin lẻn về báo cho tự tôn biết tin của mẹ và gia quyến. Xin cho ba người chia đi hai ngả. Đình Mai xin đi đường cửa ải núi Mông Tự. Quýnh và Đống xin theo đường Long Môn mà vượt biển. Ngửa trông cụ lớn cho người dẫn đến biên giới, để chúng tôi gấp đường chạy về; chừng trong một tháng, dò xem tin tức ra sao, sẽ xin bẩm rõ.
又问该国向来年岁如何？	Nghị lại hỏi lâu nay ở bên ấy mùa màng ra sao?
曰：「本国连年凶歉，米价甚贵，米一升值钱六百；山南下路，最号富饶，今民间亦无益藏，室如悬磬。	Túc thưa: - Nước chúng tôi luôn mấy năm bị mất mùa, giá gạo rất đắt, một thưng gạo giá đến sáu trăm đồng tiền. Lộ Sơn Nam hạ vốn được gọi là nơi giàu có, bây giờ dân gian cũng không có thóc lúa để dành, các nhà đều trống rỗng như chiếc chuông treo.
嗣孙前驻此地，兵食不给，以是动不得力。	Tự tôn trước kia đóng ở xứ ấy, vì lương thực không đủ, cho nên hễ làm việc gì cũng bị thất bại.
卑等初在国，但闻知此是实。」	Chúng tôi khi ở nước nhà, chỉ nghe như thế, đó là việc thực.
又以问亻冏，亻冏曰：「黎氏有国三百余年，以恩惠结民，以礼义培士气。	Nghị quay sang hỏi Lê Quýnh, Quýnh liền đáp: - Họ Lê giữ nước hơn ba trăm năm, dùng ân huệ buộc chặt lòng người, dùng lễ nghĩa vun trồng sĩ khí.
故虽叛道僣干，而戴旧之人心犹昨。	Cho nên, dù bọn phản nghịch tiếm quyền mà lòng người mến chúa cũ vẫn như xưa.
只以郑家胁制，人依愤惋，西山乘隙以黎灭郑为名，故国人遂不之拒。	Chỉ vì họ Trịnh hiếp chế, lòng dân căm giận. Tây Sơn nhân lúc sơ hở ấy, mượn tiếng phò Lê diệt Trịnh, nên người trong nước không ai chống cự.
彼因是得志，愈肆猖獗，自纪年号，窃据国城，致黎嗣孙播迁于外。	Chúng nhân thế đắc chí, lại càng hung hăng, tự đặt niên hiệu, chiếm giữ kinh thành, đến nỗi tự tôn họ Lê phải phiêu bạt ra ngoài.
由是耨锄棘矜，处处并起，咸称黎氏不谋同辞。	Do đó, dân cày và những kẻ lục lâm nổi lên khắp nơi, không ai hẹn ai mà người nào cũng xưng là quân họ Lê.
如上国垂字小之仁，施恤穷之德，偏师压境，为之声援，国人闻之，孰不奋起，誓众复雠，想亦不甚费天朝兵力也。」	Nếu như thượng quốc rủ lòng bao dung kẻ nhỏ mọn, giúp đỡ kẻ khốn cùng, sai một đạo quân tới sát bờ cõi để làm thanh viện, thì người trong nước nghe tin, ai không trỗi dậy, thề cùng phục thù? Mà như vậy, chắc cũng không hao tổn đến binh lực của thiên triều nhiều lắm.
士毅既得供状端的，又将安南地图一轴，使亻冏等详阅，曰：「即是否无讹？」	Nghị nghe được lời khai rõ ràng, bèn đem một bức địa đồ nước Nam, bảo bọn Quýnh duyệt lại, và hỏi: - Có đúng không? Không sai chứ?
亻冏禀部位方向多有错谬，约略十至四五。	Quýnh bẩm: - Vị trí và phương hướng nhiều chỗ sai lầm, ước chừng mười phần sai đến bốn năm.
士毅曰：「详许尔据实改正。」	Nghị nói: - Cho phép các ngươi cứ thật mà sửa lại.
乃唤画工来，依亻冏改处模写，复命亻冏于图上某处地方已未从贼，与国君兄弟驻扎何处，逐一明晰登注。	Rồi Nghị sai gọi một người thợ vẽ đến, theo chỗ Quýnh sửa đổi mà vẽ lại. Lại bảo Quýnh lưu ý xem những vùng nào đã theo giặc, vùng nào chưa theo giặc, anh em vua Lê hiện đóng ở đâu, nhất nhất đều ghi chú thật rõ ràng vào địa đồ.
因召宿等，谕之曰：「俟我题奏得旨，即照尔等祈请，事事都办得好。	Rồi nhân đó, Nghị gọi bọn Túc và bảo: - Chờ ta tâu lên triều đình, khi nào được chỉ của nhà vua, tức khắc sẽ chiểu theo những điều kêu xin của bọn ngươi mà làm cho thật tốt tất cả mọi việc.
尔等此回归国寻嗣孙的处，并细探贼人作何举动，国人能否奋发随。	Chuyến này các ngươi về nước, phải tìm cho được đích xác chỗ ở của tự tôn. Lại phải dò xem quân giặc động tĩnh ra sao? Người trong nước có thể trỗi dậy được không?
便即飞禀，我当为覆奏，提兵出塞，速可藏功。」	Hễ có dịp thuận tiện lập tức phải phi báo cho ta biết, ta sẽ phúc tấu về triều, xin cho kéo quân ra ải, thì công việc mới có thể mau xong.
宿等大喜，相率北面望关遥拜，连呼万岁。	Bọn Túc mừng lắm, cùng nhau ngoảnh mặt về hướng bắc, trông vời cửa khuyết mà lạy và hô "vạn tuế" luôn mấy lần.
