第十六回。	Hồi thứ mười sáu.
虽非本意，但将以是试之。	Điều đó không phải là bản tâm của vua Quang Trung, chẳng qua chỉ muốn thử xem ý nhà Thanh ra sao mà thôi.
会病发遂殂，称帝之第五年壬子秋八月日也。	Nhưng vừa lúc ấy thì vua Quang Trung bị bệnh rồi mất. Hôm đó nhằm ngày mùa thu, tháng tám năm Nhâm Tý (về tháng vua Quang Trung mất, có một vài tài liệu chép là tháng 9. Nhưng theo sự chứng minh rất xác đáng của ông Hoàng Xuân Hãn (La Sơn phu tử, tr. 158-160), dựa vào sách Đại Nam thực lục và tài liệu của các giáo sĩ phương Tây đã chép lúc đương thời, thì vua Quang Trung đã mất vào ngày 29 tháng 7 năm Nhâm Tý (1792). Cũng theo ông Hoàng Xuân Hãn, thì việc Hoàng Lê nhất thống chí chép mất vào tháng 8 như ở đây cũng không hẳn là sai; vì theo sách lịch Tây Sơn đương thời, tháng 7 năm Nhâm Tý là tháng thiếu, ngày 29 lại là ngày cuối tháng, mà vua Quang Trung lại mất vào khoảng nửa đêm, như thế thì chép tháng 7 hay tháng 8 cũng chỉ chênh nhau chừng nửa giờ mà thôi), sau khi lên ngôi hoàng đế được 5 năm.
初清使来册封颁赐彩衣，内有「金线刺车心，折轴多由鼠」之句，当时不解所谓，至是始验云。	Trước đó, khi sứ nhà Thanh sang phong, vua Thanh có ban cho vua Quang Trung chiếc áo màu, trong thêu bảy chữ bằng kim tuyến: Xa tâm chiết trục đa điền thử (câu này nghĩa đen là: "Bụng xe gãy trục, nhiều chuột đồng". Theo Hán văn, chữ xa với chữ tâm hợp lại thành chữ Huệ tên vua Quang Trung.
北平王既殁，其求婚请地亦不果达，清帝未及知之。	Chuột thuộc về tý. Ý nói năm tý vua Quang Trung chết). Bấy giờ không ai hiểu ra sao, thì ra đến lúc này mới nghiệm. Sau khi vua Quang Trung mất, việc cầu hôn và việc đòi đất không thấu đến triều đình Trung Quốc, nên vua Thanh cũng không biết (theo gia phả họ Vũ (Vũ Văn Dũng) thì tờ biểu đã đệ lên vua Thanh, và đã được vua Thanh nhận lời gả công chúa cùng trả lại đất Quảng Đông. Sau nghe tin vua Quang Trung chết nên việc đó mới đình chỉ).
是月，长子光缵奉遗命嗣立，改明年癸丑伪号为景盛元年，而追尊北平王为太祖武皇帝，遣使如清告哀，荐方物及雄象二匹，备岁贡具表请封，凡二部使并行。	Tháng ấy con trưởng vua Quang Trung là Quang Toản theo di mệnh của vua cha, lên nối ngôi, đổi năm sau tức là năm Quí Sửu (1793) làm năm đầu niên hiệu Cảnh Thịnh, và truy tôn vua Quang Trung làm Thái tổ Vũ hoàng đế. Rồi đó, Quang Toản sai sứ thần sang Trung Quốc báo tang, đem dâng các sản vật địa phương và hai thớt voi đực; lại sắp xếp lễ cống hàng năm và làm tờ biểu xin phong vương, để hai sứ bộ cùng đi một lúc.
表内且云：「奉父王遗嘱，死后无归乡土。故葬于国城郊之苓塘，以白恋阙之志。」	Trong tờ biểu có nói: "Vâng lời dặn lại của vua cha, sau khi chết, không đưa di hài về quê hương, mà chôn cất ở làng Linh Đường (thuộc huyện Thanh Trì (Hà Nội)) phía ngoài kinh thành để tỏ lòng mến nhớ cửa khuyết...".
清帝嘉之，即遣使行谕祭礼。	Vua Thanh khen ngợi, tức thì sai sứ thần sang làm lễ tế.
光缵乃命作假殡于苓塘，以受吊慰。	Quang Toản bèn làm ngôi mộ giả ở làng Linh Đường để nhận lễ thăm viếng của nhà Thanh.
其祭文有曰：「祝厘南极，效忠特奖其趋朝；妥魄西湖，没世无忘于恋阙。」	Trong bài văn tế của nhà Thanh có câu: "Chúc ngôi Nam cực, lòng trung đà tỏ trước sân triều; yên giấc Tây Hồ, trọn đời vẫn không quên cửa khuyết".
赐谥曰「忠纯」。及颁御制诗赠恤，令刻石竖之墓左，以表显之，而册封光缵为安南国王。	Vua Thanh lại ban cho thuỵ hiệu là "Trung thuần" và ban tặng một bài thơ, bảo khắc vào đá, dựng bên trái mồ vua Quang Trung để làm nổi rõ sự vinh hiển. Rồi đó, vua Thanh phong cho Quang Toản làm An Nam quốc vương.
光缵既得封命，罢信牌令；其诸道捕漏民者，并派撤回，严戢滋扰。以其舅得宣为太师，专掌朝政。	Sau khi được phong, Quang Toản bãi lệnh đeo "tín bài", triệt hồi các đạo quân đi bắt dân lậu, nghiêm cấm việc quấy nhiễu nhân dân, dùng cậu ruột là Bùi Đắc Tuyên làm chức thái sư, coi tất cả mọi việc chính sự của triều đình.
得宣以光缵幼弱，事皆专辄，恣行威福，文武诸臣皆侧目视之，祸胎自此始矣。	Vì thấy Quang Toản còn nhỏ, Đắc Tuyên ra mặt chuyên quyền, tha hồ làm oai làm phúc, các quan văn võ đều nem nép kiêng sợ, mầm mống tai hoạ bắt đầu từ đấy.
却说黎帝自已酉春入内地桂林城，是岁冬，清帝从隆安、和珅等议，册封阮惠，乃降旨召黎君入燕。	Lại nói, vua Lê từ mùa xuân năm Kỷ Dậu (1789) chạy sang đất Trung Hoa, trọ ở thành Quế Lâm. Mùa đông năm ấy, vua Thanh nghe lời bàn của bọn Khang An, Hoà Khôn, phong vương cho Nguyễn Huệ, lại giáng chỉ đòi vua Lê vào Yên Kinh.
往庚戍春起驾，夏五月至燕，本国文武诸臣先后入者，并许陆续起行。	Mùa xuân năm Canh Tuất (1790), vua Lê bắt đầu lên đường, tháng năm mùa hè năm ấy thì đến Yên Kinh. Các quan văn võ của nước ta trước sau sang đất Trung Quốc đều được lần lượt đi theo.
适清帝巡幸，遇黎亻冏等于广东，命召入见，谕之曰：「汝主既愿安中国，汝等一意相从，当即剃发易服，以俟简迪。」	Vừa khi ấy, vua Thanh đi tuần du, gặp bọn Lê Quýnh ở tỉnh Sơn Đông, bèn sai người gọi vào ra mắt và dụ rằng: - Chủ các ngươi đã xin yên ổn ở lại Trung Quốc, lũ các ngươi giốc lòng cùng theo, thì nên lập tức gọt đầu gióc tóc, đổi đồ mặc để chờ mệnh lệnh.
亻冏等奏曰：「小臣万里从亡，愿得以土俗见国王，然后乃奉旨。」	Bọn Quýnh tâu rằng: - Lũ tiểu thần từ xa xôi muôn dặm theo trốn sang đây, xin cho được dùng phong tục bản xứ để ra mắt quốc vương, rồi sau sẽ xin vâng chỉ.
帝嘉叹久之，即命缓行如京。	Vua Thanh khen ngợi hồi lâu, rồi bảo họ đi thong thả lên Yên Kinh.
时黎帝、太后、元子驻燕京之西定门国子监衙侧，扁曰「西安南营」；诸臣居东直门羊铺衙侧，扁曰「东安南营」。	Lúc bấy giờ, vua Lê cùng thái hậu và con đầu của vua trọ ở cửa Tây Định trong thành Yên Kinh, cạnh nhà Quốc tử giám, trước cửa có biển đề: "Tây An Nam doanh" (Dinh An Nam phía tây). Còn các bề tôi thì ở trong cửa Đông Trực, cạnh nhà Dương phố, ngoài cửa có biển đề: "Đông An Nam doanh" (Dinh An Nam phía đông).
照给口粮，许往来自便。	Tất cả bọn đều được nhà Thanh chiểu theo số người mà cấp phát cho lương ăn, và cho phép tự do qua lại.
适闻清帝幸热河避暑，来日清晨早发，黎帝即与诸臣草请兵表。因镶黄旗都统金简请见，比驾出，黎帝及诸臣跪道伏谒。	Một hôm, nghe tin vua Thanh sắp ra Nhiệt Hà tránh nắng, mờ sáng ngày mai thì lên đường. Nhân dịp đó vua Lê liền cùng các bề tôi thảo ra tờ biểu xin quân cứu viện, rồi nhờ vào viên đô thống đội Cờ viền vàng tên là Kim Giản, để xin yết kiến vua Thanh. Đến khi xe vua Thanh đi qua, vua Lê cùng các bề tôi đều quỳ xuống yết kiến ở mép đường bên trái.
驾少止，见有通士报云：「皇帝有旨褒赏，促余拜谢归营。」	Xe vua Thanh dừng lại một chút, có viên thông ngôn báo rằng: "Hoàng đế có chỉ khen thưởng". Rồi viên đó giục họ lạy tạ và trở về doanh.
有顷，已见金简奉旨授以左领职，世袭三品衣冠，黎帝不得已受之。	Lát sau, đã thấy Kim Giản vâng chỉ vua Thanh phong cho vua Lê chức tá lãnh, đời đời nối chức và được lĩnh áo mũ tam phẩm. Vua Lê bất đắc dĩ phải nhận vậy.
越数日，见内府官奉旨召入殿庭，颁赐银四百两；并传本旗人，准备什器，诸臣从者各赐钱五百；凡国中红白礼，照依八旗人定体。	Cách mấy hôm sau, lại thấy có viên quan ở nội phủ vâng chỉ vua Thanh đòi vua Lê vào sân điện, ban cho bốn trăm lạng bạc và sai người sắp sẵn cho các thứ đồ vật. Còn những bề tôi đi theo, đều được cấp mỗi người năm trăm đồng tiền. Các lễ mừng, lễ điếu ở trong nước, đều chiểu theo như thể lệ đã định cho những người thuộc tám hiệu cờ.
是年，黎帝以清人不可恃，乃与范如松、黄益晓、黎忻、阮国栋、阮曰肇、黎文张、黎贵适，及慈廉香粳人阮廷锦、西耽人黎松、弘化答求人黎式等，歃血为誓，具表请兵；如不允，请得兴宣二州故地，以奉宗祀；或归国潜入嘉定以图兴复，如或不测，死生以之。	Năm ấy, vua Lê thấy người Thanh không thể tin cậy được, bèn cùng bọn Phạm Như Tùng, Hoàng Ích Hiểu, Lê Hân, Nguyễn Quốc Đống, Nguyễn Viết Triệu, Lê Văn Trưởng, Lê Quí Thích và Nguyễn Đình Cẩm, người làng Hương Ngạnh, huyện Từ Liêm, Lê Tùng người làng Tây Đàm, Lê Thức người làng Đáp Cầu, huyện Hoằng Hoá cùng nhau uống máu ăn thề, rồi cùng thảo tờ biểu, xin quân cứu viện. Lại bàn nếu xin quân không được, thì sẽ xin đất cũ là hai châu Tuyên Quang, Hưng Hoá để thờ tổ tiên, hoặc lẻn vào Gia Định để mưu đồ việc khôi phục, nhỡ có gặp sự bất trắc thì sống chết cũng liều.
表成先就金简知会。	Thảo xong tờ biểu, bọn họ đến báo trước cho Kim Giản biết, Kim Giản không tiếp.
金简不纳，相与伏地大呼。	Vua tôi nhà Lê cùng nhau rập đầu xuống đất mà kêu thật to.
金简不得已复邀入烹茶歇待，喻之曰：「王且回馆，俟有商议。」	Kim Giản bất đắc dĩ phải mời vào nhà, pha trà thết đãi, rồi bảo: - Vương hãy cứ về quán trọ mà chờ, sẽ bàn bạc sau.
迨月余，复见有夸兰大人来报云：「已得旨许王钦州地，来年春早花开，归去未迟。」	Được hơn một tháng, thấy có viên quan nhà Thanh tên là Khoa Lan tới báo với vua Lê rằng: "Đã có chỉ truyền tạm cho vương vùng đất Khâm Châu (thuộc Quảng Đông). Chờ đến năm sau vào dịp mùa xuân hoa nở sẽ trở về nước cũng không muộn gì".
黎帝君臣，亦不之信也。	Vua tôi nhà Lê đều không tin.
往辛亥春三月，和珅谋欲分徙国人，以息诉请，复令夸兰大人驰马来诈报云：「已得旨许国王宣光地归住，宜即整冠服，从国王入谢。」	Tháng ba, mùa xuân năm Tân hợi (1791). Hoà Khôn lập mưu chia đám vua tôi nhà Lê ra mỗi người một nơi để họ khỏi kêu ca, bèn sai Khoa Lan cưỡi ngựa tới nói dối rằng: - Đã có chỉ truyền cho vương về ở đất Tuyên Quang, vậy các bề tôi cần phải chỉnh đốn mũ áo để cho vương vào triều tạ ơn.
诸臣在东营者皆信之，从至印房。	Các bề tôi nhà Lê ở doanh Đông đều tin là thật, bèn theo đến ấn phòng.
珅令以铁锁锁之，各发牛车送三百里外，安置黄益晓于伊黎、黎忻于奉天、如松于黑龙江，国栋于吉林，曰肇等于热河张家口，独留陈善侍候国所。	Khôn sai người lấy khoá sắt khoá luôn lại, rồi dùng xe trâu đưa họ đi ra ngoài ba trăm dặm, an trí Hoàng Ích Hiểu ở Y Lê, Lê Hân ở Phụng Thiên, Như Tùng ở Hắc Long Giang, Quốc Đống ở Cát Lâm, Viết Triệu ở Trương Gia Khẩu thuộc Nhiệt Hà, chỉ để một mình Trần Thiện ở lại hầu hạ quốc vương.
黎帝闻之，忧愤熏灼，日早驰马入金简第，谋为诸臣苦叫。	Vua Lê nghe tin ấy, lo giận bồn chồn, đến sáng sớm cưỡi ngựa vào nhà Kim Giản, định kêu cho các bề tôi.
会金简已入侍圆明园，即驰马入园门，为守门者拦住。	Vừa lúc ấy, Kim Giản đã vào chầu vua Thanh ở vườn Viên Minh. Vua Lê lập tức ruổi ngựa đi thẳng tới cửa vườn, nhưng đến nơi thì bị lính canh cửa ngăn lại.
其马童布卫人阮文涓伏地大呼。	Người dắt ngựa của vua Lê là Nguyễn Văn Quyên, quê ở Bố Vệ, phục xuống đất kêu ầm lên.
清人恐声彻御所，相与夺黎帝马掖之上车，勒去慎刑司縻住。	Bọn người Thanh sợ tiếng kêu gào vang đến chỗ vua Thanh, bèn giật lấy con ngựa của vua Lê, rồi vực luôn cả nhà vua lên xe bắt đến toà Thận Hình giữ lại.
文涓放声大骂曰：「吴子狗辈无礼，敢辱我王。」	Văn Quyên bèn cất tiếng mắng to: - Bọn chó Ngô vô lễ, dám làm nhục vua ta!
即取廷甓乱打之。	Sau đó, Văn Quyên lập tức lấy gạch ở sân ném bừa vào bọn chúng.
守园军怒，左右混殴。文涓几死，并勒去慎刑司縻住。凡一月，乃放归营，文涓因病死。	Đám quân lính giữ vườn nổi giận, xúm lại đánh Văn Quyên gần chết, đoạn cũng bắt đến giam ở toà Thận Hình đúng một tháng mới tha cho về. Văn Quyên nhân thế bị bệnh mà chết.
黎帝在慎刑司日，和珅使人至西营逼太后，令具奏言：「国王愿居中土，冒关喧闹，罪在诸臣。」	Lúc bấy giờ, Nguyễn Huy Túc đang lánh ở vùng núi Tản Viên (tức núi Ba Vì ở Sơn Tây (Hà Nội)), nghe thấy việc ấy, cho Văn Quyên là có nghĩa, bèn làm bài "Tán" như sau: "Trung thay mã đồng! Giỏi thay mã đồng! (người hầu ngựa) Mến chúa lòng trung nghĩa, theo đuổi việc binh nhung. Tấc dạ như voi, khỉ; một đức như kiến, ong. (Đường Huyền Tông thường tập cho voi quỳ lạy, lúc An Lộc Sơn cướp ngôi, cũng bắt voi quỳ nhưng voi không nghe. Đường Chiêu Tông có con khỉ biết quỳ lạy; lúc Chu Toàn Trung cướp ngôi, cũng bắt khỉ lạy, khỉ không chịu) Mạnh mẽ như loài gấu; thẳng thắn như chim hồng Cắt đâm chẳng lánh, hổ doạ cũng xông. Ngựa trời vung cẳng; hùm sói tranh phong. Phì nguyền da ngựa; để tiếng vô cùng. (theo ý câu nói của Mã Viện nhà Hán: "Làm trai nên lấy da ngựa bọc thây".
方草表，监臣阮仲特夺其草纸裂之曰：「受人欺罔，必致诸臣于死地，若之何战！」	Chỉ việc hăng hái hy sinh nơi chiến trận) Kìa ai đó? Xiêm bào ngoài mặt; sâu mọt trong lòng. Ruồi xanh xu nịnh, hươu ngựa gian hùng (thơ "Thương dăng" Kinh Thi ví bọn tiểu nhân như đàn ruồi xanh. Triệu Cao, gian thần nhà Tần, chỉ con hươu mà nói với vua là con ngựa). Sao chẳng bảo chúng: Sung làm hẩu ngựa; bắt muỗi giết trùng. Vậy dám đặt tên cho anh là Trung tráng công!" Trong lúc vua Lê ở toà Thận Hình, một hôm Hoà Khôn sai người đến doanh Tây, ép thái hậu bảo phải thảo tờ biểu nói rằng: quốc vương tình nguyện ở lại đất Trung Quốc, việc xông vào cửa khuyết và làm huyên náo là tại các người bề tôi gây ra... Biểu đang thảo thì viên giám thần là Nguyễn Trọng Đắc trông thấy, liền giật lấy bản nháp xé đi và nói: - Bị người ta lừa dối mà đưa các bề tôi đến chỗ chết thì làm thế nào?
清人复勒仲特归东营居住，乃禁两营不得私相往来。	Người Thanh lại bắt ép Trọng Đắc về ở doanh Tây, rồi cấm hai doanh không được tự tiện đi lại với nhau.
一日，清皇子第六王退朝，因就和珅第，从容谈及安南事。	Một hôm, con vua Thanh, tước vương thứ sáu, nhân lúc lui triều thư thả, tới nhà Hoà Khôn nói chuyện, có bàn đến việc nước An Nam.
六王曰：「黎王君臣有难，内投请救弗获，犹当为之怜恤。	Vương nói: - Vua tôi họ Lê gặp nạn chạy sang nước ta, mà cầu cứu không được, cũng nên thương xót, giúp đỡ họ.
料彼诸臣，固皆忠义之士。	Chắc các bề tôi của họ cũng đều là người trung nghĩa.
今以无罪锢之远地，外夷闻之，其谓中国何？」	Nay họ không có tội gì mà bắt giam ở đất xa, nước ngoài nghe thấy, họ sẽ bảo Trung Quốc ra sao?
珅曰：「皇上有旨，非王爷所知？」	Khôn nói: - Hoàng thượng đã có chỉ truyền như vậy, việc ấy đức vương không cần phải biết đến!
王曰：「皇上耆年在御，天下事权，皆国老处置。	Vương nói: - Hoàng thượng tuổi đã già, việc nước đều đo quốc lão đây xử trí; mọi việc đúng hay sai, quan hệ không phải nhỏ.
事之得失，关系不细，吾安得不知？」	Ta đây sao lại không cần biết!
珅素恃宠，复出不逊语。六王大怒，即把棋秤殴之；当坐群起解救乃免，六王大骂而出。	Khôn vốn cậy thế vua Thanh yêu mến, lại ăn nói vô lễ, khiến cho vương giận lắm, lập tức cầm chiếc bàn cờ đánh Khôn. Cả bọn người ngồi đấy đều đứng dậy khuyên giải, can ngăn, Khôn mới thoát nạn.
翌日，珅怀恨入诉，清帝大怒，命召六王，欲亲杖之。	Hôm sau, Khôn hậm hực vào kêu với vua Thanh. Vua Thanh tức thì nổi giận lôi đình, sai người đòi vương vào, định tự tay đánh đòn.
阁臣阿林伏地切谏乃止，命于殿廷杖六王一十，王出，因恚遂得病。	Viên quan nội các là A Lâm rập đầu xuống đất cố sức can, vua Thanh mới chịu thôi, liền sai người đánh vương ở trước sân điện mười gậy. Vương lui ra, tức quá thành bệnh.
数日增剧，命召第八、第十一、第十七等王，嘱之曰：「汝辈三人，他日未知皇上谁立。	Cách vài ngày, bệnh thêm nặng, vương bèn gọi các vương thứ tám, thứ mười một và thứ mười bảy tới dặn rằng: - Trong ba em, chưa biết sau này hoàng thượng lập ai?
有嗣位者，当去奸相，无遗社稷忧。」	Hễ ai nối ngôi thì phải trừ khử tên gian tướng ấy đi, đừng có để mối lo lại cho xã tắc!
三人听了，各再拜领教而出。	Ba người nghe lời, đều lạy hai lạy xin vâng và lui ra.
六王遂薨。	Sau đó, vương mất.
黎帝自是不复请言兵事，往往怀恨，逼臆无聊矣。	Từ đấy, vua Lê không còn dám nói đến việc xin quân cứu viện nữa, nhưng trong lòng uất ức không bao giờ nguôi.
迨壬子夏，元子复患痘卒。	Tới mùa hè, năm Nhâm Tý (1792), con đầu của vua Lê lên đậu rồi mất.
黎帝因此忧闷得疾，奄奄不起，次年而剧。安置诸臣闻之，各回表请安。	Nhân thế, vua Lê lo buồn sinh bệnh, thoi thóp nằm liệt không dậy được. Năm sau, bệnh nhà vua càng nguy kịch, các bề tôi bị an trí ở những nơi khác đều dâng biểu về hỏi thăm.
如松家童有黎辉旺者，以奉侍有劳，黎帝以为义子，赐名维康，命奉皇考香火，扈侍太后。	Lúc đó, có người gia đồng của Lê Như Tùng tên là Lê Huy Vượng, vì có công hầu hạ khó nhọc, vua Lê cho làm con nuôi, đặt tên là Duy Khang, bảo giữ việc thờ tự hoàng khảo và hầu hạ thái hậu.
时帝疾大渐，召诸侍臣受遗命，谕之曰：「朕遭家不造，不能守社稷，播越他土，以图兴复。又为权奸卖弄，郁郁至此，赍恨以没，天实为之。	Lúc hấp hối, vua Lê gọi các thị thần tới nhận lời trăng trối, nhà vua nói: - Trẫm gặp phải lúc vận nhà suy kém, không thể giữ được xã tắc; phiêu bạt ở đất nước người để hòng tính việc khôi phục, lại bị đứa quyền gian lường gạt; uất ức đến mãi bây giờ, phải ôm hận mà chết, thật do lòng trời gây nên.
他日卿等若得回本国，当负朕残骸以归，附于列圣山陵，以明本志。	Sau này nếu các ngươi được về nước, thì nên đèo nắm xương tàn của trẫm cùng về, chôn ở cạnh lăng tẩm của các vị thánh hoàng đời trước, để tỏ rõ chí hướng của trẫm.
卿等宜识之，再传说诸臣知道。」	Các người nên ghi nhớ lấy và nói cho mọi người đều biết.
诸臣皆泣拜受命。	Các bề tôi đều khóc lạy, xin vâng lời.
黎帝遂崩。	Rồi đó vua Lê tắt thở, thọ 28 tuổi.
时清乾隆五十八年癸丑多十月十六日也，寿二十有八。	Bấy giờ là ngày 16 tháng mười, mùa đông năm thứ 58 niên hiệu Càn Long nhà Thanh (1792).
清帝命以公礼，葬于公直门外广陵，地广三亩，外列峙障。	Vua Thanh sai dùng lễ quốc công an táng vua Lê ở khu Quảng Lăng, ngoài cửa Tây Trực, đất rộng chừng ba mẫu, xung quanh có giậu ngăn; lại bảo các bề tôi đi theo đều theo lễ mà chế đồ tang trở.
命从亡诸臣依礼制服，以维康袭左领职。	Sau đấy, vua Thanh bèn cho Duy Khang nối chức tá lãnh.
于是曰肇在热河闻讣，设位成服，哭尽哀，昏倒移日，亦发病卒。	Nguyễn Viết Triệu ở Nhiệt Hà, tiếp được tin buồn, liền đặt linh vị làm lễ thành phục, khóc lóc thảm thương, hôn mê luôn mấy ngày, rồi phát bệnh mà chết.
迨嘉庆元年丙辰，黎帝服阕，太后以诸臣旅寓孤苦，而归期未卜。遂上表请诸从亡者，各得姻娶。	Đến năm đầu niên hiệu Gia khánh nhà Thanh, tức là năm Bính Thìn (1796), hết trở vua Lê, Thái hậu thấy các bề tôi đi theo, ở nơi đất khách cô đơn khổ sở, mà chưa biết đến ngày nào mới trở về, bèn dâng tờ biểu xin cho các người theo trốn sang Trung Quốc đều được lấy vợ.
清帝许之，颁赐每人银八两、大钱三十五，以供婚礼，敕令随在各安职业。	Vua Thanh cho phép và ban cho mỗi người tám lạng bạc, 35 đồng tiền lớn để làm lễ cưới, bảo họ ai ở chỗ nào, cứ tuỳ tiện yên phận mà sinh cơ lập nghiệp ở chỗ ấy.
却说本国西伪王光缵以年幼袭位，得宣久专政柄。刑狱烦重，中外乖离。	Lại nói, vua Tây Sơn (từ đây, trong bản chữ Hán đều theo quan điểm của triều Nguyễn dùng chữ "Tây nguỵ" để trỏ nhà Tây Sơn) là Quang Toản, tuổi trẻ nối ngôi, Đắc Tuyên chuyên chính đã lâu, hình ngục phiền hà, trong ngoài chia lìa, Bắc, Nam nhốn nháo, lòng người lung lay.
两河熬然，人心不固。而皇朝官军，自戊申复嘉定城，庚戍岁复平顺、延庆二府，自是以后，比岁北出攻讨，声势凛然。	Mặt khác, quân của triều Nguyễn (trong bản chữ Hán, từ đây về sau đều dùng hai chữ "hoàng triều" để chỉ triều Nguyễn (Gia Long)) từ năm Mậu thân (1788) đã lấy lại thành Gia Định; năm Canh Tuất (1790) lấy lại được hai phủ Bình Thuận và Duyên Khánh. Từ đó trở đi, quân triều Nguyễn luôn luôn tiến đánh mặt bắc, thanh thế rất mạnh.
北河十有三宣，亦延颈以待国朝之重兴，西人之丧败，识者了然，而光缵君臣莫之知也。	Mười ba thừa tuyên ở Bắc Hà cũng đều nghển cổ để chờ sự trung hưng của triều nhà Nguyễn. Sự bại vong của nhà Tây Sơn, những kẻ am hiểu tình thế đều nhìn thấy rõ ràng, nhưng riêng vua tôi nhà Tây Sơn thì vẫn không biết.
得两蛟龙神活泼，处堂燕雀慢偷安。	Thật là: Gặp nước thuồng luồng đà hoạt bát, Ở nhà én sẻ vẫn im lìm.
未知事势如何，且听后回分解。	Chưa biết sự thể ra sao? Hãy xem hồi sau phân giải.
