第五回。	Hồi thứ năm.
整怒切齿犹敢颜色曰：「然则豺狼枭獐之友，为豺狼枭獐之谋何？」	Chỉnh giận nghiến răng lại, nhưng vẫn còn làm ra vẻ mặt tươi cười mà rằng: - Vậy thì ông bạn của giống beo, sói, diều, quạ nên làm thế nào bây giờ?
龙曰：「公此来不过为前镇复骄兵之警，今骄兵已灭，公志已遂，公诚能速反其道，善调亭贵国，使之饱欲而归，还择郑家宗室之贤者别立为主，而公自为辅，此不世之功也。」	Long đáp: - Ông ra chuyến này, chẳng qua muốn vì ngài trấn thủ trước (chỉ quận Huy) mà trả thù bọn kiêu binh. Nay kiêu binh đã diệt, ấy là chí ông đã thoả. Nếu ông có thể nhanh chóng xoay lại đường lối đã định, khéo điều đình với quý quốc, khiến cho họ mãn nguyện mà rút quân về rồi ông ở lại, chọn trong tôn thất họ Trịnh lấy một người khá, lập nên làm chúa, còn ông thì sẽ làm phụ chính. Đó thực là cái công không mấy đời có vậy!
整曰：「善！	Chỉnh nói: - Đúng!
吾将思之，君且归去，别求当言者，善修饰辞语，待其好之者，以言显身可也。」	Nhưng để tôi nghĩ xem đã. Bây giờ ông hãy về nhà, đi tìm người nào đáng nói, rồi liệu mà sửa lời nói cho khéo, đợi lúc người ta thích nghe, thì ông có thể dùng lời nói mà làm cho mình được vẻ vang đấy!
龙出，整曰：「龙可送水，不可处陆，以惑天下。」	Long ra khỏi, Chỉnh bảo với mọi người chung quanh: - Rồng [nghĩa của chữ "long" (tên Đỗ Thế Long)] thì phải đưa xuống nước, không nên cho ở trên cạn để nó làm mê hoặc thiên hạ.
使人要截门外，反缚送至珥河中流沉之。	Rồi Chỉnh sai người chặn bắt Long ở ngoài cửa, trói lại, đem ra dìm xuống giữa dòng sông Nhĩ hà.
却说西山元帅自初至渭潢，即条上奏本，且述尊扶本意，密进皇上，外人亦颇知之者，众以为敌情难测，言未必信，京中官军吏士，莫不争先走避，其縻于公事与牵于别故，未出城者，至二十六日，仓皇而出，带囊负箧，环畿民遮截道路尽攘之，宗室大臣与大夫车马，为民所拐褫，只身而走者不可胜数。	Lại nói, nguyên soái Tây Sơn ngay từ lúc mới đến Vị hoàng, đã làm tờ tâu nói rõ về ý tôn phò và đã sai người bí mật dâng lên nhà vua. Người ngoài cũng nghe phong thanh chuyện đó. Nhưng phần đông đều cho rằng lòng giặc khó lường, lời nói suông chưa thể tin được. Bởi vậy, khi ấy quan, quân, lại, sĩ ở kinh thành ai cũng tranh nhau mà chạy trốn. Người nào còn bận việc quan hoặc còn đang mắc cớ gì khác, chưa kịp ra ngoài thành thì đến ngày 26, cũng hốt hoảng đeo bọc mang hòm chuồn ra nốt. Nhân lúc rối ren, dân chúng ở xung quanh kinh thành tha hồ rủ nhau đón đường cướp bóc.
诸军败散走出民间，所至辄数其骄弄之罪，多方困辱之，无少容者。	Ngựa xe, của nả của các họ hàng nhà chúa và của các đại thần, đại phu đều bị họ lấy sạch, không biết bao nhiêu người chỉ còn trơ chiếc mình không mà chạy. Còn bọn kiêu binh, sau khi tan vỡ đều phải chạy trốn đi các nơi. Nhưng chúng đến đâu cũng bị dân quê kể tội kiêu ngạo lộng quyền ngày trước và làm cho nhục nhã đủ đường, không có ai chứa chấp.
有一人裸身而走，出逼坞门，众指之曰：「那大腹汉莫不是仍骄兵，拽来打死！」	Bữa ấy, có một người cởi trần trùng trục cũng ở trong thành chạy ra, khi qua cửa ô bị dân chúng trông thấy, họ liền chỉ mặt mà nói: - Thằng bụng phệ kia chẳng phải lính Nhưng, Kiệu (Nhưng và Kiệu là tên của hai cơ lính trong hàng ngũ kiêu binh hồi bấy giờ) là gì, lôi cổ nó lại mà đánh chết đi!
那人急应曰：「非也！我是寿昌县尉的。」	Người ấy vội đáp: - Không phải, ta là huyện uý huyện Thọ Xương đây!
众笑曰：「人常言系尹腹大，信然！」	Mọi người cùng cười mà rằng: - Người ta thường nói "bụng to như bụng ông huyện", thật không sai!
那人亦笑而去。	Người ấy cũng cười rồi đi.
是日清又兵扶携而归，饥饿死于道路者复以百数，惟皇宗支派，与内殿家臣内殿诸军，及环殿坊庸民皆案堵如故，城陷之日，平入京，先使禅将将一支环卫官殿。	Ngày hôm đó lính Thanh Nghệ dắt díu nhau về quê, bị đói khát ở dọc đường, lại chết thêm đến hàng trăm tên. Riêng có chi phái nhà vua, các gia thần nội điện, các lính tráng nội điện, cùng dân chúng ở phố phường quanh điện, thì vẫn yên ổn như cũ. Đến ngày kinh đô bị mất, Bình vào thành, việc trước tiên là sai tỳ tướng đem một đội quân vây giữ cung điện.
时皇上有疾，诸皇子侍疾殿内，见殿庭军士环立如墙，疑贼来逼帝，忙扶皇上起，将扶出三山后苑而逃，适见那里将跪于庭中，递奏本加额上进，内殿家臣趋出，接入进呈御览，表词先请安，次请以改日进谒，皇上览奏方才放心。	Lúc ấy hoàng thượng đang ốm, các hoàng tử đều hầu hạ ở trong điện. Thấy sân điện có quân lính đứng vây kín như bức tường, ngờ là địch đến bức bách nhà vua, ai nấy vội vàng nâng hoàng thượng dậy, định dìu ra vườn Tam Sơn ở mé sau điện mà trốn. Chợt thấy có viên tỳ tướng quì giữa sân, hai tay nâng tờ tâu lên trán để tiến dâng; gia thần nội điện vội chạy ra đón lấy và đem dâng vua xem. Trong tờ tâu, đại ý trước nói những lời thăm hỏi sức khoẻ nhà vua, sau xin ngày khác sẽ vào ra mắt. Hoàng thượng xem xong tờ tâu, bấy giờ trong lòng mới yên.
次日太早，平与整诣万寿殿庭谒，侍者入奏，皇上于被内披帐引平见御榻，平罗拜地下，行五拜三叩头礼。	Tinh mơ sớm hôm sau, Bình và Chỉnh cùng vào điện Vạn Thọ để ra mắt nhà vua. Quan hầu vào tâu, hoàng thượng đang ở trong điện, sai người vén màn lên, đưa Bình vào hầu ở sập ngự. Bình sụp xuống đất lạy năm lạy và rập đầu vái ba vái.
上命皇子扶起，延至御榻旁左边之别榻赐坐，平谦让不敢当，上再三谕之，平就末席垂膝半坐，上温存慰谕，平曰：「臣本山西匹夫，乘时掘起，不曾衣陛下之衣，食陛下之食，惟陛下圣德弘远，臣在蛮貊中素所歆仰，今日复睹龙颜，亦臣葵悃之至诚所感召也！	Hoàng thượng sai hoàng tử nâng Bình dậy, và mời đến ngồi vào một chiếc sập khác ở bên trái sập ngự. Bình nhún nhường không dám ngồi. Hoàng thượng phải hai ba lần dụ, Bình mới ngồi ghé vào một góc chiếu cuối sập, một chân bỏ thõng xuống đất. Hoàng thượng uý lạo hết sức ôn tồn. Bình nói: - Thần vốn là một kẻ hèn mọn ở đất Tây Sơn, gặp thời nổi dậy, chưa từng được mặc áo của bệ hạ, ăn lộc của bệ hạ. Nhưng vì thánh đức của bệ hạ tràn đi xa rộng, nên thần tuy ở chốn mọi rợ mà cũng vẫn một lòng kính mến.
且郑氏不礼，凌逼君上，皇天假手于臣，灭郑以伸陛下之威，幸而成功，实赖陛下洪福所致。	Ngày nay được thấy mặt rồng, cũng là bởi tấm lòng chí thành như hoa quì (Bình muốn nói: lòng luôn luôn hướng về nhà vua như hoa quì luôn luôn hướng về mặt trời) của thần xui khiến ra vậy. Vả lại, cũng vì họ Trịnh vô lễ, lấn ép nhà vua đã lâu, cho nên hoàng thiên mới mượn tay thần diệt trừ họ Trịnh, để tỏ oai quyền của bệ hạ. May được thành công như thế này, thực cũng là nhờ phúc lớn của bệ hạ đưa đến.
惟愿圣体康强，君临天下，使臣获蒙其福。」	Nay thần chỉ cầu mong thánh thể khoẻ mạnh, coi trị thiên hạ, cho thần được hưởng nhờ chút phúc thừa.
上曰：「多谢令公相厚之至情，跋涉远来，烦劳仆御，寡人在位清简，无以为赠。」	Hoàng thượng đáp: - Đa tạ ông có lòng quá hậu đối với quả nhân, trèo đèo vượt suối từ xa đến đây, thật là vất vả cho tôi tớ ngựa xe. Hiềm nỗi quả nhân ở ngôi thanh bạch giản dị, không có gì để biếu tặng.
平曰：「臣以尊扶来，岂计功便？	Bình nói: - Thần vì nghĩa tôn phò mà đến đây, đâu dám kể công lao.
此来浑是天意，非人谋所及，若臣之私厚于陛下，即这人兵船艘，臣能驱策。至于潦水哀，南风盛，岂臣力所能？	Vả chăng, chuyến này thần ra cũng là bởi ý trời, không phải sức người làm được. Nếu bảo là thần có hậu tình riêng với bệ hạ mà kéo quân ra, thì đành rằng quân lính, thuyền bè, thần có thể điều khiển được, nhưng đến chuyện nước lụt rút xuống, gió nồm mạnh lên, há phải sức thần làm nổi?
此诚天命，陛下一统寰区，以垂亿万年之基绪，臣愿从今陛下立经陈纪，安内养外，用跻斯世于太平，即臣之受赐多矣！」	Đó thực là mệnh trời muốn bệ hạ thống nhất bờ cõi, để lưu lại nền móng cho ức vạn năm sau. Từ nay thần xin bệ hạ sắp đặt giường mối, yên kẻ trong, nuôi kẻ ngoài, để đưa cõi đời này lên cảnh thái bình. ấy là thần được ban tặng nhiều lắm vậy!
反顾整曰：「此陛下之故臣也！」	Rồi Bình ngoảnh về phía Chỉnh nói: - Kia là bề tôi cũ của bệ hạ đấy!
整趋御前拜见，上赐之坐。	Chỉnh liền ra trước sập ngự lạy chào. Hoàng thượng phán cho Chỉnh ngồi.
平曰：「此子蒙陛下爵禄，想未甚多，而其忠于陛下之诚，南国无二，臣得至此，皆他赞助之力也。」	Bình lại nói: - Ông này đội ơn tước lộc của bệ hạ tưởng chưa nhiều lắm. Vậy mà tấm lòng trung thành của ông ấy đối với bệ hạ, thật là có một không hai trong nước Nam. Thần được đến đây cũng chính là nhờ vào công sức giúp đỡ của ông ấy một phần lớn.
上曰：「整之能忠亦令公成之也！」	Hoàng thượng nói: - Chỉnh biết trung nghĩa như vậy cũng là do ông gây dựng cho.
整顿首谢曰：「诚如圣谕！」	Chỉnh rập đầu rằng: - Thật đúng như lời dạy của thánh thượng.
上慰劳久之。平曰：「今圣体少安，应接劳倦，臣请暂回军次，嗣后请不时朝见，如有顾问，钦候圣旨。」	Hoàng thượng vỗ về, an ủi hồi lâu nữa, rồi Bình cáo từ mà rằng: - Hiện giờ thánh thể không được khoẻ lắm, ứng tiếp mãi e rằng sẽ mỏi mệt. Thần xin tạm lui về nơi đóng quân. Từ nay về sau, thỉnh thoảng thần lại xin vào chầu. Nếu bệ hạ còn muốn hỏi han điều gì, thần xin cung kính đợi chờ thánh chỉ.
上曰：「寡人有天下而不与，垂衣拱手四十余年，今且耄荒，国计兵谋，非所素画，公既有尊扶，当留敞国以助寡人，幸勿见弃！」	Hoàng thượng nói: - Quả nhân có nước mà không được tham dự, khoanh tay rủ áo đã hơn bốn mươi năm. Nay lại già lẫn, việc nước việc quân đều không quen thạo. Ông đã có lòng tôn phò, thì hãy nên ở lại tệ quốc để giúp quả nhân, xin đừng ruồng bỏ!
平曰：「臣禀王兄命，止取顺化，来此为遂事，不敢久留。	Bình đáp: - Thần chỉ vâng mệnh vua anh đi lấy Thuận Hoá; nay đã trót ra đây cũng là việc nhân tiện mà làm, thần không dám ở lâu.
然四方未帖，亦须一番荡平，然后辞去。」	Tuy nhiên, vì bốn phương còn rối loạn, nên thần cũng phải đánh dẹp một phen cho yên đã rồi mới xin về.
上命茶童烹茶赐之，平从容饮茶而退，整亦从之。	Hoàng thượng sai trà đồng pha chè thết Bình. Bình ung dung uống chè, rồi lui ra. Chỉnh cũng ra theo.
整坐朝，见百官散落，皇上家臣无一可备应对，皇亲惟清源侯黎维韶、盖山侯黎维复，亦皆庸常，看看不成朝廷。	Trong lúc ngồi chầu, Chỉnh nhận thấy các quan tản mát chẳng ra sao: Gia thần của hoàng thượng thì không có người nào ứng đối nên lời. Còn về hoàng thân, chỉ có Thanh nguyên hầu Lê Duy Thiều, áng sơn hầu Lê Duy Phục, mà cũng đều là những kẻ tầm thường. Xem chừng không còn ra triều đình nữa.
惟有文属黎维琳、黎维绍，都是长安游子，特穷而不奔，依于内殿，因清源侯引见，皇上用之，以备文书。	Về hàng quan văn, chỉ còn hai người là Lê Duy Tân và Lê Duy Chiểu thì lại đều là những kẻ lêu lổng ở Trường An, vì cùng khốn quá không cần phải trốn, mới vào nương nhờ trong nội điện, rồi nhân có Thanh nguyên hầu tiến dẫn, nên được hoàng thượng dùng để coi về việc giấy má.
这二人整心亦所不喜，乃思迩来朝廷所素预政而已，平日所素与知者：泗川侯黎维藩、建川侯张登揆、韬堂侯汪士朗、练堂侯陈公灿、添差汝公瑱、完郡公阮完，凡六人，奏请皇上敕召，皇上即召之。	Đối với hai người này, bụng Chỉnh cũng đều không ưa. Chỉnh tự nghĩ: "Gần đây, những triều thần có tham dự chính sự và hàng ngày mình cũng đã biết, thì chỉ có Tứ xuyên hầu Phan Lê Phiên, Kiến xuyên hầu Trương Đăng Quĩ, Thao đường hầu Uông Sỹ Lãng (còn có tên là Uông Sỹ Điển), Luyện đường hầu Trần Công Thước, Thiêm sai Nhữ Công Điền, Hoàn quận công Nguyễn Hoàn, cả thảy sáu người". Chỉnh bèn tâu xin hoàng thượng ban sắc gọi đến. Hoàng thượng lập tức cho đi vời ngay mấy người ấy vào triều.
藩瑱久废在家，完、揆、灿、朗皆避兵走于城外，诸员皆钦召赴京，惟瑱托疾辞，朗见召有诘责，先以所领兵部印纳军输降，整还其印遣之，于是诸员日日赴朝堂议事，朝官闻之，陆续赴京。	Phan Lê Phiên và Nhữ Công Điền bị cách chức, ở nhà đã lâu. Nguyễn Hoàn, Trương Đăng Quĩ, Uông Sỹ Lãng và Trần Công Thước đều ra lánh nạn binh đao ở ngoài thành. Khi có chỉ nhà vua đòi, các viên ấy đều vâng mệnh tới kinh, riêng Nhữ Công Điền lấy cớ mắc bệnh điên để từ chối. Uông Sỹ Lãng thấy chiếu vua đòi, ngỡ có sự quở trách gì, trước khi vào chầu, vội đem chiếc ấn bộ Binh mà Lãng vẫn giữ, nộp cho Chỉnh để xin hàng. Nhưng Chỉnh trả lại ấn và bảo cứ ra. Thế là từ đó, các viên ấy ngày ngày lui tới triều đình để bàn việc nước. Những viên quan khác nghe tin, cũng đều lục tục đến kinh.
皇上命诸员随事与平酬应，平自以远边外方来，未谙本国习俗，凡与朝官酬应，一听于整。	Hoàng thượng liền truyền cho tất cả các viên quan trong triều đều phải tuỳ công việc mà giao thiệp với Bình. Bình tự nghĩ rằng mình ở nước ngoài xa xôi mới đến, chưa am hiểu phong tục tập quán của xứ này; cho nên công việc giao thiệp với các quan trong triều, Bình đều nhất nhất nghe theo Chỉnh.
整谓平曰：「公来此以尊扶一统为名，天下莫不想望，然所以一统者，须军国事权皆听专决，方为尊扶之实，公宜有以实之。	Một hôm Chỉnh nói với Bình rằng: - Ngài lấy danh nghĩa tôn phò nhất thống mà ra đây thiên hạ ai cũng mong ngóng. Nhưng danh phải đi đôi với thực. Muốn cho nhất thống, thì những việc quân việc nước đều phải do hoàng thượng quyết định, đó mới là cái thực của sự phò tôn. Ngài nên làm cái gì cho rõ sự thực ấy đi.
昨日万寿之见，犹为私谒，其事未公于天下，须择吉日，朝见成礼，俾天下共知，方为正大之举。」	Hôm nọ, ngài vào ra mắt hoàng thượng ở điện Vạn Thọ, mới chỉ là việc gặp gỡ riêng, chưa được tỏ rõ với thiên hạ. Nay ngài nên chọn ngày lành, cử hành lễ chầu yết cho thiên hạ đều biết. Như thế mới là việc quang minh chính đại.
平从之，乃择七月初七日，请皇上设大朝于敬天殿，百官以次侍立，平自率将士从端门入，行五拜三叩头礼，具本陈灭郑之功，并将兵民簿籍献之，请皇上设官分职。	Bình lấy làm phải, bèn chọn ngày mùng 7 tháng bảy. Đến ngày, Bình xin hoàng thượng mở cuộc đại triều ở điện Kính Thiên, các quan đều theo thứ tự đứng hầu. Bình tự dẫn các tướng sĩ theo cửa Đoan môn đi vào. Sau khi đã lạy năm lạy và rập đầu vái ba vái, Bình dâng lên tờ tâu nói về công diệt họ Trịnh, cùng các sổ sách quân, dân để hoàng thượng sai quan coi giữ.
皇上受朝毕，命饯平出殿门外而罢朝。	Hoàng thượng nhận lễ triều yết xong, truyền đưa tiễn Bình ra khỏi cửa điện, rồi bãi triều.
翌日，命朝官册平为元帅扶立翊运武威国公，具诏命，即军次封之，平拜命受封，礼讫，遣使进谢，礼意周至。	Hôm sau, hoàng thượng sai quan đem tờ chiếu đến tận chỗ đóng quân của Bình, phong cho Bình làm nguyên soái phù chính dực vũ, Uy quốc công. Bình làm lễ bái mạng nhận phong xong, liền sai sứ vào triều tạ ơn, rất là chu đáo.
既而私谓整曰：「吾提数万兵来一举而定天下，南国一土尺民，莫非我有！	Nhưng sau đó, Bình bảo riêng với Chỉnh rằng: - Ta đem mấy vạn quân ra đây, chỉ đánh một trận mà dẹp yên được cả thiên hạ. Một thước đất, một người dân của nước Nam, không có cái gì không thuộc quyền sở hữu của ta.
纵我称帝称王，有何不可？	Ví phỏng ta muốn xưng đế, xưng vương, gì mà chẳng được.
所以让而不居者，厚于黎家耳！	Sở dĩ ta nhường nhịn không ở những ngôi ấy, là hậu đãi nhà Lê đó thôi!
元帅、国公于我何加，毋乃南国以空名笼罩我耶？	Cái chức nguyên soái, quốc công, với ta có thêm được gì đâu? Phải chăng là nước Nam dùng cái danh hão ấy để lung lạc ta?
我若不受，恐皇上谓我骄矜，受而不言，则国人谓我蛮貊，故因言及而言之耳。」	Nếu ta không nhận thì e hoàng thượng bảo ta là kiêu căng. Song nhận mà không nói gì, thì người trong nước lại bảo ta là mọi rợ. Nên nhân tiện nói chuyện, thì ta cũng nói cho rõ mà thôi!
整知平意不满，矫为皇上私语漏于平曰：「皇上曾私语臣曰：『皇家清俭，无物可赠，极知区区名爵不足以益其贵，只是国俗好礼，聊以敬公之诚。	Chỉnh biết ý Bình không bằng lòng, bèn bịa ra lời riêng của hoàng thượng rồi vờ tiết lộ với Bình rằng: - Hoàng thượng đã có ý bảo riêng với tôi rằng: nhà vua đơn bạc, không có vật gì đáng tặng. Vẫn biết những cái danh tước nhỏ mọn, không đủ làm cho ngài sang thêm. Song vì tục lệ trong nước vốn chuộng lễ nghĩa, nên cũng gọi là tỏ chút lòng thành của hoàng thượng kính ngài mà thôi.
』皇上初意，自以年高，恐公归后，无以倚重，欲联二姓之亲，世结婚谊，未知公意如何？	Bản ý của hoàng thượng vẫn cho rằng mình đã cao tuổi, sợ sau khi ngài về, không thể nương tựa vào ai, nên người muốn nối liền tình thân hai họ, để cho hai nước đời đời kết tình thông gia giao hảo với nhau.
故不敢显言耳。」	Nhưng vì chưa hiểu ý ngài thế nào, nên hoàng thượng vẫn còn trù trừ chưa dám nói rõ.
平曰：「自古征夫闺情最切，皇上亦烛此意耶！	Bình đáp: - Xưa nay những kẻ chinh phu xa nhà, tình khuê phòng rất là cần thiết. Hoàng thượng cũng xét đến chỗ ấy kia à? Ừ!
以西王弟为南国帝甥，如此门当户对，想亦人不多有。」	Em vua nước Tây, làm rể hoàng đế nước Nam, "môn đương hộ đối" như thế, tưởng cũng không mấy người đã có được.
举坐大笑，既而曰：「直戏耳！	Mọi người ngồi quanh Bình đều cười. Bình lại tiếp: - Nhưng nói đùa đó thôi!
皇上此意可谓老谋，欲成两国之和。」	ý nghĩ ấy của hoàng thượng thật là mưu kế già giặn. Người muốn cho hai nước hoà hiếu với nhau đấy mà.
整知平意可，乃入奏皇上，且述其事，且问帝女未嫁公主还有几位？	Chỉnh biết là Bình bằng lòng, bèn vào tâu với hoàng thượng, kể hết đầu đuôi như vậy, rồi lại hỏi xem con cái hoàng thượng hiện còn mấy công chúa chưa gả chồng.
原来上晚生女，未嫁有五六人，惟一位公主字玉焮，姿色冠绝，德行俱优，上最所钟爱，平日常曰：「此女他日当嫁为王妃，不当嫁寻常驸马。」	Nguyên trong số những người con gái đẻ sau của hoàng thượng, còn có đến năm, sáu nàng công chúa chưa chồng. Nhưng chỉ riêng có một nàng tên chữ gọi Ngọc Hân, là người có sắc đẹp và nết na hơn cả. Hoàng thượng rất yêu quí Ngọc Hân, thường ngày vẫn nói: "Con bé này ngày sau nên gả làm vương phi, không nên gả cho hạng phò mã tầm thường!"
至是，上闻整言，心许之。谓整曰：「朕室女尚多，惟玉焮稍有姿色，但人情爱子尚偏，未知外人眼上何如？	Lúc ấy nghe lời Chỉnh nói, hoàng thượng trong bụng cũng ưng, bèn bảo Chỉnh: - Con gái chưa chồng của trẫm còn nhiều, nhưng chỉ có mình Ngọc Hân là có chút nhan sắc. Tuy vậy, thói thường yêu con vẫn hay thiên lệch, chưa biết ở mắt người ngoài thì ra sao.
卿第留此，听朕召来一看，卿自择其可者，赞成之。」	Ngươi hãy ở đây, để trẫm đòi cả ra cho mà coi qua, rồi tuỳ người lựa xem người nào xứng đáng thì giúp cho thành việc đi!
乃命侍者宣召，有顷齐出御前，整一见曰：「谐矣！	Rồi hoàng thượng sai viên quan đứng hầu đi gọi các công chúa. Một lát, tất cả các cô con gái chưa chồng của hoàng thượng đều ra hầu ở trước ngự toạ. Chỉnh liếc nhìn một lượt, rồi nói: - Được rồi!
这好姻缘，臣请牵缘，当十分停当。」	Mối nhân duyên tốt lành này, thần xin làm mối, mười phần chắc xong cả mười.
乃归语于平曰：「昨日私漏上公语，见上奏的话，上意大悦，谓臣曰：既得尊公的意如此，亦是天缘排来。	Rồi Chỉnh về nói với Bình: - Câu chuyện riêng hôm qua tôi nói với ngài, nay tôi đã vào tâu với hoàng thượng, Người vui mừng mà bảo tôi rằng: Nếu đã được ngài bằng lòng cho như thế, âu cũng là duyên trời run rủi.
上有第九公主，年十六岁，请承宠后庭，以奉巾栉，俾两国成亲，世修和好。」	Hiện hoàng thượng có nàng công chúa thứ chín, tuổi vừa đôi tám, xin cho nương bóng nhà sau, hầu hạ khăn lược, để cho hai nước thành thông gia, đời đời hoà hiếu với nhau.
平戏答曰：「以勘乱出，以娶妇归，奈群儿辈嗤笑何？	Bình nói đùa rằng: - Vì dẹp loạn mà ra, để rồi lấy vợ mà về; bọn trẻ nó cười cho thì sao.
虽然我但惯南河女，未知北河女？今须一试，看看好否？」	Tuy nhiên, ta mới chỉ quen gái Nam Hà, chưa biết con gái Bắc Hà, nay cũng nên thử một chuyến xem có tốt không?
满坐皆笑。	Những người cùng ngồi với Bình đều cười ầm.
整回平曰：「我遥拜皇上陛下万岁，山谷辽僻远来，岂敢唐突如此？	Chỉnh ra về, Bình lại nói thêm: - Tôi xin kính lạy dưới bệ hoàng thượng vạn tuế! Ở nơi khe núi hẻo lánh xa xôi tới đây, há dám đường đột như vậy?
何幸得附于金玉牒谱，实千载奇缘，山谷不胜欣慰之至！」	Bây giờ may sao được bám vào cành vàng lá ngọc, thật là một mối duyên kỳ ngộ ngàn năm mới có. Kẻ ở khe núi này xiết bao mừng rỡ.
至整回奏，上乃以公主嫁平，平遂择本月初十日，具黄金二百两白金二千南彩缎二千端，陈设兵仗旗帜，使其文臣刑部侍即捧奏本诣万寿殿，上使皇子崇让公接受，告于太庙，以次日送婚，命皇亲妃主诸位舆文武诸臣，各具车马，至日候殿门外，送公主归平府。	Chỉnh vào điện tâu lại với hoàng thượng. Hoàng thượng bèn gả công chúa Ngọc Hân cho Bình. Bình chọn ngày mồng mười tháng ấy, sắp sẵn hai trăm lạng vàng, hai ngàn lạng bạc, hai chục tấm đoạn màu, bày biện gươm giáo cờ quạt; rồi sai viên thị lang bộ Hình đem các thứ lễ vật đó cùng một tờ tâu vào điện Vạn Thọ. Hoàng thượng cho hoàng tử là Sùng nhượng công ra đó nhận lễ vật, làm lễ cáo ở nhà Thái Miếu, định ngày hôm sau thì đưa dâu. Rồi hoàng thượng lại truyền cho các hoàng thân, hoàng phi, công chúa và các quan văn võ, ai nấy đều phải sửa soạn ngựa xe, sớm hôm đó đợi ở cửa điện, để đưa công chúa về phủ của Bình.
翌日大早，平差官具奏本请迎婚，使兵卫立街衢两边，自殿门至府门，京中士女观者如墙，咸以为古今旷事。	Sáng sớm hôm sau, Bình lại sai quan đem một tờ tâu vào triều, xin cho làm lễ nghênh hôn. Một mặt, Bình khiến quân lính đứng sắp hàng ở hai bên đường, từ cửa điện đến cửa phủ. Trai gái trong kinh nghe tin, rủ nhau đi xem đông như ngày hội. Ai cũng cho là việc hiếm có xưa nay.
公主车至府门，平乘金龙轿出迎，一如人家礼。	Khi xe của công chúa tới cửa phủ, Bình ngồi kiệu rồng vàng ra đón, hết thảy mọi thứ lễ nghi đều theo đúng như lệ thường ở các nhà.
