第四回。	Hồi thứ tư.
却说阮有整于壬寅年开帆出海，入西山广南地界，北夹隘云，南夹嘉定，西夹哀牢，东夹海堤，封千里。	Bây giờ lại nói về việc Nguyễn Hữu Chỉnh giong buồm ra biển vào Tây Sơn trong năm Nhâm Dần (1782). Ấp Tây Sơn thuộc địa phận xứ Quảng Nam (Quảng Nam hồi ấy gồm cả ba tỉnh Nam Ngãi Định cũ.
阮家置为西山郡。	Ấp Tây Sơn ở vào địa phận tỉnh Bình Định).
西山有姓阮名文岳者，原乂安人，于阳德间，阮师侵乂安，据有南河七县，俘其民南归处于西山，文岳亦在其中。	Xứ này phía bắc giáp Hải Vân, phía nam giáp Gia Định, phía tây giáp Ai Lao, phía đông giáp biển; bờ cõi rộng hàng ngàn dặm. Ở ấp Tây Sơn có người họ Nguyễn tên là Văn Nhạc, tổ tiên nguyên là người Nghệ An. Khoảng năm Thịnh Đức (Lê Thần Tông 1653-1657), quân nhà Nguyễn ra đánh Nghệ An, chiếm cứ được bảy huyện phía nam sông Cả, rồi dồn bắt tất cả dân cư đưa về Nam cho sống ở vùng Tây Sơn. Tổ bốn đời của Văn Nhạc, chuyến ấy cũng bị bắt ở trong số đó.
岳家资富厚，以樗蒲负赌，转富为贫，遂为云屯巡卞吏，人呼为卞岳。	Văn Nhạc trước kia nhà nghèo, nhưng sau nhờ vào việc gá bạc mà gia tư bỗng trở nên giàu có. Nhạc từng làm biện lại ở Vân Đồn, nên người ta vẫn thường gọi là biện Nhạc.
既而又被负官钱，遂逃入山中，有手下百余人，寇掠州邑，镇将不能制，自称西山王。	Biện Nhạc vì tiêu mất tiền công, bèn trốn vào núi, tụ tập tay chân hơn một trăm người, rồi đi ăn cướp ở các châu ấp. Viên trấn tướng vùng ấy không sao trị nổi. Từ đó, biện Nhạc tự xưng là chúa Tây Sơn.
一日岳自坐槛中，使其手下轮报沿途曰：「西山王即卞岳，已成擒，驿送镇营解纳。」	Một hôm, biện Nhạc tự ngồi vào trong cũi, cho bọn tay chân khiêng đi và loan báo ở dọc đường rằng đã bắt được chúa Tây Sơn tức biện Nhạc, xin đưa đến dinh trấn để trình nộp.
镇将大喜，开门受之。	Viên trấn tướng mừng lắm, mở cửa cho vào, rồi đem giam ở trong ngục.
岳縻在城中，夜破槛而出，夺狱吏卒兵器，先杀狱吏，焚其营，遂杀镇将而据其城。	Đêm ấy, biện Nhạc phá cũi xông ra, cướp lấy thanh gươm của tên lính canh ngục, chém chết tên ấy, phóng lửa đốt luôn dinh trấn, rồi giết nốt viên tướng trấn và chiếm lấy thành (đây là thành Qui Nhơn, do trấn tướng Nguyễn Khắc Tuyên coi giữ.
时阮淳年幼，国传达郡公专政，国内乖离，文岳叛命，借北国无赖人，伪集亭侯为援，以拒阮师，阮累战不克，势浸强大。景兴甲午圣祖乘衅，命大司徒晔郡公为平南上将，提兵按罗河，声言入援两山王，岳遣人贡名马宝剑求内附。	Theo một số tài liệu khác thì Nhạc chỉ là người vào làm nội ứng, bên ngoài lúc ấy đã có Nguyễn Thung cầm đầu một toán quân Tây Sơn ập vào, cùng với Nhạc cướp thành). Bấy giờ chúa nhà Nguyễn là Nguyễn Phúc Thuần (tức Định vương) còn bé, quan quốc phó của triều đình nhà Nguyễn là Đạt quận công (Trương Phúc Loan) nắm hết quyền chính, làm lắm điều càn bậy, nên lòng người trong xứ đều lìa tan. Khi Văn Nhạc nổi loạn, lại mượn một bọn vô lại người phương Bắc (khi Nguyễn Nhạc khởi nghĩa, có hai thương nhân Trung Quốc là Tập Đình và Lý Tài chiêu tập các dân nghèo người Hoa kiều theo giúp. Lý Tài xưng là Hoà nghĩa quân, Tập Đình xưng là Trung nghĩa quân.
时顺化初定，将士惮劳，欲置西山为后图，启请因而抚之。	Quân của Lý Tài và Tập Đình chiến đấu rất hăng, làm cho bên địch vô cùng sợ hãi. Nhân đó, Nhạc thường chọn nghĩa quân của mình lấy những người cao lớn, cho ăn mặc giống như quân của Lý Tài và Tập Đình, lúc ra trận quân Nguyễn trông thấy bóng đã bỏ chạy. Người phương Bắc nói đây chính là trỏ vào những người Hoa kiều đó) giả xưng làm quân cứu viện của Tập đình hầu, để chống với quân nhà Nguyễn. Mấy trận đánh nhau, quân nhà Nguyễn đều không thắng nổi, do đó mà thanh thế của Tây Sơn ngày càng to lớn hơn. Năm Giáp Ngọ (1774) niên hiệu Cảnh Hưng, thánh tổ Thịnh vương nhân cơ hội đó, mới sai quan đại tư đồ Việp quận công làm Bình Nam thượng tướng, đem quân đóng ở La Hà và phao lên rằng sẽ vào tiếp viện cho chúa Nguyễn. Nhạc thấy vậy liền sai người đem cống một con ngựa hay, một thanh gươm báu, và xin theo về triều đình. Hồi ấy, xứ Thuận Hoá mới dẹp yên, tướng sĩ đều ngại vất vả, muốn để công việc Tây Sơn sẽ tính toán sau. Do đó quận Việp mới làm tờ khải về trình với Thịnh vương, xin nên nhân dịp ấy mà vỗ về Nhạc.
圣祖遂以岳为广南镇守宣慰大使恭国公，自是岁修职贡。	Vương cũng nghe lời, bèn cho Nhạc làm trấn thủ Quảng Nam và phong làm Tuyên uý đại sứ, Cung quốc công. Từ đó, hàng năm Nhạc vẫn dâng lễ cống đều đặn.
晔郡尝使阮整使西山，整以才辨为岳所爱重，其后岳有黄龙之瑞，为龙头座桤即位，自称天王，建元泰德，朝廷知之，置而不问。	Quận Việp thường hay sai Nguyễn Hữu Chỉnh làm sứ giả qua lại với Tây Sơn. Thấy Chỉnh có tài biện luận, Nhạc rất yêu mến. Được ít lâu, Nhạc thấy có điềm rồng vàng, liền cho đóng ngai rồng, lên ngôi vua, tự xưng là thiên vương, đặt niên hiệu là Thái Đức. Triều đình biết vậy, nhưng cũng bỏ đó không hỏi gì đến.
岳尝有吞并顺化之志，而无可计事者，至是得整来奔，岳大喜。	Bấy giờ Nhạc đang có ý muốn thôn tính Thuận Hoá, mà vẫn chưa có người để bàn định công việc. Nên khi được Chỉnh chạy vào với mình, Nhạc mừng lắm.
但其心未信，整具述颠末，请以妻子为质，求依其国，岳许之。	Nhưng thực ra, trong lòng vẫn chưa tin. Chỉnh cũng nhận thấy điều đó, liền kể với Nhạc tất cả đầu đuôi câu chuyện của mình, rồi lại tình nguyện gửi vợ con làm con tin, để xin được nương tựa vào xứ sở của Nhạc, Nhạc bằng lòng.
岳素爱整才，浸见亲信，整亦尽心所事，为岳画计。	Nhạc vốn đã mến tài của Chỉnh, nên đối với Chỉnh càng ngày càng thân mật, tin cậy.
取占城、暹罗、盆蛮诸国，身自执兵前驱，冲冒矢石，诸国取次削平，于是情分日密。	Ngược lại, Chỉnh cũng hết lòng thờ Nhạc, bày kế cho Nhạc đánh chiếm đất đai các nước Chiêm Thành, Xiêm La, Bồn Man. Rồi Chỉnh lại tự mình cầm quân đi tiên phong, xông pha vào những nơi tên đạn, khiến mấy nước lân cận ấy lần lượt đều bị đánh bại. Do đó, ân tình giữa Nhạc với Chỉnh lại càng thêm mặn mà.
整在西山，日思返国，而朝廷失一整亦深以为虑，尝募有能招整者重赏之。	Tuy thế, nhưng trong khi ở với Tây Sơn, Chỉnh vẫn hàng ngày mong về nước cũ. Lại nói, triều đình từ khi mất Chỉnh, rất lấy làm lo, thường vẫn chiêu mộ xem ai dụ được Chỉnh trở về thì sẽ trọng thưởng.
整妹夫请行，朝廷给密旨遗之，其人入见整，未及出言，整曰：「尔劳若跋涉，来此何干？	Một người em rể của Chỉnh xin nhận việc đó. Triều đình liền cấp cho một đạo mật chỉ để người ấy lên đường. Lúc gặp Chỉnh, người ấy chưa kịp nói gì thì Chỉnh đã hỏi: - Chú lận đận trèo đèo lội suối tới đây làm chi?
母乃为郑王作说客耶！	Có phải định làm thuyết khách cho chúa Trịnh không?
尔看我面，生来何曾听人吹嘘，而尔斗胆若是！」	Chú coi mặt ta, xem từ khi đẻ ra đến giờ đã từng nghe ai xui khôn xui dại chưa, mà chú dám cả gan như vậy?
阿妹夫只得低头默默而已。	Người em rể chỉ còn biết cúi đầu nín lặng, không dám nói gì nữa.
整曰：「虽然，尔从北来必知事情端的，且为我说，前镇官被难后，公主与公子落在何处？」	Chỉnh lại hỏi tiếp: - Nhưng thôi được, chú đã ở Bắc vào đây, ắt là biết rõ đầu đuôi sự việc. Vậy chú hãy kể cho ta nghe xem, từ sau khi Huy quận công bị nạn, thì công chúa (chỉ con gái Trịnh Doanh, vợ Huy quận công) và các cậu công tử lưu lạc đi đâu?
曰：「公主那时被杨太妃拘于后宫，两公子闻变出奔，归于安勇县，起兵复雠，京北震动，郑王使京北镇守满忠侯将兵击之，阵于三层山，公子使首令黄秀为前部选锋出战，阵前斗死。	Người ấy đáp: - Khi ấy, công chúa bị Dương thái phi giam vào hậu cung. Còn hai công tử nghe tin có biến thì bỏ chạy về huyện Yên Dũng, dấy quân trả thù, làm chấn động cả vùng Kinh Bắc. Chúa Trịnh sai viên trấn thủ Kinh Bắc là Mãn trung hầu đem quân đi đánh. Quân Mãn trung hầu bày trận ở núi Ba Tầng (nay ở địa phận huyện Việt Yên, Hà Bắc). Các công tử sai viên thủ lệnh Hoàng Tú làm tiền bộ đem quân ra đánh. Hoàng Tú bị chết ngay trước trận.
军败，两公子并为所获，槛送京师。」	Quân sĩ tan rã. Hai công tử đều bị bắt sống, đóng cũi giải về kinh.
整叹曰：「少年客气，无怪败事，然亦义举也！虽败犹荣。」	Chỉnh nghe xong, than rằng: - Tuổi trẻ bồng bột, hèn nào không hỏng việc! Nhưng cũng là một việc làm vì nghĩa, dầu thất bại mà vẫn vẻ vang...!
又问送归京师，究竟如何？	Rồi Chỉnh lại hỏi: - Thế đưa về kinh rồi sau ra sao?
曰：「廷议当死，王念姑舅之亲，特赐减死，但被太妃密使人以鸩杀之。	Người ấy trả lời: - Triều đình bàn định hai công tử đều đáng tội chết. Chúa nghĩ tình anh em cô cậu, ra ơn cho được tha tội chết. Nhưng lại bị thái phi ngầm sai người đến bắt uống thuốc độc.
有人告王，王使人中止之，至则长公子已被毒了，第二公子幸得免，今见监在兑门狱。」	Có kẻ báo với chúa. Chúa vội sai viên trung sứ đến ngăn lại. Nhưng khi đến nơi thì cậu cả đã bị trúng độc chết rồi. Chỉ còn cậu hai hiện đang bị giam ở ngục cửa Đoài.
整喟然叹曰：「哀哉！	Chỉnh tỏ vẻ ngậm ngùi mà rằng: - Thương thay!
毁巢覆卵人也何辜？」	Phá tổ đổ trứng (đời Tam quốc, Khổng Dung bị Tào Tháo bắt, lúc sắp bị giết chết, có kẻ đến bảo hai con của Dung nên trốn đi; hai người đó trả lời: "Tổ vỡ thì trứng còn toàn vẹn làm sao được"- Câu này dùng theo ý đó)! Người ta có tội tình gì?
又问公主拘于后宫，起居若何？	Lại hỏi: - Còn công chúa, từ khi bị giam vào hậu cung thì việc ăn ở ra sao?
曰：「王以胞姑之亲，情有不忍，但太妃挟以旧怨，多方苦恼。	Đáp: - Chúa cũng nghĩ tình cô ruột, không nỡ hành hạ gì cả. Song vì thái phi vẫn có hiềm cũ, nên đã làm cho khổ cực đủ đường.
公主忧忿成病而殂。」整太息久之曰：「死为得所，何以生为？」	Công chúa vừa đau buồn vừa uất giận, nên đã thành bệnh mà chết rồi! Chỉnh thở dài hồi lâu, rồi nói: - Công chúa chết cũng là phải, sống mà làm gì nữa...!
又问邓宣妃如何？	Lại hỏi: - Thế còn Đặng Tuyên phi thì thế nào?
曰：「小王废后，太妃令人拿宣妃来，宣妃不肯拜，两侍女夹持拽发叩首于地，宣妃坚不肯拜，亦不出一言，太妃怒，数其罪答之，唾其头目，幽于后苑之护僧堂，备极辛苦。	Đáp: - Khi chúa nhỏ bị bỏ, thái phi liền sai người bắt Tuyên phi đến trước mặt mình, kể tội, rồi buộc Tuyên phi phải lạy tạ. Tuyên phi không chịu lạy. Thái phi bèn sai hai thị nữ đứng kèm hai bên, níu tóc Tuyên phi rập đầu xuống đất. Nhưng Tuyên phi vẫn nhất định không chịu lạy, mà cũng không nói nửa nhời. Thái phi giận quá, đánh đập một hồi, nhổ nước bọt vào đầu vào mặt, rồi đem giam vào nhà Hộ Tăng ở vườn sau. Tại đây, Tuyên phi bị làm tình làm tội cực kỳ khổ sở.
一日宣妃蒙衣蔽面，出宣武门逃去，至庯客渡追及之，拘监益密。	Một bữa, Tuyên phi lấy áo che mặt, trốn ra khỏi cửa Tuyên Vũ, chạy đến bến đò phố Khách thì bị quân lính đuổi kịp. Từ đó, lại càng bị giam giữ chặt chẽ.
次年盛福山陵寝俎豆金木器无故应手烂碎如泥，寝郎急告变，太妃问诸巫女，巫女曰：『主上违先王意，不孝有二：主上初立，疑邓氏为符咒衤厌梓宫内，发梓宫更其衣衾带敛，使玉骨不宁，一也；邓氏先王所爱，而屈辱之，使亡灵不安，二也。	Năm sau trong nhà tẩm miếu trên lăng Thịnh Phúc, tự dưng bao nhiêu đồ thờ bằng gỗ, bằng vàng hễ động tay vào là nát mủn như bùn. Viên giữ lăng miếu vội vàng gửi thư về kinh trình rõ việc biến. Thái phi cho đòi cô đồng vào hỏi. Cô đồng phán rằng: "Chúa thượng đã làm trái ý tiên vương; tội bất hiếu có hai điều: Chúa vừa lên ngôi, đã ngờ Đặng thị làm bùa yểm trong tử cung, rồi tự ý cạy mở tử cung, thay đổi quần áo khâm liệm, khiến cho xương ngọc không yên. Đó là một! Đặng thị là người mà tiên vương yêu dấu, bây giờ bị chúa làm cho tủi nhục đủ đường, khiến vong linh tiên vương phải áy náy. Đó là hai!
不早悔谢，其变未止。	Nếu không mau hối lỗi tạ tội, tai biến sẽ còn nhiều nữa!".
』太妃恐，告于王。	Thái phi sợ hãi, lập tức vào nói với chúa.
王乃命官谢祭，仍复宣妃为侍内宫嫔，使奉寝庙，宣妃得侍寝庙，日夜号泣请殉。	Chúa bèn sai quan tế lễ tạ tội, rồi cho Tuyên phi được trở lại làm cung tần nội thị vào thờ phụng tẩm miếu. Tuyên phi được vào hầu hạ lăng tẩm, đêm ngày chỉ gào khóc xin chết theo tiên vương.
至先王大祥日，饮药而殂。	Đến ngày giỗ "đại tường" của tiên vương, Tuyên phi bèn uống thuốc độc mà chết.
王命清华镇官以宫人礼择陵外一里之地葬之。」	Chúa sai quan trấn thủ Thanh Hóa, theo lễ cung nhân táng Tuyên phi ở cách Vọng lăng của tiên vương một dặm.
整曰：「得其死矣！	Chỉnh nói: - Chết được đấy!
吾以为宣妃但有个颜色，不知其芳心乃尔，第不知妃位缘何更复为宫嫔。」	Ta tưởng Tuyên phi chỉ có nhan sắc, không ngờ lại có tiết liệt như vậy. Nhưng không hiểu vì sao ngôi của Tuyên phi lại bị giáng làm cung tần như thế?
曰：「王立逾年，出顾命书，有圣母御批下朱字云：非先王龙笔，不足为凭，付下廷议，添差范阮攸定为国是，言奠都王之位，与宣妃之命，及顾命书，皆先王乱命，逆常违理，非所以为是。	Đáp: - Bởi vì khi chúa lên ngôi được một năm, người ta lục tờ cố mệnh của tiên vương, thấy có chữ son của thánh mẫu ngự phê rằng: "Không phải bút rồng của tiên vương, không đủ làm bằng". Chúa liền giao tờ đó cho triều đình bàn định, bấy giờ quan thiêm sai Phạm Nguyễn Du làm tờ luận về "quốc sách", nói rằng: "Ngôi của chúa Điện đô với sách mệnh của Tuyên phi cùng tờ cố mệnh, đều là cái mệnh của tiên vương trong lúc mê lẫn. Nó rất trái lẽ thường, sai đạo lý, không thể cho là phải được.
圣母以母改子，深得事理之正，宜追按附和之罪，明正典刑。	Nay thánh mẫu là mẹ mà đổi lại ý của con thì thật là một việc hết sức chính đáng. Vậy cần phải truy xét về cái tội của những kẻ phụ hoạ, để làm cho sáng tỏ và nghiêm chỉnh pháp điển của nhà nước!"
于是宣妃坐废为庶人，泗川侯坐擅写顾命书，卿郡公坐擅代龙笔，添差汝公瑱坐擅草宣妃册命，出纳垂忠侯坐编传册，此并罢职还项，邓氏复为宫嫔，缘此故也。」	Do đó mà Tuyên phi bị truất làm người thường. Rồi Tứ xuyên hầu vì viết tờ thư cố mệnh, Khanh quận công vì tự tiện viết thay bút rồng, Thiêm sai Nhữ Công Chấn vì tự tiện thảo tờ sách mệnh phong Tuyên phi, xuất nạp Thuỳ trung hầu vì sao những tờ sách mệnh ấy đưa ra chính phủ... đều phải bãi chức về làm dân thường. Đặng thị sau này lại phải giáng làm cung tần, cũng là vì cớ đó.
又问：此外更别有恩怨否？	Lại hỏi: - Ngoài mấy việc ấy, còn chuyện báo ơn báo oán gì khác nữa không?
曰：「王立之明日，下令并在含容，惟庚子年密案者不在赦例，诸人次第伏锧，惟吴时任不知所之。	Đáp: - Chúa mới lên ngôi hôm trước, hôm sau liền hạ lệnh rằng, tất cả mọi người đều được khoan dung, chỉ riêng những kẻ tố giác việc năm Canh tý thì không được tha. Vì vậy những kẻ này lần lượt đều bị bắt và bị làm tội hết thảy. Duy Ngô Thì Nhậm không biết trốn đi đâu.
其坐密案死者：遵生侯、溪忠侯、与第六姨夫，皆崇以王爵，设超度坛，以洗其冤。」	Những kẻ phải chết về vụ án Canh tý gồm có Tuân sinh hầu, Khê trung hầu và chồng dì Sáu, về sau đều được truy tặng tước vương và lập đàn chay để làm lễ cầu siêu, giải oan cho họ.
整曰：「诛父命于朝，彰父过于国，此大不孝之事。」	Chỉnh nói: - Bãi bỏ mệnh của cha giữa triều đình, phô bày lỗi của cha với cả nước; đó là việc đại bất hiếu!
又问：参从陪从某员人？	Lại hỏi: - Tham tụng, bồi tụng bây giờ là những ai?
曰：「王初立，泗川侯罢，以陪从裴辉璧代之，封继烈侯，今继烈侯独行参从。	Đáp: - Chúa mới lập nên, Tứ xuyên hầu liền bị bãi chức; quan bồi tụng Bùi Huy Bích lên thay chân và được phong làm Kế liệt hầu. Nay Kế liệt hầu vẫn một mình giữ ngôi tham tụng.
张登揆及枚世汪、阮公灿等，更送为陪从。	Còn bọn Trương Đăng Quỹ, Mai Thế Uông, và Trần Công Thước được thay nhau làm bồi tụng.
此皆当今柄用的面目也。」	Đó đều là những bậc tai mắt nắm quyền chính hiện giờ.
又问：自此至今，有灾祥如何？	Hỏi tiếp: - Từ bấy đến nay, còn có điềm lành, điềm gở gì không?
曰：「无祥，但于壬寅年十一月十五日，忽于空中大响一声，响长刻余，震天动地，不知何声？」	Đáp: - Điềm lành không thấy, chỉ có điềm gở thì nhiều: ngày rằm tháng một năm Nhâm Dần (1782), ở trong cung bỗng dội ra một tiếng rất to, rền vang đến hơn một khắc, làm rung chuyển cả trời đất. Không hiểu là tiếng gì?
整曰：「此天鼓声也。」	Chỉnh nói: - Đó là tiếng trống trời.
又曰：「癸卯年雄王山陷二十余丈；是年六月天德江竭一日夜；甲辰年十月初一日之夜，水军湖中有声如雷，湖水沸动，旦日鱼虾尽死；又于府中树上，尝有鸦数万盘飞，日夜乱噪；又府堂阁门边城，无故陷约十余丈；此皆大异，人所共知，其余细小，不能尽述。」	Người ấy kể tiếp: - Năm Quí Mão (1783), núi vua Hùng tự nhiên sụt xuống hơn hai chục thước. Tháng sáu năm ấy, con sông Thiên Đức (tức sông Đuống) cạn hẳn một ngày một đêm. Năm Giáp Thìn (1784), giữa đêm mùng một tháng mười, trong hồ Thuỷ Quân (tức hồ Hoàn Kiếm) thình lình có tiếng phát ra như sấm, nước hồ sủi lên sùng sục, sớm mai bao nhiêu tôm cá đều chết sạch. Cũng trong năm ấy, trên các cây cối trong phủ chúa, thường có hàng vạn con quạ ở đâu kéo đến, bay lượn lao xao, ngày đêm kêu gào quang quác. Rồi ở quãng bờ thành phía ngoài cửa các của phủ đường, bỗng dưng cũng sụt xuống hơn mười trượng. Đó là những sự lạ to lớn, ai ai cũng biết. Còn những chuyện lặt vặt, thì không sao kể hết được.
整颔之数四，遂问骄兵之状，且对颠末。	Chỉnh chắt lưỡi luôn mấy cái, rồi hỏi đến tình trạng bọn kiêu binh. Người ấy cứ theo sự thực kể lại hết đầu đuôi.
既毕，整召膳夫令具酒食醉饱之。	Chỉnh xem chừng câu chuyện đã cạn, bèn sai nhà bếp làm cơm rượu, thết đãi cho người ấy ăn uống thật no say.
乃诘其来意，对曰：「珰忠侯以仆与公有亲，自启于王，领旨命仆说官人回朝，不失富贵。」	Sau đó, Chỉnh mới căn vặn người ấy rằng vào đây để làm gì? Người ấy thưa: - Đương trung hầu thấy tôi với quan lớn có tình bà con, nên mới tâu với chúa, xin giáng chỉ sai tôi đến đây khuyên quan lớn về triều, cho khỏi mất công danh phú quí.
整笑曰：「尔愚诚不足责，吾特恶其使尔者，敢欺侮我，吾为尔结果。	Chỉnh cười mà rằng: - Chú là đứa ngu, ta thực không thèm chấp. Song ta chỉ ghét cái đứa sai chú đến đây dám khinh nhờn ta.
尔纵有冤，自归冥府，讼其所使者。」	Vậy ta kết quả tính mạng cho chú; nếu có oan ức thì cứ xuống âm phủ mà kiện cái đứa đã sai chú ấy!
乃命手下推而斩之，岳闻整斩其说客，益深亲信。	Rồi Chỉnh hạ lệnh cho tay chân lôi luôn người ấy ra chém chết. Nhạc thấy Chỉnh chém thuyết khách, lại càng thân cận tin yêu hơn.
越丙午春末，顺化大将造郡公，使其属校翊右队阳岭伯阮孚如入西山言边事。	Qua năm Bính ngọ (1786), khoảng cuối mùa xuân, đại tướng Thuận Hoá là Tạo quận công (tức Phạm Ngô Cầu) sai viên thuộc hiệu đội Dực Hữu là Dương lĩnh bá Nguyễn Phu Như vào Tây Sơn nói về công việc biên giới của hai xứ.
孚如与整素相善，为整言顺化可取之状。	Phu Như với Chỉnh vốn là chỗ quen biết, liền nói với Chỉnh những lẽ có thể lấy được Thuận Hoá.
且言清、乂及四镇之民大饥，民情怨苦，兵与民相失，势不能久。能取顺化，则天下不足平矣。	Rồi Như lại cho Chỉnh biết rằng hai xứ Thanh Nghệ và cả bốn trấn hiện đang bị đói lớn, dân chúng đều ta oán kêu khổ, dân với lính chẳng ưa gì nhau, tình thế không thể lâu bền; nếu lấy được Thuận Hoá, thì việc dẹp yên thiên hạ không khó gì nữa!
整由是决定返国之计，入告岳，陈取顺化机宜，请调发兵将，直取富春。	Do đó, Chỉnh mới quyết định mưu kế về nước. Luôn bữa ấy, Chỉnh vào hầu Nhạc, bày cách thức lấy đất Thuận Hoá, và xin điều động binh tướng đánh chiếm ngay lấy Phú Xuân.
岳从之，命其弟上公阮文平，节制水步诸军勇将武任为左车都督，使整为右军，并听平号令，以四月二十八日出师，望富春城进发。	Nhạc theo lời, liền sai người em ruột là thượng công Nguyễn Văn Bình (tức Nguyễn Huệ), đốc xuất các quân thuỷ bộ; lại sai dũng tướng Võ Văn Nhậm (Võ Văn Nhậm vốn là tiết chế của họ Nguyễn, bị Tây Sơn đánh thua ở trận Gia Định, toan tự tử, sau nghe Nguyễn Huệ dụ hàng, Nhậm bèn theo Tây Sơn từ đó, rồi được Nhạc gả con gái cho) làm tả quân đô đốc, Nguyễn Hữu Chỉnh làm hữu quân đô đốc, cùng theo hiệu lệnh của Bình, đến ngày 28 tháng tư thì kéo quân lên đường, tiến thẳng về phía thành Phú Xuân.
却说顺化自甲午年归我疆土，朝廷以富春为极边重镇之地，留屯兵三千，更戍兵三万，置大将副将各一员，督视副督视各一员，自隘云以内，诸要地各设屯所。	Lại nói, từ năm Giáp Ngọ (1774), Thuận Hoá thuộc về bờ cõi nước ta (đứng về phía Lê Trịnh ở Đàng ngoài mà nói. Năm 1774 quân Trịnh hạ được thành Phú Xuân), thành Phú Xuân trở nên chỗ đầu cùng của miền biên giới và là một thị trấn rất xung yếu. Bởi thế, triều đình mới để ba ngàn quân đóng đồn và ba vạn quân thay phiên canh phòng; lại cử một viên đại tướng, một viên phó tướng, cùng với một viên đốc thị, một viên phó đốc thị trông nom công việc đó. Các nơi trọng yếu từ đèo Hải Vân trở ra đều có lập đồn đóng quân. Rồi lấy dân địa phương để bổ sung thêm quân lính. Khai khẩn đất hoang để tăng thêm lương thực.
籍其民以益兵，垦其地以益粮，通贸易之货，干山海之利，以科目取人才，以名爵收人心，控制管辖，无不周备。	Mở mang việc lưu thông trao đổi hàng hoá. Khai thác các nguồn lợi trên rừng dưới biển. Lấy việc thi cử để kén chọn người tài. Dùng danh vị, tước lộc để thu phục lòng người... Cách khống chế, cai trị thật không còn thiếu sót điều gì.
惟大将造郡公，原来是柔缓的人，徒以口舌御人，而临冲制变，非其所长。	Chỉ đáng tiếc là viên đại tướng Tạo quận công đứng đầu xứ đó lại là một người nhu nhược, chỉ quen lấy miệng lưỡi chống chế người, còn đến khi gặp việc quan trọng xảy ra thì lại không có tài năng đối phó kịp thời.
先是督视阮令宾每言西山可急取，为造郡所拂。	Trước kia, viên đốc thị Nguyễn Lệnh Tân cứ mỗi lần nhắc đến việc phải gấp rút đánh lấy Tây Sơn, thì lại bị quận Tạo gạt đi.
令宾言于朝曰：「造郡以怯懦误国谋，顺化必失于造郡之手，请罢造郡而拜副将为大将，庶几顺化可守。」	Lệnh Tân bèn tâu về triều rằng: "Quận Tạo là kẻ nhút nhát, ít mưu cơ, Thuận Hoá chắc chắn sẽ mất ở tay ông ta; xin hãy bãi chức ông ta và nhắc phó tướng lên làm đại tướng, hoạ may xứ này mới có thể giữ vững được".
王以顺化初定，喜造郡和静镇重，遂罢令宾督视，更以别员代之。	Chúa (Trịnh Sâm) nghĩ rằng Thuận Hoá là xứ vừa mới dẹp yên, lại thích tính ôn hoà, thận trọng của quận Tạo, bèn bãi chức đốc thị của Lệnh Tân và cho người khác làm thay.
