第一回。	Hồi thứ nhất.
王命词臣制十六字颂使阿保口授，一经耳即成诵，王尤所慰悦。	Chúa sai quan từ hàn làm bài tụng 16 chữ, để viên a bảo (viên quan trông nom việc nuôi nấng, dạy dỗ con cái của vua chúa) dạy truyền miệng cho vương tử. Vương tử chỉ nghe qua một lượt là đọc thuộc liền. Thấy vậy chúa càng quí vương tử Cán bội phần.
邓氏由是潜有夺嫡之意。	Cũng do đó, Thị Huệ mới ngầm có ý muốn cướp ngôi thế tử.
却说王世子郑棕，杨太妃所生也。	Lại nói, lúc ấy chúa đã có thế tử là Trịnh Tông (sau đổi là Trịnh Khải), do thái phi họ Dương đẻ ra.
太妃名玉欢，石河龙福人也。	Thái phi tên là Ngọc Hoan, người ở làng Long Phúc, huyện Thạch Hà.
其娣为恩王【盛王之父】宫嫔，生瑞郡公，最为恩王所钟爱。	Chị nàng là cung tần của Ân vương (cha Thịnh vương, tức là Trịnh Doanh), sinh ra Thuỵ quận công, được Ân vương hết sức yêu quí.
太妃因娣得见于王，自入宫以后，寂寥度日。	Nhờ chị, thái phi được kén vào làm cung tần của Thịnh vương. Nhưng từ sau khi vào cung, nàng vẫn ngày đêm sống cô quạnh.
忽夜梦见神人赐彩缎一段，画龙头，不知何兆，以语侍者溪忠侯，溪忠侯心知其生圣子之兆。	Bỗng một đêm, nàng nằm mơ thấy vị thần đem cho tấm đoạn có vẽ đầu rồng. Nàng không hiểu đó là điềm gì, đem hỏi viên quan hầu là Khê trung hầu. Khê trung hầu biết chắc là điềm sinh thánh.
次日王命召宫嫔玉宽进御，溪忠故为错谬，召太妃进御，王见而不悦，然业已召见，不忍斥去，召让溪忠。	Hôm sau, chúa cho vời cung tần Ngọc Khoan vào hầu. Khê trung hầu cố ý giả làm nghe lầm, đưa ngay thái phi Ngọc Hoan đến. Thấy nàng, chúa có vẻ không thích, nhưng đã chót gọi đến, không nỡ đuổi ra. Sau đó chúa đòi Khê trung hầu vào trách mắng.
溪忠叩首谢罪，具以太妃说梦颠末，一一启白，王亦默然不答。	Khê trung hầu cúi đầu tạ tội, đoạn thuật rõ đầu đuôi chuyện thái phi nằm mơ cho chúa nghe. Chúa cũng nín lặng không nói sao cả.
太妃一经雨露，便即怀娠，至期而生男子。	Thái phi trải qua một trận mưa móc, liền có thai ngay. Đến kỳ, nàng sinh ra một trai.
王自念龙头有君象，但画龙非真龙，乃有头而无尾，亦非全吉之兆。	Năm Quí mùi, Cảnh Hưng 24 (1763). Chúa tự nghĩ đầu rồng tuy có khí tượng làm vua, nhưng là rồng vẽ không phải rồng thật, mà lại chỉ có đầu không có đuôi, như vậy chưa hẳn đã là điềm tốt cả.
且前朝郑桧王弟郑棣，亦龙福所出，皆谋逆而无成，心颇不怿。	Vả lại ở triều trước, Trịnh Cối, Trịnh Lệ (Trịnh Cối là con Trịnh Kiểm, Trịnh Lệ là con Trịnh Doanh. Hai người này đều mưu đồ giành ngôi chúa, nhưng đều thất bại) cũng do người Long Phúc đẻ ra và đều mưu sự phản nghịch mà không thành. Do đó, chúa có ý không vui.
文武拜贺，王辞以非嫡所出，不受。	Các quan văn võ vào chúc mừng, chúa lấy cớ rằng đứa con ấy không phải là vợ cả đẻ ra, từ chối không nhận lời mừng.
及长，容貌俊美，而王不甚钟爱。	Khi thế tử Tông đã lớn, dung mạo rất khôi ngô mà chúa cũng chẳng yêu chiều gì mấy.
世子性好武，不嗜学，年七岁，王命庚辰科进士阮侃为左司讲，己丑科进士陈坦为右司讲，坦寻卒，侃以柄用，扬历中外，亦不以时就讲幄，惟有随讲五六人，劝讲应故事。	Tính thế tử ham võ nghệ, không thích học hành. Năm lên bảy tuổi, chúa sai Nguyễn Khản (Nguyễn Khản là con Nguyễn Nghiễm, người huyện Nghi Xuân Nghệ Tĩnh có sách chép là Nguyễn Lệ) tiến sĩ khoa Canh thìn (1760), làm tả tư giảng, và Trần Thản, tiến sĩ khoa Kỷ sửu (1769), làm hữu tư giảng để rèn tập cho thế tử. Nhưng chẳng bao lâu, Thản chết. Còn Khản thì đang được chúa tin dùng, phải quán xuyến mọi công việc trong ngoài, nên cũng không mấy khi đến được chốn "màn giảng", chỉ có năm sáu viên tuỳ giảng bảo ban việc học cho thế tử theo như nếp cũ mà thôi.
王颇知之，滋不悦，故事王世子年十二，出居东宫，时臣以为请，王不许，但使就阿保焮郡公营宅，东宫独虚位，若将有所待者。	Chuyện đó chúa cũng có biết phần nào, nên lại càng không bằng lòng. Theo lệ cũ, người con trai nối ngôi chúa hễ đến mười hai tuổi thì phải ra ở Đông cung. Bấy giờ các quan cũng có tâu trình việc ấy; song chúa không cho, bắt thế tử phải đến ở tại nhà riêng của quan a bảo là Hân quận công (Nguyễn Đĩnh). Như vậy, ngôi đông cung vẫn bỏ trống, như có ý chờ đợi người khác.
及世子年十五，少子杆生，王钟爱少子，后三年，世子年十八，故事得开府，时臣无敢言者，而王亦不说及。	Đến năm thế tử mười lăm tuổi, thì con nhỏ là vương tử Cán ra đời, chúa hết sức yêu dấu đứa con nhỏ đó. Ba năm sau, thế tử đúng mười tám tuổi. Theo lệ cũ, thế tử đáng được mở phủ riêng; nhưng bấy giờ các quan chẳng ai dám tâu bày, mà chúa cũng không hề nhắc tới việc ấy.
于是储位未定，人心不一，几属世子者附世子，党于邓氏者附王子杆，渐生彼此之形。	Như thế là người nối ngôi vẫn chưa định, nên lòng người rất phân vân. Hễ ai thuộc về thế tử Tông thì hùa theo thế tử Tông, ai thuộc đảng Thị Huệ thì vào phe vương tử Cán. Trong phủ chúa dần dần sinh ra bè nọ cánh kia.
邓氏自以世子年长，羽翼既成，而子杆幼冲，益谋自封植。	Thị Huệ cho rằng thế tử Tông đã khôn lớn, lông cánh đã đủ; mà con mình hãy còn trứng nước, nên càng mưu mô để gây thêm thế lực.
时晖郡公黄素履有重望，常倚邓氏为援，邓氏亦倚晖郡为助。	Khi ấy Huy quận công Hoàng Tố Lý (nguyên trước là Hoàng Đăng Bảo) đang có danh vọng lớn, thường dựa vào sự giúp đỡ của Thị Huệ; mà Thị Huệ thường cũng lấy quận Huy làm chỗ nhờ cậy bên ngoài.
晖郡奉公人，平南上将军晔公黄五福之侄，其人丰姿清逸，有文武全才。	Quận Huy người làng Phụng Công, là cháu Bình Nam thượng tướng quân Việp quận công là Hoàng Ngũ Phúc, vẻ người thanh dật, là tay văn võ toàn tài.
初举乙酉科乡试中式，又举丙戌科进士，时恩王倚重晔公，遂以次女嫁晖郡。	Khoa thi hương năm ất dậu (1765), Huy đi thi được trúng cách; đến khoa thi võ năm Bính tuất (1766) Huy lại đỗ luôn tạo sĩ. Hồi ấy Ân vương còn đang trọng dụng quận Việp, mới gả con gái thứ cho quận Huy.
晔公威权日重，人有不测之疑，咸云：「晔郡将取天下」。	Uy quyền quận Việp mỗi ngày một lớn. Có người ngờ sẽ xảy ra điều gì bất trắc, hoặc cũng có kẻ bảo quận Việp sắp lấy thiên hạ để truyền cho quận Huy. Căn cứ vào lời sấm hồi ấy có câu: "Nhất thỉ trục quần dương".
传之晖郡，按图谶有「一豕逐群羊」之语，以为王与世子皆未命，而晖郡该命，好事者又撰为「草一田八」之谶，指「黄」字也。	(Một con lợn đuổi đàn dê); có kẻ tán rằng: Thỉ tức là quận Huy, bởi vì quận Huy tuổi hợi (thuộc lợn), mà dương đây chỉ vào chúa và thế tử, vì cả hai đều tuổi mùi (thuộc dê). Rồi những kẻ hiếu sự lại còn đặt ra câu sấm: "Thảo nhất điền bát" (Cỏ một, ruộng tám) để chỉ vào chữ Hoàng (thảo nhất điền bát chắp lại thành chữ Hoàng chỉ Hoàng Ngũ Phúc).
又云：「土疋云间月，黄华映日香。」	Có kẻ lại nói: "Thổ sất vân gian nguyệt, hoàng hoa ánh nhật hương". (Mảnh đất sánh trăng trong mây; hoa cúc ánh hương mặt trời).
土疋月，「婿」字也；黄华日，晔字也，指晔郡。	Thổ, sất, nguyệt là chữ tế (chữ tế nghĩa là con rể, chỉ quận Huy). Hoàng, hoa, nhật là chữ Việp (Chữ Việp gồm chữ hoa và chữ nhất, còn chữ Hoàng là họ Hoàng), chỉ quận Việp.
又晖郡旧名登宝，人亦指议，由是晔郡以形迹自嫌，使晖郡改名素履。	Thêm nữa, tên cũ của quận Huy là Đăng Bảo (Có nghĩa là: lên ngôi báu) người ta cũng lấy đó để dị nghị. Vì vậy quận Việp muốn tránh sự hiềm nghi ấy mới bảo quận Huy đổi tên Đăng Bảo ra Tố Lý.
后晔郡自以目疾，去职不题。	Sau quận Việp lấy cớ mắc bệnh đau mắt để xin từ chức, chuyện ấy chẳng nhắc làm gì nữa.
却说甲午年，晔郡奉命南征，以晖郡自随。	Lại nói năm Giáp ngọ (1774), quận Việp phụng mệnh kéo quân vào đánh trong Nam, có đem quận Huy đi theo.
晖郡素得晔郡用兵家法，为其将佐所畏服，又善调用人才，豪杰皆乐为用，屡破敌有功，声誉日显。	Quận Huy vốn đã học được phép dùng binh gia truyền của quận Việp, nên được các tướng tá rất sợ phục. Huy lại khéo cắt đặt nhân tài, nên các tay hào kiệt đều vui lòng chịu sai khiến. Huy có công luôn luôn phá được quân địch, tiếng tăm mỗi ngày một lẫy lừng.
顺化平，晔郡卒，王以晖郡代领晔郡所部兵，为乂安镇守。	Khi dẹp yên được xứ Thuận Hoá thì quận Việp qua đời. Chúa bèn giao luôn cho quận Huy quản lĩnh số quân của quận Việp, và cho làm trấn thủ Nghệ An. Đóng ở trấn Nghệ An.
晖郡居镇，弭盗贼，禁铸钱，抑豪强，止狱讼，境内大治。	Huy ra sức tiêu diệt trộm cướp, cấm đổi tiền (đổi tiền đẹp để tích trữ, làm cho tiền khan hiếm), trấn áp cường hào, ngăn chặn việc kiện cáo, làm cho trong hạt rất thịnh vượng, Huy lại thu dụng những kẻ anh tài, đặt ra nhiều chức liêu thuộc.
收用英才，分设僚属，其麾下有左右参军等名色，天下沸腾，言晖郡将反。	Dưới trướng ông ta có những tên như tả, hữu tham quân chẳng hạn. Thế là thiên hạ lại ồn ào lên, đồn rằng quận Huy sắp sửa làm phản.
王日与信臣阮侃，及世子阿保焮郡公、阮挺谋诛之。	Chúa nghe tiếng, ngày ngày cùng viên triều thần tin cẩn là Nguyễn Khản và quan thế tử a bảo Hân quận công Nguyễn Đĩnh bàn cách giết Huy.
隐语以晖郡为十字，盖十字与乂字相近，指乂字镇也。	Trong lúc bàn bạc, ba người vẫn dùng tiếng lóng "chữ thập" để chỉ quận Huy. Vì chữ thập cũng na ná chữ nghệ (chữ thập xoay chéo thành chữ nghệ viết tắt) là trấn Nghệ An, nơi quận Huy đóng quân.
常屏人密议，惟邓氏知之。	Họ thường đuổi mọi người đi để bí mật bàn bạc, chỉ có Thị Huệ là biết được.
晖郡所尚公主，日夜出入府中，服事邓氏，邓氏以其事告公主，晖郡内不自安，启请回朝，王许之。	Công chúa vợ quận Huy, ngày đêm ra vào trong phủ luồn lọt Thị Huệ; Thị Huệ mới đem việc kín nói cho công chúa nghe. Quận Huy trong dạ không yên, dâng thư xin về triều. Chúa cho phép ngay.
晖郡自以邓氏虽有宠，但其子尚幼，而世子年长，附邓氏恐非久安之策。	Huy nghĩ rằng Thị Huệ tuy được chúa yêu, nhưng con trai của Thị Huệ còn nhỏ, trong khi đó thế tử đã lớn rồi, hùa theo Thị Huệ e không phải là kế lâu bền.
既入见王，遂以珍宝赂世子左右，求附于世子。	Vì vậy, sau khi đã vào hầu chúa, Huy liền lấy châu báu đút lót cho những kẻ chân tay của thế tử, để xin nương tựa vào thế tử.
又具黄金百两、南京缎十端为执贽礼，入谒世子。	Rồi Huy lại đem một trăm lạng vàng và mười tấm đoạn Nam Kinh làm lễ yết kiến, để xin vào ra mắt thế tử.
世子却其礼而不与之见。又私语侍者曰：「此贼何不留镇作反，而遽请回朝，他日当籍其家，安用彼贽为哉？」	Nhưng thế tử không nhận đồ lễ, cũng không cho vào gặp, nói riêng với bọn hầu cận rằng: - Thằng giặc ấy sao không ở trấn làm phản, mà lại vội về triều? Rồi đây ta sẽ tịch thu hết cả gia sản nhà nó, cần gì đồ lễ của nó bây giờ!
晖郡自知不为世子所容，乃决意附邓氏，而阴有废立之志，以晔郡旧所居宅进纳，为王子梂营，自是晖郡为邓氏私人。	Quận Huy biết thế tử không dung mình, bèn quyết ý hùa theo Thị Huệ và âm thầm có chí phế lập. Huy đem dâng ngôi nhà cũ của quận Việp cho vương tử Cán làm dinh thự. Từ đó, Huy thành ra người riêng của Thị Huệ.
而邓氏于王前亦保护晖郡益力，晖郡遂入政府，开中锐军营，署府事，遥领山南镇守。	Mà trước mặt chúa, Thị Huệ cũng hết sức bao che cho Huy. Do đó, quận Huy được vào chính phủ (phủ của chúa Trịnh để phân biệt với triều đình của vua Lê) mở dinh quân Trung nhuệ, coi việc trong phủ, đồng thời kiêm lĩnh chức trấn thủ trấn Sơn Nam (địa bàn của Sơn Nam thời Lê gồm: Hà Đông, Hà Nam, Hưng Yên, Nam Định, Thái Bình), Quận Huy và Thị Huệ, trong ngoài liên kết với nhau, thế lực nghiêng cả thiên hạ.
与邓氏内外交缔，势倾天下，武臣该奇镇守，皆出其门。	Các viên quan võ như chức cai cơ, trấn thủ, đều do cửa của họ mà ra.
惟山西镇鸿岭侯阮侃为世子左司讲，京北镇遵生侯阮克遵为世子阿保乃焮郡公之义子，与晖郡彼此，朋党之势成矣。	Lúc ấy, duy chỉ có Hồng lĩnh hầu Nguyễn Khản, trấn thủ Sơn Tây hiện đang làm tả tư giảng cho thế tử, và Tuân sinh hầu Nguyễn Khắc Tuân, trấn thủ Kinh Bắc tức con nuôi của Hân quận công, hiện đang làm a bảo cho thế tử, là còn dám có ý kia khác với quận Huy mà thôi. Như vậy là cái thế bè đảng đã thành rồi.
再说世子自王子杆生，意甚懑懑，惟恐不得立，与其家臣小竖势寿审筹、儒生谭春树、杂流出身永武等，日夜谋虑，未知所出。	Lại nói, từ khi vương tử Cán sinh ra, thế tử Tông có ý rất tức bực, chỉ sợ mình không được lập làm chúa. Thế tử cùng với bọn gia thần là mấy tên hầu Thế Thọ, Thẩm Thọ... nho sinh Đàm Xuân Thụ và tên xuất thân tạp lưu (là hạng thư lại không đỗ đạt gì, không do chính ngạch mà ra) Vĩnh Vũ, ngày đêm bàn mưu, lo lắng không biết nên làm thế nào.
会王有宿疾，再发颇剧，世子一夕梦见身穿癸色衣，头顶丁字帽，立于府堂，明日谓家臣曰：「吾梦如此，为谅阴之服，不日宫中将有变，吾当早为之计。」	Vừa lúc đó, chứng bệnh cũ của chúa lại phát, bệnh tình rất nguy kịch. Một đêm thế tử bỗng mơ thấy mình mặc áo chầu chàm, đội mũ chữ đinh, đứng ở phủ đường. Sáng mai thế tử kể lại với bọn gia thần và nói: - Ta mơ như vậy là điềm có tang, trong cung nay mai chắc sẽ có biến; ta phải sớm lo liệu trước mới được.
群小请阴缮甲兵，潜招勇士，待宫中一旦不讳，闭诸城门，杀晖郡住邓氏与王子杆，使不得立，驰报西北两镇，将兵入卫，胁诸大臣，以定其位。	Bọn tôi tớ ấy liền khuyên thế tử nên ngấm ngầm sắm sửa binh khí, chiêu mộ dũng sĩ; một mai trong cung xảy ra chuyện chẳng lành, thì cứ việc đóng chặt cổng thành, giết quận Huy, và bắt giữ cả hai mẹ con Thị Huệ, khiến vương tử Cán không thể lên ngôi chúa. Mặt khác báo cho hai trấn Tây, Bắc (Sơn Tây, Kinh Bắc) đem quân vào kinh, bắt ép các đại thần để dựng thế tử lên ngôi chúa.
世子从之，宣言将有南征之命，使人密报溪忠侯，授银子一千两，付春树，分给诸人，阴缮器甲。	Thế tử nghe theo và phao lên rằng mình sắp được lệnh đem quân vào đánh miền Nam. Rồi thế tử lại sai người báo ngầm cho Khê trung hầu, giao một ngàn lạng bạc cho nho sinh Đàm Xuân Thụ để Thụ phân phát cho bọn tay chân đi mua sắm vũ khí.
又阴报西北两镇官，招募义勇，布置已毕，适王病愈，其事颇泄。	Tiếp đó, thế tử mật báo cho các viên trấn thủ ở hai trấn Tây, Bắc, chiêu tập dũng sĩ. Thế tử cắt đặt xong thì bệnh của chúa cũng vừa khỏi, việc ấy bị tiết lộ.
有进朝阮辉伯，为人狡险，惯以发人觅官。	Hồi đó, có Nguyễn Huy Bá người ở Gia Lâm (làng Phú Thị, huyện Gia Lâm) tính tình nham hiểm, giảo hoạt, thường vẫn quen thói tố giác kẻ khác để kiếm quan chức.
年前曾发阮辉基与瑞郡公谋逆，事由发觉，人得美官，时以事闲废，急于进用，乃使其长子之妇，入为邓氏宫婢，尝采拾王世子嬉游事，言于邓氏以求媚。	Năm trước, chính vì Bá đã tố cáo âm mưu nổi loạn của Nguyễn Huy Cơ và Thuỵ quận công (Thuỵ quận công tức Trịnh Lệ con Trịnh Doanh, định giành ngôi chúa với Trịnh Sâm) mà y được làm chức tham nghị ở trấn Sơn Nam, dần dà, y ngoi lên chức tiến triều (những người không đỗ tiến sĩ mà được làm quan ở sáu bộ thì gọi là tiến triều), rồi lại thăng tới chức đốc đồng ở trấn Thái Nguyên. Lúc này vì có lỗi bị cách chức, y đang nóng lòng mong lại được ra làm quan. Y bèn sai con dâu cả vào làm đày tớ cho Thị Huệ; rồi thường nhặt nhạnh những chuyện chơi bời đùa nghịch của Tông, xui con dâu kể lại cho Thị Huệ để nịnh nọt, lấy lòng.
又潜使亲信居西北两镇官麾下，窥探其情，至是颇知大略，入告邓氏。	Mặt khác, y lại ngầm sai người nhà tin cậy tới làm bộ hạ của hai viên trấn quan Tây, Bắc để dò xét tình hình. Đến lúc ấy, y đã nắm được phần nào sự việc của bọn này, liền vào báo với Thị Huệ.
邓氏以其状谋于晖郡，晖郡教他为密封，自袖入政府中，屏人进呈。	Thị Huệ đem việc đó bàn với quận Huy. Huy bảo Huy Bá viết bức thư kín, rồi Huy tự bỏ vào trong tay áo, đi đến phủ chúa, đuổi hết những người chung quanh, đem thư ra trình chúa.
王览启大怒，命付下急治。	Chúa xem xong, cả giận, định sai người giao xuống trị tội tức khắc.
晖郡谏曰：「世子诚有过，然敢作此大样，实西北两镇官主之。	Quận Huy can rằng: - Thế tử quả là có lỗi, nhưng sở dĩ thế tử dám làm chuyện to lớn như thế chính là do hai viên trấn thủ Tây, Bắc chủ mưu.
今二员各拥兵居外，若急治，恐有他变，不若先召二员回，系于府中，然后发其状治之。」	Nay hai viên ấy hãy còn cầm quyền ở ngoài, nếu vội vã trừng trị thế tử, e sẽ có biến khác. Chẳng thà trước hết hãy gọi hai viên ấy về triều, giam cả ở trong phủ, rồi bấy giờ hãy tuyên bố tội trạng và trừng trị một thể.
王曰：「善。」	Chúa cho là phải.
翌日，召世子入，阳以学问卤莽责之，命入居泽阁之三间堂，更以丙戌科进士阮亻冏为左司讲，戊戌科进士阮昀为右司讲，而召西北两镇官回，时景兴庚子八月十五日也。	Hôm sau chúa đòi thế tử vào cung, vờ quở mắng về việc xao nhãng học hành, rồi bắt thế tử phải đến ở trong một ngôi nhà ba gian trong Trạch các. Lại sai tiến sĩ khoa Bính tuất (1766) là Nguyễn Quýnh làm tả tư giảng, và tiến sĩ khoa Mậu tuất (1778) là Nguyễn Đích làm hữu tư giảng. Rồi sau đó chúa cho đòi hai viên trấn thủ Tây, Bắc về triều; bữa ấy nhằm ngày 15 tháng 8 năm Canh tý niên hiệu Cảnh Hưng (1780).
却说世子家臣随讲乙未科进士吴时任，为京北督同，与镇守遵生侯最相得，凡镇事无不与之谋，惟世子所谋之事，略不说及。	Lại nói, lúc ấy ở trấn Kinh Bắc (địa bàn Kinh Bắc gồm: Bắc Ninh, Bắc Giang, Phúc Yên) có viên đốc đồng là Ngô Thì Nhậm (người làng Tả Thanh Oai, huyện Thanh Oai, tỉnh Hà Đông, con Ngô Thì Sỹ, sau làm quan với Tây Sơn), tiến sĩ khoa ất mùi (1775) vốn là gia thần và tuỳ giảng của thế tử, thường vẫn rất ăn ý với trấn thủ Tuân sinh hầu (Nguyễn Khắc Tuân). Về phía Tuân, không việc gì là không bàn với Nhậm, duy chỉ có việc âm mưu của thế tử là Tuân không hề nói đến.
先是数日有世子家臣小竖山寿，曾为时任门生，世子使山寿告时任以此谋，且密令差人潜往谅山市红毛雄马，以为兵用。	Trước đó mấy ngày, Sơn Thọ (có sách chép Hà Như Sơn) là gia thần của thế tử, lại từng là học trò của Nhậm, được thế tử sai đến kể rõ mưu mô của thế tử cho Nhậm biết; rồi lại ngầm ra lệnh cho Nhậm phái người cất lẻn lên vùng Lạng Sơn mua ngựa tốt để dùng vào việc binh.
时任大惊曰：「世子国之储贰，国乃其国，何患失位，而为此谋，此必群小所诱掖。	Thì Nhậm hoảng sợ nói: - Thế tử là người sẽ nối ngôi chúa, mà nước là nước của thế tử, lo gì mất ngôi mà phải lập mưu ấy? Đây ắt lại do bọn tôi tớ xúi giục.
世子气血方刚，思虑未熟，主上明察，岂能欺隐得过，恐祸且不测，家臣之属，置身无地矣。」	Thế tử trẻ người hăng máu, suy nghĩ chưa chín chắn, nên mới nghe theo họ. Chúa thượng là người xét đoán sáng suốt, há lại che giấu được ngài ư? E rằng tai hoạ sẽ xảy ra lúc nào không biết, bọn gia thần của thế tử rồi không còn đất gửi thân đâu.
