第十四回。	Hồi thứ mười bốn.
议者皆曰：「主公与西山主有隙，升尊之地，人情尚未坚戴。今闻清师来攻，益生疑贰。	Nhưng các người đến họp đều nói: - Chúa công với vua Tây Sơn có sự hiềm khích, đối với ngôi chí tôn, lòng tôn phò của mọi người chưa thật vững bền, nay nghe quân Thanh sang đánh, càng dễ sinh ra ngờ vực hai lòng.
请先正位号，覃布赦宥，以安反侧，而系人心。然后大学北征，未为晚也。」	Vậy xin trước hết hãy chính vị hiệu, ban lệnh ân xá khắp trong ngoài, để yên kẻ phản trắc và giữ lấy lòng người rồi sau sẽ cất quân ra đánh dẹp cõi Bắc cũng chưa là muộn.
北平王以为然，乃命筑坛于彬山，祭告天地山川百神。制衮冕，即皇帝位，改西王岳泰德十一年为光中元年。	Bắc bình vương lấy làm phải, bèn cho đắp đàn ở trên núi Bân (ở địa phận xã An Cựu, huyện Hương Trà, Thừa Thiên (Bình Trị Thiên)), tế cáo trời đất cùng các thần sông, thần núi; chế ra áo cổn mũ miện, lên ngôi hoàng đế, đổi năm thứ 11 niên hiệu Thái Đức của vua Tây Sơn Nguyễn Nhạc làm năm đầu niên hiệu Quang Trung.
礼成，乃下令出师，盖是月二十五日也。	Lễ xong, hạ lệnh xuất quân, hôm ấy nhằm vào ngày 25 tháng chạp năm Mậu thân (1788).
北平王自将大军，水陆齐进。	Vua Quang Trung tự mình đốc suất đại binh, cả thuỷ lẫn bộ cùng ra đi.
二十九日至乂安，召罗山贡士阮浃问曰：「清师来攻，某将出御之。	Ngày 29 đến Nghệ An, vua Quang Trung cho vời người cống sĩ ở huyện La Sơn là Nguyễn Thiếp vào dinh và hỏi: - Quân Thanh sang đánh, tôi sắp đem binh ra chống cự.
攻取之策，胜败之数，先生以为何如？」	Mưu đánh và giữ, cơ được hay thua, tiên sinh nghĩ như thế nào?
浃曰：「今国内空虚，人心溃败。	Thiếp nói: - Bây giờ trong nước trống không, lòng người tan rã.
清师远来，不知强弱之形，不识战取之势。	Quân Thanh ở xa tới đây, không biết tình hình quân ta yếu hay mạnh, không hiểu rõ thế nên đánh nên giữ ra sao.
主公出此，不过十日，清寇平矣。」	Chúa công đi ra chuyến này, không quá mười ngày, giặc Thanh sẽ bị dẹp tan.
北平王大喜，仍命其将啖虎仆，拣乂安兵，每三丁取一丁。未浃时得胜兵一万千余人，大阅于镇营，凡顺广亲军，分为前后左右四营，而乂安新兵为中军。	Vua Quang Trung mừng lắm, liền sai đại tướng là Hám hổ hầu kén lính ở Nghệ An, cứ ba suất đinh thì lấy một người, chưa mấy lúc, đã được hơn một vạn quân tinh nhuệ. Rồi nhà vua cho mở cuộc duyệt binh lớn ở doanh trấn, đem số thân quân ở Thuận Hoá, Quảng Nam chia làm bốn doanh tiền, hậu, tả, hữu, còn số lính mới tuyển ở Nghệ An thì làm trung quân.
北平王骑象出营劳军，敕诸军皆坐而听命，谕之曰：「清师来侵，现在升龙，汝等已知否？	Vua Quang Trung cưỡi voi ra doanh yên uỷ quân lính, truyền cho tất cả đều ngồi mà nghe lệnh, rồi dụ họ rằng: - Quân Thanh sang xâm lấn nước ta, hiện ở Thăng Long, các ngươi đã biết chưa?
天地之间，星野分别；南北分治，北人非我族类，其心则异。	Trong khoảng vũ trụ, đất nào sao ấy đều đã phân biệt rõ ràng, phương Nam phương Bắc (chỉ đất Trung Quốc) chia nhau mà cai trị. Người phương Bắc không phải nòi giống nước ta, bụng dạ ắt khác.
自汉以来，北国之人寇我甸畿，渔肉我生民，囊括我财货。人不堪命，咸思逐之。	Từ đời nhà Hán đến nay, chúng đã mấy phen cướp bóc nước ta, giết hại nhân dân, vơ vét của cải, người mình không thể chịu nổi, ai cũng muốn đuổi chúng đi.
在汉有征女王，在宋有丁天皇、黎大行皇帝，在元有陈兴道大王，在明有黎太祖皇帝，不忍坐视残暴，顺人心，兴义兵，皆能一战取胜，逐之北还。	Đời Hán có Trưng nữ vương, đời Tống có Đinh Tiên Hoàng, Lê Đại Hành, đời Nguyên có Trần Hưng Đạo, đời Minh có Lê Thái Tổ; các ngài không nỡ ngồi nhìn chúng làm điều tàn bạo, nên đã thuận lòng người, dấy nghĩa quân đều chỉ đánh một trận là thắng và đuổi được chúng về phương Bắc.
当此之时，北南自在，边境以宁，传祚久长。	ở các thời ấy, Bắc, Nam riêng phận, bờ cõi lặng yên, các vua truyền ngôi lâu dài.
自丁以来，不至如昔者内属之苦，利害得失，皆前朝故事。	Từ đời nhà Đinh tới đây, dân ta không đến nỗi khổ như hồi nội thuộc xưa kia. Mọi việc lợi, hại, được, mất ấy, đều là chuyện cũ rành rành của các triều đại trước.
今清人复来，谋取我南国，置为郡县，不以宋元明为戒。	Nay người người Thanh lại sang, mưu đồ lấy nước Nam ta đặt làm quận huyện, không biết trông gương mấy đời Tống, Nguyên, Minh ngày xưa.
故我出而驱之。	Vì vậy ta phải kéo quân ra đánh đuổi chúng.
汝等各有知能，当与我戮力同心，使大勋用集。	Các ngươi đều là những kẻ có lương tri lương năng, hãy nên cùng ta đồng tâm hiệp lực, để dựng nên công lớn.
毋徒狃习故态，妄怀二心，事发即行诛戮，一无所赦，句谓我不先告也。」	Chớ có quen theo thói cũ, ăn ở hai lòng, nếu như việc phát giác ra, sẽ bị giết chết ngay tức khắc, không tha một ai, chớ bảo là ta không nói trước!
诸军皆曰：「惟命，不敢有二。」	Các quân lính đều nói: "Xin vâng lệnh, không dám hai lòng!".
次日下令进发。	Hôm sau, vua Quang Trung hạ lệnh tiến quân.
诸军各肃队而行，北至三迭山，楚、璘出迎，皆负剑请罪。	Các quân đều nghiêm chỉnh đội ngũ mà đi. Khi đến núi Tam Điệp, Sở và Lân ra đón, đều mang gươm trên lưng mà xin chịu tội.
北平王曰：「汝等委身事我，致位军师，委以十一宣全辖，许得便宜。	Vua Quang Trung nói: - Các ngươi đem thân thờ ta, đã làm đến chức tướng soái. Ta giao cho toàn hạt cả 11 thừa tuyên (từ thời Lê Hồng Đức, các trấn ở Bắc Hà đều gọi là "thừa tuyên"), lại cho tuỳ tiện làm việc.
贼来不能一战，闻声先奔。	Vậy mà giặc đến không đánh nổi một trận, mới nghe tiếng đã chạy trước.
兵法曰：『兵败斩将。	Binh pháp dạy rằng: "Quân thua chém tướng".
』汝等罪当万死。	Tội của các ngươi đều đáng chết một vạn lần.
但念汝等一个健武自名，逢敌便战，至于临机应变，亦非所能。	Song ta nghĩ các ngươi đều là hạng võ dũng, chỉ biết gặp giặc là đánh, đến như việc tuỳ cơ ứng biến thì không có tài.
故留吴任在此，与汝等共事，正虑是耳。	Cho nên, ta để Ngô Thì Nhậm ở lại đấy làm việc với các ngươi, chính là lo về điều đó.
北河初定，人心未附。升龙四战之地，阻带无凭。	Bắc Hà mới yên, lòng người chưa phục, Thăng Long lại là nơi bị đánh cả bốn mặt, không có sông núi để nương tựa.
前年我来战此地，郑王果不能支，此其验也。	Năm trước ta ra đánh đất ấy, chúa Trịnh quả nhiên không thể chống nổi, đó là chứng cớ rõ ràng.
汝等派军居此，清人南侵，北圻内应，何能展布手足，能隐忍以避其锋，部分而阨诸险，内激士气，外骄敌情，此计为善。	Các ngươi đóng quân trơ trọi ở đấy, quân Thanh kéo sang, người trong kinh kỳ làm nội ứng cho chúng, thì các người làm sao mà cử động được? Các ngươi đã biết nín nhịn để tránh mũi nhọn của chúng, chia ra chặn giữ các nơi hiểm yếu, bên trong thì kích thích lòng quân, bên ngoài thì làm cho giặc kiêu căng, kế ấy là rất đúng.
我初闻暗想是吴任主此谋，询之文雪，果然。」吴任亦再拜陈谢。	Khi mới nghe nói, ta đã đoán là do Ngô Thì Nhậm chủ mưu, sau hỏi Văn Tuyết thì quả đúng như vậy... Thì Nhậm bèn lạy hai lạy để tạ ơn.
北平王曰：「我今来此亲董我事，进取自有成算。	Vua Quang Trung lại nói: Lần này ta ra, thân hành cầm quân, phương lược tiến đánh đã có tính sẵn.
驱逐清人，了此不过十日。	Chẳng qua mươi ngày, có thể đuổi được người Thanh.
但念他是大国，十倍于我。一败之后，必以为耻。	Nhưng nghĩ chúng là nước lớn gấp mười nước mình, sau khi bị thua một trận, ắt lấy làm thẹn mà lo mưu báo thù.
图复报之，兵连不解，甚非生民之福，何忍为之？	Như thế thì việc binh đao không bao giờ dứt, không phải là phúc cho dân, nỡ nào mà làm như vậy.
到此惟有善于词令，方能弭得兵端，非吴任不可。	Đến lúc ấy, chỉ có người khéo lời lẽ mới dẹp nổi việc binh đao, không phải Ngô Thì Nhậm thì không ai làm được.
俟我十年赡养，国富兵强，吾又何畏彼哉？」	Chờ mười năm nữa, cho ta được yên ổn mà nuôi dưỡng lực lượng, bấy giờ nước giàu quân mạnh, thì ta có sợ gì chúng?
楚、璘等皆拜谢曰：「主上可谓远虑，臣等愚不及此。	Bọn Sở, Lân đều lạy tạ và nói: - Chúa thượng thật là lo xa, chúng tôi ngu dại không thể nghĩ tới chỗ đó.
方今进取之计，请一一揭示，臣等遵而行之。」	Hiện nay phương lược tiến đánh ra sao, xin chúa thượng nhất nhất chỉ rõ để chúng tôi tuân theo mà làm.
北平王乃命大飨军士，分隶五军。时十二月三十日也。	Vua Quang Trung bèn sai mở tiệc khao quân, chia quân sĩ ra làm năm đạo, hôm đó là ngày 30 tháng chạp.
于是密谕诸将曰：「我与卿等且先行春旦节礼，至除夕即启行，约以新春七日入升龙城，开筵宴喜。	Rồi nhà vua bảo kín với các tướng rằng: - Ta với các ngươi hãy tạm sửa lễ cúng Tết trước đã. Đến tối 30 Tết lập tức lên đường, hẹn đến ngày mồng 7 năm mới thì vào thành Thăng Long mở tiệc ăn mừng.
各各记取，勿以我言为诬也。」	Các ngươi nhớ lấy, đừng cho là ta nói khoác!
乃传令中军听属御营差派，大司马楚、内侯璘将前军为先锋，啖虎侯将后军为督战，大都督禄、都督雪将左军，水师属焉。越海入六头江；雪仍于海阳经略，为东道之应；禄取道疾趁谅山凤眼安世等地方，以截清师归路；大都督、保都督龙将左军，象马属焉。	Sau đó nhà vua truyền lệnh: Các viên tướng ở trung quân thuộc về doanh vua sai phái là đại tư mã Sở; nội hầu Lân đốc suất tiền quân làm tiên phong; Hám hổ hầu đốc suất hậu quân làm đốc chiến; đại đô đốc Lộc, đô đốc Tuyết đốc suất tả quân, trong đó gồm có thuỷ quân vượt biển vào sông Lục Đầu; rồi Tuyết vẫn kinh lý vùng Hải Dương để tiếp ứng với mặt đông; còn Lộc thì đi gấp lên các hạt Lạng Sơn, Phượng Nhãn, Yên Thế để chặn đường về của quân Thanh; đại đô đốc Bảo, đô đốc Long đốc suất hữu quân, trong đó gồm quân voi và quân kỵ mã; Long xuyên qua huyện Chương Đức, theo đường đến thẳng làng Nhân Mục, huyện Thanh Trì để đánh ngang vào đồn quân Điền Châu; Bảo thì thống đốc quân voi ngựa do đường Sơn Minh ra làng Đại áng huyện Thanh Trì để tiếp ứng cho cánh hữu.
龙穿出彰德，取路直赶青池之仁睦，以横击滇州军屯，保专统象马，由山明出青池之大盎，为右支之应，五军皆拜军令。	Cả năm đạo quân đều lạy vâng mệnh lệnh, đúng ngày, gióng trống lên đường ra Bắc (theo Cương mục thì trước khi tiến quân ra Bắc, vua Quang Trung có viết thư cho Sỹ Nghị vờ xin đầu hàng để khiêu gợi lòng kiêu căng, khinh địch của Nghị. Theo Lê triều dã sử, khi tiến quân ra Thăng Long vua Quang Trung bày cho quân lính cứ ba người một tốp thay phiên võng nhau đi, thành ra quân trẩy đi liên miên không phải dừng mà ai nấy đều lần lượt được nghỉ.
至日，鸣鼓而北，师渡涧水，镇守义军先溃。	Do đó, quân Tây Sơn đã hành binh cực kỳ thần tốc). Khi quân ra đến sông Gián, nghĩa binh trấn thủ ở đó tan vỡ chạy trước.
走至月厥江，清入之远斥候者，亦皆望风先走。	Lúc đến sông Thanh Quyết, toán quân Thanh đi do thám từ đằng xa trông thấy bóng cũng chạy nốt.
北平王督诸军追之，至富川，俘获殆尽，无一人得脱者。	Vua Quang Trung liền thúc quân đuổi theo, tới huyện Phú Xuyên thì bắt sống được hết, không để tên nào trốn thoát.
是以绝无兵报，清师之屯河洄与玉洄者，皆不之知。	Bởi vậy, không hề có ai chạy về báo tin, nên những đạo quân Thanh đóng ở Hà Hồi và Ngọc Hồi (thuộc Thường Tín (nay thuộc tỉnh Hà Sơn Bình) và Thanh Trì (nay thuộc thành phố Hà Nội)) đều không biết gì cả.
已酉春正月初三日半夜，北平王进至青池之河洄，密围其地，以军筒呼之，应者迭诺。	Nửa đêm ngày mồng 3 tháng giêng, năm Kỷ Dậu (1789), vua Quang Trung tới làng Hà Hồi, huyện Thượng Phúc, lặng lẽ vây kín làng ấy, rồi bắc loa truyền gọi, tiếng quân lính luân phiên nhau dạ ran để hưởng ứng, nghe như có hơn vài vạn người.
外数万人声，屯中始觉，惶恐失措，乃皆请降，尽获其军资器械。	Trong đồn lúc ấy mới biết, ai nấy rụng rời sợ hãi, liền xin ra hàng, lương thực khí giới đều bị quân Nam lấy hết.
北平王令取木版六十片，每三片列一束，外以禾刍浸水蒙之，共二十片，骁勇之士每十人抬一片，背负短刀，二十人各执兵器随其后，为一字阵。北平王骑象督之，初五日黎明，进逼上洄屯。	Vua Quang Trung lại truyền lấy sáu chục tấm ván, cứ ghép liền ba tấm làm một bức, bên ngoài lấy rơm dấp nước phủ kín, tất cả là hai mươi bức. Đoạn kén hạng lính khoẻ mạnh, cứ mười người khênh một bức, lưng giắt dao ngắn; hai mươi người khác đều cầm binh khí theo sau, dàn thành trận chữ "nhất"; vua Quang Trung cưỡi voi đi đốc thúc, mờ sáng ngày mồng 5 tiến sát đồn Ngọc Hồi (theo Dã sử, thì lúc này vua Quang Trung sai đốt hết lương thực và tự mình quấn khăn vàng vào cổ để tỏ ý quyết chiến quyết thắng, không chịu lùi).
清师发铳射之，一无所中者。	Quân Thanh nổ súng bắn ra, chẳng trúng người nào cả.
又因北风纵火烟筒，雾气障天，咫尺不辨，以乱南军。俄转而南风，清人适以自毙。	Nhân có gió bắc, quân Thanh bèn dùng ống phun khói lửa ra, khói toả mù trời, cách gang tấc không thấy gì, hòng làm cho quân Nam rối loạn. Không ngờ trong chốc lát trời bỗng trở gió nam, thành ra quân Thanh lại tự làm hại mình.
北平王促令以木板蒙冲疾走向前。	Vua Quang Trung liền gấp rút sai đội khiêng ván vừa che vừa xông thẳng lên trước.
兵刃既交，则遂掷木板于地，各执短刀乱斫之，后持兵器者亦皆夺前突击。	Khi gươm giáo của hai bên đã chạm nhau thì quăng ván xuống đất, ai nấy cầm dao ngắn chém bừa; những người cầm binh khí theo sau cũng nhất tề xông tới mà đánh.
清师力不能支，大乱溃散，自相践踏而死。	Quân Thanh chống không nổi, bỏ chạy tán loạn, giày xéo lên nhau mà chết.
四川府岑宜栋自缢死。	Tên Thái thú Điền Châu là Sầm Nghi Đống tự thắt cổ chết (Cương mục ghi Sầm Nghi Đống thắt cổ chết ở Loa Sơn (tục gọi gò Đống Đa). Theo Bang giao lục, trong chiến dịch mùa xuân Kỷ Dậu, số quân Thanh bị chết là 27 vạn).
西人乘势大肆厮杀，尸横满野，血流成河，清师大败。	Quân Tây Sơn thừa thế chém giết lung tung, thây nằm đầy đồng, máu chảy thành suối, quân Thanh đại bại.
先是，北平王使一支兵，从安缘河堤而上，开旗鸣鼓，为东道疑兵。	Trước đó, vua Quang Trung đã sai một toán quân theo bờ đê Yên Duyên kéo lên, mở cờ gióng trống để làm nghi binh ở phía đông.
