会子盐上会子、交子之法盖有取于唐之飞钱。	Pháp trao đổi tiền muối và tiền giao dịch của hội tử có nguồn gốc từ tiền bay thời Đường.
二年而陜西、河东皆以旧钱引入成都换易故四川有壅遏之弊河、陜有道途之艰豪家因得以损直敛取。	Hai năm sau, cả Tây An và Hà Đông đều dùng tiền cũ để đưa vào Thành Đô đổi lấy hàng hóa, vì vậy mà Tứ Xuyên gặp phải tình trạng tắc nghẽn. Đường đi qua Hà Tây gặp nhiều khó khăn, các gia đình giàu có vì thế mà có cơ hội thu lợi.
乃诏永兴军更置务纳换陜西、河东引仍遣文臣二人监之。	Vậy nên, đã ban chiếu lệnh cho quân đội Vĩnh Hưng thiết lập lại việc thu nạp và đổi chác ở Hà Tây, đồng thời phái hai văn thần giám sát việc này.
八月知威州张持奏：「本路引一千者今仅直十之一若出入无弊可直八百流通用之官吏奉旧并用引请稍给钱便用」。	Tháng Tám, biết rằng tại tỉnh Uy, Trương Trì dâng biểu xin cấp một ngàn đường dẫn, nhưng giờ chỉ có mười phần. Nếu ra vào không có sai sót, có thể cấp tám trăm để lưu thông. Quan lại vẫn theo cách cũ, xin cấp thêm tiền để sử dụng.
擢持为成都路转运判官提举川引。	Được bổ nhiệm làm quan phán quản vận chuyển tại Đường Thành Đô, phụ trách việc dẫn dắt tỉnh Tứ Xuyên.
后引价益贱不可用持复别用印押以给官吏他无印押者皆弃无用。	Sau này, giá cả tăng lên, không thể dùng để giữ lại, lại phải dùng con dấu khác để cấp phát cho quan lại; những ai không có con dấu đều bị bỏ đi, không có giá trị.
言者论其非法持坐远谪。三年诏钱引四十一界至四十二界毋收易自后止如天圣额书放铜钱地内勿用。	Người nói về việc không hợp pháp ngồi lâu nơi xa lưu đày Trong ba năm, lệnh tiền thu hút từ bốn mươi mốt giới đến bốn mươi hai giới không được thu đổi, từ nay trở đi dừng lại như chữ khắc trên trời Thánh, không sử dụng tiền đồng trong đất.
四年假四川提举诸司封桩钱五十万缗为成都务本侵移者准常平法。	Năm thứ tư, cho phép tỉnh Tứ Xuyên thu hồi tiền phong trụ của các bộ là năm trăm ngàn đồng, đối với những kẻ xâm phạm, áp dụng theo luật thường bình.
户部言成都漕司奏：「昨令输官之引以十分为率三分用民户所有而七分赴官场买纳由是人以七分为疑。	Bộ Hộ nói rằng Sở Tài chính Thành Đô đã ra lệnh thu thuế từ các quan chức, lấy mười phần làm tỷ lệ, ba phần sử dụng từ tài sản của dân, còn bảy phần phải nộp vào công quán. Do đó, người ta nghi ngờ về bảy phần này.
请自今无计以三七分之数并许通用愿买纳者听。	Xin từ nay không tính toán theo số ba bảy, và cho phép những ai muốn mua và tiếp nhận.
民间旧以本钱未至引价大损故州官官钱亦减数收市；今本钱已足请勿减数以祛民惑。	Dân gian xưa nay do vốn chưa đủ mà giá cả bị thiệt hại lớn, vì vậy quan lại ở tỉnh cũng giảm số thuế. Nay vốn đã đủ, xin đừng giảm số thuế để tránh làm dân chúng hoang mang.
又请四十三界引俟界满勿换给自四十四界为改法之首」。	Lại xin chờ đợi bốn mươi ba giới, khi giới đã đầy thì không đổi cho đến bốn mươi bốn giới, để làm đầu mối cho sự thay đổi pháp.
而户部详度欲止行四十四界其四十五界勿印。	Và Bộ Hộ đã tường trình về việc muốn dừng lại ở bốn mươi bốn giới, không in ấn giới thứ bốn mươi lăm.
若通行及乏用听于界内续增其新引给换之馀如旧鬻之或于给钱之所易钱储以为本移用者如擅支封桩钱法。	Nếu có thể thông hành và thiếu thốn, hãy nghe theo trong giới hạn mà tiếp tục tăng cường những nguồn cung cấp mới, đổi chác những thứ còn lại như cũ, hoặc tại nơi cung cấp tiền bạc mà dễ dàng chuyển đổi tiền tệ để làm vốn.
诏可。	Những ai tự ý chi tiêu tiền đóng dấu sẽ bị xử lý theo pháp luật.
令川引并如旧即成都府务纳换。	Chiếu khả Lệnh cho sông Trường Giang chảy như cũ, tức là việc quản lý của phủ Thành Đô phải được thay đổi.
以置务成都便利岁久至诸州则有料次交杂之弊故有是诏。	Để đặt việc ở Thành Đô thuận lợi, qua nhiều năm đến các châu thì có sự lẫn lộn trong việc giao nộp, vì vậy có chiếu này.
大凡旧岁造一界备本钱三十六万缗新旧相因。	Thông thường, năm cũ tạo ra một giới hạn, chuẩn bị vốn liếng ba mươi sáu vạn tiền, mới cũ liên quan lẫn nhau.
大观中不蓄本钱而增造无艺至引一缗当钱十数。	Trong thời đại Đại Quan, không tích lũy vốn mà lại gia tăng sản xuất một cách không có nghệ thuật, dẫn đến việc một đồng tiền có giá trị gấp mười.
及秉政奉诏复循旧法。	Và nắm quyền chính trị, tuân theo sắc chỉ, khôi phục theo luật lệ cũ.
宣和中商英录奏当时所行以为自旧法之用至今引价复平。	Vào thời kỳ Xuân Hòa, bản ghi chép về thương mại Anh đã được trình bày, cho thấy cách thức thực hiện theo luật lệ cũ, đến nay giá cả lại trở về mức bình thường.
高宗有司因婺州屯兵请桩办合用钱而路不通舟钱重难致。	Cao Tông có quan viên vì quân đội ở Tôn Châu mà xin làm cọc để dùng chung tiền, nhưng đường không thông, thuyền tiền nặng nề khó khăn.
乃造关子付婺州召商人入中执关于榷货务请钱愿得茶、盐、香货钞引者听。	Vậy nên, đã tạo ra một quy định giao cho Vũ Châu triệu tập thương nhân vào trong, nắm giữ quy định về việc buôn bán, xin tiền, mong muốn có được trà, muối, hàng thơm và tiền giấy, những ai có thể chỉ dẫn thì hãy nghe theo.
于是州县以关子充籴本未免抑配而榷货务又止以日输三分之一偿之人皆嗟怨。	Vì vậy, các châu huyện dùng tiền thuế để bù đắp cho việc thu mua, không thể tránh khỏi việc bị áp chế, và việc quản lý hàng hóa lại bị ngừng lại, chỉ còn lại một phần ba hàng hóa được giao nộp hàng ngày, khiến cho mọi người đều than phiền.
六年诏置行在交子务。	Năm thứ sáu, sắc chỉ lập ra việc giao dịch tiền tệ.
臣僚言：「朝廷措置见钱关子有司浸失本意改为交子。	Tôi xin thưa rằng triều đình đã có những biện pháp xử lý liên quan đến tiền tệ, nhưng các quan lại dần dần đã đánh mất ý định ban đầu và chuyển sang sử dụng giấy bạc.
官无本钱民何以信？」	Quan không có vốn, dân sao có thể tin.
于是罢交子务令榷货务储见钱印造关子。	Do đó, hãy ngừng giao dịch tiền giấy, phải quản lý hàng hóa, phải tích trữ tiền, in ấn tiền để kiểm soát.
二十九年印公据、关子付三路总领所：淮西、湖广关子各八十万缗淮东公据四十万缗皆自十千至百千凡五等。	Năm hai mươi chín, Ấn Công dựa vào Quan Tử giao cho Tổng Lãnh ba lộ số tiền tám trăm ngàn văn cho các vùng Hồ Quảng, mỗi vùng một trăm ngàn văn. Ở phía Đông, Công dựa vào bốn mươi ngàn văn, tất cả từ mười ngàn đến một trăm ngàn, chia làm năm loại.
内关子作三年行使公据二年许钱银中半入纳。	Nội quan tử làm ba năm, hành sử công, theo hai năm, cho phép tiền bạc nửa vào nộp.
三十年户部侍郎被旨造会子储见钱于城内外流转；其合发官钱并许兑会子输左藏库。	Ba mươi năm, Thị lang Bộ hộ được chỉ thị tạo ra hội tử trữ, thấy tiền lưu chuyển trong thành ngoài phố, cho phép phát quan tiền và cho phép đổi hội tử nộp vào kho trái trái.
明年诏会子务隶都茶场。三十二年定伪造会子法。犯人处斩。赏钱十贯不愿受者补进义校尉。若徒中及庇匿者能告首免罪受赏愿补官者听。	Năm sau, chiếu hội sẽ thuộc về Đô Trà Trường Luật chế định giả mạo của năm thứ ba mươi hai Tội nhân bị xử trảm Tiền thưởng mười quan, ai không muốn nhận thì bổ sung vào trường nghĩa Nếu những người trong nhóm hoặc kẻ ẩn náu có thể tố cáo thủ lĩnh thì sẽ được miễn tội và nhận thưởng, nếu muốn bổ nhiệm chức vụ thì sẽ được chấp nhận.
当时会纸取于徽、池续造于成都又造于临安。	Thời đó, giấy được lấy từ Hồ Quý, tiếp tục sản xuất tại Thành Đô và cũng được chế tạo tại Lâm An.
会子初行止于两浙后通行于淮、浙、湖北、京西。	Hội tử ban đầu dừng lại ở hai Chiết, sau đó thông hành qua Hoài, Chiết, Hồ Bắc, Kinh Tây.
除亭户盐本用钱其路不通舟处上供等钱许尽输会子；其沿流州军钱、会中半；民间典卖田宅、马牛、舟车等如之全用会子者听。	Ngoại trừ tiền thuế muối từ các cửa tiệm, nếu đường đi không thông thuyền, thì các khoản tiền cung cấp cho triều đình sẽ được phép hoàn toàn chuyển giao bằng tiền hội. Những khoản tiền từ quân đội dọc theo dòng sông sẽ được dùng để mua bán ruộng đất, ngựa, bò, thuyền, xe cộ, v.v... Tất cả những gì sử dụng tiền hội đều được chấp nhận.
孝宗诏会子以「隆兴尚书户部官印会子之印」为文更造五百文会又造二百、三百文会。	Hiếu Tông ban chiếu triệu tập con cái, lấy ấn của bộ Hộ trong triều làm văn, lại chế tạo ra năm trăm văn hội, và cũng chế tạo thêm hai trăm, ba trăm văn hội.
置江州会子务。以会子之弊出内库及南库银一百万收之。	Đặt việc hội ở Giang Châu Do sự bất cập của hội, xuất từ nội khố và nam khố một triệu lượng bạc.
二年以民间会子破损别造五百万换给。	Năm thứ hai, do dân gian hội họp, đã hư hại, lại chế tạo năm triệu để đổi lấy.
又诏损会贯百钱数可验者并作上供钱入输巨室以低价收者坐之。	Lại ra chiếu giảm bớt số tiền trăm đồng có thể kiểm nghiệm, đồng thời thu nạp vào kho lớn với giá thấp, ai làm trái sẽ bị xử lý.
四年以取到旧会毁抹付会子局重造三年立为一界界以一千万贯为额随界造新换旧。	Bốn năm sau, để khôi phục lại hội cũ đã bị phá hủy, giao cho hội tử lập lại, trong ba năm thiết lập một giới hạn, với một triệu đồng làm mức tối thiểu, theo giới hạn mà xây dựng mới, đổi cũ.
以同共措置铸「提领措置会子库」印。	Cùng nhau sắp xếp, đúc nên những điều cần thiết, quản lý kho tàng ấn tín.
每道收靡费钱二十足零百半之。	Mỗi con đường thu phí hai mươi đồng tiền, đủ để mua một trăm phần nửa.
凡旧会破损贯百字存、印文可验者即与兑换。	Nếu như bản cũ bị hư hại mà có thể xác minh bằng trăm chữ khắc in, thì sẽ được đổi lấy.
五年令行在榷货务、都茶场将请算茶、盐、香、矾钞引权许收换第一界自后每界收换如之。	Trong năm thứ năm, lệnh hành tại nơi thu mua hàng hóa, sẽ xin tính toán về trà, muối, hương, phèn, và tiền giấy. Quyền cho phép thu đổi, từ giới hạn đầu tiên, về sau mỗi giới hạn sẽ thu đổi như vậy.
其州县诸色纲钱以七分收钱三分收会。	Các huyện trong tỉnh thu tiền theo tỷ lệ bảy phần, ba phần thu hội phí.
九年定捕造伪会之赏。诏左藏南上库给会子二十五万收买临安、平江、绍兴、明秀州额外浮盐其继到钞钱令榷货务月终输封桩库以备循环换易会子。	Khen thưởng cho việc bắt giữ và chế tạo giả mạo trong chín năm Chiếu lệnh kho phía Nam giao cho 250.000 lượng tiền để mua lại muối nổi ở Lâm An, Bình Giang, Triệu Hưng, và các vùng phụ cận. Tiền thu được sẽ được đưa vào kho để chuẩn bị cho việc trao đổi và lưu thông hàng hóa vào cuối tháng.
三年诏第三界、四界各展限三年令都茶场会子库以第四界续印会子二百万贮南库。	Trong ba năm, chiếu lệnh mở rộng giới hạn của ba giới và bốn giới, trong ba năm, lệnh cho các trà trường tập hợp kho bạc, để tiếp tục in ấn hai triệu cho kho phía Nam.
当时户部岁入一千二百万其半为会子而南库以金银换收者四百万流行于界外者才二百万耳。	Thời đó, Bộ Hộ thu nhập hàng năm là mười hai triệu, trong đó một nửa là tiền hội, còn kho phía Nam đổi lấy vàng bạc thu được bốn triệu, số lưu hành bên ngoài chỉ có hai triệu.
光宗诏第七、第八界会子各展三年。	Quang Tông chiếu dụ năm thứ bảy, năm thứ tám, hội con cái mỗi người mở rộng ba năm.
臣僚言：「会子界以三年为限今展至再则为九年何以示信？」	Thần liêu nói rằng, giới hạn ba năm cho con cái, nay kéo dài thêm thành chín năm, vậy làm sao để thể hiện lòng tin?
于是诏造第十界立定年限。	Do đó, đã ban chiếu lập ra giới hạn năm cho giới thứ mười.
诏会子界以三千万为额。	Chiếu định giới hạn ở ba mươi triệu.
以三界会子数多称提无策会十一界除已收换尚有一千三百六十万馀贯十二界、十三界除烧毁尚有一万二百馀万贯。	Dựa vào số lượng của ba giới, nhiều người gọi là Đề Vô Sách, hội tụ mười một giới. Ngoài số đã thu đổi, vẫn còn một triệu ba trăm sáu mươi vạn lượng. Mười hai giới và mười ba giới, ngoài số đã bị thiêu hủy, vẫn còn một triệu hai trăm vạn lượng.
十二界四千七百万馀贯十三界五千七百万馀贯。	Mười hai giới bốn ngàn bảy triệu hơn, mười ba giới năm ngàn bảy triệu hơn.
诏封桩库拨金一百五万两两为钱四十贯。	Chiếu phong kho bạc, phát ra một trăm năm mươi vạn lượng, tương đương với bốn mươi quan tiền.
度牒七千道每道为钱一千贯。	Giấy chứng nhận bảy nghìn đường, mỗi đường trị giá một nghìn quan.
官告绫纸、乳香乳香每套一贯六百文。	Quan cáo lụa giấy sữa hương, mỗi bộ một quan sáu trăm văn.
凑成三千馀添贴临安府官局收易旧会品搭入输。	Tạo thành hơn ba nghìn, thêm vào việc thu mua các phẩm vật cũ của quan phủ Lâm An.
十一界会子二分十二、十三界会子各四分。	Mười một giới hội, mỗi giới hai phần; mười hai và mười ba giới hội, mỗi giới bốn phần.
以旧会之二易新会之一。泉州守臣宋均、南剑州守臣赵崇亢、陈宓皆以称提失职责降有差。	Dùng hội cũ để đổi mới hội mới Quân chủ tỉnh Tuyền Châu Tống Quân Nam, quân chủ tỉnh Kiếm Châu Triệu Sung Kháng, Trần Mặc đều vì sự thiếu trách nhiệm mà bị giáng chức.
两界会子已及三亿二千九百馀万。臣僚言：「两界会子远者曾未数载近者甫及期年非有破坏涂污之弊今当以所收之会付封桩库贮之脱有缓急或可济事」。	Hai giới hội tụ đã đạt tới ba trăm triệu hai nghìn chín trăm mấy vạn Tôi xin thưa rằng, các quan lại nói rằng, hai giới hội họp, những người ở xa chưa từng có nhiều năm, còn những người gần đây vừa mới đến một năm. Không phải vì có sự hủy hoại hay ô uế nào.
有旨从之。	Nay nên dùng những gì đã thu thập được trong hội để giao cho kho lưu trữ, nếu có việc khẩn cấp hoặc cần thiết có thể giải quyết.
宗正丞韩祥奏：「坏楮币者只缘变更救楮币者无如收减。	Có chỉ dụ theo đó Tôn Chính Thừa Hàn Tường tấu rằng: Kẻ phá hoại tiền giấy chỉ vì thay đổi, cứu vãn tiền giấy thì không thể thu hồi hay giảm bớt.
自去年至今楮价粗定不至折阅者不变更之力也。	Từ năm ngoái đến nay, giá giấy đã ổn định, không đến nỗi phải thay đổi sức lực của người đọc.
今已罢诸造纸局及诸州科买楮皮更多方收减则楮价有可增之理」。	Nay đã dừng mọi xưởng giấy và các tỉnh mua vỏ cây nhiều hơn, thì giá vỏ cây có thể tăng lên.
上曰：「善」。三年臣僚言：「今官印之数虽损而伪造之券愈增；且以十五、十六界会子言之其所入之数宜减于所出之数。	Trên nói rằng tốt Ba năm, các bề tôi nói rằng số lượng con dấu của quan tuy có giảm nhưng giấy tờ giả mạo lại càng tăng, và theo lời của các con cái ở mười lăm mười sáu giới, số lượng thu vào nên giảm so với số lượng chi ra.
今收换之际元额既溢举者未已。	Hiện tại, lúc thu nhận và đổi mới, số lượng đã vượt quá, những người được chọn vẫn chưa dừng lại.
若非伪造其何能致多如是？	Nếu không phải giả mạo, thì sao có thể đạt được nhiều như vậy?
大抵前之二界尽用川纸物料既精工制不茍民欲为伪尚或难之。	Trước đây, hai giới đều dùng giấy Tứ Xuyên, vật liệu đã tinh xảo, không thể tùy tiện. Dân chúng muốn làm giả, e rằng cũng khó khăn.
迨十七界之更印已杂用川、杜之纸至十八界则全用杜纸矣。	Đến khi mười bảy giới, thì đã dùng giấy Truyền Đỗ lẫn lộn; đến mười tám giới, thì hoàn toàn dùng giấy Đỗ.
纸既可以自造价且五倍于前故昔之为伪者难今之为伪者易。	Giấy nay có thể tự chế, giá cả gấp năm lần trước, vì vậy những kẻ giả mạo xưa khó, nay lại dễ.
人心循利甚于畏法况利可立致而刑未即加者乎？	Tâm người theo lợi nhiều hơn sợ pháp, huống chi lợi có thể lập tức đạt được mà hình phạt chưa kịp thi hành.
臣愚以为抄撩之际增添纸料宽假工程务极精致使人不能为伪者上也；禁捕之法厚为之劝厉为之防使人不敢为伪者次也」。	Tôi ngu dốt cho rằng trong lúc bùng phát, nên tăng thêm giấy tờ, nới lỏng giả mạo công trình, làm cho người ta không thể giả dối. Luật cấm đánh bắt cần phải nghiêm khắc, khuyến khích và bảo vệ để người ta không dám giả dối.
七年以十八界与十七界会子更不立限永远行使。	Bảy năm, với mười tám giới và mười bảy giới, không đặt ra giới hạn, vĩnh viễn thực hiện.
十一年以会价增减课其官吏。	Mười một năm, theo giá cả mà tăng giảm thuế đối với quan lại.
以收买逾限之田复日增印会子一十五万贯。	Để thu mua đất đai vượt quá hạn mức, lại tăng thêm 150.000 quan mỗi ngày.
以近颁见钱关子贯作七百七十文足十八界每道作二百五十七文足三道准关子一贯同见钱转使公私擅减者官以赃论吏则配籍。	Theo quy định gần đây, tiền thuế của mỗi con đường được quy định là bảy trăm bảy mươi văn, cộng thêm mười tám giới hạn, mỗi con đường được quy định là hai trăm năm mươi bảy văn, tổng cộng ba con đường. Nếu có ai lạm dụng quyền hạn, giảm bớt số tiền thuế công và tư, thì sẽ bị xử lý theo luật về tham nhũng và bị ghi vào sổ đen.
五年复申严关子减落之禁。七年以行在纸局所造关子纸不精命四川制使抄造输送每岁以二千万作四纲。	Năm năm lại giảm nhẹ lệnh cấm của Quan Tử Trong bảy năm, việc sản xuất giấy tại cục giấy không tinh xảo, lệnh cho Tứ Xuyên chế tạo, sao chép và vận chuyển mỗi năm hai mươi triệu để làm bốn loại.
川引自张浚开宣府赵开为总饷以供籴本以给军需增印日多莫能禁止。	Sông chảy từ Trương Tuấn, khai thông Xuyên Phủ, Triệu Khai làm tổng tài chính để cung cấp lương thực, vốn để đáp ứng nhu cầu quân đội, càng in ấn nhiều ngày càng không thể cấm đoán.
七年川、陜副帅吴玠请置银会于河池不许。	Bảy năm, Phó soái Ngô Liệt ở Tứ Xuyên và Thiểm Tây xin đặt bạc hội ở Hà Trì nhưng không được chấp thuận.
盖前宋时蜀交出放两界每界一百二十馀万。	Vào thời nhà Tống trước đây, đất Thục đã giao ra hai giới, mỗi giới hơn một trăm hai mươi vạn.
今三界通行为三千七百八十馀万至绍兴末积至四千一百四十七万馀贯；所贮铁钱仅及七十万贯以盐酒等阴为称提。	Hiện nay, ba giới thông hành, tổng cộng khoảng ba triệu bảy trăm tám mươi vạn, đến cuối triều đại Tống, tích lũy lên đến bốn triệu một trăm bốn mươi bảy vạn, số tiền sắt chỉ đạt bảy mươi vạn quan, dùng để trao đổi muối, rượu và các hàng hóa khác.
是以饷臣亦谓添印钱引以救目前不得不为朝廷远虑。	Vì vậy, bề tôi cũng nói rằng nên thêm tiền in để cứu vãn tình hình hiện tại, không thể không vì triều đình mà lo lắng cho tương lai.
诏添印三百万之望止添印一百万。	Sắc lệnh thêm ấn ba triệu, nhưng chỉ thêm ấn một triệu.
孝宗饷臣赵沂添印二百万。以蜀引增至四千五百馀万立额不令再增。	Hiếu Tông ban cho quan triều Triệu Ngọc thêm hai triệu ấn Lấy đất Thục làm tăng lên đến bốn ngàn năm trăm vạn, không cho phép tăng thêm nữa.
光宗诏川引展界行使。宁宗嘉泰末两界出放凡五千三百馀万缗通三界出放益多矣。	Quang Tông chỉ dụ về việc mở rộng biên giới Thời Nguyên Tông, vào cuối triều đại Gia Thái, đã phát hành ra ngoài hai giới hơn năm triệu ba trăm nghìn lượng tiền, thông qua ba giới, phát hành nhiều hơn nữa.
开禧末饷臣陈咸以岁用不足尝为小会卒不能行。	Vào cuối triều đại Khai Hỷ, quan thần Trần Hàm vì ngân quỹ không đủ đã từng tổ chức một cuộc họp nhỏ nhưng cuối cùng không thể thực hiện.
嘉定初每缗止直铁钱四百以下咸乃出金银、度牒一千三百万收回半界期以岁终不用。	Vào đầu triều đại Gia Định, mỗi một đồng tiền sắt dưới bốn trăm đều phải xuất ra một triệu ba trăm ngàn giấy chứng nhận vàng bạc, thu hồi lại một nửa trong thời hạn quy định đến cuối năm không cần dùng.
然四川诸州去总所远者千数百里期限已逼受给之际吏复为奸。	Nhưng các châu ở Tứ Xuyên, nơi xa tổng sở, cách nhau hàng ngàn dặm, thời hạn đã gần kề, lúc nhận lệnh thì quan lại lại tiếp tục làm điều gian ác.
于是商贾不行民皆嗟怨一引之直仅售百钱。	Vì vậy, thương nhân không thể hoạt động, dân chúng đều than phiền, chỉ cần kéo dài một chút mà giá cả chỉ bán được trăm tiền.
制司乃谕人除易一千三百万引三界依旧通行又檄总所取金银就成都置场收兑民心稍定。	Chế司 đã ra lệnh cho người dân miễn trừ một triệu ba trăm ngàn, kéo dài ba giới vẫn tiếp tục lưu thông. Hơn nữa, đã ban bố lệnh tổng hợp số vàng bạc thu được, lập chợ tại Thành Đô để thu đổi, lòng dân dần ổn định.
自后引直铁钱五百有奇若关外用铜钱引直五百七十钱而已。	Từ đó, thu hút tiền sắt thẳng năm trăm, nếu ở ngoài quan chỉ dùng tiền đồng thu hút thẳng năm trăm bảy mươi tiền mà thôi.
