供佛天臺香。	CUNG TIẾN DỰNG CÂY HƯƠNG.
女子梁氏鳳，梁氏銓婿子阮廷壇，陳文訓養子梁氏誠，婿范春塋孫梁輝長，梁輝_，悅孫阮文_，__賭母阮氏華仝家等欲發善緣，出其家財與造青龍寺，鍾閣三間，上殿五間，後防五間，裝鍠佛像十座。	Con gái là Lương Thị Phượng, Lương Thị Thuyên cùng con rể là Nguyễn Đình Đàn, Trần Văn Huấn; con nuôi là Lương Thị Thành, rể là Phạm Xuân Oánh; cháu là Lương Huy Trường, Lương Huy Khảng, cháu ngoại là Nguyễn Văn Đổ và mẹ Nguyễn Thị Hoa cùng mọi người trong nhà muốn phát thiện duyên, bỏ tiền riêng tu sửa lại chùa Thanh Long gồm 3 gian gác chuông, 5 gian thượng điện, 5 gian nhà sau, trang hoàng 10 pho tượng Phật.
_興造慶靈寺上殿壹間貳廈，上瓦下石，造像五座，供田三高，永留後代。	Lại tu sửa chùa Khánh Linh gồm một gian hai chái cùng tòa thượng điện, trên lợp ngói dưới lát gạch, đúc 5 pho tượng Phật, cúng 3 sào ruộng để truyền lại đời sau.
再有功德亭橋十方_等是以求七祖九玄同類善，緣証無上道廣，開閣殿樓臺與，崇盛世。	Phát tâm công đức các nơi đình, cầu, chợ để cầu thất tổ cửu huyền, cùng được dựa vào thiện duyên, chứng đạo vô thượng, mở rộng lâu đài, hưng sùng thịnh thế.
上祝皇朝永遠，玉典安下，天下太平，民安衽藉，百福來成，四民安樂，開人樹福，祖宗既有恒心，積善慶家，苗裔永綏，福履功德員成。	Trên chúc cho Hoàng triều muôn đời mãi mãi, thiên hạ thái bình, đặt dân trên chăn êm đệm ấm, trăm phúc cùng tới, muôn dân vui vẻ, nối người chồng phúc đức, tổ tông đã có hằng tâm tích thiện, nhà vui con cháu, phúc được dài lâu, công đức tròn đầy, nguyện tình như ý.
願情如意，故立碑記，以留于後錫興功會主壇即，諸人眷等，壽考康寧，共享平安之福。	Cho nên lập bia để lưu đến đời sau. Những người hưng công hội chủ sẽ được hưởng phúc lành bình an và khoẻ mạnh.
所有諸人功德列陳于後本處四岐縣平乾社該總陶仲番供錢貳拾五貫。	Những người công đức liệt kê ra sau: Cai tổng xã Bình Càn, huyện Tứ Kỳ là Đào Trọng Phiên cúng 25 quan tiền.
一本族梁輝學供錢貳貫梁，輝旺供錢柒貫。	Người trong họ là Lương Huy Học cúng 2 quan tiền, Lương Huy Vượng cúng 7 quan tiền.
本社仝社供錢貳寺十一貫供，田二高。	Toàn xã cúng tiến vào hai chùa là 11 quan và 2 sào ruộng.
黃仲檢供錢貳_，貫惟善本族供錢壹貫，黃惟禮_錢壹貫，陳廷貴供錢陸貫陸陌，黄仲場供錢壹貫，黃文稟供錢貳伍陌供錢貫，黃仲基供__參_，黄有誌供錢壹貫五陌，寧文枋供錢壹貫，陶文遂供錢壹貫，黃仲葵妻武氏朝供錢貳貫五陌，供田參高。	Hoàng Trọng Kiểm cúng 2 quan tiền, Hoàng Duy Thiện cùng bản tộc cúng 1 quan tiền, Hoàng Duy Lễ cúng 1 quan tiền, Trần Đình Quý cúng 6 mạch 6 quan tiền, Hoàng Trọng Trường cúng 1 quan tiền, Hoàng Văn Bẩm cúng 5 mạch 2 quan tiền, Hoàng Trọng Cơ cúng 3 quan tiền, Hoàng Hữu Chí cúng 5 mạch 1 quan, Ninh Văn Phương cúng 1 quan tiền, Đào Văn Toại cúng tiền 1 quan, Hoàng Trọng Quỳ và vợ Vũ Thị Triều cúng 5 mạch 2 quan và 3 sào ruộng.
阮文琨供錢五陌，阮有財供錢壹貫，黎廷信供錢壹貫，陳文東供錢壹貫，黃文几供錢貳貫，阮文富供錢壹貫，黃氏智供錢六陌，黃氏詠供錢六陌。	Nguyễn Văn Côn cúng 5 mạch, Nguyễn Hữu Tài cúng 1 quan tiền, Lê Đình Tín cúng 1 quan tiền, Trần Văn Đông cúng 1 quan tiền, Hoàng Văn Kỉ cúng 2 quan tiền, Nguyễn Văn Dần cúng 6 mạch, Hoàng Thị Trí cúng 6 mạch, Hoàng Thị Vịnh cúng 6 mạch.
一本總戶口社仝社供錢貳貫，婆後看供錢壹貫，范文派供錢貳貫，阮光輝供錢六陌，范公素供錢壹貫陸陌。本總先舊社浪連村陳德筏妻梁氏雲供錢貳貫，陳德澤供錢參貫，陳德懿供錢貳貫參陌，陳德霑供錢壹貫玖陌，范文瑩供錢陸陌，陳文貴，陳文典，陳文登供錢貳_。	Các họ có hộ khẩu trong xã cúng 2 quan tiền, bà hậu Khán cúng tiền 1 quan, Phạm Văn Phái cúng 2 quan tiền, Nguyễn Quang Huy cúng 6 mạch, Phạm Công Tố cúng 6 mạch. Trần Đức Tuất và vợ Lương Thị Vân người thôn Lãng Liên xã Tiên Cựu tổng ta cúng 2 quan tiền, Trần Đức Trạch cúng 3 quan tiền, Trần Đức Ý cúng† 3 mạch 2 quan, Trần Đức Triêm cúng 9 mạch 1 quan, Phạm Văn Oánh cúng 6 mạch, Trần Văn Quý, Trần Văn Điển, Trần Văn Đăng cúng 2 quan tiền.
先舊社里長阮仲朋貫供錢壹貫杜，廷桃供錢二_。	Lý trưởng Nguyễn Trọng Bằng người xã Tiên Cựu cúng tiền 1 quan, Đỗ Đình Sáu cúng 2 quan tiền.
安姥社阮文匡供錢壹貫。	Nguyễn Văn Khuông người xã Yên Mỗ cúng 1 quan tiền.
衣川社副管奇阮仲体供錢五貫，該總阮文富供錢壹貫，阮文兼，阮仲全供錢壹貫。	Phó quản cơ Nguyễn Trọng Thể người xã Y Xuyên cúng 5 quan tiền, Cai tổng Nguyễn Văn Phú cúng 1 quan tiền, Nguyễn Văn Kiêm, Nguyễn Trọng Toàn cúng 1 quan tiền.
林皋社供錢參貫，春葛社供錢貳貫，核柯村仝村供錢參貫，隸目黎功賓供錢貳貫，莫仁盛供錢壹貫四陌，阮春瑩供錢陸陌，沙中村仝村供錢二貫，生丹村仝村供錢參貫，阮文記供錢壹貫。	Xã Hoà Cao cúng 3 quan tiền, xã Xuân Cát cúng 2 quan tiền, thôn Cây Kha cúng 3 quan tiền, Lệ Mục Lê Công Tân cúng 2 quan tiền, Mạc Nhân Thịnh cúng 4 mạch 1 quan, Nguyễn Xuân Oánh cúng 6 mạch, thôn Sa Trung cúng 2 quan tiền, thôn Sinh Đơn cúng 3 quan tiền, Nguyễn Văn Ký cúng 1 quan tiền. Thôn Ngoại xã Kinh Khê thuộc huyện ta cúng 6 mạch 1 quan, xã Khê cúng 1 quan tiền, Nguyễn Hữu Lượng người xã Cẩm La cúng 1 quan tiền, Bùi Đình người xã Ngân Cầu cúng 6 mạch.
本縣荆溪社外村供錢壹貫陸陌慶，溪社供錢壹貫，錦羅社阮有量供錢壹貫，浪球社裴廷乾供錢陸陌，合來社柴試沅供錢壹貫。	Sài Cai Nguyên người xã Nhân Lai cúng 1 quan tiền.
本處四岐縣員榔社范德秀供錢五陌，范德闡供錢陸陌，煉富村仝社供錢壹貫，安賜社仝社供錢參_。	Phạm Đức Tú người xã Viên Lang huyện Tứ Kỳ cúng 5 quan tiền, Phạm Đức Xiển cúng 6 mạch. Thôn Đống Phú cùng toàn xã cúng 1 quan tiền, xã Yên Tử cúng 3 quan tiền.
平乾社朱文嶺，朱文詳貫供錢壹貫陸陌，安永社里長勳供錢壹貫。	Chu Văn Lĩnh, Chu Văn Tường người xã Bình Chu cúng 1 quan 6 mạch. Lý trưởng Huân người xã Yên Vĩnh cúng 1 quan tiền.
本府青河縣紹美社柴正秀供錢三貫，堅煥社柴該羨供錢四貫，柴理幸供錢壹貫。	Sài Chính Tú người xã Thiệu Mỹ huyện Thanh Hà phủ ta cúng 2 quan tiền, Sài Cai Tiễn người xã Kiên Hoán cúng 4 quan tiền, Sài Lý Hạnh cúng 1 quan tiền.
本處安姥縣勾下社婆后勝供錢壹貫，廣安省花封縣浪吟社阮廷檢供_二貫。	Bà hậu Thắng người xã Câu Hạ huyện An Lão xứ ta cúng 1 quan tiền, Nguyễn Đình Kiểm người xã Lương Ngâm, huyện Hoa Phong, tỉnh Quảng Yên cúng 1 quan tiền.
所有功德十方名寺並造像，鎛鍾列開于后ㄧ功德香_寺拾貫石橋五貫。	Họ tên thập phương công dức dựng tượng, đúc chuông như sau: Chùa Hương Đại công đức 10 quan tiền; cầu đá 5 quan.
一功德四岐咸熙社掇橋_六貫，一功德香羅橋寺十貫，一功德蒲多寺六貫功德太方榔寺六貫功德員榔_拾貫功德同涼寺六貫功德咸格寺六貫功德泰萊寺十一_______貫功德天殳寺六貫功德廚梏十貫功德豪舍寺十三貫功德下駒寺十貫功德夏永寺橋式十貫功德仁綱寺五貫功德廣舍寺十貫功德純美寺四貫功德榆員寺一貫功德安戶寺五貫。	Cầu Xuyết thuộc hai xã Tứ Kỳ - Hàm Hy công đức 6 quan tiền, xã Hương La công đức 10 quan, chùa Bồ Đa công đức 6 quan; chùa Thái Phương công đức 6 quan; chùa Viên Lang công đức 10 quan; chùa Đồng Lương công đức 6 quan; chùa Hàm Cách công đức 6 quan; chùa Thái Lai công đức 11 quan; chùa Đồng Bùi công đức 10 quan; chùa Thiên Thù công đức 6 quan; Chùa Cháo công đức 10 quan; chùa Hào Xá công đức 13 quan; chùa Hạ Câu công đức 10 quan; chùa Hạ Vĩnh công đức 20 quan; chùa Nhân Cương công đức 5 quan; chùa Hoàng Xá công đức 10 quan; chùa Thuần Mỹ công đức 4 quan, chùa Du Viên công đức 1 quan; chùa Yên Hộ công đức 5 quan.
一功德平乾社鎛鐘脩寺，裝鍠佛像供什捌貫，功德安賜寺十三貫功德安興寺六貫功德都堅寺十貫功德壽含寺三貫功德河海寺六貫功德安蒲寺十貫功德核柯寺六貫功德金帶寺六貫功德安子上寺十貫功德安子下寺十一貫功德荆溪寺一貫功德銀球寺六貫功德祿壽寺五貫功德富雞寺二貫普光寺靈慶寺一貫供__舟亭六貫功，德古唯寺二十五貫。	Xã Bình Càn công đức đúc chuông, trang hoàng tượng Phật cúng 18 quan tiền, chùa Yên Tử công đức 13 quan; chùa Yên Hưng công đức 6 quan; chùa Đô Kiên công đức 10 quan; chùa Thọ Hàm công đức 3 quan; chùa Hà Hải công đức 6 quan; chùa Yên Bồ công đức 10 quan; chùa Cây Kha công đức 6 quan; chùa Kim Đới công đức 6 quan; chùa An Tử Thượng công đức 10 quan; chùa An Tử Hạ công đức 11 quan tiền, chùa Kinh Khê công đức 1 quan tiền; chùa. Ngân Cầu công đức 6 quan tiền; chùa Lục Thọ công đức 5 quan tiền; chùa Phú Kê công đức 2 quan tiền; chùa Phổ Quang chùa Linh Khánh công đức 1 quan tiền; Vương Chu Đình cúng tiền 6 quan, chùa Cát Duy công đức 25 quan tiền.
功德金帶，富春二社慶靈寺十貫，功德俊偉上寺十_貫俊偉下寺六貫功德篤行寺十貫功德荆溪外村寺十貫功德輔翼寺五貫功德衣川寺四十三貫功德法川寺十貫功德先庵寺+貫功德涼田寺十貫島仙寺三貫功六貫功，德寺六貫功德寺六，貫功德寺六貫。	Chùa Khánh Linh thuộc hai xã Kim Đới, Phú Xuân công đức 10 quan tiền, chùa Tuấn Vĩ Thượng công đức 15 quan tiền; chùa Tuấn Vĩ Hạ công đức 6 quan tiền; chùa Đốc Hành công đức 10 quan tiền; chùa Kinh Khê thôn Ngoại công đức 10 quan. Chùa Phụ Dực công đức 5 quan tiền; chùa Y Xuyên công đức 43 quan tiền; chùa Pháp Xuyên công đức 10 quan tiền; chùa Tiên Am công đức 10 quan tiền; chùa Lương Điền công đức 10 quan tiền; cầu quán Thái Lai công đức 10 quan tiền, chùa Cát Tiên công đức 3 quan tiền cúng, chùa Yên Cố công đức 3 quan.
皇朝明命貳拾壹年歲次庚子正月吉日立碑。	Ngày tốt tháng Giêng năm Canh Tý niên hiệu Hoàng triều Minh Mệnh thứ 21 (1840) dựng bia.
功德先舊社揀蓮寺二百貫句上寺五貫功德舘庄寺六貫功德春芃___________寺__，___+貫功德__，______貫_____，______，功德句東寺十貫功德列舍寺五貫錦羅寺六貫，春舊社供亭錢二貫，大芳榔寺六貫金針寺五_。異賴社大慈寺三貫奇山寺三貫，如林寺六____貫淨者寺六貫羅江寺六貫仁域寺三貫。	Chùa Đống Liên (Liền) xã Tiên Cựu công đức 200 quan tiền; chùa Câu Thượng công đức 5 quan tiền; chùa Quán Trang công đức 6 quan tiền; chùa Xuân Bông công đức 10 quan tiền; chùa thuộc hai xã Thượng Cốc - Hoa Lâm công đức 10 quan tiền, chùa Khải công đức 3 quan tiền; chùa hai xã Trạch Lộ và Hà Hải công đức 5 quan tiền; chùa Minh Lễ công đức 2 quan tiền, chùa Chùa Đống Bát công đức quan tiền, chùa Câu Đông công đức 10 quan tiền; chùa Hợp công đức 5 quan tiền; chùa Cẩm La công đức 6 quan tiền, xã Xuân Cát cúng tiền vào đình 2 quan, chùa Đại Phương công đức 6 quan tiền; chùa Kim Châm công đức 5 quan tiền; Chùa Đại Từ xã Dị Lại công đức 3 quan tiền; chùa Kỳ Sơn công đức 3 quan tiền, chùa Như Lâm công đức 6 quan tiền; chùa Hương công đức 10 quan tiền; chùa Tịnh Giả công đức 6 quan tiền; chùa La Giang công đức 6 quan tiền; chùa Nhân Vực công đức 3 quan tiền.
一功德本社杶喬玖十貫供三祠二十五貫，粞子，十方，東岩寺五貫恩寺豪福寺六貫功仁平格寺六貫真賴寺五貫。	Bản xã Xuân Kiều công đức 90 quan tiền, 3 đình 25 quan, các chùa Lật Tử, Thập Phương, Đông Nham công đức 5 quan tiền; chùa Ân chùa Hào Phúc công đức 6 quan tiền; chùa Bình Cách xã công đức 6 quan tiền; chùa Chân Lại công đức 5 quan tiền.
一功德朝東寺十貫溪寺六貫養勾寺三貫銀球寺五貫豪滿循，良二社慶元寺十貫。	Chùa Triều Đông công đức 10 quan tiền; chùa Khê công đức 6 quan tiền; chùa Dưỡng Câu công đức 3 quan tiền; chùa Ngân Cầu công đức 5 quan tiền; chùa Khánh Nguyên thuộc hai xã Hào Mãn và Tuần Lương công đức 10 quan tiền.
大興功舊甸德寺供錢五拾貫，先舊寺一貫一功德隆波寺六貫功德鄰球靈通寺十一。	Hưng công điện cũ cúng tiền 50 quan, chùa Tiên Cựu công đức 1 quan tiền; chùa Long Ba công đức 6 quan tiền; chùa Linh Thông thuộc xã Lan Cầu công đức 11 quan tiền; .
再樹榕木，永留後世婆數處十株，廚戶處內市二株，塘為一株共十三株。	Lại trồng cây hoa phù dung, lưu mãi đời sau, xứ Bà Số 10 cây, xứ Chùa Hộ 2 cây, xứ Đường Voi 1 cây, cộng là 13 cây.
後神碑記。	BIA BẦU HẬU THẦN.
南策府，先明縣，中陵社社長，色目范佐才，阮壽百，陳平，阮德感，黎得監，阮世平，范公珠，范俊時，范俊傑，阮富悅，陳榮祿，阮勇差，阮公效，黎百榔，范公堅，阮世禮，阮能文，范俊秀，阮登進，阮勇力，阮勇達，阮登高，范幹，黎百成，陳榮花，阮勇長，范富刘，阮勇世，范曰忠，黎公志，阮文隱，阮得勤，阮三津，范廣，阮世家，范文奇，阮賢，陳文四，阮勇興，黎富興，范俊青，范文罕，阮文隊，陳六韜，范順，陳文議，阮公定，阮得全，黎有木，范文紹，范文茹，阮智賢，黎員祿，范曰保，阮文僚，范有祿，阮文治，黎文終，阮智曰，阮智討，阮文于，范滂，阮世弘，鄉長阮有蒹，范富蒹，阮參場，黎先進，阮宗，阮壁彝，黎光朝，阮文閉，阮富成，范俊學，阮富閏，范俊異，阮德有，阮文錦，黎公朝全社上下等，共論所乞本縣慄陽社，標村，原後神謝氏玉號妙欣為後神。	Các Xã trưởng, sắc mục xã Trung Lăng, huyện Tiên Minh, phủ Nam Sách là Phạm Tá Tài, Nguyễn Thọ Bách, Trần Bình, Nguyễn Đức Cảm, Lê Đắc Giám, Nguyễn Thế Bình, Phạm Công Chu, Phạm Tuấn Thời, Phạm Tuấn Kiệt, Nguyễn Phú Duyệt, Trần Vinh Lộc, Nguyễn Dũng Sai, Nguyễn Công Hiệu, Lê Bách Lang, Phạm Công Kiên, Nguyễn Thế Lễ, Nguyễn Năng Văn, Phạm Tuấn Tú, Nguyễn Đăng Tiến, Nguyễn Dũng Lực, Nguyễn Dũng Đạt, Nguyễn Đăng Cao, Phạm Cán, Lê Bách Thành, Trần Vinh Hoa, Nguyễn Dũng Trường, Phạm Phú Lưu, Nguyễn Dũng Thế, Phạm Viết Trung, Lê Công Chí, Nguyễn Văn Ẩn, Nguyễn Đắc Cần, Nguyễn Tam Tân, Phạm Quảng, Nguyễn Thế Gia, Phạm Văn Kì, Nguyễn Hiền, Trần Văn Tứ, Nguyễn Dũng Hưng, Lê Phú Hưng, Phạm Tuấn Thanh, Phạm Văn Hãn, Nguyễn Văn Đội, Trần Lục Thao, Phạm Xin, Trần Văn Nghị, Nguyễn Công Định, Nguyễn Đắc Toàn, Lê Hữu Mộc, Phạm Văn Thiệu, Phạm Văn Như, Nguyễn Trí Hiền, Lê Viên Lộc, Phạm Viết Bảo, Nguyễn Văn Liêu, Phạm Hữu Lộc, Nguyễn Văn Trị, Lê Văn Chung, Nguyễn Trí Viết, Nguyễn Trí Thảo, Nguyễn Văn Vu, Phạm Bàng, Nguyễn Thế Hoằng, Hương trưởng Nguyễn Hữu Kiêm, Phạm Phú Kiêm, Nguyễn Tam Trường, Lê Tiên Tiến, Nguyễn Tông, Nguyễn Bích Di, Lê Quang Triều, Nguyễn Văn Bé, Nguyễn Phú Thành, Phạm Tuấn Học, Nguyễn Phú Nhuận, Phạm Tuấn Dị, Nguyễn Đức Hữu, Nguyễn Văn Cẩm, Lê Công Triều và mọi người trên dưới toàn xã cùng nhau họp bàn, xin bầu nguyên Hậu Thần Tạ Thị Ngọc hiệu Diệu Hân, người thôn Tiêu, xã Lật Dương thuộc bản huyện làm Hậu Thần.
性本善緣，基培福種，捨施多事，佛謹祝聖，心存博濟厚，奉道勤尊，神意篤貲，財所發使錢貳百貫。許本社其本社尊保為後神流，傳萬代以，享灵長之福。	Bà là người bản tính lương thiện, đắp nền trồng quả phúc, nhiều lần bố thí, kính cẩn cầu Phật Thánh, rộng lòng cứu giúp, chuyên cần thờ phụng, dốc lòng tôn thần, bỏ tiền nhà gồm 200 quan tiền sử giao cho bản xã, bản xã bầu làm Hậu Thần truyền đến muôn đời để mãi mãi được hưởng phúc.
所有開陳于左。	Khai như sau.
計一在其本社應俵俵，如端內。一終時，本社據如端內。	Kê: Khi bản xã có cỗ biếu, thì biếu như trong bản cam kết. Khi bà qua đời, bản xã căn cứ như trong bản cam kết.
一忌日，係遞年本社猪一口，酒二瓶，炊拾盤，就族人敬祭如儀。	Vào ngày giỗ, bản xã sắm lễ 1 miếng thịt, 2 bình rượu và 10 mâm xôi đem đến bản tộc kính tế theo đúng nghi thức.
一石碑立在亭中，以後日本社移易他處等，留廢忌日不據端言，其族人呈上官，本社倍还原錢。	Dựng một tấm bia ở ngoài đình, nếu sau này bản xã dời đi nơi khác và phế bỏ ngày giỗ, không đúng như trong bản cam đoan, người của bản tộc trình lên quan trên, bản xã phải trả lại đúng số tiền như cũ.
茲端。	Nay viết bản cam kết.
銘曰海陽雄扶南，策敵人。先明曰武，慄陽乃文。	Minh rằng: Hải Dương hùng tráng, Nam Sách vô song. Tiên Minh đất võ, Lật Dương đất văn.
今觀謝氏，顯愛姓欣。	Quê bà họ Tạ, Yêu mến tình thân.
三從全備，四德兼純。	Có đủ tam tòng, Lại thêm tứ đức.
財貲先敬，位配後神。	Tiền tài kính tiến, Phối làm Hậu Thần.
碑傳萬代，祀享千春。	Bia truyền muôn thuở, Thờ cúng ngàn thu.
福垂長遠，錄為法云。	Phúc lưu dài mãi, Ghi thành phép khuôn.
永盛三年貳月拾日立_文碑。	Dựng bia ngày 10 tháng 2 niên hiệu Vĩnh Thịnh 3 (1707).
社長黎百勝記。	Xã trưởng Lê Bách Thắng ký.
社長范公羡記。	Xã trưởng Phạm Công Tiện ký.
社長阮世平记。社長范俊時記。	Xã trưởng Nguyễn Thế Bình ký. Xã trưởng Phạm Tuấn Thời ký.
小十八阮文禹記。	Người 18 tuổi là Nguyễn Văn Vũ ký.
阮文凍記全社上下等共記。	Nguyễn Văn Đống ký và mọi người trên dưới toàn xã cùng ký.
後神碑記庚戌年造。	BIA BẦU HẬU THẦN DỰNG NĂM CANH TUẤT.
后神范氏卿號妙_真。	Hậu Thần Phạm Thị Khanh hiệu Diệu Trinh.
南策府，先明縣，舊堆社鄉老阮仲僧，官員范惟對，阮仲_，裴世度，阮伯淳，裴仲壤，春桓，阮仲雅，范玉枝，阮德_，阮伯素，范玉價，阮仲藍，阮伯壁，阮允搜仝社上下等為置保事。猶擇得社内人范氏卿頗，有婦德。	Các Quan viên, Hương lão xã Cựu Đôi, huyện Tiên Minh, phủ Nam Sách là Nguyễn Trọng Tăng, quan viên Phạm Duy Đối, Nguyễn Trọng Vị, Bùi Thế Độ, Nguyễn Bá Thuần, Bùi Trọng Nhưỡng, Xuân Hoàn, Nguyễn Trọng Nhã, Phạm Ngọc Chi, Nguyễn Đức Toại, Nguyễn Bá Tố Phạm Ngọc Giá, Nguyễn Trọng Lam, Nguyễn Bá Tích, Nguyễn Doãn Sưu cùng mọi người trên dưới trong xã cùng nhau bầu bà Phạm Thị Khanh, là người có đức.
茲出家財古錢五拾貫。	Bà bỏ ra 50 quan tiền riêng .
又私田壹_壹高捌尺在塘帕處付，與本社以為祀田。	Và một thửa ruộng tư gồm 1 sào 8 thước tại Đường Dù, giao cho bản xã làm Tự điền.
因此本社協保為后。	Nhân đó bản xã bầu làm Hậu.
係遞年應俵具壹盘肉，壹胙。	Hàng năm biếu một mâm cỗ, một miếng thịt.
係唱歌日本社共迎，至百歲後行禮，猪壹隻，炊壹盘，酒壹圩祭畢，俵長事炊壹斤，肉壹胙。	Nếu có ca hát bản xã tiếp đón. Đến khi trăm tuổi, bản xã làm lễ, thịt một đùi, một mâm xôi, rượu một vò, tế xong biếu trưởng tộc một cân xôi, một miếng thịt.
本社應捉猪壹隻。	Bản xã biếu người nuôi lợn một đùi.
以上各條世世無得違越。	Các điều trên đây đời đời không được làm trái.
茲保。	Nay bầu.
盖聞酬恩報本，乃理之常，恪德敬功，其傳之遠。	Thường nghe: Có ân báo đáp (gốc), đó là lẽ thường, kính cẩn công đức, được truyền lại mãi.
茲鄉中范氏卿號妙貞，德兼四德，始稱坤道之有柏__旬餘大資。	Nay trong làng có bà Phạm Thị Khanh hiệu Diệu Trinh, đức kiêm tứ đức, đạo hợp càn khôn .
本社宜其帶_恩覃於載之下，來厥有辞，功德應_，欲昭个德。	Bản xã khắc ghi ơn rộng muốn làm sáng điều đức.
爰立斯碑曰斯人也。其敬於人，享於神者德乎。	Nên dựng bia này.
因從而今曰貞淑，寸懷水声名萬世，石碑長。	Kính người tế thần, nên nay bà là bậc trinh thục, thanh danh muôn đời ghi mãi trong bia.
又曰餘波留萬古香，可見如此。如此功德遂命刻石以，寿其傳云。	Lại nói rằng: Khói bay lưu muôn thuở, hương thơm còn thấy, công đức như thế, bèn thuê thợ khắc vào đá để truyền lại mãi.
東軒居士舊生徒范說林撰。	Đông Hiên cư sĩ cựu Sinh đồ Phạm Thuyết Lâm soạn văn bia.
敬主社舊縣丞看番珠壽伯刻。	Cựu Huyện thừa Khán phiên xã Kính Chủ là Chu Thọ bá khắc chữ.
景盛元年歲在癸丑仲夏穀日。	Ngày tốt tháng trọng hạ (tháng 5) niên hiệu Cảnh Thịnh thứ nhất (1793).
後神碑記。	BIA GHI BẦU HẬU THẦN.
后神范貴氏號妙度。	Hậu Thần họ Phạm hiệu Diệu Độ. Ôi!
夫石碑何為而作。	Vì sao phải dựng bia.
盖有功於民入石忍忘者也。	Vì có công với dân, nên ghi vào bia để mãi không quên.
