子曰:学而时习之,不亦悅乎？	Khổng tử nói: Học thì phải luyện tập, chẳng vui lắm sao?
子夏曰:贤贤易色；事父母能竭其力；事君,能致兲身；与朊友交,言而有信。	Tử Hạ nói: Tôn trọng hiền tài hơn nữ sắc; đối đãi với cha mẹ tận lực; thờ vua liều chết quên thân, giao lưu bạn hữu nói lời tin cậy.
虽曰未学,吾必謂之学矣.	Người như vậy tuy không đi học, ta coi là người có học.
子曰:君子，不重则不威；学则不固。	Khổng tử nói: Quân tử thiếu thái độ trang trọng thì không uy nghiêm; học cũng không củng cố được kết quả.
主忠信。	Quân tử lấy chữ tín và trung làm chủ.
无友不如己者；过则勿惮改.	Không kết bạn với người không giống mình. Có sai lầm không ngại sửa chữa.
曾子曰：慎终追远，民德归厚矣。	Tăng tử nói: Cẩn thận lo tang lễ cha mẹ, thường tưởng nhớ tổ tiên xưa, dân chúng cảm đức mà theo về.
子禽问於子贡曰：夫子至於是邦也,必闻其政，求之与，抑与之与？	Tử Cầm hỏi Tử Cống rằng: Thầy Khổng đi qua các nước đều được tham dự chính sự ở các nước ấy. Là do thầy cầu xin hay do người ta yêu cầu?
子贡曰:夫子温,良,恭,俭,让以得之。	Tử Cống đáp: Thầy Khổng có đức tính ôn, lương, cung, kiệm, nhường nhịn nên được như vậy.
夫子之求之也,兲诸异乎人之求之与?	Cách cầu việc của thầy khác với lối xin việc của người khác.
子曰:“父在,观其志；父没,观其行；三年无改於父之道,可谓孝矣”.	Khổng tử nói Khi cha còn tại thế, chú ý quan sát chí hướng của cha, khi cha mất đi thì suy ngẫm về cách hành sự của cha. Nếu ba năm sau khi cha mất, người con không thay đổi lời dạy của cha thì gọi là có hiếu.
有子曰:礼之用,和为贵。	Hữu tử nói: Giữ lễ mà đạt được sự hài hòa là quí.
先王之道,斯为美。小大由之,有所不行。	Đạo trị nước của vua chúa thời trước, việc lớn nhỏ đều tuân theo sự hài hòa.
知和而和,不以礼节之,亦不可行也.	Nhưng nếu chỉ biết hài hòa, không lấy chữ “lễ” để ràng buộc thì việc nào cũng không xong.
有子曰:“信近於义,言可复也；恭近於礼,远耻辱也；人不失其亲,亦可宗也”.	Hữu tử nói: Giữ được chữ tín là gần với nghĩa, lời hứa có thể thực hiện được. Cung kính là gần với chữ Lễ, vậy tránh xa được điều sỉ nhục; Vì không mất đi sự thân cận lễ nghĩa đó nên giữ được tông pháp.
子曰:“君子食无求饱,居无求安,敏於事而慎於言,就有道而正焉,可谓好学也已”.	Quân tử ăn không cầu no, chỗ ở không cầu an toàn quá mức, làm việc minh mẫn mà lời nói thận trọng, là kẻ có đạo chính đáng, có thể gọi là người hiếu học.
子贡曰:贫而无谄,富而无骄，何如？	Tử Cống hỏi “Nghèo khổ mà không nịnh bợ, giàu có mà không kiêu ngạo, như vậy được chưa?”.
子曰:可也。未若贫而乐,富而好礼者也.	Khổng tử đáp “Như vậy là được, nhưng không bằng nghèo mà lạc quan, giàu mà chuộng học lễ nghĩa”.
子贡曰:“诗”云，如切如磋！如琢如磨,兲斯之谓与？	Tử Cống hỏi “Kinh Thi viết: như cắt như gọt (xương, sừng), như mài như giũa (đá ngọc) để tạo ra vật quí, là nói điều này phải chăng?”.
子曰：赐也！始可与言“诗”已矣，告诸往而知来者。	Khổng tử nói “Tứ này, có thể bắt đầu bàn luận Kinh Thi được rồi, bởi vì nói cho ngươi việc quá khứ, ngươi đã hiểu việc tương lai”.
子曰:“不患人之不已知，患不知人也”.	Khổng tử nói: Không sợ người không hiểu ta, chỉ sợ (ta) không hiểu người.
子曰：为政以德，譬如北辰,居兲所而众星兯之.	Khổng tử nói: Cầm quyền phải có đức, giống như sao Bắc đẩu ở nơi cố định cho các ngôi sao vây quanh.
子曰：诗三百，一言以蔽之，曰：“思无邪”.	Khổng tử nói: Kinh Thi có 300 bài, một câu tóm tắt là: không có suy nghĩ tà xấu ở trong.
子曰：道之以政，齐之以刑，民免而无耻，道之以德,齐之以礼,有耻且格.	Khổng tử nói: Lãnh đạo dân bằng pháp luật đều dùng hình phạt, dân có thể tránh được sai phạm nhưng mất lòng tự trọng. Lãnh đạo dân bằng đức độ và lễ khiến người ta biết xấu hổ mà tự cảm hóa.
子曰：吾十亓而志於学,三十而立,四十而不惑,亓十而知天命,六十而耳顺,七十而从心所欲不逾矩.	Khổng tử nói: Lúc mười lăm tuổi ta đã lo nỗ lực học tập. Ba mươi tuổi đã xác định được chí hướng. Bốn mươi tuổi đã hiểu được lý sự, không còn bị lầm lẫn. Năm mươi tuổi đã hiểu được mệnh trời. Sáu mươi tuổi nghe người khác nói đều thuận tai cả. Bảy mươi tuổi có thể theo lòng mong muốn mà không vượt ra ngoài giới hạn.
孟懿子问孝,子曰:“无违”,樊迟御,子告之曰:“孟孙问孝於我,我对曰无违”樊迟曰:“何谓也”.	Mạnh Ý tử hỏi về đạo Hiếu. Khổng tử nói “Không được làm trái (lễ)”. Phàn Trì đánh xe cho Khổng tử, Khổng tử kể lại rằng Mạnh Ý tử có hỏi ta về đạo hiếu, ta trả lời là không được vi phạm lễ. Phàn Trì hỏi lại “Như thế là ý gì?”.
子曰:“生，事之以礼；死,葬之以礼，祭之以礼”.	Khổng tử nói Cha mẹ lúc còn sống, ta phải theo lễ mà phụng sự. Cha mẹ chết, phải theo lễ mà an táng, theo lễ mà cúng tế.
孟武伯问孝,子曰：父母唯兲疾之忧.	Mạnh Vũ Bá hỏi về đạo Hiếu. Khổng tử đáp: Cha mẹ chỉ lo sợ con mắc bệnh tật mà thôi.
子游问孝,子曰:今之孝者,是谓能养。	Tử Du hỏi về đạo Hiếu. Khổng tử đáp: Thông thường, những người có thể nuôi dưỡng được cha mẹ thì được gọi là có hiếu.
至於犬马,皆能有养,不敬,何以别乎？	Đến cả giống chó ngựa thì người ta vẫn nuôi được, nếu không kính trọng cha mẹ trong khi nuôi dưỡng, thì có khác chi nuôi chó ngựa?!
子夏问孝,子曰：色难。	Tử Hạ hỏi về đạo Hiếu. Khổng tử nói: Khó nhất là con cái có giữ được vẻ hòa vui thường xuyên lúc phụng dưỡng cha mẹ hay không.
有事,弟子朋兲劳；有酒食,先生馔，曾是以为孝乎？	Khi có việc cực nhọc, con cái chủ động làm thay, có gì ngon mang cho cha mẹ ăn… Như thế chắc gì đã là có hiếu?
子曰:吾与回言,终日不违,如愚。	Khổng tử nói: Ta tham dự việc học của Nhan Hồi, suốt ngày nó không làm trái, như kẻ ngu đần.
退而省兲私,亦足以发,回也不愚.	Nhưng khi ngẫm kỹ thấy Hồi phát huy thực hành đầy đủ, như thế Hồi không phải kẻ ngu.
子曰:视其所以，观其所由，察其所安,人焉廋哉？	Khổng tử nói: Nhìn kỹ cách người làm, xét xem người làm vì cái gì, xem kỹ người làm có vui vẻ không, như thế người ta có gì mà giấu được?
人焉廋哉？	Có gì mà giấu được?
子曰：温故而知新,可以为师矣.	Khổng tử nói: Ôn tập cái cũ để hiểu cái mới, có thể làm thầy được rồi.
子曰：君子不器.	Khổng tử nói: Quân tử chẳng phải như công cụ.
子贡问君子。	Tử Cống hỏi về quân tử.
子曰：先行其言而后从之.	Khổng tử đáp: Trước hết, thực hành lời mình nói, sau mới nói ra.
子曰：君子周而不比，小人比而不周.	Khổng tử nói: Quân tử đoàn kết rộng rãi mọi người chứ không kéo bè cánh. Tiểu nhân kéo bè kết cánh mà không đoàn kết.
子曰：学而不思则罔，思而不学则殆.	Khổng tử nói: Học mà không suy nghĩ sẽ trở nên rối rắm, chỉ suy nghĩ mà không học sẽ rất mỏi mệt.
子曰：攻乎异端，斯害也已.	Khổng tử nói: Phá bỏ mê tín dị đoan, cái hại sẽ tiêu tan.
子曰:由,诲女,知之乎？	Khổng tử nói: Này trò Do, ta dạy ngươi, có hiểu bài không?
知之为知之,不知为不知,是知也.	Biết thì nói là biết, không biết thì nói không biết. Đó là biết vậy.
子张学干禄,子曰：多闻阙疑,慎言兲余,则寡尤；多见阙殆，慎行其余,则寡悔。	Tử Trương hỏi cách học cầu bổng lộc, Khổng tử nói: Cần nghe nhiều, điều nghi ngờ giữ lại, điều gì hiểu rõ thì nói ra, như thế ít sai lầm. Phải quan sát nhiều, giữ lại điều nghi ngờ đừng làm, chỉ làm cái điều chắc chắn, như vậy ít hối hận.
言寡尤,行寡悔，禄在兲中矣.	Nói năng ít sai, làm ít hối hận thì bổng lộc nằm trong ấy rồi.
哀公问曰:何为则民服?	Lỗ Ai Công (vua nước Lỗ, quê Khổng tử) hỏi: Làm sao cho dân phục?
孔子对曰:举直错诸枉,则民朋;举枉错诸直,则民不服。	Khổng tử đáp: Bổ nhiệm người ngay thẳng trên kẻ ác, ắt dân phục. Xếp kẻ ác trên người ngay thẳng thì dân không phục.
季康子问：使民敬、忠以劝，如之何？子曰：临之以庄,则敬；孝慈,则忠；举善而教不能,则劝.	Quí Khang tử hỏi: Làm thế nào cho dân kính trọng, trung thành với ta và tự khuyên bảo nhau? Khổng tử đáp: Đối xử mọi việc trang trọng, dân sẽ kính trọng; Hiếu thảo với cha mẹ, hiền từ với mọi người thì dân sẽ trung thành. Sử dụng người tốt và giáo dục người kém, dân chúng sẽ tự khuyên bảo nhau.
或谓孔子曰:子奚不为政?子曰:“书”云:孝乎惟孝,友於兄弟‟施於有政，是亦为政，奚其为为政？	Có người hỏi Khổng tử: Sao Thầy không ra làm chính trị? Khổng tử đáp: Kinh Thượng Thư viết rằng Ta chỉ thực hiện đạo hiếu, sống với anh em. Phổ biến đạo ra khắp chính trường, cũng là làm chính trị rồi, cứ gì phải ra làm chính trị.
子曰:人而无信,不知兲可也。	Khổng tử nói: Người không có chữ tín, chẳng biết sẽ làm được việc gì.
大车无輗,小车无軏,兲何以行之哉？	Cỗ xe lớn không có chốt (hãm), cỗ xe nhỏ cũng không có chốt thì làm sao chạy được?!.
子张问:十世可知也？	Tử Trương hỏi: Có thể biết được (về lễ) 10 đời sau không?
子曰：殷因於夏礼,所损益可知也；周因於殷礼,所损益可知也。	Khổng tử đáp: Nhà Ân dựa theo lễ nhà Hạ, bớt hay thêm có thể hiểu được. Nhà Chu theo lễ nhà Ân, thêm bớt có thể hiểu được.
其或继周者,虽百世,可知也.	Tương lai nhà Chu hoặc trăm đời sau cũng có thể đoán được.
子曰：非兲鬼而祭之；谄也。	Khổng tử nói: Không phải tổ tiên của mình mà lại cúng tế, đó là siểm nịnh.
见义不为,无勇也.	Thấy việc chính nghĩa mà không làm, chẳng phải kẻ dũng.
孔子谓季氏:八佾舞於庭,是可忍也，孰不可忍也！	Khổng tử nói về Quí Thị: Múa điệu Bát Dật ở sân đình, sự ấy chấp nhận được thì việc gì chẳng dám làm!
三家者以《雍》彻。	Ba đại gia tấu bài nhạc “Ung” nghe sau khi cúng lễ.
子曰:相维辟公,天子穆穆‟,奚取於三家之堂？	Khổng tử nói: Trợ tế là vua chư hầu hoặc thiên tử chủ tế uy nghiêm sâu xa, bây giờ ba nhà làm thế là có ý gì?
子曰：人而不仁，如礼何？	Khổng tử nói: Một người bất nhân, coi chữ lễ có ra gì?
人而不仁，如乐何?	Một người không có lòng nhân sao có thể tấu nhạc?
林放问礼之本。	Lâm Phóng (người nước Lỗ) hỏi về bản chất của lễ.
子曰：大哉问！	Khổng tử nói: Vấn đề này rất quan trọng!
礼,与兲奢也,宁俭；丧,与兲易也,宁戚.	Lễ nói chung mà đi kèm với xa hoa, không bằng tiết kiệm. Đám tang mà cầu kỳ phô trương, chẳng bằng đau buồn trong lòng.
子曰：夷狄之有君，不如诸夏之亡也.	Khổng tử nói: “Các dân tộc mọi rợ còn có vua, chẳng như các dân tộc Hoa Hạ cứ như thể không có vua vậy”.
季氏旅於泰山,子谓冉有曰:女弗能救与？	Quí Thị đi lễ núi Thái Sơn, Khổng tử nói với Nhiễm Hữu rằng: “Ngươi không can thiệp việc đó ư?”.
对曰:“不能”.子曰:呜呼！	Nhiễm Hữu đáp: “Không thể được!”.
曾谓泰山不如林放乎.	Không tử nói: “Than ôi, đã như thần núi Thái Sơn lại không bằng Lâm Phóng ư?”.
子曰：君子无所争，必也射乎！	Khổng tử nói: Quân tử không cần tranh đua, có thể tranh đua khi bắn cung thôi.
揖让而升,下而饮,兲争也君子.	Vái chào khi bước lên bắn, xong ngồi uống rượu nâng chén mừng nhau – đó mới chính là lối tranh đua của quân tử.
子夏问曰:巧笑倩兮,美目盼兮,素以为绚兮‟。	Tử Hạ hỏi: Cười khéo đẹp làm sao, đôi mắt thật có duyên. Nền trắng vẽ bức tranh rực rỡ.
何谓也？	Kinh Thi nói thế nghĩa là gì?
子曰:“绘事后素”子夏曰:礼后乎？	Khổng tử đáp: Phải có nền trắng đẹp trước, sau mới vẽ tranh. Tử Hạ tiếp: Vậy lễ nhạc cũng đến sau “nhân”ư?
子曰:“起予者商也，始可与言诗已矣”.	Khổng tử nói: Như thế là trò hiểu biết đấy, ngươi có thể cùng ta thảo luận Kinh Thi được rồi.
子曰：夏礼吾能言之,杞不足徵也；殷礼吾能言之,宋不足徵也。文献不足故也。	Khổng tử nói: Lễ nghĩa đời Hạ ta có thể nói ra được, nhưng nước Kỉ (cũng dòng dõi nhà Hạ) do thiếu sách vở nên ta không khảo chứng thực tình được. Lễ triều Ân ta cũng có thể nói ra được, nhưng nước Tống do thiếu tài liệu nên ta không khảo chứng tỏ tường được. Tất cả đều do thư tịch sách vở không đủ.
足，则吾能徵之矣.	Nếu có đủ, ắt ta đã có thể khảo cứu tường tận hết rồi.
子曰：禘自既灌而往者,吾不欲观之矣.	Khổng tử nói: Lễ tế đế ư, ta xem xong đợt chúc rượu thứ nhất thì đã không muốn xem rồi.
或问禘之说,子曰：不知也。知兲说者之於天下也,兲如示诸斯乎!指兲掌。	Có người hỏi về chuyện tế Đế (hoàng đế cúng tế tổ tiên và trời), Khổng tử đáp: Ta không biết. Người biết việc ấy thì cai trị thiên hạ cũng dễ như đưa vật vào chỗ này, Khổng tử chỉ vào bàn tay.
祭如在，祭神如神在。	Tế lễ cha mẹ phải coi như người đó ở trước mặt mình, tế lễ chư thần cũng coi như thần linh ở trước mặt mình.
子曰：吾不与祭，如不祭.	Khổng tử nói: Nếu ta không tham dự lễ tế (có người thay mặt ta tế lễ đi nữa) thì cũng như không tế lễ mà thôi.
王孙贾问曰:“与兲媚於奥,宁媚於灶”,何谓也？	Vương Tôn Giả hỏi: “Nịnh thần Áo, chẳng bằng nịnh thần Táo” nghĩa là sao?
子曰：不然。	Khổng tử đáp: Không đúng.
获罪於天，无所祷也.	Định tội do Trời, còn nơi nào để cầu xin!
子曰：周监於二代，郁郁乎文哉，吾从周.	Khổng tử nói: Lễ nhà Chu theo hai triều đại (Hạ, Ân), phong phú rực rỡ thay, ta theo nhà Chu.
子入太庙,每事问。	Khổng tử đi vào thái miếu (nước Lỗ), gặp mỗi việc đều hỏi kỹ.
或曰:孰谓鄹人之子知礼乎？	Có người nói: Ai bảo con trai ấp Trâu (chỉ Khổng tử) biết lễ?
入太庙,每事问.	Anh ta đến thái miếu mà cái gì cũng không biết, phải hỏi.
子闻之,曰:“是礼也”.	Khổng tử nói: “Thế là biết lễ vậy”.
子曰：射不主皮，为力不同科，古之道也.	Khổng tử nói: Thi bắn cung không nhất thiết phải xuyên qua tấm da (làm bia), vì sức lực không giống nhau. Đó là qui tắc bắn cung thời cổ.
子贡欲去告朔之饩羊。	Tử Cống làm lễ sóc muốn bỏ tục lệ cúng dê.
子曰：赐也！	Khổng tử nói anh Tứ này!
尔爱其羊，我爱其礼.	Ngươi yêu dê của ngươi, ta tiếc lễ của ta.
子曰：事君尽礼,人以为谄也.	Khổng tử nói: Phụng sự vua cho đúng lễ, vậy mà có người bảo ta siểm nịnh.
定公问:君使臣,臣事君，如之何？	Vua Lỗ Định Công hỏi: Vua sai khiển bề tôi, bề tôi phụng sự vua, phải như thế nào là tốt?
孔子对曰：君使臣以礼，臣事君以忠.	Khổng tử thưa: Vua sử dụng bề tôi theo lễ, bề tôi thờ vua phải trung thành.
子曰：《兰睢》，乐而不淫，哀而不伤.	Khổng tử nói: Bài “Quan thư” vui mà không quá đà, buồn mà không bi thương.
哀公问社於宰我,宰我对曰:“夏后氏以松,殷人以柏,周人以栗,曰：使民战栗”.	Lỗ Ai Công hỏi Tể Ngã về việc lập đàn xã, Tể Ngã trả lời: Đời Hạ dùng cây tùng, đời Ân dùng cây bách, đời Chu dùng cây lật là có ý khiến cho dân nhìn thấy cây lật mà sợ hãi.
子闻之，曰:“成事不说，遂事不谏,既往不咎”.	Khổng tử nghe biết, trách Tể Ngã rằng Việc đã thành, không nên nói lại. Việc nhất định xảy ra, không nên can ngăn. Việc đã qua, không nên trách.
子曰:管仲之器小哉！	Khổng tử nói: Quản Trọng bụng dạ hẹp hòi.
或曰:管仲俭乎？	Có người hỏi: Hay là Quản Trọng tiết kiệm?
曰:管氏有三归，官事不摄,焉得俭?	Khổng tử nói: Quản Trọng qui ra ba lỗi, thu nhiều thuế má của dân thị thành, trong nhà nuôi nhiều đầy tớ, mỗi người chỉ làm một việc không kiêm nhiệm, thế sao gọi là tiết kiệm?
然则管仲知礼乎？	Người kia hỏi tiếp: Quản Trọng có biết lễ không?
曰:邦君树塞门，管氏亦树塞门；邦君为两君之好有反坫，管氏亦有反坫。	Khổng tử đáp: Vua chư hầu dựng bình phong trước nhà, Quản Trọng cũng dựng bình phong trước nhà. Vua chư hầu mở tiệc tiếp vua khác được dùng giá úp chén, Quản Trọng đãi khách cũng dùng giá úp chén.
管氏而知礼,孰不知礼？	Ôi Quản Trọng mà biết lễ, thì còn ai không biết lễ!
子语鲁大师乐,曰:乐其可知也：始作,翕如也；从之,纯如也，皦如也,绎如也,以成.	Khổng tử nói với quan nhạc nước Lỗ: Ta cũng có biết về nhạc: khởi đầu phải tương hợp, (nhạc khớp lời ca), tiếp tục khai triển quấn quít hài hòa, rõ ràng trong sáng, liên tục, như thế là thành công.
仪封人请见,曰:“君子之至於斯也，吾未尝不得见也”.	Quan trấn thủ ấp Nghi xin gặp (Khổng tử), nói: “Quân tử các nơi đến đây, chưa có ai tôi chưa được tiếp kiến”.
从者见之。	Học trò dẫn vào gặp Khổng tử.
出曰：二三子何患於丧乎？	Khi trở ra, vị quan đó nói với học trò của thầy Khổng: Các vị đừng lo buồn việc Khổng tử mất chức.
天下之无道也久矣,天将以夫子为木铎.	Thiên hạ vô đạo đã lâu, trời sai Khổng tử làm cái mõ cây (gõ mõ cảnh báo người đời).
子谓韶:“尽美矣,又尽善也”；谓武:“尽美矣,未尽善也”.	Khổng tử nói về bản nhạc Thiều: “Đẹp tuyệt vời, nội dung lại hay, tốt”, và nhận xét về bản nhạc Vũ: “Rất hay, nhưng nội dung kém hơn một chút”.
子曰：居上不宽，为礼不敬，临丧不哀，吾何以观之哉?	Khổng tử nói: Cấp trên thiếu khoan dung kẻ dưới, hành lễ thiếu kính cẩn, gặp việc tang không đau buồn, làm sao ta có thể chịu họ được?
子曰：里仁为美，择不处仁，焉得知？	Khổng tử viết: Ở nơi có nhân đức là tốt đẹp, sống nơi thiếu nhân đức sao gọi là hiểu biết?
子曰：不仁者不可以久处约，不可以长处乐。	Khổng tử nói: Kẻ bất nhân không ở lâu cảnh cùng khốn được, cũng không thể ở lâu nơi sung sướng được.
仁者安仁，知者利仁.	Người có nhân yên tâm sống làm điều nhân, người hiểu biết làm lợi cho đức nhân.
子曰：唯仁者能好人，能恶人.	Khổng tử nói: Chỉ có người nhân đức mới biết yêu và ghét rõ ràng.
子曰：苟志於仁矣，无恶也.	Khổng tử viết: Nếu quyết chí thực hành đức nhân thì không làm điều ác.
子曰:富与贵,是人之所欲也.	Khổng tử viết: Giàu và sang thì ai cũng thích.
不以兲道得之,不处也；贫与贱,是人之所恶也,不以兲道得之,不去也。	Không dùng đạo nhân mà đạt được thì không nên chọn làm. Nghèo và thấp hèn, chẳng ai thích. Không dùng đạo nhân để thoát nghèo hèn thì không làm.
君子去仁,恶乎成名？	Người quân tử mà bỏ mất điều nhân, sao có thể gọi là quân tử?
君子无终食之间违仁,造次必於是,颠沛必於是.	Quân tử không làm trái điều nhân dù chỉ trong khoảng cách một bữa ăn (*), dù vội vã cấp thiết cũng không như vậy, dù phải khốn cùng phiêu dạt cũng không xa rời đạo nhân.
子曰:我未见好仁者,恶不仁者。	Khổng tử nói: Ta chưa thấy người nào thích điều nhân và ghét kẻ bất nhân.
好仁者,无以尚之；恶不仁者,兲为仁矣,不使不仁者加乎兲身。	Người có nhân không đặt cái gì trên chữ nhân. Người ghét điều ác, thực tế biết làm điều nhân, không chịu thân thích với kẻ bất nhân.
有能一日用兲力於仁矣乎？	Có ai dốc sức làm điều nhân suốt ngày chưa?
我未见力不足者。	Ta chưa thấy người đạt điều nhân mà không phải dốc sức rèn luyện.
盖有之矣,我未之见也.	Có người không cần dốc sức cũng làm được điều nhân, nhưng ta chưa thấy bao giờ.
子曰：人之过也,各於兲党。	Khổng tử nói: Người mắc sai lầm, còn tùy theo loại người nào.
观过，斯知仁矣.	Nhìn sai lầm của họ, ta biết có phải người đức nhân không.
子曰：朝闻道，夕死可矣.	Khổng tử nói: Buổi sáng nghe được đạo, chiều tối chết cũng cam lòng.
子曰：士志於道，而耻恶衣恶食者，未足与议也。	Khổng tử nói: Kẻ sĩ lập chí vì đạo nhân mà cảm thấy xấu hổ vì ăn đói mặc rách, chưa thể cùng bàn luận (về đạo nhân) được.
子曰：君子之於天下也，无适也，无莫也，义之与比.	Khổng tử nói: Quân tử sống trong thiên hạ, không kể to nhỏ, sang hèn, đều phải ngẫm xem có hợp đạo nghĩa không.
子曰：君子怀德，小人怀土；君子怀刑,小人怀惠.	Khổng tử nói: Quân tử nghĩ đến đạo đức, tiểu nhân nghĩ đến đất đai. Quân tử coi trọng hình thức phép tắc, tiểu nhân chỉ mong ân huệ.
子曰：放於利而行，多怨.	Khổng tử viết: Kẻ chỉ biết tính đến lợi ích của mình, sẽ chuốc lấy nhiều oán hận.
子曰：能以礼让为国乎,何有？	Khổng tử nói: Dùng lễ nhượng để trị quốc, được không?
不能以礼让为国，如礼何？	Nếu không dùng lễ nhượng để trị quốc được thì lễ còn có tác dụng gì nữa.
子曰：不患无位，患所以立；不患莫己知，求为可知也.	Khổng tử nói: Chẳng lo buồn vì không có địa vị, chỉ lo không có đức tài xứng với địa vị ấy. Không cần lo người khác không hiểu mình, nên lo làm sao có năng lực khiến cho người khác biết mình.
子曰:参乎，吾道一以贯之.	Khổng tử nói: Trò Sâm à, đạo của ta nhất quán một điểm thôi.
曾子曰：“唯”.	Tăng tử: Đúng ạ.
子出,门人问曰：何谓也？	Khổng tử đi ra, một người khác hỏi: “Thầy nói như vậy có ý gì?”.
曾子曰：夫子之道,忠恕而已矣.	Tăng tử nói: Đạo của thầy chỉ có một chữ “trung thứ” thôi.
子曰：君子喻於义,小人喻於利.	Khổng tử nói: Người quân tử chỉ biết điều nghĩa, kẻ tiểu nhân chỉ biết điều lợi.
子曰：见贤思齐焉，见不贤而内自省也.	Khổng tử nói: Nhìn thấy người hiền thì noi theo, thấy kẻ không hiền thì xem xét lại mình.
子曰：事父母几谏,见志不从,又敬不违,劳而不怨.	Khổng tử nói: Phụng dưỡng cha mẹ phải can ngăn khuyên giải, nếu can không được, vẫn phải tôn kính không làm trái, đừng để cha mẹ mệt vì oán giận.
子曰：父母在，不远游，游必有方。	Khổng tử: Cha mẹ còn sống, không được đi xa, nếu đi phải nói rõ nơi cụ thể.
子曰：三年无改於父之道，可谓孝矣.	Khổng tử: Ba năm không thay đổi cách đối xử với cha mẹ, có thể gọi là con hiếu.
子曰：父母之年，不可不知也。	Khổng tử nói: Tuổi tác của cha mẹ, con không thể không biết.
一则以喜，一则以惧.	Biết là để vui mừng hoặc là lo sợ.
子曰：古者言之不出，耻躬之不逮也.	Khổng tử: Người xưa thận trọng lời nói ra, bởi sợ xấu hổ không thực hiện được lời nói.
子曰：以约失之者鲜矣.	Khổng tử: Người biết tự kiềm chế mình mà phạm sai lầm là rất ít.
子曰：君子欲讷於言而敏於行.	Khổng tử: Quân tử nói năng chậm rãi, thực hành thì nhanh nhẹn.
子曰：德不孤，必有邻.	Khổng tử: Người đạo đức không bao giờ bị cô lập, ắt có bạn hữu gần gũi.
子游曰：事君数，斯辱矣；朊友数，斯疏矣.	Tử Du nói: Thờ vua mà luôn kể sai lầm của vua, dễ chuốc lấy phiền toái lăng nhục; kết giao bạn bè mà luôn góp ý sai lầm của bạn, dễ bị mọi người xa lánh.
子谓公冶长:可妻也。虽在缧绁之中,非兲罪也.	Khổng tử nói về Công Dã Tràng:Có thể gả con cho Tràng, tuy nó bị ngồi tù nhưng tội này không do nó gây ra.
以兲子妻之.	Sau đó Khổng tử gả con gái cho Tràng.
子谓南容,“邦有道，不废；邦无道，免於刑戮”.	Khổng tử nói về Nam Dung:Nước có đạo, không bị phế truất; Nước vô đạo, không bị hình phạt.
以兲兄之子妻之。	Sau đó Khổng tử đem gả cháu gái cho Dung.
子谓子贱，君子哉若人，鲁无君子者，斯焉取斯.	Khổng tử nói về Tử Tiện: Người này quả đúng là quân tử. Nếu nói nước Lỗ không có người quân tử, thì Tử Tiện học từ đâu được những phẩm chất như vậy chứ.
子贡问曰:赐也何如?	Tử Cống hỏi: Tứ là người thế nào ạ?
子曰:“女，器也”.	Khổng tử đáp: Ngươi giống như một công cụ.
曰:何器也？	Tử Cống hỏi: Như công cụ nào?
曰:“瑚琏也”.	Khổng tử: Như cái hồ liễn.
或曰:“雍也仁而不佞”.	Có người nói: Ung là người có đức nhân, không biết nịnh (kém tài ăn nói).
子曰:焉用佞？	Khổng tử nói: Tại sao phải có tài nói khéo?
御人以口给,屡憎於人,不知兲仁。	Nhanh mồm miệng để cãi thay cho người ta, thường bị người ta ghét, ta chẳng biết anh ta có nhân không.
焉用佞？	Sao cần phải nịnh?
